time,Atlanta,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. I. Mahinmi (G. Hill gains possession),,,,Jump ball: A. Horford vs. I. Mahinmi (G. Hill gains possession)
11:47.0,,,0-0,,Turnover by M. Ellis (lost ball; steal by P. Millsap)
11:35.0,J. Teague makes 2-pt shot from 1 ft,2,2-0,,
11:11.0,,,2-0,,P. George misses 2-pt shot from 17 ft
11:11.0,Defensive rebound by P. Millsap,,2-0,,
11:01.0,J. Teague misses 2-pt shot from 1 ft (block by M. Ellis),,2-0,,
11:00.0,,,2-0,,Defensive rebound by I. Mahinmi
10:48.0,,,2-0,,Turnover by I. Mahinmi (bad pass; steal by K. Korver)
10:30.0,K. Korver misses 2-pt shot from 1 ft,,2-0,,
10:29.0,,,2-0,,Defensive rebound by G. Hill
10:16.0,,,2-0,,I. Mahinmi misses 2-pt shot at rim (block by P. Millsap)
10:15.0,Defensive rebound by A. Horford,,2-0,,
10:03.0,P. Millsap misses 3-pt shot from 24 ft,,2-0,,
10:02.0,,,2-0,,Defensive rebound by M. Turner
9:50.0,,,2-2,2,M. Turner makes 2-pt shot from 1 ft (assist by I. Mahinmi)
9:34.0,K. Bazemore misses 3-pt shot from 24 ft,,2-2,,
9:34.0,,,2-2,,Defensive rebound by I. Mahinmi
9:20.0,,,2-2,,M. Turner misses 2-pt shot from 15 ft
9:19.0,Defensive rebound by K. Bazemore,,2-2,,
9:06.0,A. Horford misses 3-pt shot from 26 ft,,2-2,,
9:04.0,,,2-2,,Defensive rebound by Team
8:51.0,,,2-2,,M. Turner misses 2-pt shot from 2 ft (block by A. Horford)
8:50.0,Defensive rebound by K. Bazemore,,2-2,,
8:42.0,A. Horford misses 2-pt shot from 3 ft,,2-2,,
8:41.0,,,2-2,,Defensive rebound by M. Turner
8:36.0,,,2-2,,Shooting foul by J. Teague (drawn by I. Mahinmi)
8:36.0,,,2-3,1,I. Mahinmi makes free throw 1 of 2
8:36.0,,,2-4,1,I. Mahinmi makes free throw 2 of 2
8:13.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,5-4,,
8:13.0,Shooting foul by P. George (drawn by K. Korver),,5-4,,
8:13.0,K. Korver misses free throw 1 of 1,,5-4,,
8:13.0,,,5-4,,Defensive rebound by P. George
8:01.0,,,5-4,,P. George misses 2-pt shot from 1 ft (block by A. Horford)
7:59.0,Defensive rebound by P. Millsap,,5-4,,
7:46.0,K. Bazemore makes 2-pt shot at rim (assist by J. Teague),2,7-4,,
7:29.0,,,7-4,,Turnover by G. Hill (bad pass; steal by A. Horford)
7:25.0,J. Teague makes 2-pt shot from 1 ft (assist by K. Korver),2,9-4,,
7:25.0,,,9-4,,Indiana full timeout
7:14.0,,,9-7,3,M. Ellis makes 3-pt shot from 25 ft
7:00.0,Turnover by P. Millsap (bad pass; steal by M. Ellis),,9-7,,
6:56.0,,,9-9,2,G. Hill makes 2-pt shot from 1 ft
6:35.0,J. Teague makes 3-pt shot from 25 ft (assist by A. Horford),3,12-9,,
6:21.0,,,12-12,3,G. Hill makes 3-pt shot from 25 ft (assist by M. Turner)
6:01.0,J. Teague makes 2-pt shot from 9 ft,2,14-12,,
5:54.0,,,14-12,,G. Hill misses 2-pt shot from 5 ft
5:49.0,,,14-12,,Offensive rebound by M. Ellis
5:38.0,Personal foul by A. Horford (drawn by P. George),,14-12,,
5:38.0,T. Sefolosha enters the game for A. Horford,,14-12,,
5:38.0,T. Splitter enters the game for K. Bazemore,,14-12,,
5:24.0,,,14-12,,M. Ellis misses 3-pt shot from 25 ft
5:22.0,,,14-12,,Offensive rebound by I. Mahinmi
5:15.0,,,14-14,2,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis)
4:58.0,P. Millsap misses 2-pt shot from 5 ft,,14-14,,
4:58.0,,,14-14,,Defensive rebound by M. Turner
4:47.0,T. Hardaway enters the game for J. Teague,,14-14,,
4:47.0,D. Schroder enters the game for K. Korver,,14-14,,
4:41.0,,,14-16,2,M. Turner makes 2-pt shot from 2 ft (assist by I. Mahinmi)
4:25.0,T. Hardaway makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,17-16,,
4:09.0,,,17-16,,I. Mahinmi misses 2-pt shot from 16 ft
4:09.0,Defensive rebound by P. Millsap,,17-16,,
3:56.0,D. Schroder misses 2-pt shot from 1 ft (block by M. Turner),,17-16,,
3:56.0,Offensive rebound by Team,,17-16,,
3:56.0,,,17-16,,L. Allen enters the game for M. Turner
3:56.0,,,17-16,,J. Young enters the game for G. Hill
3:52.0,T. Splitter misses 2-pt shot at rim (block by I. Mahinmi),,17-16,,
3:51.0,Offensive rebound by T. Splitter,,17-16,,
3:45.0,Shooting foul by P. George (drawn by T. Sefolosha),,17-16,,
3:45.0,T. Sefolosha makes free throw 1 of 2,1,18-16,,
3:45.0,,,18-16,,C. Miles enters the game for P. George
3:45.0,T. Sefolosha misses free throw 2 of 2,,18-16,,
3:45.0,,,18-16,,Defensive rebound by L. Allen
3:21.0,,,18-16,,J. Young misses 2-pt shot from 21 ft
3:19.0,,,18-16,,Offensive rebound by Team
3:09.0,,,18-16,,Shooting foul by D. Schroder (drawn by M. Ellis)
3:09.0,,,18-17,1,M. Ellis makes free throw 1 of 2
3:09.0,,,18-18,1,M. Ellis makes free throw 2 of 2
3:09.0,Atlanta full timeout,,18-18,,
2:59.0,D. Schroder makes 2-pt shot from 1 ft (assist by T. Splitter),2,20-18,,
2:47.0,Personal foul by D. Schroder,,20-18,,
2:47.0,M. Scott enters the game for P. Millsap,,20-18,,
2:31.0,,,20-18,,Turnover by J. Young (bad pass; steal by T. Sefolosha)
2:17.0,D. Schroder misses 3-pt shot from 26 ft,,20-18,,
2:16.0,,,20-18,,Defensive rebound by Team
2:16.0,Loose ball foul by T. Splitter (drawn by I. Mahinmi),,20-18,,
2:16.0,,,20-19,1,I. Mahinmi makes free throw 1 of 2
2:16.0,K. Bazemore enters the game for D. Schroder,,20-19,,
2:16.0,,,20-20,1,I. Mahinmi makes free throw 2 of 2
1:58.0,K. Bazemore misses 2-pt shot at rim,,20-20,,
1:58.0,Offensive rebound by T. Splitter,,20-20,,
1:55.0,Turnover by T. Splitter (lost ball; steal by J. Young),,20-20,,
1:49.0,,,20-20,,J. Young misses 2-pt shot from 6 ft (block by T. Sefolosha)
1:49.0,,,20-20,,Offensive rebound by Team
1:49.0,,,20-20,,J. Hill enters the game for I. Mahinmi
1:44.0,,,20-23,3,M. Ellis makes 3-pt shot from 24 ft (assist by C. Miles)
1:26.0,K. Bazemore makes 2-pt shot from 1 ft,2,22-23,,
1:02.0,,,22-23,,L. Allen misses 2-pt shot from 19 ft
1:01.0,Defensive rebound by T. Hardaway,,22-23,,
0:59.0,Turnover by T. Hardaway (bad pass),,22-23,,
0:59.0,A. Horford enters the game for T. Splitter,,22-23,,
0:59.0,D. Schroder enters the game for T. Sefolosha,,22-23,,
0:47.0,,,22-23,,M. Ellis misses 2-pt shot from 14 ft
0:47.0,,,22-23,,Offensive rebound by L. Allen
0:47.0,,,22-25,2,L. Allen makes 2-pt shot at rim
0:35.0,K. Bazemore misses 2-pt shot from 1 ft,,22-25,,
0:34.0,Offensive rebound by A. Horford,,22-25,,
0:34.0,A. Horford makes 2-pt shot at rim,2,24-25,,
0:23.0,,,24-25,,Turnover by J. Hill (lost ball)
0:05.0,D. Schroder misses 2-pt shot from 1 ft (block by J. Hill),,24-25,,
0:03.0,,,24-25,,Defensive rebound by J. Young
0:01.0,Personal foul by K. Bazemore,,24-25,,
0:01.0,,,24-26,1,J. Young makes free throw 1 of 2
0:01.0,,,24-27,1,J. Young makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,K. Bazemore misses 2-pt shot from 4 ft (block by J. Hill),,24-27,,
11:45.0,,,24-27,,Defensive rebound by L. Allen
11:40.0,,,24-27,,C. Miles misses 2-pt shot from 1 ft
11:39.0,,,24-27,,Offensive rebound by L. Allen
11:36.0,,,24-27,,C. Miles misses 3-pt shot from 24 ft
11:34.0,,,24-27,,Offensive rebound by L. Allen
