time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. T. Duncan (R. Westbrook gains possession)
11:45.0,K. Durant misses 2-pt shot at rim,,0-0,,
11:43.0,Offensive rebound by K. Durant,,0-0,,
11:40.0,K. Durant makes 2-pt shot from 1 ft,2,2-0,,
11:27.0,,,2-0,,L. Aldridge misses 2-pt shot from 20 ft
11:27.0,Defensive rebound by A. Roberson,,2-0,,
11:21.0,S. Adams misses 2-pt shot from 2 ft (block by L. Aldridge),,2-0,,
11:20.0,,,2-0,,Defensive rebound by K. Leonard
11:07.0,,,2-0,,Turnover by L. Aldridge (lost ball; steal by R. Westbrook)
11:04.0,Offensive charge foul by R. Westbrook,,2-0,,
11:04.0,Turnover by R. Westbrook (offensive foul),,2-0,,
11:04.0,,,2-0,,P. Mills enters the game for T. Parker
10:51.0,,,2-0,,Turnover by K. Leonard (lost ball; steal by S. Adams)
10:42.0,Shooting foul by L. Aldridge (drawn by S. Adams),,2-0,,
10:42.0,S. Adams makes free throw 1 of 2,1,3-0,,
10:42.0,,,3-0,,T. Parker enters the game for P. Mills
10:42.0,S. Adams makes free throw 2 of 2,1,4-0,,
10:27.0,Personal foul by A. Roberson,,4-0,,
10:14.0,,,4-0,,K. Leonard misses 2-pt shot from 10 ft (block by S. Ibaka)
10:12.0,,,4-0,,Offensive rebound by L. Aldridge
10:10.0,,,4-2,2,L. Aldridge makes 2-pt shot at rim
9:56.0,K. Durant misses 2-pt shot from 13 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by K. Leonard
9:48.0,,,4-2,,T. Parker misses 2-pt shot from 3 ft
9:47.0,Defensive rebound by K. Durant,,4-2,,
9:38.0,K. Durant misses 3-pt shot from 27 ft,,4-2,,
9:37.0,,,4-2,,Defensive rebound by L. Aldridge
9:27.0,Personal foul by S. Ibaka,,4-2,,
9:13.0,,,4-2,,L. Aldridge misses 2-pt shot from 16 ft
9:11.0,Defensive rebound by A. Roberson,,4-2,,
9:06.0,R. Westbrook makes 2-pt shot from 8 ft,2,6-2,,
9:06.0,Shooting foul by T. Parker (drawn by R. Westbrook),,6-2,,
9:06.0,R. Westbrook makes free throw 1 of 1,1,7-2,,
8:56.0,,,7-2,,Turnover by T. Parker (lost ball; steal by A. Roberson)
8:50.0,Turnover by R. Westbrook (bad pass),,7-2,,
8:33.0,,,7-2,,T. Duncan misses 2-pt shot from 5 ft
8:32.0,Defensive rebound by Team,,7-2,,
8:29.0,,,7-2,,Loose ball foul by L. Aldridge
8:23.0,R. Westbrook makes 2-pt shot at rim,2,9-2,,
8:23.0,,,9-2,,San Antonio full timeout
8:06.0,,,9-2,,L. Aldridge misses 2-pt shot from 8 ft
8:05.0,Defensive rebound by A. Roberson,,9-2,,
7:54.0,Turnover by R. Westbrook (lost ball; steal by K. Leonard),,9-2,,
7:47.0,,,9-2,,D. Green misses 3-pt shot from 23 ft
7:46.0,Defensive rebound by R. Westbrook,,9-2,,
7:38.0,R. Westbrook misses 2-pt shot from 15 ft (block by T. Parker),,9-2,,
7:37.0,,,9-2,,Defensive rebound by K. Leonard
7:20.0,,,9-4,2,K. Leonard makes 2-pt shot from 6 ft
7:01.0,Offensive foul by S. Adams,,9-4,,
7:01.0,Turnover by S. Adams (offensive foul),,9-4,,
6:36.0,,,9-7,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
6:19.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,11-7,,
6:02.0,,,11-7,,K. Leonard misses 2-pt shot from 17 ft
6:01.0,Defensive rebound by K. Durant,,11-7,,
5:52.0,A. Roberson misses 3-pt shot from 23 ft,,11-7,,
5:51.0,,,11-7,,Defensive rebound by L. Aldridge
5:40.0,,,11-7,,B. Diaw enters the game for T. Duncan
5:40.0,,,11-7,,M. Ginobili enters the game for D. Green
5:40.0,D. Waiters enters the game for K. Durant,,11-7,,
5:37.0,,,11-10,3,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Leonard)
5:21.0,Turnover by S. Ibaka (lost ball; steal by T. Parker),,11-10,,
5:11.0,,,11-10,,Turnover by B. Diaw (lost ball; steal by R. Westbrook)
5:09.0,,,11-10,,Personal foul by T. Parker
5:09.0,,,11-10,,K. Anderson enters the game for K. Leonard
5:09.0,Oklahoma City full timeout,,11-10,,
5:09.0,,,11-10,,P. Mills enters the game for T. Parker
5:01.0,S. Ibaka misses 2-pt shot from 19 ft,,11-10,,
5:00.0,Offensive rebound by R. Westbrook,,11-10,,
4:51.0,D. Waiters makes 2-pt shot from 1 ft (assist by R. Westbrook),2,13-10,,
4:24.0,,,13-10,,L. Aldridge misses 2-pt shot from 16 ft
4:24.0,Defensive rebound by S. Adams,,13-10,,
4:16.0,R. Westbrook makes 2-pt shot from 18 ft,2,15-10,,
3:53.0,,,15-12,2,P. Mills makes 2-pt shot from 18 ft (assist by B. Diaw)
3:43.0,R. Westbrook misses 2-pt shot from 18 ft,,15-12,,
3:41.0,,,15-12,,Defensive rebound by P. Mills
3:35.0,,,15-12,,M. Ginobili misses 2-pt shot from 18 ft (block by A. Roberson)
3:34.0,,,15-12,,Offensive rebound by M. Ginobili
3:29.0,Personal foul by D. Waiters,,15-12,,
3:29.0,,,15-12,,D. West enters the game for L. Aldridge
3:29.0,E. Kanter enters the game for S. Adams,,15-12,,
3:29.0,K. Durant enters the game for R. Westbrook,,15-12,,
3:29.0,R. Foye enters the game for A. Roberson,,15-12,,
3:18.0,,,15-14,2,D. West makes 2-pt shot from 10 ft (assist by M. Ginobili)
2:56.0,Turnover by D. Waiters (step out of bounds),,15-14,,
2:43.0,,,15-14,,B. Diaw misses 2-pt shot at rim
2:43.0,Defensive rebound by E. Kanter,,15-14,,
2:26.0,Turnover by K. Durant (bad pass),,15-14,,
2:09.0,,,15-16,2,B. Diaw makes 2-pt shot at rim
1:50.0,,,15-16,,Personal block foul by B. Diaw
1:50.0,D. Waiters makes free throw 1 of 2,1,16-16,,
1:50.0,S. Adams enters the game for S. Ibaka,,16-16,,
1:50.0,D. Waiters makes free throw 2 of 2,1,17-16,,
1:40.0,Personal block foul by D. Waiters,,17-16,,
1:32.0,,,17-16,,D. West misses 2-pt shot from 17 ft
1:31.0,Defensive rebound by D. Waiters,,17-16,,
1:18.0,R. Foye misses 3-pt shot from 26 ft,,17-16,,
1:17.0,,,17-16,,Defensive rebound by P. Mills
1:07.0,,,17-16,,D. West misses 2-pt shot from 19 ft
1:07.0,Defensive rebound by K. Durant,,17-16,,
1:00.0,K. Durant makes 2-pt shot from 11 ft,2,19-16,,
0:47.0,,,19-16,,B. Diaw misses 2-pt shot from 14 ft
0:46.0,Defensive rebound by K. Durant,,19-16,,
0:33.0,K. Durant makes 3-pt shot from 25 ft,3,22-16,,
0:28.0,,,22-16,,M. Ginobili misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by S. Adams,,22-16,,
0:06.0,K. Durant misses 3-pt shot from 25 ft,,22-16,,
0:06.0,Offensive rebound by E. Kanter,,22-16,,
0:03.0,E. Kanter misses 2-pt shot from 8 ft,,22-16,,
0:02.0,,,22-16,,Defensive rebound by B. Diaw
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,22-16,,B. Diaw misses 2-pt shot at rim
11:44.0,Defensive rebound by E. Kanter,,22-16,,
11:24.0,K. Durant makes 2-pt shot from 5 ft (assist by D. Waiters),2,24-16,,
11:08.0,,,24-16,,K. Leonard misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by E. Kanter,,24-16,,
10:55.0,D. Waiters misses 2-pt shot from 6 ft (block by M. Ginobili),,24-16,,
10:54.0,Offensive rebound by S. Adams,,24-16,,
10:47.0,E. Kanter misses 3-pt shot from 23 ft,,24-16,,
10:46.0,Offensive rebound by E. Kanter,,24-16,,
10:35.0,R. Foye misses 3-pt shot from 24 ft,,24-16,,
10:34.0,,,24-16,,Defensive rebound by K. Leonard
10:34.0,Personal foul by S. Adams,,24-16,,
10:16.0,,,24-16,,B. Diaw misses 3-pt shot from 25 ft
10:15.0,,,24-16,,Offensive rebound by D. West
10:12.0,,,24-18,2,P. Mills makes 2-pt shot from 10 ft (assist by D. West)
9:53.0,D. Waiters makes 2-pt shot from 17 ft,2,26-18,,
9:39.0,Personal foul by D. Waiters,,26-18,,
9:39.0,R. Westbrook enters the game for D. Waiters,,26-18,,
9:39.0,,,26-18,,L. Aldridge enters the game for B. Diaw
9:27.0,,,26-20,2,K. Leonard makes 2-pt shot from 7 ft
9:17.0,Offensive charge foul by R. Westbrook,,26-20,,
9:17.0,Turnover by R. Westbrook (offensive foul),,26-20,,
9:17.0,,,26-20,,T. Duncan enters the game for D. West
9:17.0,,,26-20,,D. Green enters the game for M. Ginobili
9:17.0,S. Ibaka enters the game for S. Adams,,26-20,,
9:00.0,,,26-20,,L. Aldridge misses 2-pt shot from 7 ft
8:59.0,Defensive rebound by E. Kanter,,26-20,,
8:57.0,Turnover by E. Kanter (lost ball; steal by L. Aldridge),,26-20,,
8:52.0,,,26-22,2,K. Leonard makes 2-pt shot at rim (assist by P. Mills)
8:36.0,K. Durant misses 2-pt shot from 18 ft,,26-22,,
8:35.0,,,26-22,,Defensive rebound by P. Mills
8:27.0,,,26-22,,K. Leonard misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by S. Ibaka,,26-22,,
8:26.0,Turnover by S. Ibaka (lost ball; steal by K. Leonard),,26-22,,
8:25.0,,,26-24,2,K. Leonard makes 2-pt shot from 2 ft
8:25.0,Oklahoma City full timeout,,26-24,,
8:25.0,,,26-24,,T. Parker enters the game for P. Mills
8:11.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,28-24,,
7:53.0,,,28-24,,Turnover by L. Aldridge (lost ball; steal by K. Durant)
7:51.0,Shooting foul by K. Leonard (drawn by K. Durant),,28-24,,
7:51.0,K. Durant misses free throw 1 of 2,,28-24,,
7:51.0,Offensive rebound by Team,,28-24,,
7:51.0,A. Roberson enters the game for R. Foye,,28-24,,
7:51.0,K. Durant makes free throw 2 of 2,1,29-24,,
7:40.0,,,29-24,,Turnover by T. Duncan (lost ball; steal by K. Durant)
7:35.0,K. Durant misses 2-pt shot from 2 ft (block by T. Duncan),,29-24,,
7:33.0,,,29-24,,Defensive rebound by D. Green
7:28.0,,,29-26,2,K. Leonard makes 2-pt shot from 2 ft (assist by D. Green)
7:15.0,Turnover by E. Kanter (lost ball; steal by K. Leonard),,29-26,,
6:53.0,,,29-26,,K. Leonard misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by K. Durant,,29-26,,
6:45.0,R. Westbrook misses 2-pt shot from 14 ft,,29-26,,
6:43.0,,,29-26,,Defensive rebound by L. Aldridge
6:33.0,,,29-26,,T. Parker misses 2-pt shot from 1 ft (block by E. Kanter)
6:33.0,,,29-26,,Offensive rebound by Team
6:25.0,,,29-26,,Shooting foul by S. Ibaka (drawn by L. Aldridge)
6:25.0,,,29-27,1,L. Aldridge makes free throw 1 of 2
6:25.0,,,29-27,,K. Anderson enters the game for K. Leonard
6:25.0,,,29-28,1,L. Aldridge makes free throw 2 of 2
6:13.0,K. Durant misses 2-pt shot from 14 ft,,29-28,,
6:11.0,,,29-28,,Defensive rebound by T. Duncan
5:57.0,,,29-28,,L. Aldridge misses 2-pt shot from 9 ft
5:56.0,Defensive rebound by A. Roberson,,29-28,,
5:52.0,Shooting foul by T. Duncan (drawn by R. Westbrook),,29-28,,
5:52.0,Official timeout,,29-28,,
5:52.0,A. Morrow enters the game for K. Durant,,29-28,,
5:52.0,,,29-28,,K. Leonard enters the game for K. Anderson
5:52.0,S. Adams enters the game for E. Kanter,,29-28,,
5:52.0,R. Westbrook makes free throw 1 of 2,1,30-28,,
5:52.0,R. Westbrook makes free throw 2 of 2,1,31-28,,
5:37.0,,,31-30,2,K. Leonard makes 2-pt shot from 1 ft
5:22.0,A. Morrow misses 2-pt shot from 14 ft,,31-30,,
5:21.0,,,31-30,,Defensive rebound by L. Aldridge
