time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. M. Gasol (S. Curry gains possession),,,,Jump ball: F. Ezeli vs. M. Gasol (S. Curry gains possession)
11:39.0,K. Thompson misses 2-pt shot from 18 ft,,0-0,,
11:37.0,Offensive rebound by Team,,0-0,,
11:34.0,D. Green makes 2-pt shot from 19 ft (assist by S. Curry),2,2-0,,
11:14.0,,,2-0,,C. Lee misses 2-pt shot from 19 ft
11:14.0,Defensive rebound by K. Thompson,,2-0,,
11:04.0,H. Barnes makes 2-pt shot from 7 ft,2,4-0,,
10:55.0,,,4-2,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
10:37.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,6-2,,
10:15.0,,,6-2,,Shooting foul by F. Ezeli (drawn by T. Allen)
10:15.0,,,6-3,1,T. Allen makes free throw 1 of 2
10:15.0,,,6-4,1,T. Allen makes free throw 2 of 2
10:00.0,K. Thompson misses 2-pt shot from 17 ft,,6-4,,
10:00.0,Offensive rebound by K. Thompson,,6-4,,
9:54.0,D. Green misses 3-pt shot from 25 ft,,6-4,,
9:53.0,,,6-4,,Defensive rebound by C. Lee
9:37.0,,,6-4,,Turnover by M. Gasol (bad pass; steal by H. Barnes)
9:31.0,S. Curry misses 3-pt shot from 25 ft,,6-4,,
9:28.0,,,6-4,,Defensive rebound by M. Gasol
9:17.0,,,6-7,3,T. Allen makes 3-pt shot from 23 ft (assist by M. Conley)
9:06.0,H. Barnes misses 2-pt shot from 20 ft,,6-7,,
9:06.0,,,6-7,,Defensive rebound by T. Allen
9:01.0,Violation by K. Thompson (kicked ball),,6-7,,
8:48.0,,,6-7,,T. Allen misses 3-pt shot from 23 ft
8:48.0,Defensive rebound by F. Ezeli,,6-7,,
8:34.0,S. Curry makes 3-pt shot from 23 ft (assist by H. Barnes),3,9-7,,
8:16.0,,,9-9,2,M. Gasol makes 2-pt shot from 7 ft (assist by Z. Randolph)
8:00.0,H. Barnes makes 2-pt shot from 1 ft,2,11-9,,
8:00.0,Shooting foul by M. Gasol (drawn by H. Barnes),,11-9,,
8:00.0,,,11-9,,M. Barnes enters the game for T. Allen
8:00.0,H. Barnes makes free throw 1 of 1,1,12-9,,
7:37.0,,,12-9,,C. Lee misses 3-pt shot from 22 ft
7:37.0,Defensive rebound by Team,,12-9,,
7:30.0,Shooting foul by Z. Randolph (drawn by F. Ezeli),,12-9,,
7:30.0,F. Ezeli makes free throw 1 of 2,1,13-9,,
7:30.0,F. Ezeli misses free throw 2 of 2,,13-9,,
7:29.0,,,13-9,,Defensive rebound by Z. Randolph
7:16.0,,,13-9,,Turnover by Z. Randolph (bad pass; steal by S. Curry)
7:09.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,15-9,,
7:06.0,,,15-9,,Memphis full timeout
6:58.0,,,15-9,,Turnover by Z. Randolph (lost ball; steal by K. Thompson)
6:50.0,Turnover by D. Green (bad pass; steal by M. Barnes),,15-9,,
6:41.0,,,15-9,,Z. Randolph misses 2-pt shot from 4 ft
6:40.0,Defensive rebound by F. Ezeli,,15-9,,
6:21.0,F. Ezeli misses 2-pt shot from 1 ft,,15-9,,
6:18.0,,,15-9,,Defensive rebound by Z. Randolph
6:08.0,,,15-11,2,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley)
5:43.0,H. Barnes misses 2-pt shot from 13 ft,,15-11,,
5:40.0,,,15-11,,Defensive rebound by C. Lee
5:33.0,,,15-11,,Z. Randolph misses 2-pt shot from 6 ft
5:32.0,Defensive rebound by F. Ezeli,,15-11,,
5:24.0,H. Barnes misses 2-pt shot at rim (block by C. Lee),,15-11,,
5:24.0,,,15-11,,Defensive rebound by M. Gasol
5:24.0,Personal foul by K. Thompson (drawn by C. Lee),,15-11,,
5:24.0,A. Iguodala enters the game for H. Barnes,,15-11,,
5:24.0,A. Bogut enters the game for F. Ezeli,,15-11,,
5:24.0,,,15-11,,J. Green enters the game for Z. Randolph
5:03.0,,,15-11,,M. Barnes misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by A. Bogut,,15-11,,
4:39.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,18-11,,
4:20.0,,,18-11,,C. Lee misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by S. Curry,,18-11,,
4:12.0,K. Thompson misses 3-pt shot from 25 ft,,18-11,,
4:09.0,Offensive rebound by A. Iguodala,,18-11,,
4:09.0,A. Iguodala misses 2-pt shot at rim,,18-11,,
4:08.0,,,18-11,,Defensive rebound by M. Gasol
3:58.0,,,18-11,,M. Conley misses 2-pt shot from 7 ft
3:57.0,Defensive rebound by A. Bogut,,18-11,,
3:56.0,Turnover by A. Bogut (bad pass; steal by C. Lee),,18-11,,
3:49.0,,,18-11,,M. Conley misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by A. Bogut,,18-11,,
3:42.0,S. Curry misses 3-pt shot from 26 ft,,18-11,,
3:41.0,,,18-11,,Defensive rebound by Team
3:41.0,,,18-11,,J. Green enters the game for C. Lee
3:30.0,,,18-11,,J. Green misses 2-pt shot from 15 ft
3:28.0,Defensive rebound by D. Green,,18-11,,
3:11.0,Turnover by A. Iguodala (lost ball; steal by M. Conley),,18-11,,
3:10.0,Personal foul by D. Green (drawn by M. Conley),,18-11,,
