time,Atlanta,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Lopez (J. Teague gains possession),,,,Jump ball: A. Horford vs. R. Lopez (J. Teague gains possession)
11:46.0,P. Millsap misses 2-pt shot from 9 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by C. Anthony
11:30.0,,,0-0,,K. Porzingis misses 2-pt shot from 4 ft (block by A. Horford)
11:28.0,Defensive rebound by P. Millsap,,0-0,,
11:23.0,K. Bazemore makes 2-pt shot from 2 ft (assist by J. Teague),2,2-0,,
11:04.0,,,2-2,2,R. Lopez makes 2-pt shot from 4 ft
10:51.0,Turnover by P. Millsap (lost ball; steal by J. Calderon),,2-2,,
10:47.0,,,2-2,,Shooting foul by K. Bazemore (drawn by J. Calderon)
10:47.0,,,2-3,1,J. Calderon makes free throw 1 of 2
10:47.0,,,2-4,1,J. Calderon makes free throw 2 of 2
10:34.0,J. Teague misses 2-pt shot from 18 ft,,2-4,,
10:32.0,,,2-4,,Defensive rebound by R. Lopez
10:17.0,,,2-4,,Shooting foul by P. Millsap (drawn by R. Lopez)
10:17.0,,,2-5,1,R. Lopez makes free throw 1 of 2
10:17.0,,,2-6,1,R. Lopez makes free throw 2 of 2
10:05.0,K. Korver makes 3-pt shot from 25 ft (assist by P. Millsap),3,5-6,,
9:42.0,,,5-6,,C. Anthony misses 2-pt shot from 15 ft
9:40.0,Defensive rebound by A. Horford,,5-6,,
9:30.0,P. Millsap misses 2-pt shot from 5 ft,,5-6,,
9:28.0,,,5-6,,Defensive rebound by C. Anthony
9:17.0,,,5-6,,C. Anthony misses 2-pt shot from 12 ft
9:15.0,Defensive rebound by K. Korver,,5-6,,
9:08.0,K. Korver misses 3-pt shot from 25 ft,,5-6,,
9:06.0,,,5-6,,Defensive rebound by K. Porzingis
8:53.0,,,5-6,,Turnover by K. Porzingis (lost ball; steal by K. Korver)
8:48.0,Turnover by K. Korver (bad pass),,5-6,,
8:31.0,,,5-6,,K. Porzingis misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by K. Korver,,5-6,,
8:15.0,A. Horford makes 2-pt shot from 2 ft (assist by K. Bazemore),2,7-6,,
8:03.0,,,7-9,3,S. Vujacic makes 3-pt shot from 23 ft (assist by C. Anthony)
7:51.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague),3,10-9,,
7:38.0,,,10-9,,J. Calderon misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by A. Horford,,10-9,,
7:30.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague),3,13-9,,
7:09.0,,,13-11,2,R. Lopez makes 2-pt shot from 2 ft
7:02.0,P. Millsap misses 2-pt shot from 3 ft,,13-11,,
7:00.0,Offensive rebound by P. Millsap,,13-11,,
6:57.0,J. Teague misses 3-pt shot from 24 ft,,13-11,,
6:55.0,,,13-11,,Defensive rebound by J. Calderon
6:47.0,,,13-13,2,R. Lopez makes 2-pt shot from 14 ft (assist by S. Vujacic)
6:47.0,Atlanta full timeout,,13-13,,
6:47.0,T. Splitter enters the game for K. Bazemore,,13-13,,
6:41.0,Shooting foul by J. Calderon (drawn by J. Teague),,13-13,,
6:41.0,J. Teague makes free throw 1 of 2,1,14-13,,
6:41.0,J. Teague makes free throw 2 of 2,1,15-13,,
6:29.0,,,15-13,,Turnover by R. Lopez (3 sec)
6:10.0,T. Splitter makes 2-pt shot at rim,2,17-13,,
6:03.0,,,17-13,,C. Anthony misses 2-pt shot from 2 ft (block by A. Horford)
6:02.0,,,17-13,,Offensive rebound by Team
5:54.0,,,17-13,,K. Porzingis misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by K. Korver,,17-13,,
5:42.0,Turnover by A. Horford (lost ball; steal by C. Anthony),,17-13,,
5:37.0,,,17-13,,S. Vujacic misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by P. Millsap,,17-13,,
5:24.0,,,17-13,,Personal foul by S. Vujacic (drawn by T. Splitter)
5:24.0,,,17-13,,K. O'Quinn enters the game for R. Lopez
5:14.0,J. Teague misses 2-pt shot from 20 ft,,17-13,,
5:12.0,,,17-13,,Defensive rebound by K. O'Quinn
5:03.0,,,17-15,2,K. Porzingis makes 2-pt shot from 2 ft (assist by S. Vujacic)
4:48.0,J. Teague misses 3-pt shot from 24 ft,,17-15,,
4:46.0,Offensive rebound by Team,,17-15,,
4:46.0,,,17-15,,L. Galloway enters the game for J. Calderon
4:40.0,K. Korver misses 3-pt shot from 24 ft (block by S. Vujacic),,17-15,,
4:38.0,,,17-15,,Defensive rebound by K. O'Quinn
4:21.0,,,17-17,2,C. Anthony makes 2-pt shot from 1 ft
4:21.0,Shooting block foul by T. Splitter (drawn by C. Anthony),,17-17,,
4:21.0,,,17-17,,D. Williams enters the game for K. Porzingis
4:21.0,J. Holiday enters the game for A. Horford,,17-17,,
4:21.0,,,17-18,1,C. Anthony makes free throw 1 of 1
4:11.0,P. Millsap makes 2-pt shot from 1 ft,2,19-18,,
3:52.0,,,19-18,,K. O'Quinn misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by P. Millsap,,19-18,,
3:38.0,K. Korver makes 2-pt shot from 14 ft (assist by T. Splitter),2,21-18,,
3:21.0,,,21-18,,C. Anthony misses 2-pt shot from 2 ft
3:18.0,,,21-18,,Offensive rebound by C. Anthony
3:14.0,,,21-18,,D. Williams misses 3-pt shot from 22 ft
3:12.0,Defensive rebound by J. Teague,,21-18,,
3:07.0,Turnover by J. Teague (bad pass; steal by L. Galloway),,21-18,,
3:00.0,,,21-18,,K. O'Quinn misses 2-pt shot from 2 ft
2:58.0,,,21-18,,Offensive rebound by K. O'Quinn
2:44.0,,,21-18,,K. O'Quinn misses 2-pt shot from 2 ft
2:42.0,,,21-18,,Offensive rebound by K. O'Quinn
2:40.0,,,21-18,,Turnover by K. O'Quinn (lost ball; steal by P. Millsap)
2:30.0,J. Holiday makes 2-pt shot at rim (assist by P. Millsap),2,23-18,,
2:30.0,,,23-18,,New York full timeout
2:30.0,D. Schroder enters the game for K. Korver,,23-18,,
2:30.0,L. Patterson enters the game for J. Teague,,23-18,,
2:30.0,,,23-18,,J. Grant enters the game for S. Vujacic
2:09.0,,,23-18,,D. Williams misses 2-pt shot from 17 ft
2:07.0,Defensive rebound by P. Millsap,,23-18,,
2:04.0,,,23-18,,Personal foul by L. Galloway (drawn by J. Holiday)
1:56.0,T. Splitter misses 2-pt shot from 4 ft,,23-18,,
1:54.0,,,23-18,,Defensive rebound by J. Grant
1:49.0,,,23-20,2,C. Anthony makes 2-pt shot from 1 ft (assist by J. Grant)
1:45.0,,,23-20,,L. Thomas enters the game for C. Anthony
1:45.0,M. Scott enters the game for P. Millsap,,23-20,,
1:40.0,D. Schroder makes 2-pt shot from 14 ft,2,25-20,,
1:24.0,,,25-20,,Turnover by L. Thomas (traveling)
1:04.0,L. Patterson makes 3-pt shot from 24 ft (assist by D. Schroder),3,28-20,,
0:45.0,,,28-20,,Turnover by J. Grant (step out of bounds)
