time,Orlando,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: D. Dedmon vs. A. Drummond (R. Jackson gains possession)
11:41.0,,,0-0,,A. Drummond misses 2-pt shot from 5 ft (block by D. Dedmon)
11:41.0,,,0-0,,Offensive rebound by Team
11:37.0,,,0-0,,R. Jackson misses 2-pt shot from 20 ft
11:37.0,Defensive rebound by D. Dedmon,,0-0,,
11:17.0,E. Fournier misses 2-pt shot at rim,,0-0,,
11:17.0,Offensive rebound by D. Dedmon,,0-0,,
11:14.0,D. Dedmon misses 2-pt shot at rim,,0-0,,
11:13.0,,,0-0,,Defensive rebound by A. Drummond
11:13.0,,,0-2,2,R. Jackson makes 2-pt shot from 7 ft
11:13.0,,,0-2,,Shooting foul by B. Jennings (drawn by R. Jackson)
11:13.0,,,0-3,1,R. Jackson makes free throw 1 of 1
10:59.0,A. Gordon misses 2-pt shot from 17 ft,,0-3,,
10:59.0,,,0-3,,Defensive rebound by Team
10:44.0,,,0-3,,A. Drummond misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by A. Gordon,,0-3,,
10:42.0,Shooting foul by M. Morris (drawn by D. Dedmon),,0-3,,
10:42.0,D. Dedmon makes free throw 1 of 2,1,1-3,,
10:42.0,D. Dedmon makes free throw 2 of 2,1,2-3,,
10:24.0,,,2-5,2,T. Harris makes 2-pt shot from 15 ft
10:11.0,V. Oladipo misses 3-pt shot from 25 ft,,2-5,,
10:11.0,,,2-5,,Defensive rebound by Team
10:11.0,Loose ball foul by D. Dedmon,,2-5,,
9:54.0,,,2-7,2,T. Harris makes 2-pt shot from 7 ft (assist by D. Hilliard)
9:54.0,,,2-7,,Shooting foul by D. Dedmon (drawn by T. Harris)
9:54.0,,,2-8,1,T. Harris makes free throw 1 of 1
9:41.0,B. Jennings misses 2-pt shot from 18 ft,,2-8,,
9:41.0,,,2-8,,Defensive rebound by M. Morris
9:26.0,,,2-10,2,M. Morris makes 2-pt shot from 5 ft (assist by R. Jackson)
9:16.0,Turnover by V. Oladipo (lost ball; steal by D. Hilliard),,2-10,,
9:03.0,,,2-10,,Turnover by R. Jackson (lost ball; steal by V. Oladipo)
8:51.0,E. Fournier makes 2-pt shot at rim,2,4-10,,
8:37.0,,,4-12,2,R. Jackson makes 2-pt shot at rim
8:13.0,Turnover by D. Dedmon (lost ball; steal by M. Morris),,4-12,,
8:06.0,,,4-12,,Turnover by M. Morris (lost ball; steal by D. Dedmon)
7:57.0,V. Oladipo misses 2-pt shot at rim,,4-12,,
7:57.0,Offensive rebound by A. Gordon,,4-12,,
7:54.0,A. Gordon makes 2-pt shot at rim,2,6-12,,
7:31.0,,,6-12,,Shooting foul by V. Oladipo (drawn by D. Hilliard)
7:31.0,,,6-13,1,D. Hilliard makes free throw 1 of 2
7:31.0,,,6-13,,D. Hilliard misses free throw 2 of 2
7:31.0,Defensive rebound by V. Oladipo,,6-13,,
7:11.0,E. Fournier misses 3-pt shot from 26 ft,,6-13,,
7:11.0,,,6-13,,Defensive rebound by A. Drummond
7:00.0,,,6-13,,M. Morris misses 2-pt shot from 13 ft
7:00.0,Defensive rebound by B. Jennings,,6-13,,
6:57.0,Turnover by B. Jennings (lost ball; steal by M. Morris),,6-13,,
6:48.0,,,6-16,3,D. Hilliard makes 3-pt shot from 26 ft (assist by R. Jackson)
6:39.0,Orlando full timeout,,6-16,,
6:39.0,E. Payton enters the game for D. Dedmon,,6-16,,
6:39.0,J. Smith enters the game for B. Jennings,,6-16,,
6:28.0,J. Smith misses 2-pt shot from 18 ft,,6-16,,
6:27.0,,,6-16,,Defensive rebound by D. Hilliard
6:16.0,,,6-16,,A. Drummond misses 2-pt shot from 8 ft
6:15.0,Defensive rebound by A. Gordon,,6-16,,
6:07.0,V. Oladipo misses 3-pt shot from 25 ft,,6-16,,
6:06.0,,,6-16,,Defensive rebound by A. Drummond
5:56.0,,,6-19,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
5:42.0,J. Smith makes 2-pt shot from 18 ft (assist by E. Payton),2,8-19,,
5:19.0,,,8-22,3,M. Morris makes 3-pt shot from 23 ft (assist by T. Harris)
5:01.0,E. Fournier makes 2-pt shot at rim,2,10-22,,
4:45.0,,,10-22,,A. Drummond misses 2-pt shot from 5 ft
4:43.0,Defensive rebound by V. Oladipo,,10-22,,
4:37.0,V. Oladipo misses 2-pt shot from 4 ft,,10-22,,
4:36.0,,,10-22,,Defensive rebound by A. Drummond
4:26.0,,,10-25,3,T. Harris makes 3-pt shot from 25 ft (assist by A. Drummond)
4:02.0,E. Payton misses 2-pt shot from 15 ft,,10-25,,
4:02.0,Offensive rebound by J. Smith,,10-25,,
3:56.0,J. Smith makes 2-pt shot from 16 ft (assist by A. Gordon),2,12-25,,
3:47.0,Personal foul by E. Payton,,12-25,,
3:47.0,,,12-26,1,R. Jackson makes free throw 1 of 2
3:47.0,,,12-26,,S. Johnson enters the game for M. Morris
3:47.0,,,12-27,1,R. Jackson makes free throw 2 of 2
3:36.0,J. Smith misses 2-pt shot from 17 ft,,12-27,,
3:36.0,,,12-27,,Defensive rebound by S. Johnson
3:19.0,,,12-27,,Shooting foul by J. Smith (drawn by A. Drummond)
3:19.0,,,12-28,1,A. Drummond makes free throw 1 of 2
3:19.0,M. Hezonja enters the game for A. Gordon,,12-28,,
3:19.0,E. Ilyasova enters the game for V. Oladipo,,12-28,,
3:19.0,,,12-29,1,A. Drummond makes free throw 2 of 2
3:03.0,J. Smith misses 2-pt shot from 18 ft,,12-29,,
3:03.0,,,12-29,,Defensive rebound by D. Hilliard
3:02.0,Personal foul by E. Fournier,,12-29,,
3:02.0,,,12-30,1,D. Hilliard makes free throw 1 of 2
3:02.0,,,12-30,,D. Hilliard misses free throw 2 of 2
3:01.0,Defensive rebound by J. Smith,,12-30,,
2:48.0,M. Hezonja makes 2-pt shot from 13 ft (assist by J. Smith),2,14-30,,
2:33.0,,,14-30,,T. Harris misses 3-pt shot from 23 ft
2:33.0,Defensive rebound by E. Payton,,14-30,,
2:18.0,E. Payton makes 2-pt shot at rim (assist by J. Smith),2,16-30,,
2:00.0,,,16-30,,T. Harris misses 2-pt shot from 19 ft
2:00.0,Defensive rebound by M. Hezonja,,16-30,,
1:52.0,,,16-30,,Violation by R. Jackson (kicked ball)
1:52.0,,,16-30,,Detroit full timeout
1:52.0,,,16-30,,S. Blake enters the game for R. Jackson
1:36.0,E. Payton misses 3-pt shot from 22 ft,,16-30,,
1:36.0,,,16-30,,Defensive rebound by S. Johnson
1:26.0,,,16-30,,S. Johnson misses 2-pt shot from 9 ft
1:25.0,,,16-30,,Offensive rebound by A. Drummond
1:19.0,,,16-32,2,A. Drummond makes 2-pt shot from 4 ft
1:09.0,Turnover by M. Hezonja (lost ball; steal by S. Johnson),,16-32,,
0:56.0,,,16-32,,A. Drummond misses 2-pt shot at rim
0:56.0,Defensive rebound by M. Hezonja,,16-32,,
0:49.0,E. Fournier misses 3-pt shot from 24 ft,,16-32,,
0:49.0,Offensive rebound by E. Payton,,16-32,,
0:43.0,M. Hezonja makes 3-pt shot from 25 ft (assist by E. Fournier),3,19-32,,
0:21.0,,,19-32,,D. Hilliard misses 2-pt shot from 6 ft
0:20.0,Defensive rebound by J. Smith,,19-32,,
0:02.0,J. Smith makes 2-pt shot from 21 ft (assist by E. Payton),2,21-32,,
0:01.0,,,21-32,,D. Hilliard misses 3-pt shot from 49 ft
0:00.0,,,21-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Smith makes 2-pt shot from 19 ft (assist by E. Payton),2,23-32,,
11:30.0,,,23-32,,S. Blake misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by E. Ilyasova,,23-32,,
11:20.0,E. Payton makes 2-pt shot at rim,2,25-32,,
11:00.0,,,25-32,,Shooting foul by M. Hezonja (drawn by M. Morris)
11:00.0,,,25-34,2,M. Morris makes 2-pt shot at rim
11:00.0,,,25-35,1,M. Morris makes free throw 1 of 1
10:46.0,V. Oladipo makes 2-pt shot from 8 ft (assist by J. Smith),2,27-35,,
10:28.0,,,27-37,2,S. Johnson makes 2-pt shot from 6 ft (assist by S. Blake)
10:07.0,E. Payton makes 2-pt shot at rim,2,29-37,,
9:48.0,,,29-40,3,S. Johnson makes 3-pt shot from 23 ft (assist by M. Morris)
9:38.0,J. Smith misses 2-pt shot from 18 ft,,29-40,,
9:37.0,,,29-40,,Defensive rebound by M. Morris
9:21.0,,,29-40,,Shooting foul by E. Ilyasova (drawn by A. Baynes)
9:21.0,,,29-41,1,A. Baynes makes free throw 1 of 2
9:21.0,,,29-42,1,A. Baynes makes free throw 2 of 2
9:04.0,V. Oladipo misses 2-pt shot at rim,,29-42,,
9:01.0,,,29-42,,Defensive rebound by S. Johnson
8:47.0,,,29-42,,Shooting foul by J. Smith (drawn by A. Baynes)
8:47.0,Official timeout,,29-42,,
8:47.0,,,29-43,1,A. Baynes makes free throw 1 of 2
8:47.0,,,29-44,1,A. Baynes makes free throw 2 of 2
8:35.0,V. Oladipo misses 2-pt shot from 18 ft,,29-44,,
8:34.0,,,29-44,,Defensive rebound by A. Tolliver
8:27.0,,,29-46,2,A. Baynes makes 2-pt shot at rim (assist by S. Blake)
8:10.0,M. Hezonja misses 3-pt shot from 26 ft,,29-46,,
8:10.0,Offensive rebound by Team,,29-46,,
8:03.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,31-46,,
8:03.0,Shooting foul by S. Johnson (drawn by V. Oladipo),,31-46,,
8:03.0,D. Dedmon enters the game for J. Smith,,31-46,,
8:03.0,V. Oladipo makes free throw 1 of 1,1,32-46,,
7:48.0,,,32-48,2,M. Morris makes 2-pt shot at rim (assist by S. Blake)
7:37.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by E. Payton),3,35-48,,
7:26.0,Violation by D. Dedmon (def goaltending),,35-48,,
7:26.0,,,35-50,2,S. Blake makes 2-pt shot at rim
7:03.0,V. Oladipo makes 3-pt shot from 25 ft,3,38-50,,
6:37.0,,,38-53,3,S. Johnson makes 3-pt shot from 25 ft (assist by S. Blake)
6:20.0,V. Oladipo misses 2-pt shot from 16 ft,,38-53,,
6:20.0,,,38-53,,Defensive rebound by A. Tolliver
6:02.0,,,38-53,,Turnover by S. Johnson (lost ball; steal by M. Hezonja)
5:53.0,E. Payton makes 2-pt shot at rim (assist by V. Oladipo),2,40-53,,
5:45.0,,,40-53,,Detroit full timeout
5:45.0,,,40-53,,R. Jackson enters the game for S. Blake
5:45.0,,,40-53,,A. Drummond enters the game for A. Baynes
5:35.0,,,40-55,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:23.0,M. Hezonja misses 3-pt shot from 26 ft,,40-55,,
5:23.0,Offensive rebound by E. Ilyasova,,40-55,,
5:19.0,E. Ilyasova makes 2-pt shot at rim,2,42-55,,
5:06.0,,,42-55,,Turnover by S. Johnson (lost ball; steal by M. Hezonja)
4:55.0,E. Payton makes 2-pt shot at rim (assist by E. Ilyasova),2,44-55,,
4:38.0,,,44-55,,R. Jackson misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by D. Dedmon,,44-55,,
4:24.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by E. Payton),3,47-55,,
4:16.0,,,47-55,,Detroit full timeout
4:16.0,,,47-55,,T. Harris enters the game for S. Johnson
4:16.0,,,47-55,,D. Hilliard enters the game for A. Tolliver
4:16.0,E. Fournier enters the game for M. Hezonja,,47-55,,
4:07.0,,,47-55,,T. Harris misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by D. Dedmon,,47-55,,
3:55.0,E. Payton makes 2-pt shot from 4 ft,2,49-55,,
3:45.0,Personal foul by E. Fournier,,49-55,,
3:31.0,,,49-55,,Turnover by Team (shot clock)
3:17.0,E. Payton misses 2-pt shot from 7 ft,,49-55,,
3:17.0,,,49-55,,Defensive rebound by M. Morris
3:08.0,,,49-55,,A. Drummond misses 2-pt shot from 3 ft (block by V. Oladipo)
3:05.0,Defensive rebound by D. Dedmon,,49-55,,
3:02.0,Shooting foul by D. Hilliard (drawn by V. Oladipo),,49-55,,
3:02.0,V. Oladipo makes free throw 1 of 2,1,50-55,,
3:02.0,A. Gordon enters the game for E. Ilyasova,,50-55,,
3:02.0,J. Smith enters the game for D. Dedmon,,50-55,,
3:02.0,V. Oladipo makes free throw 2 of 2,1,51-55,,
2:43.0,,,51-57,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
2:22.0,J. Smith makes 2-pt shot from 21 ft (assist by V. Oladipo),2,53-57,,
2:03.0,,,53-60,3,R. Jackson makes 3-pt shot from 27 ft (assist by M. Morris)
1:54.0,Orlando full timeout,,53-60,,
1:45.0,J. Smith misses 2-pt shot from 15 ft,,53-60,,
1:44.0,Offensive rebound by A. Gordon,,53-60,,
1:39.0,A. Gordon makes 2-pt shot at rim,2,55-60,,
1:18.0,,,55-63,3,R. Jackson makes 3-pt shot from 24 ft (assist by D. Hilliard)
1:07.0,Shooting foul by M. Morris (drawn by E. Fournier),,55-63,,
1:07.0,E. Fournier makes free throw 1 of 2,1,56-63,,
1:07.0,,,56-63,,S. Johnson enters the game for M. Morris
1:07.0,E. Fournier makes free throw 2 of 2,1,57-63,,
0:57.0,Personal foul by V. Oladipo,,57-63,,
0:57.0,,,57-63,,D. Hilliard misses free throw 1 of 2
0:57.0,,,57-63,,Offensive rebound by Team
0:57.0,D. Dedmon enters the game for J. Smith,,57-63,,
0:57.0,,,57-64,1,D. Hilliard makes free throw 2 of 2
0:50.0,V. Oladipo misses 2-pt shot at rim,,57-64,,
0:49.0,,,57-64,,Defensive rebound by D. Hilliard
0:42.0,,,57-64,,R. Jackson misses 2-pt shot from 5 ft
0:40.0,Defensive rebound by E. Fournier,,57-64,,
0:35.0,E. Fournier misses 2-pt shot at rim,,57-64,,
0:35.0,,,57-64,,Defensive rebound by Team
0:28.0,,,57-66,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
0:04.0,E. Payton misses 3-pt shot from 23 ft,,57-66,,
0:03.0,,,57-66,,Defensive rebound by D. Hilliard
0:01.0,,,57-66,,R. Jackson misses 3-pt shot from 60 ft
0:00.0,,,57-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,A. Gordon misses 3-pt shot from 26 ft,,57-66,,
11:49.0,Offensive rebound by D. Dedmon,,57-66,,
11:42.0,B. Jennings misses 3-pt shot from 25 ft,,57-66,,
11:41.0,,,57-66,,Defensive rebound by R. Jackson
11:36.0,,,57-66,,Turnover by R. Jackson (lost ball; steal by E. Fournier)
11:32.0,Shooting foul by R. Jackson (drawn by E. Fournier),,57-66,,
11:32.0,E. Fournier misses free throw 1 of 2,,57-66,,
11:32.0,Offensive rebound by Team,,57-66,,
11:32.0,E. Fournier makes free throw 2 of 2,1,58-66,,
11:20.0,,,58-66,,Offensive charge foul by A. Drummond
11:20.0,,,58-66,,Turnover by A. Drummond (offensive foul)
11:09.0,B. Jennings makes 2-pt shot from 8 ft (assist by V. Oladipo),2,60-66,,
10:54.0,,,60-68,2,T. Harris makes 2-pt shot at rim (assist by M. Morris)
10:36.0,V. Oladipo misses 2-pt shot at rim,,60-68,,
10:35.0,Offensive rebound by A. Gordon,,60-68,,
10:32.0,A. Gordon misses 2-pt shot from 1 ft,,60-68,,
10:31.0,,,60-68,,Defensive rebound by A. Drummond
10:24.0,,,60-70,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
10:14.0,Shooting foul by A. Drummond (drawn by B. Jennings),,60-70,,
10:14.0,B. Jennings makes free throw 1 of 2,1,61-70,,
10:14.0,B. Jennings makes free throw 2 of 2,1,62-70,,
10:03.0,,,62-70,,Shooting foul by D. Dedmon (drawn by T. Harris)
10:03.0,,,62-71,1,T. Harris makes free throw 1 of 2
10:03.0,E. Ilyasova enters the game for D. Dedmon,,62-71,,
