time,Minnesota,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,A. Bogut misses 2-pt shot from 6 ft
12:00.0,Jump ball: A. Bogut vs. K. Towns (D. Green gains possession),,,,Jump ball: A. Bogut vs. K. Towns (D. Green gains possession)
11:43.0,Defensive rebound by Z. LaVine,,0-0,,
11:30.0,A. Wiggins misses 2-pt shot from 1 ft (block by A. Bogut),,0-0,,
11:29.0,,,0-0,,Defensive rebound by H. Barnes
11:17.0,,,0-3,3,H. Barnes makes 3-pt shot from 25 ft (assist by K. Thompson)
10:59.0,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio),2,2-3,,
10:54.0,Personal foul by R. Rubio,,2-3,,
10:47.0,,,2-5,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
10:29.0,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine),2,4-5,,
10:10.0,,,4-5,,S. Curry misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by Z. LaVine,,4-5,,
9:56.0,Z. LaVine misses 3-pt shot from 25 ft,,4-5,,
9:55.0,,,4-5,,Defensive rebound by A. Bogut
9:45.0,,,4-5,,Turnover by D. Green (bad pass)
9:28.0,G. Dieng makes 2-pt shot from 14 ft (assist by R. Rubio),2,6-5,,
9:14.0,,,6-7,2,H. Barnes makes 2-pt shot at rim (assist by A. Bogut)
8:58.0,K. Towns misses 2-pt shot from 20 ft,,6-7,,
8:57.0,,,6-7,,Defensive rebound by A. Bogut
8:47.0,,,6-7,,K. Thompson misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by K. Towns,,6-7,,
8:36.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,8-7,,
8:26.0,,,8-7,,K. Thompson misses 2-pt shot from 1 ft
8:24.0,Defensive rebound by G. Dieng,,8-7,,
8:09.0,K. Towns misses 2-pt shot from 13 ft,,8-7,,
8:09.0,,,8-7,,Defensive rebound by A. Bogut
8:02.0,,,8-7,,Shooting foul by G. Dieng (drawn by D. Green)
8:02.0,,,8-9,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
8:02.0,,,8-10,1,D. Green makes free throw 1 of 1
7:47.0,G. Dieng misses 2-pt shot from 17 ft,,8-10,,
7:47.0,,,8-10,,Defensive rebound by D. Green
7:41.0,,,8-13,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green)
7:24.0,Turnover by G. Dieng (lost ball; steal by D. Green),,8-13,,
7:12.0,,,8-16,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Green)
7:03.0,Minnesota full timeout,,8-16,,
6:56.0,A. Wiggins misses 2-pt shot from 17 ft,,8-16,,
6:56.0,,,8-16,,Defensive rebound by K. Thompson
6:44.0,,,8-18,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
6:13.0,G. Dieng makes 2-pt shot from 13 ft,2,10-18,,
5:58.0,,,10-20,2,A. Bogut makes 2-pt shot from 2 ft (assist by D. Green)
5:44.0,Z. LaVine misses 2-pt shot from 18 ft,,10-20,,
5:44.0,,,10-20,,Defensive rebound by Team
5:44.0,Loose ball foul by K. Towns,,10-20,,
5:36.0,,,10-23,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
5:18.0,,,10-23,,Personal foul by A. Bogut
5:18.0,,,10-23,,A. Iguodala enters the game for H. Barnes
5:18.0,N. Bjelica enters the game for K. Towns,,10-23,,
5:18.0,,,10-23,,L. Barbosa enters the game for K. Thompson
5:12.0,Turnover by R. Rubio (lost ball; steal by S. Curry),,10-23,,
5:08.0,,,10-25,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
4:44.0,A. Wiggins misses 3-pt shot from 27 ft,,10-25,,
4:43.0,,,10-25,,Defensive rebound by S. Curry
4:34.0,,,10-25,,Offensive foul by A. Bogut
4:34.0,,,10-25,,Turnover by A. Bogut (offensive foul)
4:34.0,,,10-25,,F. Ezeli enters the game for A. Bogut
4:22.0,,,10-25,,Personal foul by S. Curry
4:17.0,Turnover by R. Rubio (lost ball; steal by L. Barbosa),,10-25,,
4:14.0,Personal foul by R. Rubio,,10-25,,
4:14.0,T. Jones enters the game for R. Rubio,,10-25,,
4:09.0,,,10-25,,S. Curry misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by Team,,10-25,,
3:49.0,A. Wiggins misses 2-pt shot from 1 ft,,10-25,,
3:47.0,,,10-25,,Defensive rebound by S. Curry
3:38.0,,,10-25,,A. Iguodala misses 2-pt shot from 5 ft
3:37.0,Defensive rebound by G. Dieng,,10-25,,
3:35.0,,,10-25,,Personal foul by A. Iguodala
3:29.0,Z. LaVine misses 2-pt shot from 18 ft,,10-25,,
3:28.0,,,10-25,,Defensive rebound by F. Ezeli
3:22.0,,,10-25,,Turnover by D. Green (lost ball; steal by A. Wiggins)
3:15.0,Z. LaVine makes 2-pt shot from 2 ft (assist by A. Wiggins),2,12-25,,
3:01.0,,,12-25,,S. Curry misses 2-pt shot from 19 ft
3:01.0,Defensive rebound by Team,,12-25,,
3:01.0,K. Towns enters the game for G. Dieng,,12-25,,
2:43.0,K. Towns misses 2-pt shot from 21 ft,,12-25,,
2:43.0,,,12-25,,Defensive rebound by D. Green
2:37.0,,,12-25,,Turnover by D. Green (lost ball; steal by A. Wiggins)
2:33.0,Turnover by A. Wiggins (lost ball; steal by D. Green),,12-25,,
2:26.0,,,12-27,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Curry)
2:16.0,,,12-27,,Personal foul by F. Ezeli
2:16.0,,,12-27,,Golden State full timeout
2:16.0,S. Muhammad enters the game for Z. LaVine,,12-27,,
2:00.0,N. Bjelica makes 2-pt shot from 12 ft,2,14-27,,
1:44.0,,,14-27,,Turnover by L. Barbosa (lost ball; steal by T. Jones)
1:40.0,T. Jones makes 2-pt shot at rim,2,16-27,,
1:22.0,,,16-27,,Turnover by S. Curry (lost ball; steal by A. Wiggins)
1:08.0,Shooting foul by L. Barbosa (drawn by S. Muhammad),,16-27,,
1:08.0,S. Muhammad misses free throw 1 of 2,,16-27,,
1:08.0,Offensive rebound by Team,,16-27,,
1:08.0,S. Muhammad makes free throw 2 of 2,1,17-27,,
0:48.0,,,17-27,,F. Ezeli misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by K. Towns,,17-27,,
0:45.0,Shooting foul by D. Green (drawn by S. Muhammad),,17-27,,
0:45.0,S. Muhammad makes free throw 1 of 2,1,18-27,,
0:45.0,,,18-27,,S. Livingston enters the game for S. Curry
0:45.0,T. Prince enters the game for A. Wiggins,,18-27,,
0:45.0,S. Muhammad makes free throw 2 of 2,1,19-27,,
0:28.0,,,19-27,,Shooting foul by T. Prince (drawn by D. Green)
0:28.0,,,19-27,,D. Green misses free throw 1 of 2
0:28.0,,,19-27,,Offensive rebound by Team
0:28.0,,,19-28,1,D. Green makes free throw 2 of 2
0:09.0,Turnover by N. Bjelica (traveling),,19-28,,
0:04.0,,,19-28,,D. Green misses 2-pt shot from 14 ft
0:03.0,Defensive rebound by K. Towns,,19-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,K. Towns misses 2-pt shot from 16 ft,,19-28,,
11:47.0,,,19-28,,Defensive rebound by S. Livingston
11:25.0,,,19-30,2,H. Barnes makes 2-pt shot from 20 ft
11:07.0,K. Towns makes 2-pt shot from 19 ft (assist by N. Bjelica),2,21-30,,
10:44.0,,,21-30,,H. Barnes misses 2-pt shot from 15 ft
10:42.0,,,21-30,,Offensive rebound by M. Speights
10:41.0,,,21-30,,M. Speights misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by K. Towns,,21-30,,
10:32.0,K. Towns misses 2-pt shot from 16 ft,,21-30,,
10:32.0,,,21-30,,Defensive rebound by B. Rush
10:20.0,,,21-30,,L. Barbosa misses 2-pt shot from 1 ft
10:18.0,Defensive rebound by K. Towns,,21-30,,
10:02.0,K. Towns misses 2-pt shot from 19 ft,,21-30,,
10:01.0,,,21-30,,Defensive rebound by B. Rush
9:52.0,,,21-32,2,S. Livingston makes 2-pt shot from 11 ft
9:52.0,,,21-32,,Shooting foul by T. Jones (drawn by S. Livingston)
9:52.0,,,21-32,,K. Thompson enters the game for L. Barbosa
9:52.0,,,21-33,1,S. Livingston makes free throw 1 of 1
9:40.0,N. Bjelica misses 2-pt shot from 8 ft,,21-33,,
9:40.0,,,21-33,,Defensive rebound by S. Livingston
9:33.0,,,21-33,,K. Thompson misses 2-pt shot from 16 ft
9:32.0,Defensive rebound by S. Muhammad,,21-33,,
9:28.0,S. Muhammad makes 2-pt shot at rim,2,23-33,,
9:13.0,,,23-33,,Turnover by M. Speights (traveling)
8:53.0,N. Bjelica misses 2-pt shot from 4 ft,,23-33,,
8:51.0,Offensive rebound by K. Towns,,23-33,,
