time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Marjanovic (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. B. Marjanovic (S. Ibaka gains possession)
11:39.0,,,0-0,,Turnover by R. Westbrook (lost ball; steal by B. Marjanovic)
11:27.0,B. Marjanovic makes 2-pt shot from 5 ft (assist by B. Diaw),2,2-0,,
11:13.0,,,2-3,3,K. Durant makes 3-pt shot from 24 ft (assist by A. Roberson)
10:52.0,K. Anderson misses 2-pt shot from 4 ft,,2-3,,
10:51.0,,,2-3,,Defensive rebound by K. Durant
10:39.0,,,2-3,,Turnover by S. Adams (3 sec)
10:22.0,D. Green misses 3-pt shot from 24 ft,,2-3,,
10:22.0,,,2-3,,Defensive rebound by K. Durant
10:04.0,,,2-5,2,S. Ibaka makes 2-pt shot from 5 ft
9:49.0,K. Anderson makes 3-pt shot from 22 ft (assist by D. Green),3,5-5,,
9:34.0,,,5-5,,Turnover by S. Adams (traveling)
9:10.0,Turnover by Team (shot clock),,5-5,,
8:53.0,,,5-5,,R. Westbrook misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by K. Anderson,,5-5,,
8:39.0,B. Marjanovic misses 2-pt shot from 10 ft,,5-5,,
8:38.0,,,5-5,,Defensive rebound by K. Durant
8:24.0,,,5-7,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant)
8:06.0,B. Diaw makes 2-pt shot from 17 ft (assist by B. Marjanovic),2,7-7,,
7:53.0,,,7-7,,K. Durant misses 2-pt shot at rim
7:53.0,Defensive rebound by B. Diaw,,7-7,,
7:46.0,P. Mills misses 3-pt shot from 23 ft,,7-7,,
7:45.0,,,7-7,,Defensive rebound by A. Roberson
7:40.0,,,7-7,,Turnover by K. Durant (lost ball; steal by D. Green)
7:31.0,B. Marjanovic misses 2-pt shot from 1 ft (block by S. Ibaka),,7-7,,
7:30.0,,,7-7,,Defensive rebound by R. Westbrook
7:25.0,,,7-7,,Shooting foul by K. Anderson (drawn by R. Westbrook)
7:25.0,,,7-8,1,R. Westbrook makes free throw 1 of 2
7:25.0,,,7-9,1,R. Westbrook makes free throw 2 of 2
7:06.0,D. Green misses 2-pt shot from 1 ft,,7-9,,
7:06.0,Offensive rebound by B. Marjanovic,,7-9,,
7:04.0,B. Marjanovic makes 2-pt shot at rim,2,9-9,,
6:56.0,,,9-12,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:41.0,Shooting foul by K. Durant (drawn by B. Marjanovic),,9-12,,
6:41.0,B. Marjanovic makes free throw 1 of 2,1,10-12,,
6:41.0,B. Marjanovic makes free throw 2 of 2,1,11-12,,
6:22.0,,,11-14,2,S. Adams makes 2-pt shot at rim
6:22.0,San Antonio full timeout,,11-14,,
6:07.0,B. Marjanovic misses 2-pt shot from 3 ft,,11-14,,
6:07.0,,,11-14,,Defensive rebound by K. Durant
5:50.0,,,11-16,2,R. Westbrook makes 2-pt shot from 12 ft
5:38.0,P. Mills misses 3-pt shot from 24 ft,,11-16,,
5:37.0,,,11-16,,Defensive rebound by S. Ibaka
5:23.0,,,11-16,,K. Durant misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by B. Marjanovic,,11-16,,
