time,Brooklyn,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Gibson vs. B. Lopez (N. Mirotic gains possession),,,,Jump ball: T. Gibson vs. B. Lopez (N. Mirotic gains possession)
11:35.0,,,0-0,,D. Rose misses 2-pt shot from 1 ft
11:34.0,Defensive rebound by T. Young,,0-0,,
11:17.0,B. Lopez makes 2-pt shot from 5 ft (assist by T. Young),2,2-0,,
10:57.0,,,2-0,,M. Dunleavy misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by B. Lopez,,2-0,,
10:35.0,B. Bogdanovic misses 3-pt shot from 25 ft,,2-0,,
10:33.0,,,2-0,,Defensive rebound by M. Dunleavy
10:13.0,,,2-2,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
9:57.0,B. Lopez misses 2-pt shot from 6 ft,,2-2,,
9:56.0,,,2-2,,Defensive rebound by T. Gibson
9:50.0,,,2-5,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Rose)
9:31.0,S. Karasev misses 3-pt shot from 23 ft,,2-5,,
9:30.0,,,2-5,,Defensive rebound by M. Dunleavy
9:22.0,,,2-5,,D. Rose misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by S. Karasev,,2-5,,
9:01.0,T. Young makes 2-pt shot from 1 ft (assist by S. Karasev),2,4-5,,
8:38.0,,,4-5,,J. Butler misses 2-pt shot from 5 ft
8:37.0,Defensive rebound by T. Young,,4-5,,
8:25.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,6-5,,
8:05.0,Violation by B. Bogdanovic (kicked ball),,6-5,,
7:52.0,,,6-7,2,J. Butler makes 2-pt shot from 18 ft
7:39.0,D. Sloan misses 2-pt shot from 20 ft,,6-7,,
7:38.0,,,6-7,,Defensive rebound by J. Butler
7:29.0,,,6-7,,Turnover by T. Gibson (lost ball)
7:12.0,T. Young misses 2-pt shot from 20 ft,,6-7,,
7:11.0,,,6-7,,Defensive rebound by N. Mirotic
6:54.0,,,6-7,,D. Rose misses 2-pt shot from 18 ft
6:53.0,Defensive rebound by T. Young,,6-7,,
6:43.0,B. Bogdanovic misses 3-pt shot from 23 ft,,6-7,,
6:42.0,,,6-7,,Defensive rebound by D. Rose
6:34.0,Personal foul by S. Karasev,,6-7,,
6:26.0,,,6-9,2,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose)
6:03.0,Turnover by B. Bogdanovic (lost ball; steal by M. Dunleavy),,6-9,,
5:59.0,Personal foul by T. Young,,6-9,,
5:59.0,,,6-9,,Chicago full timeout
