time,LA Clippers,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession),,,,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession)
11:44.0,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul),2,2-0,,
11:31.0,,,2-2,2,R. Covington makes 2-pt shot from 1 ft (assist by N. Noel)
11:21.0,Turnover by J. Redick (lost ball; steal by I. Smith),,2-2,,
11:15.0,,,2-4,2,N. Stauskas makes 2-pt shot from 2 ft (assist by I. Smith)
11:06.0,Turnover by D. Jordan (bad pass; steal by I. Smith),,2-4,,
11:00.0,,,2-6,2,J. Okafor makes 2-pt shot at rim (assist by I. Smith)
11:00.0,LA Clippers full timeout,,2-6,,
10:49.0,,,2-6,,Personal foul by I. Smith (drawn by C. Paul)
10:33.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul),2,4-6,,
10:23.0,,,4-6,,Turnover by N. Noel (lost ball; steal by L. Mbah a Moute)
10:18.0,Turnover by C. Paul (lost ball; steal by N. Noel),,4-6,,
10:12.0,,,4-8,2,R. Covington makes 2-pt shot at rim (assist by N. Noel)
9:56.0,J. Redick misses 2-pt shot from 16 ft,,4-8,,
9:55.0,,,4-8,,Defensive rebound by J. Okafor
9:35.0,,,4-10,2,I. Smith makes 2-pt shot from 17 ft
9:27.0,C. Paul misses 3-pt shot from 25 ft,,4-10,,
9:25.0,Offensive rebound by D. Jordan,,4-10,,
9:18.0,C. Paul makes 2-pt shot from 17 ft,2,6-10,,
9:04.0,,,6-12,2,N. Noel makes 2-pt shot at rim
8:51.0,J. Redick makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,9-12,,
8:30.0,,,9-14,2,J. Okafor makes 2-pt shot from 14 ft (assist by I. Smith)
8:14.0,Turnover by C. Paul (traveling),,9-14,,
8:00.0,,,9-14,,R. Covington misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by Team,,9-14,,
7:39.0,L. Mbah a Moute misses 2-pt shot at rim (block by J. Okafor),,9-14,,
7:37.0,,,9-14,,Defensive rebound by N. Noel
7:36.0,,,9-14,,Turnover by N. Noel (bad pass)
7:28.0,W. Johnson misses 3-pt shot from 23 ft,,9-14,,
7:27.0,,,9-14,,Defensive rebound by J. Okafor
7:17.0,,,9-14,,I. Smith misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by Team,,9-14,,
7:05.0,,,9-14,,Personal foul by R. Covington (drawn by J. Redick)
7:05.0,,,9-14,,I. Canaan enters the game for N. Noel
7:00.0,J. Redick misses 3-pt shot from 24 ft,,9-14,,
6:58.0,,,9-14,,Defensive rebound by R. Covington
6:43.0,,,9-14,,R. Covington misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by D. Jordan,,9-14,,
6:32.0,C. Paul misses 2-pt shot from 17 ft,,9-14,,
6:32.0,Offensive rebound by Team,,9-14,,
6:32.0,,,9-14,,Loose ball foul by J. Okafor (drawn by D. Jordan)
6:25.0,C. Paul misses 2-pt shot from 12 ft,,9-14,,
6:23.0,,,9-14,,Defensive rebound by R. Covington
6:04.0,,,9-14,,J. Okafor misses 2-pt shot from 17 ft
6:03.0,,,9-14,,Offensive rebound by R. Covington
6:03.0,,,9-14,,Shooting foul by C. Paul (drawn by R. Covington)
6:03.0,,,9-15,1,R. Covington makes free throw 1 of 2
6:03.0,J. Crawford enters the game for L. Mbah a Moute,,9-15,,
6:03.0,,,9-15,,T. McConnell enters the game for I. Smith
6:03.0,,,9-16,1,R. Covington makes free throw 2 of 2
5:49.0,J. Redick misses 2-pt shot from 17 ft,,9-16,,
5:48.0,Offensive rebound by D. Jordan,,9-16,,
5:45.0,J. Redick misses 3-pt shot from 24 ft,,9-16,,
5:43.0,,,9-16,,Defensive rebound by I. Canaan
5:39.0,,,9-18,2,J. Okafor makes 2-pt shot at rim (assist by I. Canaan)
5:29.0,D. Jordan misses 2-pt shot from 1 ft,,9-18,,
5:28.0,,,9-18,,Defensive rebound by I. Canaan
5:24.0,,,9-21,3,N. Stauskas makes 3-pt shot from 23 ft (assist by I. Canaan)
5:00.0,W. Johnson makes 2-pt shot from 17 ft (assist by J. Crawford),2,11-21,,
4:53.0,,,11-21,,Philadelphia full timeout
4:53.0,,,11-21,,J. Grant enters the game for R. Covington
4:41.0,,,11-21,,T. McConnell misses 2-pt shot from 18 ft
4:40.0,,,11-21,,Offensive rebound by Team
4:29.0,,,11-21,,N. Stauskas misses 3-pt shot from 23 ft
4:28.0,Defensive rebound by D. Jordan,,11-21,,
4:17.0,J. Crawford makes 2-pt shot from 9 ft (assist by W. Johnson),2,13-21,,
4:17.0,Shooting foul by N. Stauskas (drawn by J. Crawford),,13-21,,
4:17.0,,,13-21,,H. Thompson enters the game for N. Stauskas
4:17.0,L. Stephenson enters the game for J. Redick,,13-21,,
4:17.0,J. Crawford makes free throw 1 of 1,1,14-21,,
4:02.0,Personal foul by W. Johnson (drawn by J. Okafor),,14-21,,
3:55.0,,,14-21,,H. Thompson misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by W. Johnson,,14-21,,
3:44.0,J. Crawford misses 2-pt shot from 1 ft,,14-21,,
3:42.0,,,14-21,,Defensive rebound by Team
3:27.0,,,14-21,,J. Okafor misses 2-pt shot at rim
3:26.0,Defensive rebound by L. Stephenson,,14-21,,
3:21.0,L. Stephenson misses 2-pt shot from 14 ft,,14-21,,
3:19.0,,,14-21,,Defensive rebound by J. Okafor
3:05.0,,,14-21,,J. Okafor misses 2-pt shot from 11 ft
3:02.0,Defensive rebound by W. Johnson,,14-21,,
2:55.0,C. Paul misses 2-pt shot from 7 ft,,14-21,,
2:52.0,,,14-21,,Defensive rebound by J. Grant
2:41.0,,,14-21,,I. Canaan misses 3-pt shot from 26 ft
2:40.0,Defensive rebound by W. Johnson,,14-21,,
2:33.0,J. Crawford makes 2-pt shot from 18 ft,2,16-21,,
2:14.0,,,16-21,,T. McConnell misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by D. Jordan,,16-21,,
2:05.0,J. Crawford misses 2-pt shot from 10 ft,,16-21,,
2:03.0,,,16-21,,Defensive rebound by I. Canaan
1:56.0,,,16-21,,Turnover by T. McConnell (bad pass; steal by C. Paul)
1:52.0,Shooting foul by I. Canaan (drawn by J. Crawford),,16-21,,
1:52.0,J. Crawford makes free throw 1 of 2,1,17-21,,
1:52.0,P. Prigioni enters the game for C. Paul,,17-21,,
1:52.0,,,17-21,,N. Noel enters the game for J. Okafor
1:52.0,J. Crawford makes free throw 2 of 2,1,18-21,,
1:34.0,,,18-23,2,J. Grant makes 2-pt shot at rim (assist by T. McConnell)
1:18.0,J. Crawford misses 2-pt shot from 14 ft,,18-23,,
1:17.0,,,18-23,,Defensive rebound by T. McConnell
1:02.0,,,18-23,,I. Canaan misses 2-pt shot from 2 ft (block by D. Jordan)
1:00.0,Defensive rebound by D. Jordan,,18-23,,
0:52.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Stephenson),2,20-23,,
0:52.0,Shooting foul by J. Grant (drawn by D. Jordan),,20-23,,
0:52.0,D. Jordan misses free throw 1 of 1,,20-23,,
0:51.0,,,20-23,,Defensive rebound by N. Noel
0:40.0,,,20-23,,Turnover by H. Thompson (bad pass; steal by J. Crawford)
0:31.0,L. Stephenson misses 2-pt shot from 4 ft (block by N. Noel),,20-23,,
0:30.0,Offensive rebound by Team,,20-23,,
0:30.0,C. Aldrich enters the game for D. Jordan,,20-23,,
0:27.0,W. Johnson misses 2-pt shot from 21 ft,,20-23,,
0:26.0,Offensive rebound by C. Aldrich,,20-23,,
0:26.0,C. Aldrich makes 2-pt shot at rim,2,22-23,,
0:09.0,Personal foul by P. Prigioni (drawn by T. McConnell),,22-23,,
0:03.0,,,22-25,2,T. McConnell makes 2-pt shot from 14 ft
0:00.0,P. Prigioni misses 3-pt shot from 55 ft,,22-25,,
0:00.0,Offensive rebound by Team,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-28,3,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell)
11:32.0,W. Johnson makes 3-pt shot from 24 ft (assist by P. Prigioni),3,25-28,,
11:13.0,,,25-31,3,H. Thompson makes 3-pt shot from 23 ft (assist by T. McConnell)
10:58.0,C. Aldrich makes 2-pt shot at rim (assist by P. Prigioni),2,27-31,,
10:45.0,,,27-31,,Turnover by I. Canaan (bad pass; steal by C. Aldrich)
10:29.0,L. Stephenson misses 2-pt shot from 12 ft,,27-31,,
10:28.0,,,27-31,,Defensive rebound by N. Noel
10:23.0,,,27-31,,I. Canaan misses 3-pt shot from 23 ft
10:20.0,Defensive rebound by P. Prigioni,,27-31,,
10:09.0,J. Crawford misses 2-pt shot from 14 ft,,27-31,,
10:07.0,,,27-31,,Defensive rebound by H. Thompson
9:56.0,,,27-31,,Turnover by T. McConnell (bad pass; steal by W. Johnson)
9:36.0,W. Johnson misses 3-pt shot from 24 ft,,27-31,,
9:35.0,,,27-31,,Defensive rebound by I. Canaan
9:30.0,,,27-31,,Philadelphia full timeout
9:30.0,J. Redick enters the game for W. Johnson,,27-31,,
9:30.0,,,27-31,,I. Smith enters the game for I. Canaan
9:30.0,,,27-31,,N. Stauskas enters the game for T. McConnell
9:15.0,,,27-31,,I. Smith misses 2-pt shot from 15 ft
9:13.0,,,27-31,,Offensive rebound by J. Grant
9:11.0,,,27-33,2,J. Grant makes 2-pt shot at rim
8:56.0,Turnover by L. Stephenson (traveling),,27-33,,
8:44.0,,,27-33,,Shooting foul by J. Redick (drawn by N. Noel)
8:44.0,,,27-34,1,N. Noel makes free throw 1 of 2
8:44.0,,,27-35,1,N. Noel makes free throw 2 of 2
8:30.0,,,27-35,,Personal foul by J. Grant (drawn by C. Aldrich)
8:17.0,J. Redick misses 2-pt shot from 11 ft,,27-35,,
8:16.0,,,27-35,,Defensive rebound by N. Noel
7:55.0,,,27-37,2,I. Smith makes 2-pt shot from 12 ft
7:34.0,Turnover by J. Crawford (lost ball; steal by N. Noel),,27-37,,
7:26.0,,,27-37,,Shooting foul by P. Prigioni (drawn by J. Grant)
7:26.0,,,27-38,1,J. Grant makes free throw 1 of 2
7:26.0,C. Paul enters the game for P. Prigioni,,27-38,,
7:26.0,L. Mbah a Moute enters the game for L. Stephenson,,27-38,,
7:26.0,,,27-38,,R. Covington enters the game for H. Thompson
7:26.0,,,27-39,1,J. Grant makes free throw 2 of 2
7:11.0,J. Crawford makes 2-pt shot from 9 ft,2,29-39,,
7:01.0,,,29-39,,R. Covington misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by C. Aldrich,,29-39,,
6:55.0,,,29-39,,Personal foul by I. Smith (drawn by C. Paul)
6:55.0,D. Jordan enters the game for C. Aldrich,,29-39,,
6:47.0,J. Crawford misses 2-pt shot from 3 ft (block by J. Grant),,29-39,,
6:45.0,,,29-39,,Defensive rebound by I. Smith
6:42.0,,,29-41,2,R. Covington makes 2-pt shot from 1 ft (assist by I. Smith)
6:27.0,,,29-41,,Personal foul by N. Stauskas (drawn by J. Crawford)
6:17.0,C. Paul misses 2-pt shot from 16 ft,,29-41,,
6:16.0,,,29-41,,Defensive rebound by Team
5:56.0,,,29-41,,Shooting foul by D. Jordan (drawn by J. Grant)
5:56.0,Official timeout,,29-41,,
5:56.0,W. Johnson enters the game for J. Crawford,,29-41,,
5:56.0,,,29-41,,J. Okafor enters the game for N. Noel
5:56.0,,,29-42,1,J. Grant makes free throw 1 of 2
5:56.0,,,29-43,1,J. Grant makes free throw 2 of 2
5:47.0,,,29-43,,Personal foul by R. Covington (drawn by C. Paul)
5:40.0,J. Redick misses 2-pt shot from 19 ft,,29-43,,
5:39.0,,,29-43,,Defensive rebound by J. Grant
5:30.0,,,29-43,,Shooting foul by W. Johnson (drawn by R. Covington)
5:30.0,,,29-44,1,R. Covington makes free throw 1 of 3
5:30.0,,,29-45,1,R. Covington makes free throw 2 of 3
5:30.0,,,29-45,,H. Thompson enters the game for J. Grant
5:30.0,,,29-46,1,R. Covington makes free throw 3 of 3
5:28.0,,,29-46,,Personal foul by N. Stauskas (drawn by J. Redick)
5:28.0,J. Redick makes free throw 1 of 2,1,30-46,,
5:28.0,,,30-46,,I. Canaan enters the game for N. Stauskas
5:28.0,J. Redick makes free throw 2 of 2,1,31-46,,
5:10.0,,,31-46,,J. Okafor misses 2-pt shot from 9 ft (block by D. Jordan)
5:09.0,,,31-46,,Offensive rebound by Team
5:06.0,,,31-46,,I. Smith misses 2-pt shot from 10 ft
5:04.0,Defensive rebound by C. Paul,,31-46,,
5:00.0,J. Redick misses 3-pt shot from 25 ft,,31-46,,
5:00.0,,,31-46,,Defensive rebound by Team
4:47.0,,,31-49,3,I. Smith makes 3-pt shot from 25 ft
4:37.0,,,31-49,,Personal block foul by I. Canaan (drawn by C. Paul)
4:37.0,C. Paul misses free throw 1 of 2,,31-49,,
4:37.0,Offensive rebound by Team,,31-49,,
4:37.0,J. Crawford enters the game for L. Mbah a Moute,,31-49,,
4:37.0,C. Paul makes free throw 2 of 2,1,32-49,,
4:24.0,,,32-51,2,I. Smith makes 2-pt shot from 5 ft
4:08.0,C. Paul misses 2-pt shot from 8 ft (block by J. Okafor),,32-51,,
4:07.0,Offensive rebound by C. Paul,,32-51,,
4:07.0,Shooting foul by I. Smith (drawn by C. Paul),,32-51,,
4:07.0,C. Paul makes free throw 1 of 2,1,33-51,,
4:07.0,,,33-51,,T. McConnell enters the game for I. Smith
4:07.0,C. Paul makes free throw 2 of 2,1,34-51,,
3:55.0,,,34-51,,T. McConnell misses 2-pt shot from 11 ft
3:53.0,,,34-51,,Offensive rebound by J. Okafor
3:53.0,,,34-53,2,J. Okafor makes 2-pt shot at rim
3:40.0,,,34-53,,Personal foul by T. McConnell (drawn by C. Paul)
3:40.0,C. Paul makes free throw 1 of 2,1,35-53,,
3:40.0,C. Paul makes free throw 2 of 2,1,36-53,,
3:28.0,,,36-53,,Turnover by I. Canaan (bad pass; steal by C. Paul)
3:27.0,,,36-53,,Personal foul by T. McConnell (drawn by C. Paul)
3:27.0,C. Paul makes free throw 1 of 2,1,37-53,,
3:27.0,C. Paul makes free throw 2 of 2,1,38-53,,
3:08.0,,,38-53,,Offensive charge foul by H. Thompson
3:08.0,,,38-53,,Turnover by H. Thompson (offensive foul)
3:03.0,,,38-53,,Personal foul by I. Canaan (drawn by D. Jordan)
3:03.0,D. Jordan misses free throw 1 of 2,,38-53,,
3:03.0,Offensive rebound by Team,,38-53,,
3:03.0,D. Jordan misses free throw 2 of 2,,38-53,,
3:02.0,Offensive rebound by W. Johnson,,38-53,,
2:59.0,C. Paul misses 3-pt shot from 26 ft,,38-53,,
2:57.0,Offensive rebound by D. Jordan,,38-53,,
2:57.0,D. Jordan misses 2-pt shot at rim,,38-53,,
2:56.0,,,38-53,,Defensive rebound by R. Covington
2:49.0,LA Clippers full timeout,,38-53,,
2:49.0,,,38-53,,J. Grant enters the game for I. Canaan
2:46.0,,,38-55,2,J. Grant makes 2-pt shot at rim (assist by T. McConnell)
2:36.0,,,38-55,,Personal foul by J. Okafor (drawn by D. Jordan)
2:36.0,D. Jordan misses free throw 1 of 2,,38-55,,
2:36.0,Offensive rebound by Team,,38-55,,
2:36.0,D. Jordan makes free throw 2 of 2,1,39-55,,
2:25.0,Personal foul by J. Redick (drawn by H. Thompson),,39-55,,
2:25.0,,,39-56,1,H. Thompson makes free throw 1 of 2
2:25.0,,,39-57,1,H. Thompson makes free throw 2 of 2
2:23.0,J. Redick makes 2-pt shot from 1 ft (assist by D. Jordan),2,41-57,,
