time,Washington,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Stoudemire (G. Dragic gains possession),,,,Jump ball: M. Gortat vs. A. Stoudemire (G. Dragic gains possession)
11:43.0,,,0-2,2,G. Dragic makes 2-pt shot from 13 ft (assist by A. Stoudemire)
11:22.0,M. Gortat makes 2-pt shot from 7 ft,2,2-2,,
11:10.0,,,2-2,,G. Dragic misses 2-pt shot from 11 ft
11:09.0,Defensive rebound by J. Dudley,,2-2,,
10:56.0,O. Porter makes 2-pt shot from 21 ft,2,4-2,,
10:43.0,,,4-2,,Turnover by J. Winslow (bad pass; steal by M. Gortat)
10:40.0,Shooting foul by G. Green (drawn by O. Porter),,4-2,,
10:40.0,O. Porter misses free throw 1 of 2,,4-2,,
10:40.0,Offensive rebound by Team,,4-2,,
10:40.0,O. Porter makes free throw 2 of 2,1,5-2,,
10:26.0,,,5-4,2,L. Deng makes 2-pt shot from 10 ft
10:11.0,J. Dudley misses 2-pt shot from 18 ft,,5-4,,
10:10.0,Offensive rebound by M. Gortat,,5-4,,
10:08.0,,,5-4,,Personal foul by A. Stoudemire (drawn by M. Gortat)
9:58.0,Shooting foul by A. Stoudemire (drawn by M. Gortat),,5-4,,
9:58.0,M. Gortat misses free throw 1 of 2,,5-4,,
9:58.0,Offensive rebound by Team,,5-4,,
9:58.0,M. Gortat misses free throw 2 of 2,,5-4,,
9:57.0,,,5-4,,Defensive rebound by A. Stoudemire
9:46.0,,,5-4,,G. Green misses 2-pt shot from 6 ft
9:45.0,Defensive rebound by M. Gortat,,5-4,,
9:31.0,J. Wall misses 3-pt shot from 25 ft,,5-4,,
9:30.0,,,5-4,,Defensive rebound by A. Stoudemire
9:24.0,,,5-6,2,G. Green makes 2-pt shot from 18 ft (assist by G. Dragic)
9:05.0,O. Porter misses 2-pt shot from 15 ft,,5-6,,
9:04.0,,,5-6,,Defensive rebound by J. Winslow
8:58.0,,,5-6,,J. Winslow misses 2-pt shot at rim
8:57.0,Defensive rebound by O. Porter,,5-6,,
8:47.0,G. Temple misses 2-pt shot from 10 ft,,5-6,,
8:46.0,,,5-6,,Defensive rebound by A. Stoudemire
8:32.0,,,5-8,2,L. Deng makes 2-pt shot from 1 ft
8:16.0,J. Wall misses 2-pt shot from 3 ft (block by A. Stoudemire),,5-8,,
8:15.0,,,5-8,,Defensive rebound by A. Stoudemire
8:11.0,,,5-10,2,G. Dragic makes 2-pt shot from 1 ft
8:11.0,,,5-10,,Shooting foul by G. Temple (drawn by G. Dragic)
8:11.0,,,5-11,1,G. Dragic makes free throw 1 of 1
7:46.0,Turnover by J. Dudley (bad pass; steal by L. Deng),,5-11,,
7:42.0,,,5-13,2,G. Dragic makes 2-pt shot from 1 ft (assist by L. Deng)
7:42.0,Washington full timeout,,5-13,,
7:33.0,J. Wall misses 2-pt shot from 1 ft (block by A. Stoudemire),,5-13,,
7:32.0,Offensive rebound by Team,,5-13,,
7:18.0,M. Gortat misses 2-pt shot from 5 ft,,5-13,,
7:17.0,,,5-13,,Defensive rebound by L. Deng
7:06.0,Personal foul by G. Temple (drawn by G. Dragic),,5-13,,
7:06.0,B. Beal enters the game for G. Temple,,5-13,,
6:54.0,,,5-15,2,A. Stoudemire makes 2-pt shot from 12 ft (assist by J. Winslow)
6:44.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall),3,8-15,,
6:16.0,,,8-17,2,J. Winslow makes 2-pt shot at rim (assist by A. Stoudemire)
6:05.0,M. Gortat makes 2-pt shot from 5 ft (assist by J. Dudley),2,10-17,,
5:51.0,,,10-19,2,J. Winslow makes 2-pt shot from 6 ft (assist by G. Dragic)
5:43.0,B. Beal misses 3-pt shot from 24 ft,,10-19,,
5:42.0,,,10-19,,Defensive rebound by L. Deng
5:37.0,,,10-19,,G. Dragic misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by B. Beal,,10-19,,
5:26.0,B. Beal makes 2-pt shot from 14 ft,2,12-19,,
5:18.0,,,12-19,,Miami full timeout
5:18.0,,,12-19,,J. Richardson enters the game for L. Deng
4:58.0,,,12-19,,G. Green misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by O. Porter,,12-19,,
4:43.0,J. Wall misses 2-pt shot from 18 ft,,12-19,,
4:42.0,,,12-19,,Defensive rebound by A. Stoudemire
4:34.0,,,12-19,,Shooting foul by B. Beal (drawn by G. Dragic)
4:34.0,,,12-20,1,G. Dragic makes free throw 1 of 2
4:34.0,,,12-20,,H. Whiteside enters the game for A. Stoudemire
4:34.0,,,12-21,1,G. Dragic makes free throw 2 of 2
