time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Mozgov (J. Sullinger gains possession),,,,Jump ball: A. Johnson vs. T. Mozgov (J. Sullinger gains possession)
11:43.0,,,0-0,,J. Sullinger misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by L. James,,0-0,,
11:25.0,L. James misses 2-pt shot from 2 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by J. Sullinger
11:18.0,,,0-0,,J. Crowder misses 3-pt shot from 25 ft
11:17.0,,,0-0,,Offensive rebound by Team
11:03.0,,,0-2,2,I. Thomas makes 2-pt shot from 20 ft
10:44.0,K. Love makes 2-pt shot from 4 ft,2,2-2,,
10:22.0,,,2-4,2,J. Crowder makes 2-pt shot from 19 ft
10:03.0,K. Love misses 2-pt shot from 12 ft,,2-4,,
10:03.0,,,2-4,,Defensive rebound by J. Sullinger
9:49.0,,,2-6,2,J. Sullinger makes 2-pt shot from 2 ft
9:37.0,M. Dellavedova makes 2-pt shot from 6 ft,2,4-6,,
9:20.0,,,4-9,3,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas)
9:04.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,6-9,,
8:57.0,Personal foul by T. Mozgov (drawn by A. Johnson),,6-9,,
8:48.0,,,6-11,2,A. Johnson makes 2-pt shot at rim (assist by J. Sullinger)
8:35.0,Turnover by M. Dellavedova (bad pass),,6-11,,
8:29.0,Personal foul by M. Dellavedova (drawn by I. Thomas),,6-11,,
8:22.0,,,6-11,,J. Sullinger misses 2-pt shot from 17 ft
8:21.0,,,6-11,,Offensive rebound by A. Johnson
8:17.0,,,6-11,,I. Thomas misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by L. James,,6-11,,
8:08.0,Turnover by L. James (bad pass; steal by A. Bradley),,6-11,,
7:56.0,,,6-11,,A. Bradley misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by T. Mozgov,,6-11,,
7:49.0,J. Smith misses 3-pt shot from 24 ft,,6-11,,
7:48.0,Offensive rebound by K. Love,,6-11,,
7:42.0,Shooting foul by A. Johnson (drawn by K. Love),,6-11,,
7:42.0,K. Love makes free throw 1 of 2,1,7-11,,
7:42.0,K. Love makes free throw 2 of 2,1,8-11,,
7:26.0,,,8-11,,J. Crowder misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by T. Mozgov,,8-11,,
7:10.0,K. Love makes 2-pt shot from 2 ft,2,10-11,,
6:53.0,,,10-11,,J. Crowder misses 2-pt shot from 4 ft
6:53.0,,,10-11,,Offensive rebound by J. Sullinger
6:50.0,,,10-11,,J. Sullinger misses 2-pt shot from 1 ft (block by T. Mozgov)
6:49.0,Defensive rebound by K. Love,,10-11,,
6:37.0,L. James misses 2-pt shot from 2 ft (block by A. Bradley),,10-11,,
6:35.0,Offensive rebound by L. James,,10-11,,
6:30.0,K. Love misses 3-pt shot from 23 ft,,10-11,,
6:29.0,,,10-11,,Defensive rebound by J. Crowder
6:26.0,,,10-11,,I. Thomas misses 2-pt shot from 2 ft
6:25.0,,,10-11,,Offensive rebound by A. Johnson
6:25.0,,,10-13,2,A. Johnson makes 2-pt shot from 3 ft
6:18.0,Offensive foul by L. James,,10-13,,
6:18.0,Turnover by L. James (offensive foul),,10-13,,
6:05.0,,,10-13,,Turnover by J. Crowder (traveling)
5:58.0,,,10-13,,Boston full timeout
5:48.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,13-13,,
5:33.0,,,13-13,,Turnover by J. Sullinger (bad pass; steal by K. Love)
5:32.0,,,13-13,,Personal foul by J. Crowder (drawn by L. James)
5:24.0,Turnover by L. James (traveling),,13-13,,
5:05.0,,,13-13,,J. Crowder misses 2-pt shot from 18 ft
5:04.0,,,13-13,,Offensive rebound by A. Johnson
5:04.0,,,13-13,,A. Johnson misses 2-pt shot from 1 ft
5:02.0,,,13-13,,Offensive rebound by Team
5:02.0,,,13-13,,J. Jerebko enters the game for I. Thomas
5:02.0,,,13-13,,E. Turner enters the game for J. Crowder
5:02.0,I. Shumpert enters the game for J. Smith,,13-13,,
4:55.0,,,13-13,,J. Sullinger misses 2-pt shot from 16 ft
4:55.0,Defensive rebound by M. Dellavedova,,13-13,,
4:47.0,M. Dellavedova misses 2-pt shot from 8 ft,,13-13,,
4:46.0,,,13-13,,Defensive rebound by A. Bradley
4:36.0,,,13-16,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Sullinger)
4:21.0,L. James makes 2-pt shot from 1 ft,2,15-16,,
4:06.0,,,15-16,,Turnover by A. Bradley (bad pass; steal by L. James)
4:02.0,L. James makes 2-pt shot from 2 ft,2,17-16,,
3:40.0,,,17-16,,J. Jerebko misses 2-pt shot from 18 ft
3:39.0,Defensive rebound by T. Mozgov,,17-16,,
3:23.0,K. Love makes 2-pt shot from 1 ft (assist by I. Shumpert),2,19-16,,
3:12.0,,,19-16,,A. Johnson misses 2-pt shot from 4 ft
3:11.0,Defensive rebound by I. Shumpert,,19-16,,
3:05.0,I. Shumpert misses 2-pt shot from 20 ft,,19-16,,
3:04.0,,,19-16,,Defensive rebound by E. Turner
2:51.0,,,19-16,,A. Bradley misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by T. Mozgov,,19-16,,
2:44.0,Cleveland full timeout,,19-16,,
