time,Phoenix,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (O. Asik gains possession),,,,Jump ball: T. Chandler vs. A. Davis (O. Asik gains possession)
11:37.0,,,0-2,2,E. Gordon makes 2-pt shot from 2 ft
11:17.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,3-2,,
11:06.0,,,3-2,,E. Gordon misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by E. Bledsoe,,3-2,,
10:57.0,,,3-2,,Violation by J. Holiday (kicked ball)
10:52.0,M. Morris misses 2-pt shot from 20 ft,,3-2,,
10:51.0,,,3-2,,Defensive rebound by A. Gee
10:39.0,,,3-2,,A. Davis misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by T. Chandler,,3-2,,
10:23.0,P. Tucker misses 2-pt shot from 5 ft,,3-2,,
10:22.0,,,3-2,,Defensive rebound by O. Asik
10:03.0,,,3-2,,Turnover by O. Asik (traveling)
9:45.0,T. Chandler misses 2-pt shot from 15 ft (block by A. Davis),,3-2,,
9:45.0,,,3-2,,Defensive rebound by Team
9:29.0,,,3-4,2,A. Davis makes 2-pt shot from 6 ft
9:01.0,E. Bledsoe makes 2-pt shot from 20 ft,2,5-4,,
8:53.0,,,5-4,,Shooting foul by M. Morris (drawn by J. Holiday)
8:53.0,,,5-4,,J. Holiday misses free throw 1 of 2
8:53.0,,,5-4,,Offensive rebound by Team
8:53.0,,,5-5,1,J. Holiday makes free throw 2 of 2
8:39.0,M. Morris misses 2-pt shot from 1 ft (block by A. Davis),,5-5,,
8:38.0,,,5-5,,Defensive rebound by A. Davis
8:27.0,Shooting block foul by P. Tucker (drawn by A. Gee),,5-5,,
8:27.0,,,5-6,1,A. Gee makes free throw 1 of 2
8:27.0,,,5-7,1,A. Gee makes free throw 2 of 2
8:11.0,Turnover by T. Chandler (lost ball; steal by A. Gee),,5-7,,
8:03.0,,,5-7,,E. Gordon misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by M. Morris,,5-7,,
7:51.0,B. Knight misses 3-pt shot from 25 ft,,5-7,,
7:50.0,,,5-7,,Defensive rebound by A. Davis
7:41.0,,,5-7,,E. Gordon misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by E. Bledsoe,,5-7,,
7:32.0,P. Tucker misses 2-pt shot from 1 ft,,5-7,,
7:30.0,,,5-7,,Defensive rebound by A. Davis
7:25.0,,,5-10,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Holiday)
7:08.0,M. Morris makes 2-pt shot from 14 ft,2,7-10,,
6:47.0,,,7-10,,J. Holiday misses 2-pt shot at rim
6:46.0,Defensive rebound by T. Chandler,,7-10,,
6:32.0,E. Bledsoe misses 3-pt shot from 25 ft,,7-10,,
6:31.0,,,7-10,,Defensive rebound by O. Asik
6:16.0,,,7-12,2,J. Holiday makes 2-pt shot from 5 ft
5:55.0,B. Knight misses 2-pt shot from 17 ft,,7-12,,
5:54.0,,,7-12,,Defensive rebound by O. Asik
5:42.0,,,7-14,2,A. Gee makes 2-pt shot from 20 ft (assist by E. Gordon)
5:33.0,E. Bledsoe misses 2-pt shot from 19 ft,,7-14,,
5:32.0,,,7-14,,Defensive rebound by A. Davis
5:26.0,,,7-14,,New Orleans full timeout
5:26.0,,,7-14,,R. Anderson enters the game for O. Asik
5:26.0,,,7-14,,I. Smith enters the game for J. Holiday
5:17.0,,,7-14,,Shooting foul by T. Chandler (drawn by A. Davis)
5:17.0,,,7-14,,A. Davis misses free throw 1 of 2
5:17.0,,,7-14,,Offensive rebound by Team
5:17.0,,,7-15,1,A. Davis makes free throw 2 of 2
5:02.0,M. Morris misses 2-pt shot from 17 ft,,7-15,,
5:01.0,Offensive rebound by T. Chandler,,7-15,,
4:51.0,B. Knight misses 2-pt shot from 1 ft,,7-15,,
4:49.0,,,7-15,,Defensive rebound by R. Anderson
4:45.0,,,7-15,,Offensive charge foul by A. Gee
4:45.0,,,7-15,,Turnover by A. Gee (offensive foul)
4:45.0,M. Teletovic enters the game for T. Chandler,,7-15,,
4:45.0,D. Booker enters the game for B. Knight,,7-15,,
4:24.0,M. Teletovic misses 3-pt shot from 25 ft,,7-15,,
4:23.0,,,7-15,,Defensive rebound by A. Davis
4:10.0,,,7-15,,R. Anderson misses 2-pt shot from 15 ft
4:09.0,Defensive rebound by E. Bledsoe,,7-15,,
4:01.0,E. Bledsoe misses 3-pt shot from 26 ft,,7-15,,
4:00.0,Offensive rebound by M. Morris,,7-15,,
3:55.0,D. Booker makes 3-pt shot from 25 ft (assist by M. Morris),3,10-15,,
3:49.0,,,10-18,3,R. Anderson makes 3-pt shot from 22 ft (assist by I. Smith)
3:37.0,E. Bledsoe makes 2-pt shot from 2 ft,2,12-18,,
3:25.0,,,12-18,,A. Davis misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by P. Tucker,,12-18,,
3:15.0,M. Teletovic misses 2-pt shot from 5 ft,,12-18,,
3:14.0,,,12-18,,Defensive rebound by A. Gee
3:12.0,,,12-18,,Offensive charge foul by A. Davis
3:12.0,,,12-18,,Turnover by A. Davis (offensive foul)
2:53.0,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,14-18,,
2:31.0,,,14-21,3,E. Gordon makes 3-pt shot from 26 ft (assist by I. Smith)
2:23.0,Turnover by E. Bledsoe (bad pass; steal by A. Gee),,14-21,,
2:16.0,,,14-21,,I. Smith misses 2-pt shot from 1 ft
2:15.0,,,14-21,,Offensive rebound by A. Davis
2:15.0,,,14-21,,Shooting foul by D. Booker (drawn by A. Davis)
2:15.0,Phoenix full timeout,,14-21,,
2:15.0,T. Warren enters the game for P. Tucker,,14-21,,
2:15.0,,,14-21,,T. Douglas enters the game for A. Gee
2:15.0,,,14-22,1,A. Davis makes free throw 1 of 2
2:15.0,,,14-23,1,A. Davis makes free throw 2 of 2
2:01.0,M. Teletovic misses 3-pt shot from 25 ft,,14-23,,
2:00.0,,,14-23,,Defensive rebound by I. Smith
1:45.0,,,14-25,2,I. Smith makes 2-pt shot from 3 ft
1:34.0,M. Teletovic makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,17-25,,
1:13.0,,,17-25,,A. Davis misses 2-pt shot from 16 ft
1:12.0,Defensive rebound by E. Bledsoe,,17-25,,
1:02.0,T. Warren misses 2-pt shot from 2 ft,,17-25,,
1:01.0,Offensive rebound by T. Warren,,17-25,,
1:00.0,T. Warren misses 2-pt shot from 1 ft,,17-25,,
1:00.0,Offensive rebound by Team,,17-25,,
1:00.0,,,17-25,,D. Cunningham enters the game for A. Davis
0:48.0,M. Morris misses 2-pt shot from 18 ft,,17-25,,
0:47.0,,,17-25,,Defensive rebound by I. Smith
0:36.0,,,17-27,2,I. Smith makes 2-pt shot at rim
0:29.0,M. Teletovic makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,19-27,,
0:08.0,,,19-27,,Turnover by T. Douglas (lost ball; steal by E. Bledsoe)
0:03.0,D. Booker makes 2-pt shot from 8 ft (assist by E. Bledsoe),2,21-27,,
0:00.0,,,21-27,,T. Douglas misses 3-pt shot from 35 ft
0:00.0,,,21-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Shooting foul by D. Cunningham (drawn by M. Morris),,21-27,,
11:43.0,M. Morris makes free throw 1 of 2,1,22-27,,
11:43.0,M. Morris makes free throw 2 of 2,1,23-27,,
11:32.0,,,23-30,3,R. Anderson makes 3-pt shot from 22 ft (assist by E. Gordon)
11:24.0,,,23-30,,Personal foul by D. Cunningham (drawn by M. Teletovic)
11:19.0,D. Booker misses 2-pt shot from 14 ft,,23-30,,
11:19.0,Offensive rebound by Team,,23-30,,
11:19.0,,,23-30,,Loose ball foul by R. Anderson (drawn by M. Morris)
11:15.0,,,23-30,,L. Babbitt enters the game for E. Gordon
11:07.0,Turnover by B. Knight (bad pass; steal by T. Douglas),,23-30,,
11:07.0,Personal foul by B. Knight (drawn by T. Douglas),,23-30,,
11:07.0,J. Leuer enters the game for M. Morris,,23-30,,
10:56.0,,,23-33,3,R. Anderson makes 3-pt shot from 25 ft (assist by L. Babbitt)
10:36.0,,,23-33,,Personal foul by L. Babbitt (drawn by M. Teletovic)
10:28.0,T. Warren makes 3-pt shot from 23 ft (assist by B. Knight),3,26-33,,
10:20.0,,,26-33,,Turnover by I. Smith (bad pass; steal by D. Booker)
10:19.0,,,26-33,,Personal foul by T. Douglas (drawn by D. Booker)
10:19.0,D. Booker makes free throw 1 of 2,1,27-33,,
10:19.0,D. Booker makes free throw 2 of 2,1,28-33,,
10:04.0,,,28-35,2,R. Anderson makes 2-pt shot from 18 ft
9:52.0,B. Knight misses 3-pt shot from 26 ft,,28-35,,
9:51.0,Offensive rebound by J. Leuer,,28-35,,
9:47.0,D. Booker misses 2-pt shot from 15 ft,,28-35,,
9:46.0,,,28-35,,Defensive rebound by R. Anderson
9:36.0,,,28-35,,L. Babbitt misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by J. Leuer,,28-35,,
9:27.0,,,28-35,,Personal foul by I. Smith (drawn by D. Booker)
9:27.0,D. Booker makes free throw 1 of 2,1,29-35,,
9:27.0,,,29-35,,J. Holiday enters the game for T. Douglas
9:27.0,D. Booker makes free throw 2 of 2,1,30-35,,
9:14.0,,,30-37,2,R. Anderson makes 2-pt shot at rim
8:54.0,T. Warren misses 2-pt shot from 16 ft,,30-37,,
8:53.0,Offensive rebound by J. Leuer,,30-37,,
8:52.0,Turnover by J. Leuer (lost ball),,30-37,,
8:52.0,Official timeout,,30-37,,
8:40.0,,,30-40,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday)
8:24.0,T. Warren misses 2-pt shot from 6 ft,,30-40,,
8:24.0,,,30-40,,Defensive rebound by R. Anderson
8:17.0,,,30-40,,Shooting foul by M. Teletovic (drawn by L. Babbitt)
8:17.0,,,30-41,1,L. Babbitt makes free throw 1 of 2
8:17.0,P. Tucker enters the game for M. Teletovic,,30-41,,
8:17.0,,,30-41,,L. Babbitt misses free throw 2 of 2
8:16.0,Defensive rebound by J. Leuer,,30-41,,
7:53.0,T. Warren makes 3-pt shot from 24 ft (assist by B. Knight),3,33-41,,
7:40.0,,,33-41,,D. Cunningham misses 3-pt shot from 23 ft
7:39.0,Defensive rebound by B. Knight,,33-41,,
7:31.0,B. Knight misses 2-pt shot from 2 ft (block by R. Anderson),,33-41,,
7:30.0,,,33-41,,Defensive rebound by I. Smith
7:18.0,,,33-43,2,D. Cunningham makes 2-pt shot at rim (assist by I. Smith)
7:00.0,J. Leuer makes 3-pt shot from 24 ft (assist by B. Knight),3,36-43,,
6:43.0,,,36-43,,J. Holiday misses 2-pt shot from 2 ft
6:41.0,Defensive rebound by D. Booker,,36-43,,
6:34.0,,,36-43,,Personal foul by L. Babbitt (drawn by B. Knight)
6:34.0,B. Knight makes free throw 1 of 2,1,37-43,,
6:34.0,,,37-43,,A. Davis enters the game for D. Cunningham
6:34.0,E. Bledsoe enters the game for D. Booker,,37-43,,
6:34.0,T. Chandler enters the game for J. Leuer,,37-43,,
6:34.0,,,37-43,,A. Gee enters the game for I. Smith
6:34.0,B. Knight makes free throw 2 of 2,1,38-43,,
6:11.0,,,38-43,,R. Anderson misses 3-pt shot from 26 ft
6:10.0,Defensive rebound by Team,,38-43,,
5:56.0,B. Knight misses 2-pt shot from 9 ft,,38-43,,
5:55.0,Offensive rebound by T. Chandler,,38-43,,
5:50.0,Turnover by T. Chandler (lost ball; steal by A. Davis),,38-43,,
5:41.0,,,38-46,3,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Holiday)
5:31.0,Shooting foul by R. Anderson (drawn by E. Bledsoe),,38-46,,
5:31.0,,,38-46,,New Orleans full timeout
5:31.0,,,38-46,,O. Asik enters the game for R. Anderson
5:31.0,,,38-46,,E. Gordon enters the game for L. Babbitt
5:31.0,E. Bledsoe makes free throw 1 of 2,1,39-46,,
5:31.0,E. Bledsoe makes free throw 2 of 2,1,40-46,,
5:10.0,,,40-46,,A. Gee misses 3-pt shot from 22 ft
5:09.0,Defensive rebound by T. Chandler,,40-46,,
4:55.0,Shooting foul by J. Holiday (drawn by E. Bledsoe),,40-46,,
4:55.0,E. Bledsoe makes free throw 1 of 3,1,41-46,,
4:55.0,E. Bledsoe makes free throw 2 of 3,1,42-46,,
4:55.0,E. Bledsoe makes free throw 3 of 3,1,43-46,,
4:41.0,,,43-46,,Shooting foul by T. Chandler (drawn by J. Holiday)
4:41.0,,,43-47,1,J. Holiday makes free throw 1 of 2
4:41.0,,,43-47,,J. Holiday misses free throw 2 of 2
4:40.0,Defensive rebound by T. Chandler,,43-47,,
4:30.0,E. Bledsoe makes 2-pt shot from 15 ft,2,45-47,,
4:08.0,,,45-47,,E. Gordon misses 2-pt shot at rim
4:07.0,Defensive rebound by E. Bledsoe,,45-47,,
4:00.0,T. Warren makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,48-47,,
3:43.0,,,48-47,,I. Smith enters the game for J. Holiday
3:39.0,,,48-47,,A. Davis misses 2-pt shot from 7 ft (block by T. Chandler)
3:39.0,Defensive rebound by E. Bledsoe,,48-47,,
3:30.0,Turnover by B. Knight (bad pass; steal by I. Smith),,48-47,,
3:25.0,,,48-47,,I. Smith misses 2-pt shot from 1 ft
3:24.0,Defensive rebound by P. Tucker,,48-47,,
3:18.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by B. Knight),3,51-47,,
3:10.0,,,51-47,,New Orleans full timeout
3:10.0,,,51-47,,R. Anderson enters the game for O. Asik
3:00.0,Personal foul by E. Bledsoe (drawn by R. Anderson),,51-47,,
2:56.0,,,51-47,,Shooting foul by E. Bledsoe (drawn by I. Smith)
2:56.0,,,51-48,1,I. Smith makes free throw 1 of 2
2:56.0,,,51-48,,I. Smith misses free throw 2 of 2
2:55.0,Defensive rebound by T. Chandler,,51-48,,
2:47.0,E. Bledsoe misses 2-pt shot at rim,,51-48,,
2:46.0,,,51-48,,Defensive rebound by R. Anderson
2:40.0,,,51-48,,E. Gordon misses 3-pt shot from 25 ft
2:38.0,,,51-48,,Offensive rebound by I. Smith
2:34.0,,,51-50,2,I. Smith makes 2-pt shot from 1 ft
2:21.0,B. Knight misses 2-pt shot from 3 ft,,51-50,,
2:20.0,,,51-50,,Defensive rebound by A. Gee
2:15.0,,,51-52,2,A. Davis makes 2-pt shot at rim (assist by I. Smith)
1:57.0,B. Knight misses 2-pt shot from 3 ft,,51-52,,
1:56.0,Offensive rebound by T. Chandler,,51-52,,
1:56.0,Shooting foul by I. Smith (drawn by T. Chandler),,51-52,,
1:56.0,T. Chandler misses free throw 1 of 2,,51-52,,
1:56.0,Offensive rebound by Team,,51-52,,
1:56.0,R. Price enters the game for B. Knight,,51-52,,
1:56.0,T. Chandler makes free throw 2 of 2,1,52-52,,
1:46.0,,,52-52,,Offensive foul by A. Davis
1:46.0,,,52-52,,Turnover by A. Davis (offensive foul)
1:46.0,M. Morris enters the game for T. Chandler,,52-52,,
1:30.0,Turnover by E. Bledsoe (bad pass; steal by A. Davis),,52-52,,
1:25.0,,,52-52,,I. Smith misses 2-pt shot from 1 ft
1:24.0,,,52-52,,Offensive rebound by A. Davis
1:22.0,,,52-54,2,A. Davis makes 2-pt shot at rim
1:09.0,E. Bledsoe makes 3-pt shot from 25 ft,3,55-54,,
0:53.0,,,55-54,,A. Davis misses 2-pt shot from 6 ft
0:52.0,Defensive rebound by T. Warren,,55-54,,
0:43.0,P. Tucker misses 3-pt shot from 24 ft,,55-54,,
0:42.0,,,55-54,,Defensive rebound by E. Gordon
0:28.0,,,55-54,,Shooting foul by T. Warren (drawn by R. Anderson)
0:28.0,,,55-55,1,R. Anderson makes free throw 1 of 2
0:28.0,,,55-55,,T. Douglas enters the game for I. Smith
0:28.0,,,55-55,,D. Cunningham enters the game for A. Davis
0:28.0,,,55-56,1,R. Anderson makes free throw 2 of 2
0:06.0,Turnover by E. Bledsoe (bad pass; steal by A. Gee),,55-56,,
0:00.0,,,55-56,,R. Anderson misses 3-pt shot from 23 ft
0:00.0,,,55-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,M. Morris misses 3-pt shot from 31 ft,,55-56,,
11:33.0,,,55-56,,Defensive rebound by A. Gee
11:32.0,Personal foul by P. Tucker (drawn by A. Gee),,55-56,,
11:32.0,D. Booker enters the game for E. Bledsoe,,55-56,,
11:21.0,Personal foul by B. Knight (drawn by J. Holiday),,55-56,,
11:11.0,,,55-56,,J. Holiday misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by T. Chandler,,55-56,,
11:02.0,B. Knight misses 2-pt shot from 20 ft,,55-56,,
11:01.0,,,55-56,,Defensive rebound by E. Gordon
10:48.0,,,55-56,,A. Davis misses 2-pt shot from 8 ft
10:47.0,Defensive rebound by T. Chandler,,55-56,,
10:31.0,T. Chandler misses 2-pt shot from 1 ft (block by A. Davis),,55-56,,
10:29.0,,,55-56,,Defensive rebound by A. Davis
10:25.0,,,55-58,2,J. Holiday makes 2-pt shot from 2 ft
10:15.0,D. Booker makes 2-pt shot from 6 ft,2,57-58,,
10:02.0,,,57-58,,A. Davis misses 2-pt shot from 18 ft
