time,Brooklyn,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. H. Whiteside (T. Young gains possession),,,,Jump ball: B. Lopez vs. H. Whiteside (T. Young gains possession)
11:43.0,B. Lopez makes 2-pt shot from 8 ft,2,2-0,,
11:27.0,,,2-2,2,L. Deng makes 2-pt shot from 1 ft
11:15.0,Turnover by J. Jack (bad pass),,2-2,,
11:01.0,,,2-5,3,C. Bosh makes 3-pt shot from 23 ft (assist by G. Dragic)
10:46.0,B. Bogdanovic misses 3-pt shot from 23 ft,,2-5,,
10:45.0,,,2-5,,Defensive rebound by C. Bosh
10:29.0,,,2-5,,Shooting foul by B. Bogdanovic (drawn by D. Wade)
10:29.0,,,2-6,1,D. Wade makes free throw 1 of 2
10:29.0,,,2-7,1,D. Wade makes free throw 2 of 2
10:17.0,J. Jack makes 2-pt shot from 16 ft,2,4-7,,
9:51.0,,,4-7,,Turnover by G. Dragic (bad pass; steal by J. Jack)
9:37.0,B. Lopez misses 2-pt shot from 1 ft,,4-7,,
9:31.0,Offensive rebound by B. Lopez,,4-7,,
9:31.0,J. Jack makes 2-pt shot at rim,2,6-7,,
9:15.0,,,6-7,,L. Deng misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by B. Lopez,,6-7,,
9:01.0,B. Lopez misses 2-pt shot from 1 ft (block by L. Deng),,6-7,,
9:00.0,,,6-7,,Defensive rebound by G. Dragic
8:57.0,,,6-7,,Turnover by G. Dragic (bad pass)
8:41.0,J. Johnson misses 2-pt shot from 3 ft,,6-7,,
8:40.0,,,6-7,,Defensive rebound by H. Whiteside
8:30.0,,,6-7,,H. Whiteside misses 2-pt shot from 4 ft
8:28.0,Defensive rebound by T. Young,,6-7,,
8:22.0,Turnover by T. Young (bad pass; steal by G. Dragic),,6-7,,
8:18.0,,,6-9,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
8:05.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson),2,8-9,,
7:53.0,,,8-9,,Turnover by G. Dragic (bad pass; steal by B. Lopez)
7:43.0,J. Johnson misses 3-pt shot from 25 ft,,8-9,,
7:42.0,,,8-9,,Defensive rebound by D. Wade
7:38.0,,,8-11,2,D. Wade makes 2-pt shot from 4 ft
7:32.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by H. Whiteside),,8-11,,
7:31.0,Offensive rebound by Team,,8-11,,
7:17.0,B. Lopez makes 2-pt shot from 9 ft,2,10-11,,
7:02.0,,,10-11,,Turnover by H. Whiteside (offensive goaltending)
6:41.0,B. Lopez makes 2-pt shot from 7 ft,2,12-11,,
6:35.0,,,12-11,,Miami full timeout
6:35.0,,,12-11,,G. Green enters the game for C. Bosh
6:25.0,,,12-11,,G. Dragic misses 2-pt shot from 11 ft
6:24.0,Defensive rebound by B. Lopez,,12-11,,
6:08.0,T. Young misses 2-pt shot from 2 ft,,12-11,,
6:07.0,,,12-11,,Defensive rebound by H. Whiteside
5:56.0,,,12-11,,H. Whiteside misses 2-pt shot from 4 ft (block by B. Lopez)
5:54.0,Defensive rebound by J. Jack,,12-11,,
5:44.0,T. Young makes 2-pt shot from 7 ft,2,14-11,,
5:17.0,,,14-13,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
5:04.0,Shooting foul by L. Deng (drawn by B. Bogdanovic),,14-13,,
5:04.0,B. Bogdanovic makes free throw 1 of 2,1,15-13,,
5:04.0,B. Bogdanovic makes free throw 2 of 2,1,16-13,,
4:54.0,,,16-13,,G. Green misses 2-pt shot from 19 ft
4:53.0,,,16-13,,Offensive rebound by H. Whiteside
4:52.0,,,16-15,2,H. Whiteside makes 2-pt shot at rim
4:36.0,Turnover by J. Jack (lost ball),,16-15,,
4:36.0,Loose ball foul by B. Lopez (drawn by H. Whiteside),,16-15,,
4:23.0,,,16-17,2,D. Wade makes 2-pt shot at rim (assist by G. Green)
4:05.0,J. Johnson misses 2-pt shot from 4 ft,,16-17,,
4:04.0,Offensive rebound by B. Lopez,,16-17,,
4:03.0,B. Lopez misses 2-pt shot from 2 ft,,16-17,,
4:02.0,Offensive rebound by B. Lopez,,16-17,,
4:01.0,B. Lopez misses 2-pt shot from 1 ft,,16-17,,
4:00.0,,,16-17,,Defensive rebound by Team
4:00.0,Loose ball foul by J. Johnson (drawn by H. Whiteside),,16-17,,
4:00.0,,,16-17,,T. Johnson enters the game for D. Wade
4:00.0,W. Reed enters the game for B. Lopez,,16-17,,
4:00.0,W. Ellington enters the game for B. Bogdanovic,,16-17,,
3:47.0,,,16-19,2,G. Green makes 2-pt shot from 2 ft
3:31.0,J. Johnson misses 3-pt shot from 25 ft,,16-19,,
3:30.0,,,16-19,,Defensive rebound by G. Dragic
3:12.0,,,16-19,,G. Dragic misses 2-pt shot from 7 ft
3:11.0,,,16-19,,Offensive rebound by H. Whiteside
3:10.0,,,16-21,2,H. Whiteside makes 2-pt shot at rim
3:10.0,Brooklyn full timeout,,16-21,,
2:55.0,Shooting foul by T. Johnson (drawn by W. Reed),,16-21,,
2:55.0,W. Reed misses free throw 1 of 2,,16-21,,
2:55.0,Offensive rebound by Team,,16-21,,
2:55.0,W. Reed misses free throw 2 of 2,,16-21,,
2:54.0,,,16-21,,Defensive rebound by L. Deng
2:28.0,,,16-21,,T. Johnson misses 2-pt shot from 20 ft
2:27.0,Defensive rebound by W. Ellington,,16-21,,
2:17.0,W. Ellington misses 2-pt shot from 18 ft,,16-21,,
2:16.0,Offensive rebound by T. Young,,16-21,,
2:09.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Jack),3,19-21,,
1:50.0,,,19-21,,G. Dragic misses 2-pt shot from 4 ft
1:49.0,Defensive rebound by W. Ellington,,19-21,,
1:42.0,Shooting foul by G. Dragic (drawn by J. Jack),,19-21,,
1:42.0,J. Jack makes free throw 1 of 2,1,20-21,,
1:42.0,,,20-21,,B. Udrih enters the game for L. Deng
1:42.0,,,20-21,,A. Stoudemire enters the game for H. Whiteside
1:42.0,,,20-21,,C. Bosh enters the game for G. Dragic
1:42.0,A. Bargnani enters the game for T. Young,,20-21,,
1:42.0,B. Lopez enters the game for W. Reed,,20-21,,
1:42.0,J. Jack makes free throw 2 of 2,1,21-21,,
1:26.0,,,21-24,3,C. Bosh makes 3-pt shot from 23 ft (assist by G. Green)
1:16.0,Shooting foul by T. Johnson (drawn by J. Jack),,21-24,,
1:16.0,J. Jack makes free throw 1 of 2,1,22-24,,
1:16.0,J. Jack makes free throw 2 of 2,1,23-24,,
0:56.0,,,23-24,,B. Udrih misses 2-pt shot from 19 ft
0:54.0,Defensive rebound by Team,,23-24,,
0:54.0,S. Larkin enters the game for J. Jack,,23-24,,
0:38.0,,,23-24,,Personal foul by A. Stoudemire (drawn by B. Lopez)
0:38.0,B. Lopez makes free throw 1 of 2,1,24-24,,
0:38.0,B. Bogdanovic enters the game for J. Johnson,,24-24,,
0:38.0,B. Lopez misses free throw 2 of 2,,24-24,,
0:38.0,Offensive rebound by B. Lopez,,24-24,,
0:34.0,S. Larkin misses 3-pt shot from 24 ft,,24-24,,
0:33.0,,,24-24,,Defensive rebound by C. Bosh
0:08.0,,,24-26,2,C. Bosh makes 2-pt shot from 3 ft (assist by B. Udrih)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,24-26,,G. Green misses 2-pt shot from 2 ft
11:42.0,,,24-26,,Offensive rebound by C. Bosh
11:41.0,,,24-28,2,C. Bosh makes 2-pt shot from 1 ft
11:23.0,S. Larkin makes 3-pt shot from 25 ft (assist by W. Ellington),3,27-28,,
11:01.0,,,27-28,,B. Udrih misses 2-pt shot from 16 ft
11:00.0,Defensive rebound by W. Ellington,,27-28,,
10:48.0,S. Larkin misses 2-pt shot from 2 ft,,27-28,,
10:47.0,,,27-28,,Defensive rebound by A. Stoudemire
10:38.0,,,27-28,,G. Green misses 2-pt shot from 18 ft
10:37.0,Defensive rebound by W. Ellington,,27-28,,
10:25.0,B. Lopez misses 2-pt shot from 7 ft,,27-28,,
10:24.0,,,27-28,,Defensive rebound by C. Bosh
10:08.0,,,27-28,,Shooting foul by S. Larkin (drawn by G. Green)
10:08.0,,,27-29,1,G. Green makes free throw 1 of 2
10:08.0,,,27-30,1,G. Green makes free throw 2 of 2
9:52.0,B. Lopez makes 2-pt shot from 2 ft,2,29-30,,
9:38.0,,,29-30,,Shooting foul by S. Larkin (drawn by C. Bosh)
9:38.0,,,29-31,1,C. Bosh makes free throw 1 of 2
9:38.0,,,29-32,1,C. Bosh makes free throw 2 of 2
9:28.0,S. Larkin misses 2-pt shot from 1 ft,,29-32,,
9:27.0,,,29-32,,Defensive rebound by G. Green
9:20.0,,,29-32,,A. Stoudemire misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by W. Ellington,,29-32,,
9:11.0,A. Bargnani misses 2-pt shot from 16 ft,,29-32,,
9:09.0,,,29-32,,Defensive rebound by G. Green
9:02.0,,,29-32,,Turnover by G. Green (bad pass; steal by B. Lopez)
