time,Brooklyn,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. Z. Pachulia (T. Young gains possession),,,,Jump ball: B. Lopez vs. Z. Pachulia (T. Young gains possession)
11:41.0,B. Lopez makes 2-pt shot from 7 ft,2,2-0,,
11:29.0,,,2-0,,D. Williams misses 2-pt shot from 15 ft
11:28.0,Defensive rebound by T. Young,,2-0,,
11:11.0,B. Lopez misses 2-pt shot from 21 ft,,2-0,,
11:10.0,,,2-0,,Defensive rebound by D. Williams
11:03.0,,,2-0,,Turnover by D. Nowitzki (bad pass)
10:50.0,Turnover by D. Sloan (bad pass),,2-0,,
10:28.0,Personal block foul by B. Lopez (drawn by D. Nowitzki),,2-0,,
10:21.0,,,2-0,,D. Williams misses 3-pt shot from 24 ft
10:19.0,,,2-0,,Offensive rebound by D. Nowitzki
10:17.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 17 ft
9:59.0,B. Lopez makes 2-pt shot from 18 ft (assist by D. Sloan),2,4-2,,
9:40.0,,,4-4,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams)
9:20.0,W. Ellington misses 3-pt shot from 24 ft,,4-4,,
9:19.0,,,4-4,,Defensive rebound by Z. Pachulia
9:08.0,,,4-4,,D. Williams misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by B. Lopez,,4-4,,
8:56.0,,,4-4,,Violation by D. Nowitzki (kicked ball)
8:48.0,D. Sloan makes 3-pt shot from 24 ft (assist by B. Lopez),3,7-4,,
8:30.0,,,7-4,,Z. Pachulia misses 2-pt shot from 12 ft
8:29.0,Defensive rebound by J. Johnson,,7-4,,
8:09.0,T. Young misses 2-pt shot from 3 ft (block by D. Nowitzki),,7-4,,
8:08.0,,,7-4,,Defensive rebound by D. Nowitzki
7:57.0,,,7-4,,D. Williams misses 2-pt shot from 1 ft
7:55.0,,,7-4,,Offensive rebound by Z. Pachulia
7:55.0,,,7-6,2,Z. Pachulia makes 2-pt shot at rim
7:35.0,T. Young misses 2-pt shot from 3 ft,,7-6,,
7:34.0,,,7-6,,Defensive rebound by D. Nowitzki
7:23.0,,,7-9,3,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews)
7:00.0,,,7-9,,Personal foul by Z. Pachulia (drawn by B. Lopez)
6:54.0,D. Sloan makes 3-pt shot from 24 ft,3,10-9,,
6:32.0,,,10-9,,D. Nowitzki misses 2-pt shot from 14 ft
6:32.0,Defensive rebound by B. Lopez,,10-9,,
6:20.0,J. Johnson misses 3-pt shot from 22 ft,,10-9,,
6:19.0,,,10-9,,Defensive rebound by W. Matthews
6:06.0,,,10-9,,C. Parsons misses 3-pt shot from 22 ft
6:05.0,Defensive rebound by T. Young,,10-9,,
5:53.0,T. Young misses 2-pt shot from 21 ft,,10-9,,
5:52.0,,,10-9,,Defensive rebound by C. Parsons
5:48.0,,,10-9,,Dallas full timeout
5:48.0,,,10-9,,R. Felton enters the game for D. Nowitzki
5:38.0,,,10-11,2,C. Parsons makes 2-pt shot from 5 ft
5:20.0,T. Young misses 2-pt shot from 5 ft,,10-11,,
5:19.0,Offensive rebound by T. Young,,10-11,,
5:16.0,T. Young makes 2-pt shot from 2 ft,2,12-11,,
4:59.0,,,12-11,,D. Williams misses 2-pt shot from 10 ft
4:58.0,,,12-11,,Offensive rebound by Team
4:45.0,,,12-11,,Z. Pachulia misses 2-pt shot from 15 ft
4:44.0,Defensive rebound by B. Lopez,,12-11,,
4:22.0,B. Lopez misses 2-pt shot from 9 ft,,12-11,,
4:21.0,,,12-11,,Defensive rebound by Z. Pachulia
4:08.0,,,12-13,2,W. Matthews makes 2-pt shot from 17 ft
3:56.0,Turnover by B. Lopez (bad pass; steal by D. Williams),,12-13,,
3:50.0,,,12-16,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams)
3:36.0,D. Sloan makes 2-pt shot from 1 ft,2,14-16,,
3:19.0,,,14-18,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by C. Parsons)
3:03.0,T. Young misses 2-pt shot from 6 ft,,14-18,,
3:01.0,,,14-18,,Defensive rebound by W. Matthews
2:55.0,,,14-18,,D. Williams misses 3-pt shot from 25 ft
2:55.0,,,14-18,,Offensive rebound by C. Parsons
2:55.0,Loose ball foul by J. Johnson (drawn by C. Parsons),,14-18,,
2:55.0,Technical foul by J. Johnson (drawn by C. Parsons),,14-18,,
2:55.0,Brooklyn full timeout,,14-18,,
2:55.0,A. Bargnani enters the game for B. Lopez,,14-18,,
2:55.0,B. Bogdanovic enters the game for W. Ellington,,14-18,,
2:55.0,,,14-19,1,D. Williams makes technical free throw
2:39.0,,,14-21,2,R. Felton makes 2-pt shot from 21 ft
2:19.0,D. Sloan misses 2-pt shot from 18 ft,,14-21,,
2:18.0,,,14-21,,Defensive rebound by W. Matthews
2:03.0,,,14-23,2,Z. Pachulia makes 2-pt shot from 4 ft
1:55.0,Brooklyn full timeout,,14-23,,
1:55.0,,,14-23,,J. Barea enters the game for C. Parsons
1:55.0,,,14-23,,D. Nowitzki enters the game for Z. Pachulia
1:55.0,,,14-23,,C. Villanueva enters the game for D. Williams
1:55.0,S. Larkin enters the game for D. Sloan,,14-23,,
1:48.0,Turnover by S. Larkin (bad pass; steal by D. Nowitzki),,14-23,,
1:37.0,,,14-25,2,J. Barea makes 2-pt shot from 12 ft
1:16.0,J. Johnson makes 2-pt shot from 2 ft,2,16-25,,
1:03.0,,,16-25,,W. Matthews misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by T. Young,,16-25,,
0:51.0,J. Johnson makes 2-pt shot from 11 ft,2,18-25,,
0:27.0,,,18-25,,D. Nowitzki misses 3-pt shot from 23 ft
0:26.0,Defensive rebound by S. Larkin,,18-25,,
0:21.0,Turnover by S. Larkin (bad pass; steal by J. Barea),,18-25,,
0:04.0,Personal foul by S. Larkin,,18-25,,
0:01.0,,,18-25,,R. Felton misses 2-pt shot from 7 ft
0:00.0,,,18-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,18-27,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by J. Barea)
11:29.0,W. Ellington misses 2-pt shot from 10 ft,,18-27,,
11:28.0,,,18-27,,Defensive rebound by D. Nowitzki
11:12.0,,,18-30,3,C. Villanueva makes 3-pt shot from 23 ft (assist by R. Felton)
10:57.0,S. Larkin misses 2-pt shot from 16 ft,,18-30,,
10:56.0,,,18-30,,Defensive rebound by C. Villanueva
10:49.0,,,18-32,2,R. Felton makes 2-pt shot from 1 ft
10:48.0,Brooklyn full timeout,,18-32,,
10:48.0,B. Lopez enters the game for W. Ellington,,18-32,,
10:33.0,Turnover by S. Larkin (lost ball; steal by J. Anderson),,18-32,,
10:18.0,,,18-32,,C. Villanueva misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by A. Bargnani,,18-32,,
9:55.0,B. Lopez misses 2-pt shot from 15 ft,,18-32,,
9:54.0,Offensive rebound by S. Karasev,,18-32,,
9:54.0,S. Karasev misses 2-pt shot at rim,,18-32,,
9:53.0,,,18-32,,Defensive rebound by J. Anderson
9:48.0,,,18-35,3,J. Barea makes 3-pt shot from 23 ft (assist by R. Felton)
9:30.0,Turnover by B. Lopez (bad pass),,18-35,,
9:30.0,D. Sloan enters the game for A. Bargnani,,18-35,,
9:30.0,J. Johnson enters the game for S. Larkin,,18-35,,
9:30.0,T. Young enters the game for S. Karasev,,18-35,,
9:17.0,,,18-35,,C. Villanueva misses 2-pt shot from 4 ft
9:16.0,Defensive rebound by J. Johnson,,18-35,,
9:06.0,T. Young misses 2-pt shot at rim (block by D. Nowitzki),,18-35,,
9:05.0,,,18-35,,Defensive rebound by C. Villanueva
8:43.0,,,18-35,,R. Felton misses 2-pt shot from 5 ft
8:42.0,Defensive rebound by T. Young,,18-35,,
8:29.0,B. Lopez makes 2-pt shot from 14 ft (assist by D. Sloan),2,20-35,,
8:11.0,,,20-37,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by R. Felton)
7:47.0,B. Bogdanovic misses 3-pt shot from 23 ft,,20-37,,
7:46.0,,,20-37,,Defensive rebound by J. Anderson
7:35.0,,,20-37,,J. Barea misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by B. Lopez,,20-37,,
7:30.0,,,20-37,,Personal foul by J. Barea
7:30.0,,,20-37,,C. Parsons enters the game for D. Nowitzki
7:30.0,,,20-37,,Z. Pachulia enters the game for C. Villanueva
7:16.0,Shooting foul by J. Barea (drawn by J. Johnson),,20-37,,
7:16.0,J. Johnson makes free throw 1 of 2,1,21-37,,
7:16.0,J. Johnson makes free throw 2 of 2,1,22-37,,
6:54.0,,,22-37,,Turnover by J. Anderson (bad pass; steal by D. Sloan)
6:42.0,B. Bogdanovic misses 3-pt shot from 23 ft,,22-37,,
6:41.0,,,22-37,,Defensive rebound by Z. Pachulia
6:25.0,,,22-37,,C. Parsons misses 2-pt shot from 3 ft (block by B. Lopez)
6:23.0,,,22-37,,Offensive rebound by Z. Pachulia
6:18.0,,,22-40,3,C. Parsons makes 3-pt shot from 23 ft (assist by J. Anderson)
6:08.0,D. Sloan misses 2-pt shot from 1 ft (block by J. Anderson),,22-40,,
6:08.0,Offensive rebound by Team,,22-40,,
6:05.0,Shooting foul by Z. Pachulia (drawn by B. Lopez),,22-40,,
6:05.0,B. Lopez makes 2-pt shot from 2 ft,2,24-40,,
6:05.0,B. Lopez makes free throw 1 of 1,1,25-40,,
5:59.0,,,25-40,,Dallas full timeout
5:59.0,,,25-40,,D. Williams enters the game for J. Anderson
5:41.0,,,25-43,3,J. Barea makes 3-pt shot from 25 ft (assist by Z. Pachulia)
5:22.0,B. Lopez misses 2-pt shot from 13 ft,,25-43,,
5:21.0,,,25-43,,Defensive rebound by C. Parsons
5:04.0,Personal foul by B. Bogdanovic (drawn by D. Williams),,25-43,,
5:04.0,S. Larkin enters the game for B. Bogdanovic,,25-43,,
4:51.0,,,25-43,,C. Parsons misses 2-pt shot from 12 ft
4:50.0,,,25-43,,Offensive rebound by Z. Pachulia
4:50.0,,,25-43,,Turnover by Team (shot clock)
4:35.0,J. Johnson makes 2-pt shot from 10 ft,2,27-43,,
4:21.0,,,27-43,,J. Barea misses 2-pt shot from 8 ft
4:20.0,Defensive rebound by J. Johnson,,27-43,,
4:04.0,S. Larkin misses 2-pt shot from 10 ft,,27-43,,
4:03.0,,,27-43,,Defensive rebound by J. Barea
3:51.0,,,27-43,,Turnover by D. Williams (bad pass; steal by T. Young)
3:44.0,T. Young makes 2-pt shot from 2 ft,2,29-43,,
3:39.0,,,29-43,,Dallas full timeout
3:39.0,,,29-43,,D. Nowitzki enters the game for R. Felton
3:39.0,,,29-43,,W. Matthews enters the game for J. Barea
3:32.0,,,29-45,2,D. Williams makes 2-pt shot from 1 ft
3:11.0,D. Sloan makes 2-pt shot from 2 ft (assist by B. Lopez),2,31-45,,
3:01.0,,,31-47,2,D. Williams makes 2-pt shot from 1 ft
2:47.0,,,31-47,,Def 3 sec tech foul by C. Parsons
2:47.0,Official timeout,,31-47,,
2:47.0,J. Johnson makes technical free throw,1,32-47,,
2:39.0,J. Johnson misses 3-pt shot from 23 ft,,32-47,,
2:37.0,Offensive rebound by S. Larkin,,32-47,,
2:34.0,B. Lopez misses 2-pt shot from 5 ft,,32-47,,
2:33.0,Offensive rebound by B. Lopez,,32-47,,
2:32.0,Shooting foul by D. Williams (drawn by B. Lopez),,32-47,,
2:32.0,B. Lopez misses free throw 1 of 2,,32-47,,
2:32.0,Offensive rebound by Team,,32-47,,
2:32.0,B. Lopez makes free throw 2 of 2,1,33-47,,
2:19.0,,,33-49,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by C. Parsons)
1:59.0,Shooting foul by W. Matthews (drawn by B. Lopez),,33-49,,
1:59.0,B. Lopez makes free throw 1 of 2,1,34-49,,
1:59.0,B. Lopez makes free throw 2 of 2,1,35-49,,
1:38.0,,,35-49,,W. Matthews misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by T. Young,,35-49,,
1:22.0,D. Sloan misses 3-pt shot from 24 ft,,35-49,,
1:21.0,,,35-49,,Defensive rebound by D. Williams
1:09.0,,,35-49,,Shooting foul by B. Lopez (drawn by Z. Pachulia)
1:09.0,,,35-50,1,Z. Pachulia makes free throw 1 of 2
1:09.0,,,35-51,1,Z. Pachulia makes free throw 2 of 2
1:00.0,T. Young makes 2-pt shot at rim (assist by J. Johnson),2,37-51,,
0:40.0,,,37-51,,Turnover by Z. Pachulia (3 sec)
0:40.0,,,37-51,,S. Mejri enters the game for Z. Pachulia
0:29.0,J. Johnson misses 3-pt shot from 24 ft,,37-51,,
0:28.0,,,37-51,,Defensive rebound by D. Nowitzki
0:10.0,,,37-51,,D. Williams misses 2-pt shot from 2 ft
0:08.0,Defensive rebound by B. Lopez,,37-51,,
0:03.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson),2,39-51,,
0:00.0,,,39-51,,D. Williams misses 3-pt shot from 53 ft
0:00.0,,,39-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,39-51,,Turnover by C. Parsons (lost ball; steal by D. Sloan)
11:47.0,,,39-51,,Loose ball foul by C. Parsons (drawn by J. Johnson)
11:32.0,T. Young makes 2-pt shot at rim (assist by J. Johnson),2,41-51,,
11:13.0,,,41-51,,C. Parsons misses 2-pt shot from 15 ft
11:12.0,Defensive rebound by W. Ellington,,41-51,,
10:51.0,B. Lopez makes 2-pt shot from 12 ft,2,43-51,,
10:37.0,,,43-51,,D. Nowitzki misses 2-pt shot from 11 ft
10:36.0,Defensive rebound by T. Young,,43-51,,
10:27.0,J. Johnson misses 2-pt shot from 11 ft,,43-51,,
10:26.0,,,43-51,,Defensive rebound by Z. Pachulia
10:18.0,,,43-53,2,Z. Pachulia makes 2-pt shot at rim (assist by W. Matthews)
9:58.0,B. Lopez misses 2-pt shot from 21 ft,,43-53,,
9:57.0,,,43-53,,Defensive rebound by D. Nowitzki
9:47.0,,,43-53,,D. Nowitzki misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by W. Ellington,,43-53,,
9:34.0,D. Sloan misses 3-pt shot from 24 ft,,43-53,,
9:33.0,,,43-53,,Defensive rebound by C. Parsons
9:17.0,,,43-53,,Z. Pachulia misses 2-pt shot from 1 ft (block by B. Lopez)
9:15.0,Defensive rebound by D. Sloan,,43-53,,
9:10.0,Turnover by D. Sloan (bad pass; steal by D. Nowitzki),,43-53,,
9:02.0,,,43-55,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by C. Parsons)
8:46.0,B. Lopez makes 2-pt shot at rim (assist by D. Sloan),2,45-55,,
8:28.0,,,45-55,,D. Williams misses 2-pt shot from 16 ft
8:27.0,Defensive rebound by B. Lopez,,45-55,,
8:13.0,Shooting foul by D. Nowitzki (drawn by T. Young),,45-55,,
8:13.0,T. Young makes free throw 1 of 2,1,46-55,,
8:13.0,T. Young makes free throw 2 of 2,1,47-55,,
7:52.0,,,47-55,,Turnover by C. Parsons (bad pass; steal by T. Young)
7:45.0,T. Young misses 2-pt shot from 11 ft,,47-55,,
7:44.0,,,47-55,,Defensive rebound by C. Parsons
7:35.0,,,47-55,,C. Parsons misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by W. Ellington,,47-55,,
7:16.0,T. Young misses 2-pt shot from 6 ft,,47-55,,
7:15.0,,,47-55,,Defensive rebound by Z. Pachulia
6:54.0,,,47-55,,Shooting foul by B. Lopez (drawn by Z. Pachulia)
6:54.0,,,47-56,1,Z. Pachulia makes free throw 1 of 2
6:54.0,,,47-56,,Z. Pachulia misses free throw 2 of 2
6:54.0,Defensive rebound by B. Lopez,,47-56,,
6:35.0,W. Ellington misses 2-pt shot from 21 ft,,47-56,,
6:35.0,,,47-56,,Defensive rebound by C. Parsons
6:19.0,,,47-56,,D. Williams misses 2-pt shot from 6 ft
6:18.0,,,47-56,,Offensive rebound by Z. Pachulia
6:16.0,,,47-56,,Turnover by Z. Pachulia (lost ball; steal by T. Young)
6:05.0,B. Lopez makes 2-pt shot from 5 ft,2,49-56,,
6:04.0,,,49-56,,Dallas full timeout
6:04.0,,,49-56,,R. Felton enters the game for D. Nowitzki
5:46.0,,,49-58,2,C. Parsons makes 2-pt shot from 1 ft (assist by W. Matthews)
5:26.0,W. Ellington misses 3-pt shot from 24 ft,,49-58,,
5:25.0,,,49-58,,Defensive rebound by Z. Pachulia
5:13.0,,,49-58,,W. Matthews misses 2-pt shot from 9 ft
5:12.0,Defensive rebound by D. Sloan,,49-58,,
5:04.0,Shooting foul by D. Williams (drawn by J. Johnson),,49-58,,
5:04.0,J. Johnson makes free throw 1 of 2,1,50-58,,
5:04.0,B. Bogdanovic enters the game for W. Ellington,,50-58,,
5:04.0,J. Johnson makes free throw 2 of 2,1,51-58,,
4:53.0,Personal foul by B. Bogdanovic (drawn by R. Felton),,51-58,,
4:47.0,,,51-60,2,Z. Pachulia makes 2-pt shot from 9 ft (assist by D. Williams)
4:27.0,Turnover by T. Young (3 sec),,51-60,,
4:14.0,,,51-60,,Turnover by R. Felton (bad pass; steal by B. Lopez)
4:05.0,B. Lopez misses 2-pt shot from 21 ft,,51-60,,
4:04.0,,,51-60,,Defensive rebound by C. Parsons
3:54.0,,,51-62,2,C. Parsons makes 2-pt shot from 9 ft
3:46.0,Brooklyn full timeout,,51-62,,
3:38.0,Shooting foul by C. Parsons (drawn by B. Lopez),,51-62,,
3:38.0,B. Lopez misses free throw 1 of 2,,51-62,,
3:38.0,Offensive rebound by Team,,51-62,,
3:38.0,S. Larkin enters the game for D. Sloan,,51-62,,
3:38.0,B. Lopez makes free throw 2 of 2,1,52-62,,
3:23.0,W. Ellington enters the game for J. Johnson,,52-62,,
3:23.0,,,52-62,,Turnover by C. Parsons (bad pass; steal by B. Lopez)
3:23.0,Jump ball: B. Lopez vs. Z. Pachulia (W. Ellington gains possession),,,,Jump ball: B. Lopez vs. Z. Pachulia (W. Ellington gains possession)
3:11.0,B. Lopez misses 2-pt shot from 1 ft,,52-62,,
3:09.0,Offensive rebound by T. Young,,52-62,,
3:09.0,T. Young misses 2-pt shot from 2 ft,,52-62,,
3:08.0,,,52-62,,Defensive rebound by Z. Pachulia
2:57.0,,,52-65,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Williams)
2:38.0,Shooting foul by C. Parsons (drawn by T. Young),,52-65,,
2:38.0,T. Young makes free throw 1 of 2,1,53-65,,
2:38.0,,,53-65,,J. Barea enters the game for D. Williams
2:38.0,,,53-65,,D. Nowitzki enters the game for C. Parsons
2:38.0,A. Bargnani enters the game for B. Lopez,,53-65,,
2:38.0,,,53-65,,S. Mejri enters the game for Z. Pachulia
2:38.0,T. Young misses free throw 2 of 2,,53-65,,
2:37.0,Offensive rebound by W. Ellington,,53-65,,
2:28.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by D. Nowitzki),,53-65,,
2:26.0,,,53-65,,Defensive rebound by R. Felton
2:16.0,,,53-65,,Turnover by J. Barea (bad pass; steal by T. Young)
2:10.0,S. Larkin misses 2-pt shot from 16 ft,,53-65,,
2:09.0,,,53-65,,Defensive rebound by J. Barea
1:57.0,,,53-67,2,S. Mejri makes 2-pt shot at rim (assist by J. Barea)
1:37.0,W. Ellington makes 2-pt shot from 17 ft,2,55-67,,
1:22.0,,,55-69,2,R. Felton makes 2-pt shot from 6 ft
0:59.0,S. Larkin misses 3-pt shot from 22 ft,,55-69,,
0:58.0,,,55-69,,Defensive rebound by D. Nowitzki
0:37.0,,,55-69,,R. Felton misses 2-pt shot from 5 ft
