time,LA Clippers,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Valanciunas (P. Pierce gains possession),,,,Jump ball: D. Jordan vs. J. Valanciunas (P. Pierce gains possession)
11:47.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,2-0,,
11:34.0,,,2-0,,Turnover by L. Scola (offensive foul)
11:34.0,,,2-0,,Offensive foul by L. Scola
11:20.0,Shooting foul by J. Valanciunas (drawn by L. Mbah a Moute),,2-0,,
11:20.0,L. Mbah a Moute misses free throw 1 of 2,,2-0,,
11:20.0,Offensive rebound by Team,,2-0,,
11:20.0,L. Mbah a Moute makes free throw 2 of 2,1,3-0,,
10:58.0,,,3-3,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
10:48.0,Turnover by C. Paul (bad pass),,3-3,,
10:32.0,,,3-5,2,D. DeRozan makes 2-pt shot from 16 ft
10:32.0,,,3-5,,Shooting foul by P. Pierce (drawn by D. DeRozan)
10:32.0,,,3-6,1,D. DeRozan makes free throw 1 of 1
10:22.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,5-6,,
9:58.0,,,5-6,,J. Johnson misses 2-pt shot from 19 ft
9:55.0,,,5-6,,Offensive rebound by Team
9:55.0,Loose ball foul by L. Mbah a Moute (drawn by J. Valanciunas),,5-6,,
9:49.0,,,5-8,2,J. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
9:42.0,Shooting foul by K. Lowry (drawn by J. Redick),,5-8,,
9:42.0,J. Redick misses free throw 1 of 2,,5-8,,
9:42.0,Offensive rebound by Team,,5-8,,
9:42.0,J. Redick makes free throw 2 of 2,1,6-8,,
9:34.0,,,6-8,,Turnover by K. Lowry (bad pass)
9:28.0,C. Paul makes 3-pt shot from 24 ft,3,9-8,,
9:07.0,,,9-10,2,J. Valanciunas makes 2-pt shot from 2 ft
8:52.0,D. Jordan makes 2-pt shot from 1 ft (assist by P. Pierce),2,11-10,,
8:36.0,,,11-10,,J. Johnson misses 2-pt shot from 9 ft
8:35.0,Defensive rebound by D. Jordan,,11-10,,
8:17.0,D. Jordan makes 2-pt shot at rim (assist by P. Pierce),2,13-10,,
7:59.0,,,13-10,,L. Scola misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by D. Jordan,,13-10,,
7:49.0,D. Jordan misses 2-pt shot at rim,,13-10,,
7:48.0,,,13-10,,Defensive rebound by Team
7:30.0,,,13-10,,K. Lowry misses 2-pt shot from 3 ft
7:29.0,Defensive rebound by C. Paul,,13-10,,
7:20.0,,,13-10,,Personal foul by J. Johnson (drawn by C. Paul)
7:11.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,13-10,,
7:10.0,,,13-10,,Defensive rebound by J. Valanciunas
6:59.0,,,13-12,2,D. DeRozan makes 2-pt shot from 12 ft
6:59.0,,,13-12,,Shooting foul by P. Pierce (drawn by D. DeRozan)
6:59.0,W. Johnson enters the game for P. Pierce,,13-12,,
6:59.0,,,13-13,1,D. DeRozan makes free throw 1 of 1
6:52.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,16-13,,
6:52.0,Shooting foul by J. Johnson (drawn by J. Redick),,16-13,,
6:52.0,J. Redick makes free throw 1 of 1,1,17-13,,
6:41.0,,,17-13,,D. DeRozan misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by Team,,17-13,,
6:38.0,,,17-13,,T. Ross enters the game for J. Johnson
6:38.0,Jump ball: D. Jordan vs. J. Valanciunas (W. Johnson gains possession),,,,Jump ball: D. Jordan vs. J. Valanciunas (W. Johnson gains possession)
6:36.0,C. Paul misses 2-pt shot from 15 ft,,17-13,,
6:36.0,,,17-13,,Defensive rebound by L. Scola
6:11.0,,,17-13,,J. Valanciunas misses 2-pt shot from 2 ft
6:11.0,Defensive rebound by D. Jordan,,17-13,,
6:01.0,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul),2,19-13,,
5:53.0,,,19-13,,Toronto full timeout
5:53.0,,,19-13,,P. Patterson enters the game for L. Scola
5:44.0,,,19-13,,D. DeRozan misses 2-pt shot from 13 ft
5:44.0,Defensive rebound by D. Jordan,,19-13,,
5:34.0,C. Paul makes 2-pt shot from 18 ft,2,21-13,,
5:18.0,,,21-13,,K. Lowry misses 2-pt shot from 20 ft
5:18.0,,,21-13,,Offensive rebound by J. Valanciunas
5:13.0,,,21-15,2,J. Valanciunas makes 2-pt shot from 2 ft
4:54.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,21-15,,
4:54.0,,,21-15,,Defensive rebound by J. Valanciunas
4:45.0,,,21-15,,J. Valanciunas misses 2-pt shot from 17 ft
4:45.0,Defensive rebound by J. Redick,,21-15,,
4:32.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by J. Valanciunas),,21-15,,
4:31.0,Offensive rebound by D. Jordan,,21-15,,
4:30.0,D. Jordan misses 2-pt shot from 1 ft,,21-15,,
4:29.0,Offensive rebound by L. Mbah a Moute,,21-15,,
4:28.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,21-15,,
4:27.0,Offensive rebound by D. Jordan,,21-15,,
4:25.0,Shooting foul by P. Patterson (drawn by D. Jordan),,21-15,,
4:25.0,D. Jordan misses free throw 1 of 2,,21-15,,
4:25.0,Offensive rebound by Team,,21-15,,
4:25.0,D. Jordan makes free throw 2 of 2,1,22-15,,
4:07.0,,,22-15,,K. Lowry misses 2-pt shot from 2 ft
4:06.0,Defensive rebound by C. Paul,,22-15,,
3:55.0,W. Johnson makes 3-pt shot from 24 ft (assist by C. Paul),3,25-15,,
3:32.0,,,25-17,2,K. Lowry makes 2-pt shot from 8 ft
3:28.0,C. Paul makes 2-pt shot from 2 ft,2,27-17,,
3:28.0,Shooting foul by T. Ross (drawn by C. Paul),,27-17,,
3:28.0,J. Crawford enters the game for J. Redick,,27-17,,
3:28.0,C. Paul makes free throw 1 of 1,1,28-17,,
3:17.0,,,28-17,,Shooting foul by D. Jordan (drawn by D. DeRozan)
3:17.0,,,28-18,1,D. DeRozan makes free throw 1 of 2
3:17.0,,,28-18,,B. Biyombo enters the game for J. Valanciunas
3:17.0,,,28-18,,C. Joseph enters the game for K. Lowry
3:17.0,,,28-19,1,D. DeRozan makes free throw 2 of 2
3:04.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,30-19,,
2:41.0,,,30-19,,C. Joseph misses 2-pt shot from 2 ft (block by C. Paul)
2:40.0,,,30-19,,Offensive rebound by Team
2:40.0,LA Clippers full timeout,,30-19,,
2:40.0,A. Rivers enters the game for C. Paul,,30-19,,
2:34.0,,,30-19,,Turnover by C. Joseph (bad pass; steal by L. Mbah a Moute)
2:22.0,D. Jordan misses 2-pt shot from 1 ft,,30-19,,
2:21.0,,,30-19,,Defensive rebound by B. Biyombo
2:14.0,,,30-19,,C. Joseph misses 2-pt shot from 15 ft
2:12.0,Defensive rebound by D. Jordan,,30-19,,
2:02.0,W. Johnson misses 3-pt shot from 25 ft,,30-19,,
2:00.0,Offensive rebound by Team,,30-19,,
1:55.0,A. Rivers makes 2-pt shot from 3 ft,2,32-19,,
1:31.0,,,32-21,2,D. DeRozan makes 2-pt shot from 18 ft
1:15.0,J. Crawford misses 2-pt shot from 19 ft,,32-21,,
1:15.0,,,32-21,,Defensive rebound by D. DeRozan
1:02.0,,,32-21,,T. Ross misses 3-pt shot from 23 ft
1:02.0,,,32-21,,Offensive rebound by B. Biyombo
1:00.0,,,32-23,2,B. Biyombo makes 2-pt shot from 2 ft
1:00.0,,,32-23,,Shooting foul by D. Jordan (drawn by B. Biyombo)
1:00.0,C. Aldrich enters the game for D. Jordan,,32-23,,
