time,Detroit,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. C. Zeller (K. Walker gains possession),,,,Jump ball: A. Drummond vs. C. Zeller (K. Walker gains possession)
11:43.0,,,0-2,2,C. Lee makes 2-pt shot from 1 ft (assist by K. Walker)
11:25.0,M. Morris misses 2-pt shot from 13 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by C. Zeller
11:14.0,,,0-2,,N. Batum misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by A. Drummond,,0-2,,
11:07.0,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by R. Jackson),2,2-2,,
10:49.0,Violation by M. Morris (kicked ball),,2-2,,
10:43.0,,,2-5,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
10:21.0,T. Harris misses 3-pt shot from 24 ft,,2-5,,
10:20.0,,,2-5,,Defensive rebound by C. Lee
10:11.0,,,2-5,,K. Walker misses 3-pt shot from 23 ft
10:08.0,,,2-5,,Offensive rebound by C. Zeller
10:04.0,,,2-8,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
9:57.0,Detroit full timeout,,2-8,,
9:45.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,4-8,,
9:28.0,,,4-10,2,N. Batum makes 2-pt shot from 13 ft
9:19.0,Offensive foul by A. Drummond,,4-10,,
9:19.0,Turnover by A. Drummond (offensive foul),,4-10,,
9:01.0,,,4-13,3,M. Williams makes 3-pt shot from 27 ft (assist by C. Lee)
8:45.0,T. Harris makes 3-pt shot from 24 ft (assist by M. Morris),3,7-13,,
8:24.0,,,7-13,,Turnover by K. Walker (lost ball; steal by K. Caldwell-Pope)
8:18.0,T. Harris makes 2-pt shot from 14 ft (assist by R. Jackson),2,9-13,,
8:01.0,,,9-13,,N. Batum misses 2-pt shot from 14 ft
7:59.0,Defensive rebound by A. Drummond,,9-13,,
7:47.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson),3,12-13,,
7:43.0,,,12-13,,Charlotte full timeout
7:30.0,,,12-15,2,C. Lee makes 2-pt shot from 15 ft
7:19.0,Offensive foul by K. Caldwell-Pope,,12-15,,
7:19.0,Turnover by K. Caldwell-Pope (offensive foul),,12-15,,
7:07.0,,,12-17,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
6:55.0,Shooting foul by K. Walker (drawn by R. Jackson),,12-17,,
6:55.0,R. Jackson makes free throw 1 of 2,1,13-17,,
6:55.0,R. Jackson makes free throw 2 of 2,1,14-17,,
