time,Oklahoma City,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Chandler (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. T. Chandler (R. Westbrook gains possession)
11:43.0,K. Durant misses 2-pt shot from 17 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by T. Chandler
11:30.0,,,0-2,2,T. Chandler makes 2-pt shot from 1 ft (assist by A. Goodwin)
11:11.0,K. Durant makes 2-pt shot from 1 ft,2,2-2,,
10:45.0,,,2-2,,A. Goodwin misses 3-pt shot from 24 ft
10:44.0,,,2-2,,Offensive rebound by T. Chandler
10:26.0,,,2-4,2,M. Morris makes 2-pt shot from 14 ft
10:12.0,R. Westbrook makes 2-pt shot from 6 ft (assist by D. Waiters),2,4-4,,
9:52.0,,,4-4,,P. Tucker misses 2-pt shot from 2 ft
9:49.0,Defensive rebound by R. Westbrook,,4-4,,
9:44.0,D. Waiters misses 3-pt shot from 23 ft,,4-4,,
9:41.0,,,4-4,,Defensive rebound by M. Morris
9:31.0,,,4-6,2,M. Morris makes 2-pt shot from 1 ft
9:20.0,,,4-6,,Personal foul by M. Morris (drawn by R. Westbrook)
9:17.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,7-6,,
9:01.0,,,7-6,,Shooting foul by S. Adams (drawn by M. Morris)
9:01.0,,,7-6,,M. Morris misses free throw 1 of 2
9:01.0,,,7-6,,Offensive rebound by Team
9:01.0,,,7-6,,M. Morris misses free throw 2 of 2
8:59.0,Defensive rebound by S. Ibaka,,7-6,,
8:51.0,R. Westbrook misses 2-pt shot from 4 ft,,7-6,,
8:48.0,,,7-6,,Defensive rebound by D. Booker
8:45.0,,,7-8,2,A. Goodwin makes 2-pt shot at rim (assist by D. Booker)
8:34.0,S. Ibaka misses 3-pt shot from 24 ft,,7-8,,
8:32.0,,,7-8,,Defensive rebound by P. Tucker
