time,New Orleans,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. D. Jordan (L. Mbah a Moute gains possession),,,,Jump ball: O. Asik vs. D. Jordan (L. Mbah a Moute gains possession)
11:42.0,,,0-0,,J. Redick misses 2-pt shot from 21 ft
11:42.0,Defensive rebound by R. Anderson,,0-0,,
11:21.0,D. Cunningham misses 2-pt shot from 9 ft,,0-0,,
11:19.0,Offensive rebound by D. Cunningham,,0-0,,
11:02.0,E. Gordon makes 2-pt shot at rim (assist by O. Asik),2,2-0,,
10:42.0,,,2-2,2,C. Paul makes 2-pt shot from 20 ft
10:32.0,Turnover by O. Asik (bad pass; steal by C. Paul),,2-2,,
10:14.0,,,2-2,,Turnover by P. Pierce (lost ball; steal by D. Cunningham)
10:08.0,T. Evans misses 2-pt shot from 2 ft,,2-2,,
10:06.0,,,2-2,,Defensive rebound by J. Redick
9:59.0,,,2-2,,Shooting foul by E. Gordon (drawn by J. Redick)
9:59.0,,,2-3,1,J. Redick makes free throw 1 of 2
9:59.0,,,2-4,1,J. Redick makes free throw 2 of 2
9:45.0,T. Evans makes 3-pt shot from 27 ft (assist by E. Gordon),3,5-4,,
9:34.0,,,5-4,,J. Redick misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by O. Asik,,5-4,,
9:18.0,R. Anderson makes 2-pt shot from 13 ft,2,7-4,,
9:05.0,,,7-6,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by D. Jordan)
8:53.0,R. Anderson misses 3-pt shot from 27 ft,,7-6,,
8:52.0,,,7-6,,Defensive rebound by L. Mbah a Moute
8:46.0,,,7-6,,Offensive foul by D. Jordan
8:46.0,,,7-6,,Turnover by D. Jordan (offensive foul)
8:33.0,D. Cunningham makes 2-pt shot from 19 ft (assist by T. Evans),2,9-6,,
8:16.0,,,9-6,,C. Paul misses 2-pt shot from 18 ft
8:15.0,Defensive rebound by O. Asik,,9-6,,
7:59.0,R. Anderson makes 2-pt shot from 17 ft,2,11-6,,
7:47.0,,,11-9,3,P. Pierce makes 3-pt shot from 26 ft (assist by C. Paul)
7:20.0,E. Gordon misses 2-pt shot from 4 ft,,11-9,,
7:19.0,,,11-9,,Defensive rebound by P. Pierce
7:11.0,,,11-9,,J. Redick misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by D. Cunningham,,11-9,,
7:00.0,R. Anderson makes 3-pt shot from 26 ft (assist by T. Evans),3,14-9,,
6:42.0,,,14-9,,P. Pierce misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by O. Asik,,14-9,,
6:32.0,T. Evans misses 3-pt shot from 25 ft,,14-9,,
6:32.0,,,14-9,,Defensive rebound by J. Redick
6:32.0,Personal take foul by O. Asik (drawn by J. Redick),,14-9,,
6:07.0,,,14-11,2,C. Paul makes 2-pt shot from 19 ft
5:56.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans),3,17-11,,
5:42.0,,,17-11,,Shooting foul by R. Anderson (drawn by L. Mbah a Moute)
5:42.0,,,17-11,,LA Clippers full timeout
