time,Atlanta,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Jokic (E. Mudiay gains possession),,,,Jump ball: A. Horford vs. N. Jokic (E. Mudiay gains possession)
11:46.0,,,0-0,,Turnover by K. Faried (bad pass; steal by K. Bazemore)
11:41.0,K. Bazemore makes 2-pt shot from 2 ft,2,2-0,,
11:22.0,Personal foul by P. Millsap (drawn by N. Jokic),,2-0,,
11:22.0,,,2-1,1,N. Jokic makes free throw 1 of 2
11:22.0,,,2-2,1,N. Jokic makes free throw 2 of 2
11:01.0,P. Millsap makes 2-pt shot from 7 ft,2,4-2,,
10:47.0,,,4-2,,Turnover by D. Gallinari (bad pass; steal by K. Korver)
10:43.0,Turnover by K. Korver (bad pass; steal by G. Harris),,4-2,,
10:39.0,,,4-4,2,G. Harris makes 2-pt shot from 2 ft
10:17.0,K. Bazemore misses 3-pt shot from 23 ft,,4-4,,
10:17.0,,,4-4,,Defensive rebound by K. Faried
10:07.0,,,4-6,2,D. Gallinari makes 2-pt shot from 1 ft (assist by N. Jokic)
9:49.0,A. Horford misses 3-pt shot from 22 ft,,4-6,,
9:48.0,Offensive rebound by P. Millsap,,4-6,,
9:43.0,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford),2,6-6,,
9:31.0,,,6-9,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
9:20.0,Shooting foul by N. Jokic (drawn by P. Millsap),,6-9,,
9:20.0,P. Millsap misses free throw 1 of 2,,6-9,,
9:20.0,Offensive rebound by Team,,6-9,,
9:20.0,P. Millsap makes free throw 2 of 2,1,7-9,,
9:01.0,,,7-11,2,D. Gallinari makes 2-pt shot at rim (assist by G. Harris)
8:51.0,K. Korver makes 3-pt shot from 26 ft (assist by K. Bazemore),3,10-11,,
8:29.0,,,10-13,2,K. Faried makes 2-pt shot from 16 ft (assist by D. Gallinari)
8:15.0,Turnover by J. Teague (bad pass),,10-13,,
7:58.0,,,10-13,,D. Gallinari misses 2-pt shot from 16 ft (block by K. Bazemore)
7:56.0,,,10-13,,Offensive rebound by D. Gallinari
7:53.0,,,10-13,,Turnover by D. Gallinari (lost ball; steal by J. Teague)
7:46.0,P. Millsap makes 2-pt shot from 11 ft (assist by K. Korver),2,12-13,,
7:34.0,,,12-13,,Shooting foul by K. Bazemore (drawn by D. Gallinari)
7:34.0,,,12-14,1,D. Gallinari makes free throw 1 of 2
7:34.0,T. Splitter enters the game for P. Millsap,,12-14,,
7:34.0,T. Sefolosha enters the game for K. Bazemore,,12-14,,
7:34.0,,,12-15,1,D. Gallinari makes free throw 2 of 2
7:27.0,Turnover by J. Teague (lost ball; steal by G. Harris),,12-15,,
7:21.0,,,12-17,2,G. Harris makes 2-pt shot at rim
7:09.0,Shooting foul by N. Jokic (drawn by J. Teague),,12-17,,
7:09.0,J. Teague makes free throw 1 of 2,1,13-17,,
7:09.0,,,13-17,,J. Lauvergne enters the game for N. Jokic
7:09.0,J. Teague makes free throw 2 of 2,1,14-17,,
6:55.0,,,14-17,,Turnover by G. Harris (lost ball; steal by K. Korver)
6:50.0,T. Sefolosha makes 2-pt shot at rim (assist by K. Korver),2,16-17,,
6:41.0,,,16-19,2,J. Lauvergne makes 2-pt shot from 19 ft (assist by E. Mudiay)
6:30.0,,,16-19,,Personal foul by E. Mudiay (drawn by J. Teague)
6:22.0,A. Horford makes 2-pt shot from 16 ft (assist by J. Teague),2,18-19,,
6:07.0,,,18-19,,E. Mudiay misses 2-pt shot at rim
6:06.0,Defensive rebound by T. Splitter,,18-19,,
6:04.0,Turnover by T. Splitter (bad pass; steal by E. Mudiay),,18-19,,
6:00.0,,,18-21,2,E. Mudiay makes 2-pt shot from 16 ft
6:00.0,Atlanta full timeout,,18-21,,
5:46.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,20-21,,
5:21.0,,,20-21,,Turnover by D. Gallinari (bad pass; steal by A. Horford)
5:07.0,T. Splitter makes 2-pt shot from 5 ft (assist by J. Teague),2,22-21,,
4:55.0,,,22-24,3,G. Harris makes 3-pt shot from 25 ft (assist by K. Faried)
4:39.0,J. Teague misses 2-pt shot from 2 ft,,22-24,,
4:38.0,,,22-24,,Defensive rebound by D. Gallinari
4:21.0,,,22-24,,K. Faried misses 2-pt shot from 6 ft
4:20.0,Defensive rebound by T. Splitter,,22-24,,
4:14.0,J. Teague misses 2-pt shot from 1 ft,,22-24,,
4:13.0,,,22-24,,Defensive rebound by J. Lauvergne
4:06.0,,,22-24,,E. Mudiay misses 2-pt shot from 21 ft
4:03.0,,,22-24,,Offensive rebound by K. Faried
4:03.0,,,22-24,,K. Faried misses 2-pt shot from 2 ft
4:03.0,Defensive rebound by T. Sefolosha,,22-24,,
4:01.0,Turnover by A. Horford (3 sec),,22-24,,
4:01.0,K. Bazemore enters the game for A. Horford,,22-24,,
4:01.0,D. Schroder enters the game for K. Korver,,22-24,,
4:01.0,P. Millsap enters the game for J. Teague,,22-24,,
3:44.0,,,22-24,,J. Lauvergne misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by K. Bazemore,,22-24,,
3:32.0,Shooting foul by K. Faried (drawn by P. Millsap),,22-24,,
3:32.0,P. Millsap makes free throw 1 of 2,1,23-24,,
3:32.0,,,23-24,,D. Arthur enters the game for K. Faried
3:32.0,,,23-24,,R. Foye enters the game for E. Mudiay
3:32.0,P. Millsap makes free throw 2 of 2,1,24-24,,
3:18.0,,,24-24,,D. Arthur misses 2-pt shot from 20 ft
3:15.0,Defensive rebound by D. Schroder,,24-24,,
2:59.0,Turnover by K. Bazemore (bad pass; steal by J. Lauvergne),,24-24,,
2:58.0,,,24-24,,Denver full timeout
