time,New York,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Noel (J. Grant gains possession),,,,Jump ball: R. Lopez vs. N. Noel (J. Grant gains possession)
11:37.0,R. Lopez misses 2-pt shot from 16 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Grant
11:22.0,,,0-0,,N. Noel misses 2-pt shot from 5 ft
11:19.0,Defensive rebound by D. Williams,,0-0,,
11:11.0,Shooting foul by I. Smith (drawn by R. Lopez),,0-0,,
11:11.0,R. Lopez misses free throw 1 of 2,,0-0,,
11:11.0,Offensive rebound by Team,,0-0,,
11:11.0,R. Lopez makes free throw 2 of 2,1,1-0,,
10:57.0,,,1-0,,J. Grant misses 2-pt shot from 19 ft
10:56.0,Defensive rebound by D. Williams,,1-0,,
10:43.0,Turnover by J. Grant (lost ball; steal by I. Smith),,1-0,,
10:40.0,,,1-0,,Turnover by R. Covington (lost ball; steal by S. Vujacic)
10:34.0,C. Anthony misses 3-pt shot from 25 ft,,1-0,,
10:31.0,Offensive rebound by R. Lopez,,1-0,,
10:31.0,R. Lopez misses 2-pt shot at rim,,1-0,,
10:28.0,,,1-0,,Defensive rebound by R. Covington
10:20.0,,,1-0,,R. Covington misses 2-pt shot from 13 ft (block by C. Anthony)
10:18.0,Defensive rebound by R. Lopez,,1-0,,
9:57.0,R. Lopez makes 2-pt shot from 4 ft (assist by J. Grant),2,3-0,,
9:41.0,,,3-3,3,N. Stauskas makes 3-pt shot from 26 ft (assist by I. Smith)
9:27.0,R. Lopez misses 2-pt shot from 2 ft (block by N. Noel),,3-3,,
9:24.0,,,3-3,,Defensive rebound by N. Stauskas
9:22.0,,,3-3,,Shooting foul by J. Grant (drawn by N. Stauskas)
9:22.0,,,3-4,1,N. Stauskas makes free throw 1 of 2
9:22.0,,,3-5,1,N. Stauskas makes free throw 2 of 2
9:10.0,S. Vujacic makes 2-pt shot from 2 ft (assist by R. Lopez),2,5-5,,
8:55.0,,,5-7,2,N. Noel makes 2-pt shot at rim (assist by N. Stauskas)
8:30.0,Shooting foul by R. Covington (drawn by C. Anthony),,5-7,,
8:30.0,C. Anthony misses free throw 1 of 2,,5-7,,
8:30.0,Offensive rebound by Team,,5-7,,
8:30.0,C. Anthony makes free throw 2 of 2,1,6-7,,
8:18.0,,,6-7,,I. Smith misses 2-pt shot from 8 ft
8:17.0,Defensive rebound by J. Grant,,6-7,,
8:10.0,D. Williams misses 2-pt shot from 20 ft,,6-7,,
8:07.0,,,6-7,,Defensive rebound by R. Covington
7:57.0,,,6-9,2,J. Grant makes 2-pt shot from 4 ft
7:46.0,C. Anthony misses 2-pt shot from 9 ft,,6-9,,
7:44.0,,,6-9,,Defensive rebound by N. Stauskas
7:37.0,,,6-12,3,I. Smith makes 3-pt shot from 23 ft (assist by N. Stauskas)
7:20.0,,,6-12,,Violation by N. Noel (kicked ball)
7:08.0,C. Anthony makes 3-pt shot from 26 ft (assist by J. Grant),3,9-12,,
6:58.0,,,9-15,3,J. Grant makes 3-pt shot from 25 ft (assist by I. Smith)
6:42.0,J. Grant misses 2-pt shot from 19 ft,,9-15,,
6:41.0,,,9-15,,Defensive rebound by R. Covington
6:34.0,,,9-18,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Grant)
6:27.0,New York full timeout,,9-18,,
6:14.0,Turnover by R. Lopez (lost ball; steal by N. Noel),,9-18,,
6:05.0,,,9-18,,N. Noel misses 2-pt shot from 16 ft
6:04.0,Defensive rebound by D. Williams,,9-18,,
5:45.0,C. Anthony makes 2-pt shot from 10 ft,2,11-18,,
5:41.0,,,11-18,,Shooting foul by J. Grant (drawn by I. Smith)
5:41.0,,,11-19,1,I. Smith makes free throw 1 of 2
5:41.0,,,11-19,,H. Thompson enters the game for R. Covington
5:41.0,L. Galloway enters the game for J. Grant,,11-19,,
5:41.0,,,11-20,1,I. Smith makes free throw 2 of 2
5:25.0,D. Williams makes 2-pt shot from 11 ft (assist by C. Anthony),2,13-20,,
5:16.0,,,13-22,2,I. Smith makes 2-pt shot at rim
5:05.0,D. Williams makes 2-pt shot from 13 ft (assist by L. Galloway),2,15-22,,
4:56.0,,,15-22,,H. Thompson misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by S. Vujacic,,15-22,,
4:50.0,Shooting foul by N. Stauskas (drawn by S. Vujacic),,15-22,,
4:50.0,S. Vujacic makes free throw 1 of 2,1,16-22,,
4:50.0,,,16-22,,T. McConnell enters the game for N. Stauskas
4:50.0,S. Vujacic makes free throw 2 of 2,1,17-22,,
4:35.0,,,17-22,,Turnover by I. Smith (lost ball; steal by L. Galloway)
4:26.0,C. Anthony misses 3-pt shot from 25 ft,,17-22,,
4:25.0,,,17-22,,Defensive rebound by I. Smith
4:18.0,,,17-22,,H. Thompson misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by C. Anthony,,17-22,,
4:00.0,R. Lopez misses 2-pt shot from 2 ft,,17-22,,
3:59.0,Offensive rebound by R. Lopez,,17-22,,
3:59.0,R. Lopez misses 2-pt shot from 2 ft,,17-22,,
3:58.0,Offensive rebound by R. Lopez,,17-22,,
3:58.0,R. Lopez misses 2-pt shot from 2 ft,,17-22,,
3:58.0,Offensive rebound by R. Lopez,,17-22,,
3:58.0,Shooting foul by J. Grant (drawn by R. Lopez),,17-22,,
3:58.0,R. Lopez misses free throw 1 of 2,,17-22,,
3:58.0,Offensive rebound by Team,,17-22,,
3:58.0,,,17-22,,E. Brand enters the game for N. Noel
3:58.0,R. Lopez misses free throw 2 of 2,,17-22,,
3:58.0,,,17-22,,Defensive rebound by Team
3:36.0,,,17-22,,H. Thompson misses 2-pt shot from 18 ft
3:35.0,,,17-22,,Offensive rebound by J. Grant
3:35.0,,,17-22,,Shooting foul by S. Vujacic (drawn by J. Grant)
3:35.0,,,17-22,,J. Grant misses free throw 1 of 2
3:35.0,,,17-22,,Offensive rebound by Team
3:35.0,K. O'Quinn enters the game for R. Lopez,,17-22,,
3:35.0,A. Afflalo enters the game for C. Anthony,,17-22,,
3:35.0,,,17-22,,J. Grant misses free throw 2 of 2
3:33.0,Defensive rebound by A. Afflalo,,17-22,,
3:19.0,A. Afflalo misses 2-pt shot from 12 ft,,17-22,,
3:16.0,,,17-22,,Defensive rebound by J. Grant
3:04.0,,,17-22,,I. Smith misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by D. Williams,,17-22,,
2:48.0,L. Galloway misses 2-pt shot from 9 ft (block by I. Smith),,17-22,,
2:45.0,,,17-22,,Defensive rebound by I. Smith
2:40.0,,,17-22,,Philadelphia full timeout
2:40.0,,,17-22,,R. Covington enters the game for J. Grant
2:40.0,,,17-22,,K. Marshall enters the game for I. Smith
2:27.0,,,17-24,2,K. Marshall makes 2-pt shot from 19 ft (assist by T. McConnell)
2:14.0,S. Vujacic makes 2-pt shot from 17 ft,2,19-24,,
2:02.0,,,19-24,,E. Brand misses 2-pt shot from 16 ft
2:01.0,Defensive rebound by D. Williams,,19-24,,
1:49.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by S. Vujacic),2,21-24,,
1:29.0,,,21-24,,K. Marshall misses 3-pt shot from 26 ft
1:28.0,Defensive rebound by K. O'Quinn,,21-24,,
1:20.0,L. Galloway makes 2-pt shot from 2 ft,2,23-24,,
1:03.0,,,23-24,,Turnover by T. McConnell (lost ball; steal by S. Vujacic)
0:55.0,D. Williams makes 2-pt shot from 6 ft,2,25-24,,
0:55.0,Shooting foul by K. Marshall (drawn by D. Williams),,25-24,,
0:55.0,D. Williams makes free throw 1 of 1,1,26-24,,
0:44.0,,,26-24,,R. Covington misses 3-pt shot from 27 ft
0:41.0,Defensive rebound by K. O'Quinn,,26-24,,
0:36.0,Turnover by D. Williams (lost ball; steal by K. Marshall),,26-24,,
0:31.0,,,26-24,,R. Covington misses 2-pt shot at rim
0:27.0,Defensive rebound by S. Vujacic,,26-24,,
0:10.0,D. Williams makes 2-pt shot from 19 ft (assist by S. Vujacic),2,28-24,,
0:02.0,,,28-24,,T. McConnell misses 2-pt shot from 10 ft
0:01.0,Defensive rebound by K. O'Quinn,,28-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,28-24,,H. Thompson misses 3-pt shot from 24 ft
11:47.0,Defensive rebound by A. Afflalo,,28-24,,
11:36.0,L. Galloway misses 2-pt shot from 11 ft,,28-24,,
11:35.0,Offensive rebound by L. Galloway,,28-24,,
11:34.0,Turnover by L. Galloway (step out of bounds),,28-24,,
11:22.0,,,28-26,2,T. McConnell makes 2-pt shot from 10 ft (assist by H. Thompson)
11:02.0,L. Galloway misses 3-pt shot from 25 ft,,28-26,,
11:01.0,,,28-26,,Defensive rebound by E. Brand
10:50.0,,,28-26,,T. McConnell misses 2-pt shot from 7 ft
10:48.0,Defensive rebound by A. Afflalo,,28-26,,
10:41.0,,,28-26,,Personal foul by K. Marshall
10:31.0,A. Afflalo makes 2-pt shot from 19 ft,2,30-26,,
10:30.0,,,30-26,,Philadelphia full timeout
10:16.0,,,30-26,,R. Covington misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by C. Early,,30-26,,
10:00.0,C. Anthony makes 2-pt shot from 12 ft,2,32-26,,
9:44.0,,,32-26,,E. Brand misses 2-pt shot from 1 ft
9:42.0,,,32-26,,Offensive rebound by E. Brand
9:41.0,,,32-26,,Turnover by E. Brand (dbl dribble)
9:29.0,K. O'Quinn makes 2-pt shot from 16 ft (assist by L. Galloway),2,34-26,,
9:08.0,Violation by K. O'Quinn (def goaltending),,34-26,,
9:08.0,,,34-28,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
8:53.0,Turnover by C. Anthony (lost ball; steal by E. Brand),,34-28,,
8:51.0,,,34-28,,Turnover by T. McConnell (dbl dribble)
8:51.0,,,34-28,,N. Stauskas enters the game for K. Marshall
8:51.0,,,34-28,,J. Grant enters the game for R. Covington
8:51.0,Official timeout,,34-28,,
8:51.0,,,34-28,,I. Smith enters the game for E. Brand
8:37.0,C. Anthony makes 2-pt shot from 13 ft,2,36-28,,
8:24.0,,,36-31,3,N. Stauskas makes 3-pt shot from 24 ft (assist by J. Grant)
8:08.0,A. Afflalo misses 2-pt shot from 5 ft,,36-31,,
8:07.0,Offensive rebound by Team,,36-31,,
7:58.0,C. Anthony makes 2-pt shot from 15 ft,2,38-31,,
7:43.0,Personal foul by C. Anthony,,38-31,,
7:33.0,,,38-31,,N. Stauskas misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by Team,,38-31,,
7:16.0,C. Anthony misses 2-pt shot from 15 ft,,38-31,,
7:15.0,,,38-31,,Defensive rebound by Team
7:13.0,,,38-31,,N. Noel enters the game for T. McConnell
6:59.0,,,38-31,,N. Stauskas misses 2-pt shot from 5 ft (block by C. Early)
6:57.0,Defensive rebound by L. Galloway,,38-31,,
6:45.0,C. Anthony makes 2-pt shot from 14 ft,2,40-31,,
6:31.0,,,40-31,,Shooting foul by K. O'Quinn (drawn by I. Smith)
6:31.0,,,40-32,1,I. Smith makes free throw 1 of 2
6:31.0,R. Lopez enters the game for K. O'Quinn,,40-32,,
6:31.0,,,40-33,1,I. Smith makes free throw 2 of 2
6:22.0,,,40-33,,Violation by N. Stauskas (kicked ball)
6:15.0,A. Afflalo makes 2-pt shot from 15 ft (assist by L. Galloway),2,42-33,,
5:57.0,,,42-35,2,N. Noel makes 2-pt shot from 5 ft (assist by H. Thompson)
5:46.0,,,42-35,,Philadelphia full timeout
5:46.0,,,42-35,,R. Covington enters the game for H. Thompson
5:46.0,J. Grant enters the game for C. Early,,42-35,,
5:46.0,D. Williams enters the game for L. Galloway,,42-35,,
