time,Memphis,pts.away,score,pts.home,Brooklyn
6:06.0,Defensive rebound by M. Conley,,14-13,,
5:53.0,C. Lee makes 2-pt shot from 18 ft (assist by Z. Randolph),2,16-13,,
5:47.0,,,16-13,,Brooklyn full timeout
5:47.0,J. Green enters the game for J. Green,,16-13,,
5:34.0,,,16-15,2,T. Young makes 2-pt shot from 7 ft (assist by D. Sloan)
5:14.0,M. Conley misses 2-pt shot from 14 ft,,16-15,,
5:13.0,,,16-15,,Defensive rebound by T. Young
4:57.0,,,16-17,2,W. Ellington makes 2-pt shot from 19 ft (assist by B. Lopez)
4:37.0,Shooting foul by D. Sloan (drawn by M. Conley),,16-17,,
4:37.0,M. Conley makes free throw 1 of 2,1,17-17,,
4:37.0,M. Barnes enters the game for T. Allen,,17-17,,
4:37.0,M. Conley makes free throw 2 of 2,1,18-17,,
4:19.0,,,18-17,,Turnover by B. Lopez (bad pass; steal by Z. Randolph)
4:13.0,J. Green makes 2-pt shot from 2 ft,2,20-17,,
4:03.0,,,20-17,,T. Young misses 2-pt shot from 4 ft
4:02.0,Defensive rebound by M. Barnes,,20-17,,
3:51.0,M. Barnes misses 3-pt shot from 22 ft,,20-17,,
3:50.0,,,20-17,,Defensive rebound by T. Young
3:32.0,,,20-19,2,B. Lopez makes 2-pt shot from 1 ft
3:26.0,Memphis full timeout,,20-19,,
3:26.0,R. Hollins enters the game for M. Conley,,20-19,,
3:26.0,M. Chalmers enters the game for C. Lee,,20-19,,
3:06.0,Z. Randolph misses 2-pt shot from 14 ft,,20-19,,
3:05.0,Offensive rebound by Team,,20-19,,
3:05.0,Turnover by Team (shot clock),,20-19,,
2:53.0,,,20-19,,J. Johnson misses 2-pt shot from 11 ft
2:52.0,Defensive rebound by R. Hollins,,20-19,,
2:39.0,J. Green misses 2-pt shot from 18 ft,,20-19,,
2:38.0,,,20-19,,Defensive rebound by Team
2:38.0,Loose ball foul by Z. Randolph (drawn by D. Sloan),,20-19,,
2:26.0,,,20-19,,Turnover by J. Johnson (lost ball; steal by M. Barnes)
2:26.0,,,20-19,,Personal foul by J. Johnson (drawn by Z. Randolph)
2:15.0,Z. Randolph misses 2-pt shot from 17 ft,,20-19,,
2:14.0,,,20-19,,Defensive rebound by T. Young
2:05.0,,,20-22,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
1:58.0,Turnover by R. Hollins (offensive foul),,20-22,,
1:58.0,Offensive foul by R. Hollins,,20-22,,
1:58.0,V. Carter enters the game for Z. Randolph,,20-22,,
1:40.0,,,20-22,,B. Lopez misses 2-pt shot from 7 ft
1:39.0,Defensive rebound by J. Green,,20-22,,
1:21.0,J. Green misses 3-pt shot from 23 ft,,20-22,,
1:20.0,,,20-22,,Defensive rebound by W. Ellington
1:10.0,,,20-25,3,W. Ellington makes 3-pt shot from 23 ft (assist by T. Young)
1:01.0,Turnover by V. Carter (bad pass; steal by D. Sloan),,20-25,,
0:58.0,,,20-27,2,D. Sloan makes 2-pt shot from 1 ft (assist by W. Ellington)
0:58.0,Memphis full timeout,,20-27,,
0:58.0,,,20-27,,B. Bogdanovic enters the game for J. Johnson
0:45.0,R. Hollins makes 2-pt shot at rim (assist by J. Green),2,22-27,,
0:28.0,,,22-27,,D. Sloan misses 3-pt shot from 23 ft
0:27.0,,,22-27,,Offensive rebound by T. Young
