time,Houston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Howard (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. D. Howard (R. Jackson gains possession)
11:35.0,,,0-2,2,M. Morris makes 2-pt shot from 16 ft
11:05.0,C. Capela makes 2-pt shot from 4 ft,2,2-2,,
10:45.0,,,2-2,,A. Drummond misses 2-pt shot from 3 ft
10:45.0,Defensive rebound by T. Ariza,,2-2,,
10:34.0,P. Beverley makes 2-pt shot from 10 ft,2,4-2,,
10:14.0,,,4-2,,E. Ilyasova misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by D. Howard,,4-2,,
10:01.0,Turnover by J. Harden (lost ball; steal by A. Drummond),,4-2,,
9:52.0,,,4-4,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by R. Jackson)
9:41.0,,,4-4,,Personal foul by A. Drummond (drawn by D. Howard)
9:31.0,Offensive foul by C. Capela,,4-4,,
9:31.0,Turnover by C. Capela (offensive foul),,4-4,,
9:19.0,,,4-7,3,R. Jackson makes 3-pt shot from 24 ft (assist by A. Drummond)
9:10.0,,,4-7,,Personal foul by A. Drummond (drawn by D. Howard)
9:10.0,,,4-7,,A. Baynes enters the game for A. Drummond
8:56.0,D. Howard makes 2-pt shot from 3 ft (assist by C. Capela),2,6-7,,
8:42.0,,,6-7,,R. Jackson misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by J. Harden,,6-7,,
8:32.0,Turnover by J. Harden (lost ball; steal by K. Caldwell-Pope),,6-7,,
8:26.0,,,6-7,,E. Ilyasova misses 2-pt shot at rim
8:25.0,,,6-7,,Offensive rebound by A. Baynes
8:21.0,,,6-9,2,A. Baynes makes 2-pt shot from 1 ft
8:17.0,Turnover by P. Beverley (bad pass),,6-9,,
8:04.0,,,6-9,,Turnover by M. Morris (lost ball; steal by J. Harden)
7:57.0,J. Harden makes 2-pt shot at rim (assist by P. Beverley),2,8-9,,
7:35.0,,,8-12,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
7:16.0,T. Ariza misses 2-pt shot from 16 ft,,8-12,,
7:16.0,Offensive rebound by D. Howard,,8-12,,
7:11.0,D. Howard makes 2-pt shot at rim,2,10-12,,
6:59.0,,,10-12,,M. Morris misses 3-pt shot from 23 ft
6:59.0,Defensive rebound by J. Harden,,10-12,,
6:49.0,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden),3,13-12,,
6:36.0,,,13-12,,E. Ilyasova misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by D. Howard,,13-12,,
6:22.0,J. Harden misses 2-pt shot from 12 ft,,13-12,,
6:20.0,Offensive rebound by C. Capela,,13-12,,
6:16.0,C. Capela makes 2-pt shot at rim,2,15-12,,
6:16.0,,,15-12,,Detroit full timeout
6:16.0,T. Jones enters the game for D. Howard,,15-12,,
6:14.0,,,15-12,,Turnover by M. Morris (bad pass; steal by C. Capela)
5:57.0,T. Ariza misses 3-pt shot from 24 ft,,15-12,,
5:56.0,,,15-12,,Defensive rebound by R. Jackson
5:51.0,,,15-14,2,M. Morris makes 2-pt shot from 6 ft (assist by K. Caldwell-Pope)
5:51.0,,,15-14,,Shooting foul by J. Harden (drawn by M. Morris)
5:51.0,,,15-15,1,M. Morris makes free throw 1 of 1
5:22.0,P. Beverley misses 3-pt shot from 26 ft,,15-15,,
5:22.0,,,15-15,,Defensive rebound by M. Morris
5:08.0,,,15-17,2,A. Baynes makes 2-pt shot from 4 ft (assist by M. Morris)
4:55.0,Turnover by C. Capela (lost ball; steal by R. Jackson),,15-17,,
4:54.0,Personal foul by P. Beverley (drawn by R. Jackson),,15-17,,
4:54.0,T. Lawson enters the game for P. Beverley,,15-17,,
4:34.0,,,15-17,,K. Caldwell-Pope misses 2-pt shot from 17 ft
4:34.0,,,15-17,,Offensive rebound by A. Baynes
4:29.0,,,15-19,2,A. Baynes makes 2-pt shot at rim
4:17.0,J. Harden misses 2-pt shot from 4 ft,,15-19,,
4:14.0,Offensive rebound by T. Lawson,,15-19,,
4:10.0,T. Jones misses 3-pt shot from 25 ft,,15-19,,
4:10.0,,,15-19,,Defensive rebound by Team
4:10.0,D. Howard enters the game for C. Capela,,15-19,,
3:55.0,,,15-21,2,R. Jackson makes 2-pt shot from 8 ft
3:43.0,Houston full timeout,,15-21,,
3:43.0,,,15-21,,S. Johnson enters the game for M. Morris
3:43.0,,,15-21,,Violation by Team (delay of game)
3:31.0,J. Harden makes 2-pt shot from 1 ft,2,17-21,,
3:18.0,,,17-21,,R. Jackson misses 2-pt shot from 17 ft
3:17.0,Defensive rebound by D. Howard,,17-21,,
3:04.0,T. Jones misses 2-pt shot at rim (block by E. Ilyasova),,17-21,,
3:03.0,,,17-21,,Defensive rebound by R. Jackson
2:58.0,,,17-23,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by R. Jackson)
2:44.0,T. Ariza misses 2-pt shot at rim,,17-23,,
2:43.0,,,17-23,,Defensive rebound by S. Johnson
2:34.0,,,17-25,2,R. Jackson makes 2-pt shot from 4 ft
2:20.0,T. Lawson misses 2-pt shot at rim (block by A. Baynes),,17-25,,
2:18.0,,,17-25,,Defensive rebound by K. Caldwell-Pope
2:12.0,,,17-25,,E. Ilyasova misses 2-pt shot from 3 ft
2:12.0,Defensive rebound by J. Harden,,17-25,,
2:05.0,T. Ariza misses 3-pt shot from 26 ft,,17-25,,
2:04.0,,,17-25,,Defensive rebound by S. Johnson
2:00.0,,,17-25,,Turnover by S. Johnson (bad pass; steal by T. Lawson)
1:53.0,T. Lawson makes 2-pt shot from 1 ft,2,19-25,,
1:34.0,,,19-25,,R. Jackson misses 2-pt shot from 5 ft (block by D. Howard)
1:33.0,Defensive rebound by T. Lawson,,19-25,,
1:23.0,J. Harden misses 2-pt shot from 4 ft,,19-25,,
1:23.0,,,19-25,,Defensive rebound by K. Caldwell-Pope
1:09.0,,,19-25,,A. Baynes misses 2-pt shot from 5 ft
1:08.0,Defensive rebound by T. Ariza,,19-25,,
1:00.0,D. Howard misses 2-pt shot from 5 ft,,19-25,,
1:00.0,Offensive rebound by D. Howard,,19-25,,
0:37.0,J. Harden misses 2-pt shot at rim,,19-25,,
0:37.0,,,19-25,,Defensive rebound by S. Johnson
0:32.0,,,19-27,2,R. Jackson makes 2-pt shot at rim
0:21.0,Turnover by D. Howard (bad pass; steal by R. Jackson),,19-27,,
0:19.0,,,19-29,2,R. Jackson makes 2-pt shot at rim
0:18.0,,,19-29,,Inbound foul by R. Jackson
0:18.0,C. Brewer enters the game for T. Jones,,19-29,,
0:18.0,,,19-29,,A. Tolliver enters the game for E. Ilyasova
0:18.0,,,19-29,,E. Ilyasova enters the game for A. Tolliver
0:18.0,T. Jones enters the game for T. Lawson,,19-29,,
0:18.0,J. Harden makes free throw 1 of 2,1,20-29,,
0:18.0,J. Harden makes free throw 2 of 2,1,21-29,,
0:02.0,,,21-29,,R. Jackson misses 2-pt shot from 1 ft (block by D. Howard)
0:01.0,Defensive rebound by T. Jones,,21-29,,
0:01.0,T. Jones misses 3-pt shot from 46 ft,,21-29,,
0:00.0,Offensive rebound by Team,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,T. Jones misses 2-pt shot at rim,,21-29,,
11:46.0,,,21-29,,Defensive rebound by S. Johnson
11:36.0,,,21-31,2,M. Morris makes 2-pt shot from 7 ft
11:24.0,M. Thornton misses 2-pt shot from 12 ft,,21-31,,
11:24.0,,,21-31,,Defensive rebound by S. Johnson
11:13.0,,,21-33,2,A. Baynes makes 2-pt shot at rim (assist by M. Morris)
11:06.0,Houston full timeout,,21-33,,
10:47.0,C. Brewer misses 2-pt shot from 10 ft,,21-33,,
10:46.0,,,21-33,,Defensive rebound by S. Johnson
10:35.0,,,21-36,3,S. Johnson makes 3-pt shot from 24 ft (assist by M. Morris)
10:25.0,Shooting foul by A. Baynes (drawn by C. Capela),,21-36,,
10:25.0,C. Capela makes free throw 1 of 2,1,22-36,,
10:25.0,C. Capela misses free throw 2 of 2,,22-36,,
10:24.0,,,22-36,,Defensive rebound by A. Tolliver
10:06.0,,,22-36,,A. Tolliver misses 3-pt shot from 22 ft
10:06.0,,,22-36,,Offensive rebound by M. Morris
10:03.0,,,22-38,2,M. Morris makes 2-pt shot at rim
9:53.0,M. Thornton misses 3-pt shot from 25 ft,,22-38,,
9:53.0,,,22-38,,Defensive rebound by A. Baynes
9:46.0,,,22-38,,S. Johnson misses 2-pt shot from 18 ft
9:45.0,Defensive rebound by M. Thornton,,22-38,,
9:40.0,C. Brewer misses 2-pt shot at rim (block by S. Johnson),,22-38,,
9:40.0,Offensive rebound by Team,,22-38,,
9:37.0,M. Thornton misses 2-pt shot at rim,,22-38,,
9:36.0,Offensive rebound by M. Thornton,,22-38,,
9:36.0,Shooting foul by A. Baynes (drawn by M. Thornton),,22-38,,
9:36.0,M. Thornton makes free throw 1 of 2,1,23-38,,
9:36.0,,,23-38,,A. Drummond enters the game for A. Baynes
9:36.0,M. Thornton makes free throw 2 of 2,1,24-38,,
9:14.0,,,24-40,2,A. Drummond makes 2-pt shot from 4 ft (assist by M. Morris)
9:03.0,T. Lawson misses 2-pt shot from 17 ft,,24-40,,
9:03.0,,,24-40,,Defensive rebound by M. Morris
8:46.0,,,24-40,,Turnover by A. Drummond (lost ball; steal by C. Capela)
8:43.0,C. Brewer makes 2-pt shot from 1 ft,2,26-40,,
8:43.0,Shooting foul by A. Tolliver (drawn by C. Brewer),,26-40,,
8:43.0,D. Howard enters the game for T. Jones,,26-40,,
8:43.0,C. Brewer makes free throw 1 of 1,1,27-40,,
8:24.0,,,27-42,2,S. Johnson makes 2-pt shot from 1 ft (assist by A. Drummond)
8:03.0,M. Thornton misses 2-pt shot at rim,,27-42,,
8:03.0,Offensive rebound by D. Howard,,27-42,,
7:58.0,D. Howard misses 2-pt shot from 2 ft (block by A. Drummond),,27-42,,
7:57.0,Offensive rebound by C. Capela,,27-42,,
7:56.0,C. Capela misses 2-pt shot from 1 ft,,27-42,,
7:55.0,,,27-42,,Defensive rebound by S. Johnson
7:49.0,,,27-42,,A. Drummond misses 2-pt shot from 5 ft
7:49.0,,,27-42,,Offensive rebound by A. Tolliver
7:47.0,,,27-42,,Detroit full timeout
7:47.0,J. Harden enters the game for C. Capela,,27-42,,
7:47.0,,,27-42,,K. Caldwell-Pope enters the game for M. Morris
7:35.0,,,27-44,2,S. Johnson makes 2-pt shot from 1 ft
7:25.0,J. Harden misses 3-pt shot from 25 ft,,27-44,,
7:25.0,,,27-44,,Defensive rebound by A. Drummond
7:06.0,,,27-44,,S. Johnson misses 2-pt shot at rim
7:06.0,,,27-44,,Offensive rebound by S. Johnson
7:03.0,,,27-46,2,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson)
7:03.0,,,27-46,,Shooting foul by J. Harden (drawn by A. Drummond)
7:03.0,T. Ariza enters the game for M. Thornton,,27-46,,
7:03.0,P. Beverley enters the game for T. Lawson,,27-46,,
7:03.0,,,27-46,,A. Drummond misses free throw 1 of 1
7:02.0,Defensive rebound by Team,,27-46,,
6:52.0,P. Beverley misses 2-pt shot from 2 ft (block by S. Blake),,27-46,,
6:52.0,Jump ball: P. Beverley vs. S. Blake (T. Ariza gains possession),,,,Jump ball: P. Beverley vs. S. Blake (T. Ariza gains possession)
6:52.0,Offensive rebound by Team,,27-46,,
6:44.0,Turnover by J. Harden (bad pass),,27-46,,
6:26.0,,,27-46,,A. Drummond misses 2-pt shot at rim (block by D. Howard)
6:24.0,,,27-46,,Offensive rebound by A. Drummond
6:20.0,,,27-46,,A. Drummond misses 2-pt shot at rim
6:19.0,Defensive rebound by D. Howard,,27-46,,
6:12.0,Turnover by D. Howard (traveling),,27-46,,
5:54.0,,,27-46,,S. Johnson misses 2-pt shot from 7 ft
5:53.0,,,27-46,,Offensive rebound by A. Drummond
5:50.0,,,27-48,2,A. Drummond makes 2-pt shot at rim
5:33.0,Offensive charge foul by T. Ariza,,27-48,,
5:33.0,Turnover by T. Ariza (offensive foul),,27-48,,
5:33.0,C. Capela enters the game for C. Brewer,,27-48,,
5:33.0,T. Jones enters the game for D. Howard,,27-48,,
5:23.0,,,27-48,,Turnover by S. Blake (bad pass; steal by C. Capela)
5:21.0,,,27-48,,Technical foul by A. Drummond
