time,Portland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: D. Howard vs. M. Plumlee (D. Lillard gains possession)
12:00.0,,,0-0,,Violation by Team (delay of game)
11:42.0,Turnover by M. Plumlee (bad pass; steal by J. Harden),,0-0,,
11:28.0,,,0-0,,T. Jones misses 2-pt shot from 3 ft
11:27.0,Defensive rebound by M. Plumlee,,0-0,,
11:15.0,A. Aminu misses 3-pt shot from 23 ft,,0-0,,
11:13.0,Offensive rebound by N. Vonleh,,0-0,,
11:13.0,N. Vonleh misses 2-pt shot from 2 ft (block by D. Howard),,0-0,,
11:12.0,,,0-0,,Defensive rebound by J. Harden
11:00.0,,,0-0,,D. Howard misses 2-pt shot from 6 ft
10:59.0,Defensive rebound by N. Vonleh,,0-0,,
10:50.0,N. Vonleh makes 2-pt shot from 18 ft (assist by C. McCollum),2,2-0,,
10:24.0,,,2-3,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza)
10:01.0,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard),3,5-3,,
9:47.0,,,5-3,,T. Ariza misses 3-pt shot from 23 ft
9:45.0,,,5-3,,Offensive rebound by D. Howard
9:32.0,,,5-3,,Turnover by D. Howard (traveling)
9:10.0,Shooting foul by D. Howard (drawn by A. Aminu),,5-3,,
9:10.0,A. Aminu makes free throw 1 of 2,1,6-3,,
9:10.0,A. Aminu makes free throw 2 of 2,1,7-3,,
8:58.0,,,7-3,,Shooting foul by N. Vonleh (drawn by T. Jones)
8:58.0,,,7-4,1,T. Jones makes free throw 1 of 2
8:58.0,,,7-5,1,T. Jones makes free throw 2 of 2
8:41.0,D. Lillard misses 2-pt shot from 20 ft,,7-5,,
8:41.0,,,7-5,,Defensive rebound by J. Harden
8:27.0,,,7-5,,T. Ariza misses 2-pt shot from 3 ft (block by M. Plumlee)
8:26.0,Defensive rebound by N. Vonleh,,7-5,,
