time,Sacramento,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. A. Len (J. Leuer gains possession),,,,Jump ball: K. Koufos vs. A. Len (J. Leuer gains possession)
11:41.0,,,0-2,2,P. Tucker makes 2-pt shot from 1 ft
11:23.0,K. Koufos misses 2-pt shot from 3 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by J. Leuer
11:06.0,,,0-2,,J. Leuer misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by B. McLemore,,0-2,,
10:58.0,B. McLemore makes 2-pt shot from 2 ft,2,2-2,,
10:44.0,,,2-2,,D. Booker misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by R. Gay,,2-2,,
10:35.0,R. Gay misses 2-pt shot from 1 ft,,2-2,,
10:34.0,Offensive rebound by Team,,2-2,,
10:24.0,S. Curry misses 2-pt shot from 19 ft,,2-2,,
10:23.0,,,2-2,,Defensive rebound by Team
10:05.0,,,2-2,,P. Tucker misses 2-pt shot from 20 ft
10:05.0,Defensive rebound by K. Koufos,,2-2,,
9:55.0,K. Koufos makes 2-pt shot from 9 ft (assist by S. Curry),2,4-2,,
9:39.0,,,4-2,,Turnover by J. Leuer (lost ball)
9:28.0,Turnover by W. Cauley-Stein (lost ball; steal by R. Price),,4-2,,
9:25.0,,,4-4,2,R. Price makes 2-pt shot at rim
9:04.0,K. Koufos misses 2-pt shot from 2 ft,,4-4,,
9:02.0,,,4-4,,Defensive rebound by P. Tucker
8:53.0,,,4-4,,A. Len misses 2-pt shot from 4 ft (block by R. Gay)
8:51.0,Defensive rebound by S. Curry,,4-4,,
8:48.0,Turnover by S. Curry (lost ball),,4-4,,
8:35.0,,,4-6,2,A. Len makes 2-pt shot from 5 ft
8:23.0,Turnover by K. Koufos (lost ball; steal by P. Tucker),,4-6,,
8:23.0,Personal foul by K. Koufos,,4-6,,
8:13.0,,,4-8,2,A. Len makes 2-pt shot from 18 ft (assist by R. Price)
8:00.0,W. Cauley-Stein makes 2-pt shot at rim (assist by K. Koufos),2,6-8,,
7:44.0,,,6-10,2,R. Price makes 2-pt shot from 14 ft
7:31.0,W. Cauley-Stein makes 2-pt shot at rim (assist by S. Curry),2,8-10,,
7:20.0,,,8-10,,R. Price misses 2-pt shot from 18 ft
7:19.0,Defensive rebound by W. Cauley-Stein,,8-10,,
7:08.0,S. Curry misses 3-pt shot from 25 ft,,8-10,,
7:08.0,,,8-10,,Defensive rebound by R. Price
7:04.0,Personal foul by S. Curry,,8-10,,
7:03.0,,,8-10,,Shooting foul by B. McLemore (drawn by D. Booker)
7:03.0,,,8-11,1,D. Booker makes free throw 1 of 2
7:03.0,,,8-12,1,D. Booker makes free throw 2 of 2
6:49.0,,,8-12,,Shooting block foul by P. Tucker (drawn by W. Cauley-Stein)
6:49.0,W. Cauley-Stein misses free throw 1 of 2,,8-12,,
6:49.0,Offensive rebound by Team,,8-12,,
6:49.0,W. Cauley-Stein makes free throw 2 of 2,1,9-12,,
6:33.0,,,9-14,2,J. Leuer makes 2-pt shot from 18 ft (assist by A. Len)
6:14.0,B. McLemore makes 2-pt shot from 1 ft (assist by S. Curry),2,11-14,,
6:01.0,,,11-16,2,D. Booker makes 2-pt shot from 14 ft (assist by P. Tucker)
5:48.0,K. Koufos makes 2-pt shot from 1 ft (assist by S. Curry),2,13-16,,
5:41.0,,,13-16,,Turnover by J. Leuer (lost ball; steal by R. Gay)
5:38.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,13-16,,
5:37.0,Offensive rebound by W. Cauley-Stein,,13-16,,
5:37.0,W. Cauley-Stein misses 2-pt shot from 1 ft (block by J. Leuer),,13-16,,
5:36.0,Offensive rebound by Team,,13-16,,
5:36.0,,,13-16,,Phoenix full timeout
5:36.0,,,13-16,,M. Teletovic enters the game for J. Leuer
5:24.0,Turnover by W. Cauley-Stein (traveling),,13-16,,
5:13.0,,,13-16,,D. Booker misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by K. Koufos,,13-16,,
4:57.0,K. Koufos misses 2-pt shot from 12 ft,,13-16,,
4:55.0,Offensive rebound by K. Koufos,,13-16,,
4:50.0,S. Curry makes 2-pt shot from 12 ft,2,15-16,,
4:30.0,,,15-16,,M. Teletovic misses 2-pt shot from 22 ft
4:30.0,Defensive rebound by K. Koufos,,15-16,,
4:16.0,S. Curry makes 2-pt shot from 10 ft,2,17-16,,
3:58.0,,,17-16,,D. Booker misses 2-pt shot from 22 ft
3:57.0,Defensive rebound by K. Koufos,,17-16,,
3:49.0,,,17-16,,Personal foul by D. Booker
3:49.0,Q. Acy enters the game for W. Cauley-Stein,,17-16,,
3:49.0,J. Anderson enters the game for R. Gay,,17-16,,
3:49.0,,,17-16,,J. Jenkins enters the game for R. Price
3:35.0,J. Anderson misses 3-pt shot from 25 ft,,17-16,,
3:35.0,,,17-16,,Defensive rebound by M. Teletovic
3:25.0,,,17-16,,P. Tucker misses 2-pt shot from 6 ft
3:25.0,Defensive rebound by K. Koufos,,17-16,,
3:25.0,,,17-16,,Personal foul by P. Tucker
3:20.0,,,17-16,,Personal foul by D. Booker
3:20.0,,,17-16,,C. Budinger enters the game for P. Tucker
3:08.0,K. Koufos misses 2-pt shot from 3 ft,,17-16,,
3:07.0,Offensive rebound by Q. Acy,,17-16,,
3:07.0,Shooting foul by D. Booker (drawn by Q. Acy),,17-16,,
3:07.0,Q. Acy makes free throw 1 of 2,1,18-16,,
3:07.0,,,18-16,,R. Price enters the game for D. Booker
3:07.0,Q. Acy makes free throw 2 of 2,1,19-16,,
2:56.0,Personal foul by Q. Acy,,19-16,,
2:56.0,Sacramento full timeout,,19-16,,
2:49.0,,,19-16,,A. Len misses 2-pt shot from 1 ft
2:48.0,,,19-16,,Offensive rebound by R. Price
2:48.0,,,19-16,,R. Price misses 2-pt shot from 1 ft
2:47.0,,,19-16,,Offensive rebound by A. Len
2:47.0,,,19-16,,A. Len misses 2-pt shot from 2 ft (block by J. Anderson)
2:46.0,Defensive rebound by J. Anderson,,19-16,,
2:36.0,Q. Acy makes 2-pt shot at rim (assist by S. Curry),2,21-16,,
2:23.0,,,21-16,,Turnover by R. Price (lost ball; steal by J. Anderson)
2:19.0,J. Anderson makes 2-pt shot at rim,2,23-16,,
2:03.0,,,23-16,,J. Jenkins misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by J. Anderson,,23-16,,
2:02.0,Turnover by J. Anderson (lost ball),,23-16,,
2:02.0,C. Butler enters the game for B. McLemore,,23-16,,
1:58.0,,,23-18,2,J. Jenkins makes 2-pt shot from 16 ft (assist by C. Budinger)
1:35.0,J. Anderson makes 2-pt shot from 2 ft,2,25-18,,
1:26.0,,,25-18,,M. Teletovic misses 3-pt shot from 27 ft
1:26.0,Defensive rebound by J. Anderson,,25-18,,
1:17.0,Turnover by J. Anderson (lost ball; steal by M. Teletovic),,25-18,,
1:11.0,,,25-20,2,M. Teletovic makes 2-pt shot at rim (assist by J. Jenkins)
0:55.0,S. Curry misses 3-pt shot from 25 ft,,25-20,,
0:54.0,,,25-20,,Defensive rebound by A. Len
0:46.0,,,25-22,2,A. Len makes 2-pt shot from 1 ft
0:32.0,C. Butler misses 2-pt shot from 12 ft,,25-22,,
0:31.0,Offensive rebound by Team,,25-22,,
0:31.0,,,25-22,,Loose ball foul by M. Teletovic
0:31.0,Q. Acy makes free throw 1 of 2,1,26-22,,
0:31.0,Q. Acy misses free throw 2 of 2,,26-22,,
0:31.0,,,26-22,,Defensive rebound by A. Len
0:09.0,,,26-22,,R. Price misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by K. Koufos,,26-22,,
0:00.0,J. Anderson misses 3-pt shot from 28 ft,,26-22,,
0:00.0,Offensive rebound by Team,,26-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,C. Butler makes 2-pt shot from 18 ft,2,28-22,,
11:23.0,,,28-25,3,M. Teletovic makes 3-pt shot from 23 ft (assist by J. Jenkins)
11:10.0,Turnover by Q. Acy (bad pass),,28-25,,
11:10.0,B. McLemore enters the game for S. Curry,,28-25,,
