time,Memphis,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,,,0-0,,J. Anderson misses 3-pt shot from 24 ft
12:00.0,Jump ball: C. Andersen vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: C. Andersen vs. Z. Pachulia (D. Nowitzki gains possession)
11:37.0,Defensive rebound by C. Andersen,,0-0,,
11:21.0,Turnover by J. Farmar (lost ball; steal by D. Nowitzki),,0-0,,
11:07.0,,,0-0,,J. Barea misses 3-pt shot from 22 ft
11:06.0,Defensive rebound by Z. Randolph,,0-0,,
11:01.0,Turnover by J. Farmar (step out of bounds),,0-0,,
10:51.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
10:34.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Barnes),2,2-2,,
10:09.0,,,2-2,,J. Barea misses 3-pt shot from 24 ft
10:08.0,,,2-2,,Offensive rebound by J. Anderson
10:02.0,,,2-2,,W. Matthews misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by C. Andersen,,2-2,,
9:52.0,C. Andersen misses 2-pt shot from 17 ft,,2-2,,
9:51.0,,,2-2,,Defensive rebound by J. Barea
9:32.0,,,2-2,,Turnover by D. Nowitzki (bad pass)
9:23.0,J. Farmar misses 2-pt shot from 9 ft,,2-2,,
9:21.0,Offensive rebound by T. Allen,,2-2,,
9:21.0,T. Allen misses 2-pt shot from 1 ft,,2-2,,
9:20.0,Offensive rebound by C. Andersen,,2-2,,
9:11.0,Turnover by Z. Randolph (lost ball),,2-2,,
8:55.0,,,2-2,,Turnover by J. Barea (lost ball; steal by T. Allen)
8:48.0,M. Barnes misses 3-pt shot from 23 ft,,2-2,,
8:47.0,,,2-2,,Defensive rebound by J. Anderson
8:45.0,,,2-2,,Turnover by J. Anderson (lost ball; steal by T. Allen)
8:43.0,M. Barnes misses 2-pt shot from 1 ft,,2-2,,
8:43.0,Offensive rebound by Team,,2-2,,
8:34.0,Z. Randolph misses 2-pt shot from 19 ft,,2-2,,
8:33.0,,,2-2,,Defensive rebound by J. Anderson
8:19.0,,,2-4,2,J. Barea makes 2-pt shot from 6 ft
8:02.0,,,2-4,,Personal foul by W. Matthews
7:54.0,Z. Randolph misses 2-pt shot from 4 ft,,2-4,,
7:53.0,Offensive rebound by Team,,2-4,,
7:48.0,Z. Randolph makes 2-pt shot from 13 ft,2,4-4,,
7:21.0,,,4-4,,J. Barea misses 2-pt shot from 21 ft
7:20.0,Defensive rebound by M. Barnes,,4-4,,
7:11.0,M. Barnes misses 2-pt shot from 9 ft,,4-4,,
7:10.0,Offensive rebound by C. Andersen,,4-4,,
7:06.0,J. Farmar makes 3-pt shot from 24 ft (assist by C. Andersen),3,7-4,,
6:45.0,,,7-4,,Shooting foul by J. Farmar (drawn by J. Barea)
6:45.0,,,7-5,1,J. Barea makes free throw 1 of 2
6:45.0,,,7-5,,D. Harris enters the game for J. Anderson
6:45.0,,,7-5,,D. Lee enters the game for D. Nowitzki
6:45.0,,,7-5,,J. Barea misses free throw 2 of 2
6:44.0,Defensive rebound by C. Andersen,,7-5,,
6:39.0,,,7-5,,Personal take foul by J. Barea
6:39.0,,,7-5,,R. Felton enters the game for J. Barea
6:28.0,Z. Randolph makes 2-pt shot from 17 ft (assist by J. Farmar),2,9-5,,
6:15.0,,,9-5,,Turnover by R. Felton (lost ball; steal by M. Barnes)
6:07.0,C. Andersen makes 2-pt shot at rim (assist by M. Barnes),2,11-5,,
6:05.0,,,11-5,,Dallas full timeout
5:46.0,,,11-5,,R. Felton misses 2-pt shot from 17 ft
5:45.0,Defensive rebound by M. Barnes,,11-5,,
5:27.0,Z. Randolph misses 2-pt shot from 20 ft,,11-5,,
5:26.0,,,11-5,,Defensive rebound by D. Lee
5:09.0,,,11-7,2,D. Lee makes 2-pt shot from 1 ft (assist by R. Felton)
4:53.0,Turnover by Z. Randolph (lost ball),,11-7,,
4:42.0,,,11-7,,R. Felton misses 3-pt shot from 24 ft
4:41.0,,,11-7,,Offensive rebound by D. Lee
4:32.0,,,11-7,,R. Felton misses 2-pt shot from 5 ft
4:30.0,Defensive rebound by M. Barnes,,11-7,,
4:19.0,J. Farmar makes 3-pt shot from 24 ft (assist by M. Barnes),3,14-7,,
4:00.0,,,14-7,,W. Matthews misses 3-pt shot from 25 ft
3:59.0,,,14-7,,Offensive rebound by D. Lee
3:58.0,,,14-9,2,D. Lee makes 2-pt shot from 1 ft
3:43.0,Turnover by T. Allen (lost ball),,14-9,,
3:43.0,X. Munford enters the game for J. Farmar,,14-9,,
3:43.0,V. Carter enters the game for M. Barnes,,14-9,,
3:20.0,,,14-11,2,D. Lee makes 2-pt shot at rim (assist by W. Matthews)
3:20.0,,,14-11,,Shooting foul by T. Allen (drawn by D. Lee)
3:20.0,,,14-11,,D. Lee misses free throw 1 of 1
3:19.0,,,14-11,,Offensive rebound by Z. Pachulia
3:15.0,,,14-11,,W. Matthews misses 3-pt shot from 22 ft
3:14.0,Defensive rebound by Z. Randolph,,14-11,,
3:03.0,Memphis full timeout,,14-11,,
3:03.0,,,14-11,,D. Nowitzki enters the game for Z. Pachulia
3:03.0,J. Green enters the game for C. Andersen,,14-11,,
2:50.0,V. Carter misses 2-pt shot from 16 ft,,14-11,,
2:49.0,,,14-11,,Defensive rebound by D. Harris
2:30.0,,,14-11,,Shooting foul by V. Carter (drawn by R. Felton)
2:30.0,,,14-12,1,R. Felton makes free throw 1 of 2
2:30.0,,,14-13,1,R. Felton makes free throw 2 of 2
2:10.0,V. Carter makes 3-pt shot from 24 ft (assist by Z. Randolph),3,17-13,,
1:50.0,Personal foul by X. Munford,,17-13,,
1:41.0,,,17-13,,Shooting foul by J. Green (drawn by D. Nowitzki)
1:41.0,,,17-14,1,D. Nowitzki makes free throw 1 of 2
1:41.0,,,17-14,,J. Anderson enters the game for W. Matthews
1:41.0,,,17-15,1,D. Nowitzki makes free throw 2 of 2
1:20.0,Z. Randolph makes 2-pt shot from 2 ft,2,19-15,,
1:00.0,,,19-17,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by R. Felton)
0:42.0,Z. Randolph misses 2-pt shot from 6 ft,,19-17,,
0:41.0,,,19-17,,Defensive rebound by D. Lee
0:39.0,,,19-17,,Turnover by D. Lee (lost ball; steal by J. Green)
0:25.0,Z. Randolph makes 2-pt shot from 6 ft,2,21-17,,
0:08.0,Personal foul by J. Green,,21-17,,
0:08.0,,,21-18,1,D. Nowitzki makes free throw 1 of 2
0:08.0,,,21-18,,S. Mejri enters the game for D. Lee
0:08.0,J. Farmar enters the game for T. Allen,,21-18,,
0:08.0,,,21-18,,D. Nowitzki misses free throw 2 of 2
0:07.0,Defensive rebound by J. Green,,21-18,,
0:01.0,X. Munford misses 3-pt shot from 25 ft (block by J. Anderson),,21-18,,
0:00.0,Offensive rebound by Team,,21-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Green misses 2-pt shot from 21 ft,,21-18,,
11:41.0,,,21-18,,Defensive rebound by S. Mejri
11:41.0,Loose ball foul by J. Martin,,21-18,,
11:27.0,,,21-20,2,J. Anderson makes 2-pt shot from 2 ft (assist by R. Felton)
11:09.0,Turnover by J. Martin (lost ball; steal by R. Felton),,21-20,,
10:50.0,,,21-20,,Shooting foul by J. Martin (drawn by S. Mejri)
10:50.0,,,21-21,1,S. Mejri makes free throw 1 of 2
10:50.0,,,21-22,1,S. Mejri makes free throw 2 of 2
10:38.0,J. Green misses 2-pt shot from 1 ft (block by J. Anderson),,21-22,,
10:38.0,Offensive rebound by Team,,21-22,,
10:36.0,Shooting foul by D. Nowitzki (drawn by J. Martin),,21-22,,
10:36.0,J. Martin misses free throw 1 of 2,,21-22,,
10:36.0,Offensive rebound by Team,,21-22,,
10:36.0,M. Barnes enters the game for J. Green,,21-22,,
10:36.0,J. Farmar enters the game for X. Munford,,21-22,,
10:36.0,J. Martin misses free throw 2 of 2,,21-22,,
10:35.0,,,21-22,,Defensive rebound by S. Mejri
10:12.0,,,21-25,3,W. Matthews makes 3-pt shot from 23 ft (assist by R. Felton)
9:47.0,Turnover by J. Farmar (lost ball; steal by R. Felton),,21-25,,
9:41.0,,,21-25,,D. Nowitzki misses 2-pt shot from 11 ft
9:40.0,Defensive rebound by L. Stephenson,,21-25,,
9:30.0,L. Stephenson misses 2-pt shot from 9 ft,,21-25,,
9:29.0,,,21-25,,Defensive rebound by Team
9:10.0,,,21-25,,R. Felton misses 2-pt shot at rim
9:09.0,Defensive rebound by J. Farmar,,21-25,,
9:02.0,M. Barnes misses 3-pt shot from 23 ft,,21-25,,
9:01.0,,,21-25,,Defensive rebound by S. Mejri
8:44.0,,,21-28,3,J. Anderson makes 3-pt shot from 23 ft (assist by R. Felton)
8:38.0,Memphis full timeout,,21-28,,
