time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Noel (J. Okafor gains possession),,,,Jump ball: A. Johnson vs. N. Noel (J. Okafor gains possession)
11:43.0,,,0-0,,N. Noel misses 2-pt shot from 1 ft
11:42.0,,,0-0,,Offensive rebound by N. Noel
11:42.0,,,0-2,2,N. Noel makes 2-pt shot from 1 ft
11:29.0,I. Thomas misses 2-pt shot from 4 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by J. Sampson
11:21.0,,,0-2,,J. Okafor misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by A. Johnson,,0-2,,
11:02.0,A. Johnson makes 2-pt shot at rim (assist by J. Crowder),2,2-2,,
10:49.0,Def 3 sec tech foul by A. Johnson,,2-2,,
10:49.0,,,2-3,1,R. Covington makes technical free throw
10:37.0,,,2-5,2,I. Smith makes 2-pt shot from 16 ft
10:21.0,J. Sullinger misses 2-pt shot from 18 ft,,2-5,,
10:18.0,Offensive rebound by A. Johnson,,2-5,,
10:14.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,5-5,,
9:48.0,,,5-5,,I. Smith misses 2-pt shot from 16 ft
9:46.0,Defensive rebound by A. Johnson,,5-5,,
9:41.0,I. Thomas misses 3-pt shot from 24 ft,,5-5,,
9:37.0,,,5-5,,Defensive rebound by J. Okafor
9:32.0,,,5-5,,Turnover by I. Smith (lost ball; steal by J. Sullinger)
9:29.0,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger),2,7-5,,
9:29.0,Shooting foul by J. Okafor (drawn by I. Thomas),,7-5,,
9:29.0,I. Thomas makes free throw 1 of 1,1,8-5,,
9:12.0,,,8-5,,Offensive charge foul by J. Sampson
9:12.0,,,8-5,,Turnover by J. Sampson (offensive foul)
8:56.0,A. Bradley misses 2-pt shot from 18 ft (block by I. Smith),,8-5,,
8:53.0,Offensive rebound by J. Sullinger,,8-5,,
8:50.0,I. Thomas makes 2-pt shot from 18 ft (assist by J. Sullinger),2,10-5,,
8:42.0,,,10-5,,J. Sampson misses 2-pt shot from 3 ft
8:40.0,Defensive rebound by A. Johnson,,10-5,,
8:22.0,J. Sullinger makes 2-pt shot from 17 ft (assist by A. Bradley),2,12-5,,
8:04.0,,,12-5,,N. Noel misses 2-pt shot from 16 ft
8:03.0,Defensive rebound by A. Bradley,,12-5,,
7:56.0,A. Bradley makes 3-pt shot from 25 ft,3,15-5,,
7:56.0,,,15-5,,Philadelphia full timeout
7:56.0,,,15-5,,H. Thompson enters the game for J. Sampson
7:40.0,,,15-7,2,I. Smith makes 2-pt shot from 11 ft
7:24.0,J. Sullinger misses 2-pt shot from 18 ft,,15-7,,
7:22.0,,,15-7,,Defensive rebound by N. Noel
7:16.0,,,15-7,,Turnover by I. Smith (lost ball)
7:07.0,I. Thomas misses 2-pt shot from 12 ft,,15-7,,
7:05.0,Offensive rebound by A. Johnson,,15-7,,
7:02.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Johnson),3,18-7,,
6:44.0,,,18-10,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith)
6:32.0,A. Bradley misses 2-pt shot from 1 ft,,18-10,,
6:30.0,,,18-10,,Defensive rebound by N. Noel
6:15.0,,,18-12,2,J. Okafor makes 2-pt shot from 12 ft (assist by I. Smith)
5:59.0,I. Thomas misses 2-pt shot from 3 ft (block by J. Okafor),,18-12,,
5:59.0,,,18-12,,Defensive rebound by Team
5:59.0,,,18-12,,J. Grant enters the game for N. Noel
5:44.0,,,18-15,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Grant)
5:23.0,J. Crowder misses 3-pt shot from 26 ft,,18-15,,
5:20.0,Offensive rebound by A. Johnson,,18-15,,
5:19.0,Turnover by A. Johnson (bad pass; steal by J. Grant),,18-15,,
5:13.0,,,18-15,,J. Grant misses 2-pt shot from 2 ft
5:10.0,,,18-15,,Offensive rebound by R. Covington
5:10.0,,,18-15,,R. Covington misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by J. Sullinger,,18-15,,
5:02.0,A. Bradley makes 3-pt shot from 23 ft (assist by A. Johnson),3,21-15,,
4:44.0,,,21-18,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
4:30.0,I. Thomas makes 2-pt shot from 1 ft (assist by A. Johnson),2,23-18,,
4:07.0,,,23-18,,H. Thompson misses 2-pt shot from 15 ft
4:05.0,Defensive rebound by J. Sullinger,,23-18,,
3:52.0,J. Crowder misses 2-pt shot from 14 ft,,23-18,,
3:49.0,Offensive rebound by J. Sullinger,,23-18,,
3:49.0,J. Sullinger makes 2-pt shot from 1 ft,2,25-18,,
3:37.0,Def 3 sec tech foul by A. Johnson,,25-18,,
3:37.0,,,25-18,,R. Covington misses technical free throw
3:37.0,,,25-18,,Offensive rebound by Team
3:37.0,E. Turner enters the game for J. Crowder,,25-18,,
3:37.0,M. Smart enters the game for J. Sullinger,,25-18,,
3:37.0,,,25-18,,T. McConnell enters the game for J. Okafor
3:37.0,,,25-18,,R. Holmes enters the game for I. Smith
3:23.0,,,25-18,,Turnover by Team (shot clock)
3:08.0,A. Johnson misses 2-pt shot from 4 ft,,25-18,,
3:06.0,Offensive rebound by A. Johnson,,25-18,,
3:05.0,A. Johnson misses 2-pt shot from 2 ft,,25-18,,
3:04.0,,,25-18,,Defensive rebound by T. McConnell
2:54.0,,,25-18,,J. Grant misses 3-pt shot from 23 ft
2:52.0,,,25-18,,Offensive rebound by R. Holmes
2:49.0,,,25-21,3,H. Thompson makes 3-pt shot from 23 ft (assist by R. Holmes)
2:47.0,Boston full timeout,,25-21,,
2:47.0,J. Jerebko enters the game for I. Thomas,,25-21,,
2:47.0,K. Olynyk enters the game for A. Johnson,,25-21,,
2:47.0,,,25-21,,I. Canaan enters the game for R. Covington
2:34.0,A. Bradley misses 2-pt shot from 5 ft (block by H. Thompson),,25-21,,
2:28.0,Offensive rebound by Team,,25-21,,
2:23.0,M. Smart makes 2-pt shot from 10 ft (assist by A. Bradley),2,27-21,,
2:14.0,,,27-21,,T. McConnell misses 2-pt shot from 14 ft
2:14.0,Defensive rebound by Team,,27-21,,
1:57.0,J. Jerebko misses 3-pt shot from 25 ft,,27-21,,
1:55.0,,,27-21,,Defensive rebound by T. McConnell
1:44.0,,,27-21,,T. McConnell misses 2-pt shot from 3 ft
1:42.0,,,27-21,,Offensive rebound by R. Holmes
1:41.0,,,27-23,2,R. Holmes makes 2-pt shot from 5 ft
1:41.0,,,27-23,,Shooting foul by K. Olynyk (drawn by R. Holmes)
1:41.0,,,27-23,,R. Holmes misses free throw 1 of 1
1:39.0,,,27-23,,Offensive rebound by R. Holmes
1:33.0,,,27-23,,Shooting foul by K. Olynyk (drawn by J. Grant)
1:33.0,,,27-23,,J. Grant misses free throw 1 of 2
1:33.0,,,27-23,,Offensive rebound by Team
1:33.0,,,27-24,1,J. Grant makes free throw 2 of 2
1:07.0,A. Bradley misses 2-pt shot from 21 ft,,27-24,,
1:04.0,,,27-24,,Defensive rebound by R. Holmes
1:01.0,Personal foul by A. Bradley (drawn by J. Grant),,27-24,,
1:01.0,,,27-24,,J. Grant misses free throw 1 of 2
1:01.0,,,27-24,,Offensive rebound by Team
1:01.0,,,27-24,,I. Smith enters the game for T. McConnell
1:01.0,,,27-25,1,J. Grant makes free throw 2 of 2
0:51.0,Shooting foul by J. Grant (drawn by K. Olynyk),,27-25,,
0:51.0,K. Olynyk misses free throw 1 of 2,,27-25,,
0:51.0,Offensive rebound by Team,,27-25,,
0:51.0,K. Olynyk makes free throw 2 of 2,1,28-25,,
0:29.0,,,28-25,,I. Canaan misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by J. Jerebko,,28-25,,
0:10.0,M. Smart makes 2-pt shot from 5 ft,2,30-25,,
0:01.0,,,30-25,,I. Smith misses 2-pt shot from 12 ft
0:00.0,Defensive rebound by M. Smart,,30-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,E. Turner misses 2-pt shot from 10 ft,,30-25,,
11:42.0,,,30-25,,Defensive rebound by N. Noel
11:22.0,,,30-25,,J. Grant misses 2-pt shot at rim
11:21.0,Defensive rebound by J. Jerebko,,30-25,,
11:06.0,J. Jerebko makes 2-pt shot from 1 ft (assist by E. Turner),2,32-25,,
10:52.0,,,32-25,,I. Smith misses 2-pt shot from 3 ft (block by M. Smart)
10:50.0,Defensive rebound by J. Jerebko,,32-25,,
10:43.0,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner),2,34-25,,
10:42.0,,,34-25,,Philadelphia full timeout
10:33.0,,,34-25,,Turnover by I. Smith (lost ball)
10:28.0,M. Smart misses 2-pt shot from 12 ft,,34-25,,
10:27.0,,,34-25,,Defensive rebound by I. Canaan
10:27.0,,,34-25,,Turnover by I. Canaan (bad pass; steal by J. Crowder)
10:26.0,J. Crowder makes 2-pt shot from 1 ft,2,36-25,,
10:26.0,Shooting foul by I. Canaan (drawn by J. Crowder),,36-25,,
10:26.0,J. Crowder makes free throw 1 of 1,1,37-25,,
10:13.0,,,37-25,,Shooting foul by M. Smart (drawn by I. Smith)
10:13.0,,,37-25,,I. Smith misses free throw 1 of 2
10:13.0,,,37-25,,Offensive rebound by Team
10:13.0,,,37-26,1,I. Smith makes free throw 2 of 2
10:02.0,Turnover by K. Olynyk (lost ball; steal by I. Smith),,37-26,,
9:54.0,,,37-26,,J. Grant misses 2-pt shot from 3 ft
9:54.0,,,37-26,,Offensive rebound by J. Grant
9:50.0,Loose ball foul by J. Crowder (drawn by J. Grant),,37-26,,
9:50.0,J. Sullinger enters the game for K. Olynyk,,37-26,,
9:50.0,,,37-26,,R. Covington enters the game for J. Grant
9:50.0,,,37-26,,J. Okafor enters the game for H. Thompson
9:33.0,,,37-26,,I. Smith misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by J. Sullinger,,37-26,,
9:24.0,E. Turner misses 2-pt shot from 8 ft,,37-26,,
9:20.0,Offensive rebound by J. Sullinger,,37-26,,
9:10.0,J. Crowder makes 3-pt shot from 26 ft (assist by J. Sullinger),3,40-26,,
8:42.0,,,40-26,,J. Okafor misses 2-pt shot from 11 ft
8:41.0,Defensive rebound by J. Jerebko,,40-26,,
8:32.0,,,40-26,,Personal foul by I. Smith (drawn by M. Smart)
8:32.0,Official timeout,,40-26,,
8:22.0,J. Sullinger misses 2-pt shot from 4 ft (block by J. Okafor),,40-26,,
8:18.0,Offensive rebound by J. Sullinger,,40-26,,
8:16.0,M. Smart makes 3-pt shot from 24 ft (assist by J. Sullinger),3,43-26,,
8:00.0,,,43-28,2,I. Smith makes 2-pt shot from 20 ft
7:40.0,M. Smart makes 3-pt shot from 26 ft,3,46-28,,
7:28.0,,,46-31,3,R. Covington makes 3-pt shot from 22 ft
7:14.0,J. Crowder makes 2-pt shot from 2 ft (assist by M. Smart),2,48-31,,
7:01.0,,,48-33,2,N. Noel makes 2-pt shot from 1 ft
6:48.0,M. Smart makes 3-pt shot from 23 ft (assist by E. Turner),3,51-33,,
6:39.0,,,51-33,,I. Smith misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by J. Jerebko,,51-33,,
6:28.0,J. Jerebko misses 3-pt shot from 24 ft,,51-33,,
6:26.0,,,51-33,,Defensive rebound by R. Covington
6:18.0,,,51-33,,Turnover by I. Canaan (bad pass; steal by E. Turner)
6:15.0,Turnover by E. Turner (lost ball),,51-33,,
6:15.0,,,51-33,,T. McConnell enters the game for I. Smith
5:55.0,,,51-33,,Turnover by I. Canaan (bad pass; steal by J. Jerebko)
5:38.0,J. Crowder misses 3-pt shot from 27 ft,,51-33,,
5:36.0,,,51-33,,Defensive rebound by I. Canaan
5:23.0,,,51-36,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Canaan)
5:21.0,Boston full timeout,,51-36,,
5:21.0,A. Johnson enters the game for J. Jerebko,,51-36,,
5:21.0,,,51-36,,H. Thompson enters the game for I. Canaan
5:11.0,E. Turner misses 2-pt shot from 14 ft,,51-36,,
5:09.0,Offensive rebound by A. Johnson,,51-36,,
5:07.0,E. Turner makes 2-pt shot from 12 ft (assist by A. Johnson),2,53-36,,
4:59.0,,,53-36,,H. Thompson misses 2-pt shot from 19 ft
4:57.0,Defensive rebound by J. Crowder,,53-36,,
4:51.0,E. Turner misses 2-pt shot from 15 ft,,53-36,,
4:50.0,,,53-36,,Defensive rebound by N. Noel
4:40.0,,,53-38,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
4:23.0,J. Sullinger misses 2-pt shot from 21 ft,,53-38,,
4:21.0,,,53-38,,Defensive rebound by T. McConnell
4:10.0,,,53-40,2,N. Noel makes 2-pt shot at rim (assist by J. Okafor)
3:52.0,J. Sullinger misses 2-pt shot from 16 ft,,53-40,,
3:50.0,,,53-40,,Defensive rebound by H. Thompson
3:38.0,,,53-40,,J. Okafor misses 2-pt shot from 17 ft
3:36.0,Defensive rebound by A. Johnson,,53-40,,
3:29.0,Shooting foul by J. Okafor (drawn by M. Smart),,53-40,,
3:29.0,M. Smart misses free throw 1 of 2,,53-40,,
3:29.0,Offensive rebound by Team,,53-40,,
3:29.0,,,53-40,,N. Stauskas enters the game for N. Noel
3:29.0,A. Bradley enters the game for E. Turner,,53-40,,
3:29.0,K. Olynyk enters the game for A. Johnson,,53-40,,
3:29.0,M. Smart makes free throw 2 of 2,1,54-40,,
3:19.0,,,54-40,,N. Stauskas misses 3-pt shot from 23 ft
3:16.0,,,54-40,,Offensive rebound by N. Stauskas
3:14.0,,,54-40,,R. Covington misses 3-pt shot from 23 ft
3:13.0,Defensive rebound by Team,,54-40,,
3:13.0,I. Thomas enters the game for M. Smart,,54-40,,
2:53.0,K. Olynyk makes 2-pt shot from 6 ft,2,56-40,,
2:45.0,,,56-40,,Philadelphia full timeout
2:35.0,,,56-40,,N. Stauskas misses 3-pt shot from 28 ft
2:33.0,Defensive rebound by I. Thomas,,56-40,,
2:21.0,J. Crowder misses 2-pt shot from 15 ft,,56-40,,
2:17.0,,,56-40,,Defensive rebound by T. McConnell
2:12.0,,,56-40,,Turnover by T. McConnell (bad pass; steal by I. Thomas)
2:06.0,I. Thomas misses 2-pt shot from 19 ft,,56-40,,
2:04.0,,,56-40,,Defensive rebound by R. Covington
2:02.0,,,56-40,,Turnover by T. McConnell (palming)
1:39.0,I. Thomas misses 2-pt shot from 13 ft,,56-40,,
1:37.0,,,56-40,,Defensive rebound by R. Covington
1:32.0,,,56-40,,Shooting foul by J. Sullinger (drawn by R. Covington)
1:32.0,,,56-40,,R. Covington misses free throw 1 of 2
1:32.0,,,56-40,,Offensive rebound by Team
1:32.0,,,56-41,1,R. Covington makes free throw 2 of 2
1:25.0,Turnover by I. Thomas (lost ball; steal by T. McConnell),,56-41,,
1:10.0,,,56-41,,R. Covington misses 2-pt shot from 8 ft
1:08.0,Defensive rebound by J. Sullinger,,56-41,,
1:06.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Sullinger),2,58-41,,
0:44.0,,,58-43,2,T. McConnell makes 2-pt shot from 2 ft
0:37.0,Turnover by A. Bradley (bad pass; steal by T. McConnell),,58-43,,
0:27.0,,,58-43,,T. McConnell misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by Team,,58-43,,
0:26.0,,,58-43,,N. Noel enters the game for J. Okafor
0:26.0,,,58-43,,J. Sampson enters the game for H. Thompson
0:26.0,,,58-43,,J. Grant enters the game for N. Stauskas
0:07.0,K. Olynyk misses 2-pt shot from 4 ft,,58-43,,
0:05.0,,,58-43,,Defensive rebound by N. Noel
0:02.0,,,58-43,,Turnover by N. Noel (lost ball; steal by J. Crowder)
0:02.0,J. Crowder misses 2-pt shot from 4 ft,,58-43,,
0:01.0,Offensive rebound by J. Sullinger,,58-43,,
0:00.0,J. Sullinger misses 2-pt shot from 3 ft,,58-43,,
0:00.0,Offensive rebound by Team,,58-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,I. Thomas makes 2-pt shot from 9 ft (assist by A. Bradley),2,60-43,,
11:28.0,Personal foul by A. Bradley (drawn by R. Covington),,60-43,,
11:20.0,,,60-45,2,J. Sampson makes 2-pt shot from 2 ft (assist by N. Noel)
11:01.0,A. Bradley makes 2-pt shot from 18 ft,2,62-45,,
10:49.0,,,62-45,,R. Covington misses 3-pt shot from 22 ft
10:47.0,Defensive rebound by J. Sullinger,,62-45,,
10:42.0,,,62-45,,Personal foul by I. Smith (drawn by A. Johnson)
10:36.0,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas),2,64-45,,
10:22.0,,,64-45,,Turnover by R. Covington (lost ball; steal by A. Johnson)
10:14.0,Turnover by A. Bradley (lost ball; steal by N. Noel),,64-45,,
10:08.0,,,64-47,2,J. Okafor makes 2-pt shot from 1 ft (assist by I. Smith)
9:53.0,J. Sullinger makes 2-pt shot from 15 ft (assist by A. Bradley),2,66-47,,
9:37.0,,,66-47,,Turnover by N. Noel (lost ball; steal by A. Johnson)
9:25.0,J. Sullinger misses 2-pt shot from 17 ft,,66-47,,
9:24.0,,,66-47,,Defensive rebound by R. Covington
9:08.0,,,66-49,2,J. Okafor makes 2-pt shot from 3 ft
8:58.0,J. Sullinger misses 2-pt shot from 6 ft,,66-49,,
8:56.0,,,66-49,,Defensive rebound by J. Okafor
8:43.0,,,66-49,,I. Smith misses 2-pt shot from 13 ft
8:41.0,Defensive rebound by A. Johnson,,66-49,,
8:36.0,I. Thomas makes 2-pt shot from 2 ft (assist by A. Johnson),2,68-49,,
8:29.0,,,68-49,,Philadelphia full timeout
8:22.0,,,68-49,,Turnover by R. Covington (bad pass)
8:11.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,71-49,,
8:02.0,,,71-49,,I. Smith misses 2-pt shot from 12 ft (block by A. Johnson)
8:00.0,Defensive rebound by J. Sullinger,,71-49,,
7:58.0,A. Bradley makes 2-pt shot from 2 ft (assist by J. Sullinger),2,73-49,,
7:36.0,,,73-49,,J. Sampson misses 2-pt shot from 4 ft
7:35.0,,,73-49,,Offensive rebound by N. Noel
7:34.0,Personal foul by I. Thomas (drawn by R. Covington),,73-49,,
7:34.0,,,73-49,,J. Grant enters the game for J. Okafor
7:34.0,,,73-49,,R. Holmes enters the game for N. Noel
7:34.0,,,73-49,,T. McConnell enters the game for J. Sampson
7:23.0,,,73-49,,R. Holmes misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by A. Johnson,,73-49,,
7:18.0,Turnover by I. Thomas (lost ball; steal by I. Smith),,73-49,,
7:13.0,,,73-49,,I. Smith misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by A. Johnson,,73-49,,
7:08.0,Shooting foul by R. Covington (drawn by A. Bradley),,73-49,,
7:08.0,A. Bradley makes free throw 1 of 2,1,74-49,,
7:08.0,A. Bradley makes free throw 2 of 2,1,75-49,,
6:49.0,,,75-49,,J. Grant misses 3-pt shot from 22 ft
6:48.0,Defensive rebound by J. Crowder,,75-49,,
6:40.0,I. Thomas misses 2-pt shot from 2 ft,,75-49,,
6:38.0,Offensive rebound by I. Thomas,,75-49,,
6:37.0,I. Thomas makes 2-pt shot from 5 ft,2,77-49,,
6:26.0,,,77-51,2,T. McConnell makes 2-pt shot from 5 ft
6:07.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,79-51,,
6:07.0,Shooting foul by I. Smith (drawn by J. Crowder),,79-51,,
6:07.0,J. Crowder makes free throw 1 of 1,1,80-51,,
5:56.0,,,80-51,,R. Covington misses 3-pt shot from 28 ft
5:54.0,,,80-51,,Offensive rebound by Team
5:54.0,,,80-51,,I. Canaan enters the game for I. Smith
5:48.0,,,80-54,3,I. Canaan makes 3-pt shot from 23 ft (assist by J. Grant)
5:32.0,I. Thomas misses 3-pt shot from 26 ft,,80-54,,
5:30.0,,,80-54,,Defensive rebound by R. Holmes
5:18.0,,,80-54,,R. Covington misses 3-pt shot from 28 ft
5:17.0,,,80-54,,Offensive rebound by Team
5:17.0,Loose ball foul by A. Johnson (drawn by J. Grant),,80-54,,
5:09.0,,,80-54,,Offensive charge foul by J. Grant
5:09.0,,,80-54,,Turnover by J. Grant (offensive foul)
4:59.0,A. Bradley makes 2-pt shot from 15 ft (assist by J. Sullinger),2,82-54,,
4:50.0,,,82-54,,Turnover by R. Covington (bad pass)
4:43.0,I. Thomas misses 2-pt shot at rim (block by R. Holmes),,82-54,,
4:41.0,,,82-54,,Defensive rebound by T. McConnell
4:34.0,,,82-57,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
4:18.0,A. Bradley misses 2-pt shot from 4 ft,,82-57,,
4:17.0,Offensive rebound by Team,,82-57,,
4:17.0,,,82-57,,Loose ball foul by J. Grant (drawn by J. Sullinger)
4:11.0,Turnover by A. Bradley (bad pass; steal by R. Holmes),,82-57,,
4:07.0,Personal foul by A. Johnson (drawn by J. Grant),,82-57,,
4:07.0,E. Turner enters the game for A. Bradley,,82-57,,
4:07.0,M. Smart enters the game for J. Sullinger,,82-57,,
3:58.0,,,82-57,,Shooting foul by M. Smart (drawn by I. Canaan)
3:58.0,,,82-58,1,I. Canaan makes free throw 1 of 2
3:58.0,,,82-59,1,I. Canaan makes free throw 2 of 2
3:54.0,Shooting foul by R. Covington (drawn by I. Thomas),,82-59,,
3:54.0,I. Thomas makes free throw 1 of 2,1,83-59,,
3:54.0,,,83-59,,H. Thompson enters the game for R. Covington
3:54.0,I. Thomas makes free throw 2 of 2,1,84-59,,
3:46.0,,,84-59,,I. Canaan misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by E. Turner,,84-59,,
3:31.0,,,84-59,,Personal foul by R. Holmes (drawn by A. Johnson)
3:31.0,A. Johnson makes free throw 1 of 2,1,85-59,,
3:31.0,A. Johnson misses free throw 2 of 2,,85-59,,
