time,New Orleans,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. J. Grant (L. Babbitt gains possession),,,,Jump ball: A. Ajinca vs. J. Grant (L. Babbitt gains possession)
11:42.0,L. Babbitt misses 2-pt shot from 11 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by E. Brand
11:34.0,,,0-0,,R. Covington misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by A. Ajinca,,0-0,,
11:20.0,A. Ajinca makes 2-pt shot from 8 ft,2,2-0,,
11:17.0,,,2-0,,Turnover by E. Brand (lost ball; steal by T. Frazier)
11:12.0,T. Frazier misses 2-pt shot from 11 ft,,2-0,,
11:11.0,Offensive rebound by T. Frazier,,2-0,,
11:04.0,T. Frazier makes 2-pt shot from 20 ft (assist by L. Babbitt),2,4-0,,
10:43.0,,,4-3,3,I. Canaan makes 3-pt shot from 25 ft (assist by R. Covington)
10:28.0,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Frazier),2,6-3,,
10:20.0,,,6-3,,R. Covington misses 3-pt shot from 27 ft
10:19.0,Defensive rebound by A. Ajinca,,6-3,,
9:58.0,L. Babbitt makes 2-pt shot from 10 ft,2,8-3,,
9:41.0,,,8-3,,E. Brand misses 2-pt shot from 15 ft
9:40.0,Defensive rebound by T. Douglas,,8-3,,
9:32.0,A. Ajinca makes 2-pt shot from 16 ft (assist by T. Douglas),2,10-3,,
9:13.0,,,10-3,,J. Grant misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by A. Ajinca,,10-3,,
9:00.0,A. Ajinca misses 2-pt shot from 18 ft,,10-3,,
8:58.0,,,10-3,,Defensive rebound by R. Covington
8:38.0,,,10-3,,I. Canaan misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by A. Ajinca,,10-3,,
8:30.0,L. Babbitt misses 3-pt shot from 25 ft,,10-3,,
8:29.0,,,10-3,,Defensive rebound by I. Canaan
8:20.0,,,10-5,2,R. Covington makes 2-pt shot at rim (assist by I. Smith)
8:12.0,Shooting foul by I. Smith (drawn by T. Frazier),,10-5,,
8:12.0,T. Frazier makes free throw 1 of 2,1,11-5,,
8:12.0,T. Frazier makes free throw 2 of 2,1,12-5,,
8:03.0,Personal foul by A. Ajinca,,12-5,,
7:51.0,,,12-7,2,I. Canaan makes 2-pt shot from 11 ft (assist by R. Covington)
7:34.0,L. Babbitt makes 2-pt shot from 8 ft (assist by T. Frazier),2,14-7,,
7:23.0,,,14-7,,Turnover by I. Smith (lost ball; steal by T. Douglas)
7:16.0,L. Babbitt makes 3-pt shot from 25 ft (assist by T. Frazier),3,17-7,,
7:13.0,,,17-7,,Philadelphia full timeout
6:53.0,,,17-9,2,J. Grant makes 2-pt shot from 2 ft (assist by R. Covington)
6:42.0,Shooting foul by I. Smith (drawn by T. Frazier),,17-9,,
6:42.0,T. Frazier makes free throw 1 of 2,1,18-9,,
6:42.0,,,18-9,,T. McConnell enters the game for I. Smith
6:42.0,,,18-9,,N. Noel enters the game for E. Brand
6:42.0,T. Frazier makes free throw 2 of 2,1,19-9,,
6:19.0,,,19-9,,I. Canaan misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by D. Cunningham,,19-9,,
6:05.0,A. Ajinca makes 2-pt shot from 9 ft (assist by T. Frazier),2,21-9,,
5:47.0,,,21-9,,N. Noel misses 2-pt shot from 13 ft
5:45.0,Defensive rebound by L. Babbitt,,21-9,,
5:34.0,A. Ajinca misses 2-pt shot at rim,,21-9,,
5:32.0,,,21-9,,Defensive rebound by N. Noel
5:21.0,Personal foul by L. Babbitt,,21-9,,
5:21.0,,,21-9,,N. Stauskas enters the game for I. Canaan
5:12.0,,,21-12,3,N. Stauskas makes 3-pt shot from 23 ft (assist by T. McConnell)
4:53.0,T. Frazier makes 2-pt shot from 18 ft,2,23-12,,
4:41.0,,,23-12,,T. McConnell misses 2-pt shot from 9 ft
4:40.0,Defensive rebound by A. Ajinca,,23-12,,
4:27.0,Turnover by T. Frazier (bad pass),,23-12,,
4:05.0,,,23-14,2,J. Grant makes 2-pt shot from 2 ft (assist by T. McConnell)
3:52.0,T. Douglas misses 2-pt shot from 13 ft,,23-14,,
3:50.0,,,23-14,,Defensive rebound by N. Noel
3:44.0,,,23-14,,T. McConnell misses 2-pt shot at rim
3:41.0,Defensive rebound by T. Frazier,,23-14,,
3:36.0,L. Babbitt misses 2-pt shot from 8 ft,,23-14,,
3:33.0,,,23-14,,Defensive rebound by N. Noel
3:24.0,,,23-16,2,N. Noel makes 2-pt shot from 1 ft (assist by T. McConnell)
3:24.0,,,23-16,,Shooting foul by A. Ajinca (drawn by N. Noel)
3:24.0,,,23-16,,H. Thompson enters the game for R. Covington
3:24.0,J. Ennis enters the game for T. Douglas,,23-16,,
3:24.0,K. Perkins enters the game for A. Ajinca,,23-16,,
3:24.0,,,23-16,,N. Noel misses free throw 1 of 1
3:22.0,Defensive rebound by K. Perkins,,23-16,,
3:14.0,J. Ennis misses 2-pt shot from 2 ft,,23-16,,
3:11.0,,,23-16,,Defensive rebound by J. Grant
2:54.0,,,23-16,,N. Noel misses 2-pt shot from 15 ft
2:53.0,Defensive rebound by K. Perkins,,23-16,,
2:42.0,T. Frazier makes 2-pt shot from 6 ft,2,25-16,,
2:22.0,,,25-16,,J. Grant misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by K. Perkins,,25-16,,
2:17.0,Shooting foul by N. Stauskas (drawn by D. Cunningham),,25-16,,
2:17.0,New Orleans full timeout,,25-16,,
2:17.0,J. Hamilton enters the game for L. Babbitt,,25-16,,
2:17.0,D. Cunningham misses free throw 1 of 2,,25-16,,
2:17.0,Offensive rebound by Team,,25-16,,
2:17.0,D. Cunningham misses free throw 2 of 2,,25-16,,
2:16.0,Offensive rebound by Team,,25-16,,
2:03.0,K. Perkins makes 2-pt shot from 7 ft (assist by J. Ennis),2,27-16,,
1:48.0,,,27-19,3,H. Thompson makes 3-pt shot from 25 ft (assist by T. McConnell)
1:31.0,Turnover by D. Cunningham (lost ball; steal by J. Grant),,27-19,,
1:22.0,,,27-19,,Turnover by N. Noel (bad pass)
