time,Houston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Plumlee (P. Beverley gains possession),,,,Jump ball: D. Howard vs. M. Plumlee (P. Beverley gains possession)
11:37.0,Turnover by D. Howard (bad pass),,0-0,,
11:25.0,,,0-2,2,A. Aminu makes 2-pt shot from 14 ft (assist by D. Lillard)
11:07.0,D. Howard makes 2-pt shot from 5 ft (assist by T. Ariza),2,2-2,,
10:50.0,,,2-2,,D. Lillard misses 2-pt shot from 16 ft
10:48.0,Defensive rebound by D. Howard,,2-2,,
10:37.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,4-2,,
10:22.0,,,4-2,,Turnover by M. Plumlee (bad pass; steal by T. Ariza)
10:16.0,P. Beverley misses 3-pt shot from 24 ft,,4-2,,
10:16.0,,,4-2,,Defensive rebound by M. Harkless
10:03.0,,,4-5,3,C. McCollum makes 3-pt shot from 23 ft (assist by A. Aminu)
9:50.0,T. Ariza misses 3-pt shot from 24 ft,,4-5,,
9:50.0,,,4-5,,Defensive rebound by Team
9:38.0,,,4-5,,C. McCollum misses 3-pt shot from 27 ft
9:37.0,Defensive rebound by D. Howard,,4-5,,
9:27.0,D. Howard makes 2-pt shot from 5 ft (assist by T. Ariza),2,6-5,,
9:10.0,,,6-5,,Shooting foul by J. Harden (drawn by A. Aminu)
9:10.0,,,6-6,1,A. Aminu makes free throw 1 of 2
9:10.0,,,6-7,1,A. Aminu makes free throw 2 of 2
8:57.0,J. Harden makes 3-pt shot from 24 ft (assist by D. Howard),3,9-7,,
8:39.0,,,9-7,,A. Aminu misses 3-pt shot from 24 ft
8:39.0,,,9-7,,Offensive rebound by M. Harkless
8:36.0,,,9-9,2,M. Harkless makes 2-pt shot from 2 ft
8:12.0,D. Howard makes 2-pt shot from 6 ft,2,11-9,,
7:59.0,,,11-9,,Turnover by D. Lillard (bad pass)
7:52.0,Shooting foul by M. Harkless (drawn by J. Harden),,11-9,,
7:52.0,J. Harden makes free throw 1 of 2,1,12-9,,
7:52.0,J. Harden makes free throw 2 of 2,1,13-9,,
7:40.0,,,13-11,2,A. Aminu makes 2-pt shot from 7 ft (assist by C. McCollum)
7:25.0,Shooting foul by M. Plumlee (drawn by D. Howard),,13-11,,
7:25.0,D. Howard makes free throw 1 of 2,1,14-11,,
7:25.0,D. Howard misses free throw 2 of 2,,14-11,,
7:24.0,,,14-11,,Defensive rebound by A. Aminu
7:17.0,,,14-11,,Turnover by A. Aminu (bad pass; steal by T. Ariza)
7:11.0,T. Ariza misses 3-pt shot from 25 ft,,14-11,,
7:11.0,,,14-11,,Defensive rebound by Team
6:55.0,,,14-11,,Turnover by M. Plumlee (traveling)
6:42.0,P. Beverley misses 2-pt shot at rim,,14-11,,
6:37.0,Offensive rebound by D. Howard,,14-11,,
