time,Indiana,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. N. Vucevic (L. Allen gains possession),,,,Jump ball: I. Mahinmi vs. N. Vucevic (L. Allen gains possession)
11:34.0,G. Hill misses 2-pt shot from 18 ft,,0-0,,
11:32.0,Offensive rebound by L. Allen,,0-0,,
11:18.0,Shooting foul by N. Vucevic (drawn by I. Mahinmi),,0-0,,
11:18.0,I. Mahinmi makes free throw 1 of 2,1,1-0,,
11:18.0,I. Mahinmi misses free throw 2 of 2,,1-0,,
11:17.0,,,1-0,,Defensive rebound by T. Harris
11:03.0,,,1-0,,T. Harris misses 2-pt shot from 16 ft
11:02.0,Defensive rebound by M. Ellis,,1-0,,
10:51.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by G. Hill),2,3-0,,
10:36.0,,,3-0,,E. Fournier misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by Team,,3-0,,
10:10.0,L. Allen misses 2-pt shot from 18 ft,,3-0,,
10:09.0,,,3-0,,Defensive rebound by V. Oladipo
10:00.0,Personal foul by I. Mahinmi (drawn by N. Vucevic),,3-0,,
9:49.0,,,3-0,,C. Frye misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by P. George,,3-0,,
9:36.0,P. George makes 2-pt shot from 17 ft,2,5-0,,
9:14.0,,,5-0,,N. Vucevic misses 2-pt shot from 13 ft
9:13.0,Defensive rebound by M. Ellis,,5-0,,
9:03.0,L. Allen makes 2-pt shot from 19 ft (assist by G. Hill),2,7-0,,
8:44.0,,,7-0,,V. Oladipo misses 3-pt shot from 26 ft
8:43.0,Defensive rebound by M. Ellis,,7-0,,
8:33.0,L. Allen misses 2-pt shot from 6 ft,,7-0,,
8:31.0,,,7-0,,Defensive rebound by C. Frye
8:19.0,,,7-0,,C. Frye misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by I. Mahinmi,,7-0,,
8:08.0,Turnover by M. Ellis (bad pass),,7-0,,
7:52.0,,,7-2,2,N. Vucevic makes 2-pt shot from 10 ft
7:41.0,P. George makes 2-pt shot from 19 ft,2,9-2,,
7:25.0,,,9-2,,T. Harris misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by I. Mahinmi,,9-2,,
7:04.0,P. George misses 3-pt shot from 25 ft,,9-2,,
7:03.0,,,9-2,,Defensive rebound by N. Vucevic
6:53.0,,,9-2,,T. Harris misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by I. Mahinmi,,9-2,,
6:43.0,M. Ellis makes 2-pt shot from 16 ft,2,11-2,,
6:43.0,,,11-2,,Orlando full timeout
6:22.0,,,11-2,,E. Fournier misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by I. Mahinmi,,11-2,,
6:09.0,Turnover by L. Allen (bad pass; steal by E. Fournier),,11-2,,
6:02.0,,,11-4,2,V. Oladipo makes 2-pt shot at rim (assist by E. Fournier)
5:38.0,L. Allen misses 2-pt shot from 2 ft (block by C. Frye),,11-4,,
5:35.0,,,11-4,,Defensive rebound by C. Frye
5:23.0,,,11-4,,N. Vucevic misses 2-pt shot from 16 ft
5:21.0,Defensive rebound by P. George,,11-4,,
5:16.0,Turnover by P. George (lost ball),,11-4,,
5:16.0,C. Miles enters the game for L. Allen,,11-4,,
5:00.0,,,11-6,2,N. Vucevic makes 2-pt shot from 2 ft
4:44.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,13-6,,
4:22.0,,,13-6,,Shooting foul by I. Mahinmi (drawn by C. Frye)
4:22.0,,,13-7,1,C. Frye makes free throw 1 of 2
4:22.0,R. Stuckey enters the game for G. Hill,,13-7,,
4:22.0,M. Turner enters the game for I. Mahinmi,,13-7,,
4:22.0,,,13-8,1,C. Frye makes free throw 2 of 2
4:10.0,C. Miles misses 3-pt shot from 25 ft,,13-8,,
4:08.0,,,13-8,,Defensive rebound by T. Harris
4:00.0,,,13-10,2,E. Fournier makes 2-pt shot from 2 ft
3:52.0,Turnover by M. Ellis (discontinued dribble),,13-10,,
3:42.0,,,13-10,,Turnover by V. Oladipo (bad pass; steal by R. Stuckey)
3:36.0,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis),2,15-10,,
3:16.0,,,15-12,2,N. Vucevic makes 2-pt shot from 9 ft
3:16.0,Indiana full timeout,,15-12,,
3:16.0,,,15-12,,A. Nicholson enters the game for C. Frye
3:01.0,M. Turner makes 2-pt shot from 14 ft (assist by M. Ellis),2,17-12,,
2:49.0,,,17-14,2,E. Fournier makes 2-pt shot from 20 ft (assist by N. Vucevic)
2:36.0,C. Miles misses 3-pt shot from 27 ft,,17-14,,
2:35.0,Offensive rebound by M. Turner,,17-14,,
2:22.0,P. George misses 2-pt shot from 10 ft,,17-14,,
2:20.0,,,17-14,,Defensive rebound by A. Nicholson
2:16.0,,,17-14,,Turnover by T. Harris (lost ball; steal by M. Ellis)
2:04.0,R. Stuckey makes 2-pt shot from 16 ft,2,19-14,,
1:47.0,,,19-16,2,A. Nicholson makes 2-pt shot at rim (assist by T. Harris)
1:28.0,M. Ellis misses 3-pt shot from 27 ft,,19-16,,
1:27.0,,,19-16,,Defensive rebound by N. Vucevic
1:10.0,,,19-18,2,A. Nicholson makes 2-pt shot from 2 ft (assist by E. Fournier)
0:59.0,P. George misses 3-pt shot from 25 ft,,19-18,,
0:58.0,,,19-18,,Defensive rebound by E. Fournier
0:52.0,,,19-18,,E. Fournier misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by M. Turner,,19-18,,
0:37.0,P. George makes 3-pt shot from 23 ft (assist by M. Ellis),3,22-18,,
0:24.0,,,22-18,,Turnover by A. Nicholson (lost ball; steal by C. Miles)
0:20.0,Offensive charge foul by P. George,,22-18,,
0:20.0,Turnover by P. George (offensive foul),,22-18,,
0:20.0,,,22-18,,J. Smith enters the game for T. Harris
