time,LA Clippers,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Lopez (J. Calderon gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (J. Calderon gains possession)
11:40.0,,,0-0,,A. Afflalo misses 2-pt shot from 6 ft
11:38.0,Defensive rebound by C. Paul,,0-0,,
11:27.0,P. Pierce makes 3-pt shot from 24 ft,3,3-0,,
11:10.0,,,3-2,2,R. Lopez makes 2-pt shot from 4 ft
10:54.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,5-2,,
10:42.0,,,5-2,,K. Porzingis misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by D. Jordan,,5-2,,
10:28.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,8-2,,
10:11.0,,,8-2,,A. Afflalo misses 2-pt shot from 5 ft
10:11.0,Defensive rebound by Team,,8-2,,
10:11.0,,,8-2,,Loose ball foul by A. Afflalo (drawn by D. Jordan)
9:55.0,J. Redick misses 2-pt shot from 21 ft,,8-2,,
9:53.0,,,8-2,,Defensive rebound by J. Calderon
9:49.0,,,8-5,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon)
9:31.0,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by C. Paul),2,10-5,,
9:13.0,,,10-5,,K. Porzingis misses 2-pt shot from 10 ft
9:11.0,,,10-5,,Offensive rebound by R. Lopez
9:11.0,,,10-5,,R. Lopez misses 2-pt shot at rim
9:10.0,Defensive rebound by C. Paul,,10-5,,
8:58.0,Turnover by C. Paul (bad pass),,10-5,,
8:38.0,,,10-5,,J. Calderon misses 2-pt shot from 12 ft
8:36.0,Defensive rebound by D. Jordan,,10-5,,
8:27.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,12-5,,
8:04.0,,,12-5,,Turnover by C. Anthony (bad pass)
7:49.0,P. Pierce makes 2-pt shot from 1 ft (assist by C. Paul),2,14-5,,
7:42.0,,,14-5,,New York full timeout
7:33.0,,,14-5,,J. Calderon misses 3-pt shot from 25 ft
7:31.0,,,14-5,,Offensive rebound by R. Lopez
7:31.0,,,14-5,,R. Lopez misses 2-pt shot from 1 ft
7:20.0,Defensive rebound by P. Pierce,,14-5,,
7:08.0,C. Paul misses 3-pt shot from 26 ft,,14-5,,
7:07.0,,,14-5,,Defensive rebound by J. Calderon
6:59.0,,,14-5,,C. Anthony misses 2-pt shot from 2 ft
6:58.0,,,14-5,,Offensive rebound by K. Porzingis
6:58.0,,,14-5,,K. Porzingis misses 2-pt shot at rim
6:56.0,Defensive rebound by J. Redick,,14-5,,
6:36.0,P. Pierce misses 3-pt shot from 24 ft,,14-5,,
6:34.0,,,14-5,,Defensive rebound by J. Calderon
6:25.0,,,14-5,,K. Porzingis misses 2-pt shot from 5 ft
6:23.0,Defensive rebound by C. Paul,,14-5,,
6:15.0,C. Paul misses 2-pt shot from 18 ft,,14-5,,
6:13.0,,,14-5,,Defensive rebound by R. Lopez
6:05.0,,,14-7,2,C. Anthony makes 2-pt shot from 14 ft
6:05.0,,,14-7,,Shooting foul by L. Mbah a Moute (drawn by C. Anthony)
6:05.0,W. Johnson enters the game for P. Pierce,,14-7,,
6:05.0,,,14-7,,D. Williams enters the game for K. Porzingis
6:05.0,,,14-8,1,C. Anthony makes free throw 1 of 1
5:49.0,J. Redick makes 2-pt shot from 17 ft (assist by D. Jordan),2,16-8,,
5:31.0,,,16-8,,Turnover by A. Afflalo (traveling)
5:23.0,W. Johnson makes 3-pt shot from 24 ft (assist by C. Paul),3,19-8,,
5:11.0,,,19-8,,C. Anthony misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by D. Jordan,,19-8,,
5:03.0,W. Johnson makes 3-pt shot from 22 ft (assist by L. Mbah a Moute),3,22-8,,
4:44.0,,,22-8,,Shooting foul by L. Mbah a Moute (drawn by C. Anthony)
4:44.0,,,22-9,1,C. Anthony makes free throw 1 of 2
4:44.0,,,22-9,,K. Porzingis enters the game for R. Lopez
4:44.0,J. Crawford enters the game for L. Mbah a Moute,,22-9,,
4:44.0,,,22-10,1,C. Anthony makes free throw 2 of 2
4:39.0,Turnover by J. Redick (traveling),,22-10,,
4:26.0,,,22-12,2,D. Williams makes 2-pt shot from 17 ft (assist by A. Afflalo)
4:08.0,,,22-12,,Personal block foul by J. Calderon (drawn by C. Paul)
3:55.0,C. Paul misses 2-pt shot from 3 ft,,22-12,,
3:53.0,Offensive rebound by D. Jordan,,22-12,,
3:53.0,D. Jordan makes 2-pt shot at rim,2,24-12,,
3:43.0,,,24-15,3,K. Porzingis makes 3-pt shot from 24 ft (assist by C. Anthony)
3:25.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,26-15,,
3:09.0,,,26-17,2,C. Anthony makes 2-pt shot from 16 ft (assist by J. Calderon)
2:56.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,28-17,,
2:38.0,,,28-17,,K. Porzingis misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by D. Jordan,,28-17,,
2:18.0,W. Johnson makes 3-pt shot from 22 ft (assist by D. Jordan),3,31-17,,
2:10.0,,,31-17,,New York full timeout
2:10.0,LA Clippers full timeout,,31-17,,
2:10.0,A. Rivers enters the game for J. Redick,,31-17,,
2:10.0,,,31-17,,L. Galloway enters the game for A. Afflalo
2:10.0,,,31-17,,J. Grant enters the game for J. Calderon
1:52.0,,,31-17,,Shooting foul by W. Johnson (drawn by C. Anthony)
1:52.0,,,31-17,,C. Anthony misses free throw 1 of 2
1:52.0,,,31-17,,Offensive rebound by Team
1:52.0,,,31-18,1,C. Anthony makes free throw 2 of 2
1:40.0,C. Paul misses 2-pt shot from 2 ft,,31-18,,
1:38.0,,,31-18,,Defensive rebound by C. Anthony
1:27.0,,,31-18,,K. Porzingis misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by W. Johnson,,31-18,,
1:14.0,C. Paul misses 2-pt shot from 8 ft,,31-18,,
1:12.0,,,31-18,,Defensive rebound by C. Anthony
1:06.0,,,31-18,,K. Porzingis misses 2-pt shot from 1 ft
1:04.0,,,31-18,,Offensive rebound by K. Porzingis
1:04.0,,,31-20,2,K. Porzingis makes 2-pt shot at rim
0:47.0,,,31-20,,Personal foul by J. Grant (drawn by C. Paul)
0:47.0,C. Aldrich enters the game for D. Jordan,,31-20,,
0:47.0,P. Prigioni enters the game for C. Paul,,31-20,,
0:38.0,J. Crawford misses 2-pt shot from 23 ft,,31-20,,
0:36.0,,,31-20,,Defensive rebound by K. Porzingis
0:28.0,Violation by C. Aldrich (def goaltending),,31-20,,
0:28.0,,,31-22,2,D. Williams makes 2-pt shot from 2 ft (assist by C. Anthony)
0:08.0,Turnover by J. Crawford (lost ball; steal by C. Anthony),,31-22,,
0:05.0,,,31-24,2,D. Williams makes 2-pt shot at rim (assist by J. Grant)
0:01.0,A. Rivers misses 2-pt shot from 12 ft,,31-24,,
0:00.0,Offensive rebound by Team,,31-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,W. Johnson makes 2-pt shot from 21 ft (assist by P. Prigioni),2,33-24,,
11:28.0,,,33-24,,K. O'Quinn misses 2-pt shot from 2 ft (block by C. Aldrich)
11:26.0,,,33-24,,Offensive rebound by K. O'Quinn
11:23.0,,,33-24,,Turnover by K. O'Quinn (lost ball; steal by C. Aldrich)
11:11.0,C. Aldrich misses 2-pt shot from 3 ft,,33-24,,
11:09.0,,,33-24,,Defensive rebound by K. O'Quinn
10:56.0,,,33-24,,L. Galloway misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by C. Aldrich,,33-24,,
10:46.0,J. Crawford makes 2-pt shot from 1 ft,2,35-24,,
10:28.0,,,35-26,2,K. O'Quinn makes 2-pt shot from 7 ft (assist by J. Grant)
10:13.0,A. Rivers misses 3-pt shot from 24 ft,,35-26,,
10:11.0,,,35-26,,Defensive rebound by K. O'Quinn
10:02.0,,,35-26,,Offensive foul by D. Williams
10:02.0,,,35-26,,Turnover by D. Williams (offensive foul)
9:41.0,C. Aldrich misses 2-pt shot from 4 ft,,35-26,,
9:40.0,,,35-26,,Defensive rebound by J. Grant
9:29.0,,,35-28,2,L. Galloway makes 2-pt shot from 12 ft (assist by J. Grant)
9:13.0,J. Crawford misses 2-pt shot from 16 ft,,35-28,,
9:11.0,,,35-28,,Defensive rebound by L. Galloway
8:59.0,,,35-28,,Turnover by D. Williams (offensive goaltending)
8:59.0,Official timeout,,35-28,,
8:46.0,A. Rivers misses 2-pt shot from 8 ft,,35-28,,
8:44.0,,,35-28,,Defensive rebound by D. Williams
8:33.0,,,35-28,,A. Afflalo misses 2-pt shot from 12 ft (block by W. Johnson)
8:30.0,Defensive rebound by P. Prigioni,,35-28,,
8:22.0,J. Crawford misses 2-pt shot from 12 ft,,35-28,,
8:20.0,Offensive rebound by C. Aldrich,,35-28,,
8:18.0,Turnover by C. Aldrich (bad pass; steal by D. Williams),,35-28,,
8:17.0,Personal foul by A. Rivers (drawn by D. Williams),,35-28,,
8:03.0,,,35-30,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by J. Grant)
7:45.0,A. Rivers makes 3-pt shot from 23 ft (assist by W. Johnson),3,38-30,,
7:22.0,,,38-30,,Turnover by J. Grant (lost ball)
7:22.0,D. Jordan enters the game for C. Aldrich,,38-30,,
7:03.0,J. Crawford makes 2-pt shot from 3 ft,2,40-30,,
6:53.0,,,40-30,,Turnover by K. O'Quinn (bad pass; steal by P. Prigioni)
6:52.0,,,40-30,,Personal foul by J. Grant (drawn by P. Prigioni)
6:52.0,,,40-30,,R. Lopez enters the game for K. O'Quinn
6:52.0,,,40-30,,C. Anthony enters the game for J. Grant
6:52.0,L. Mbah a Moute enters the game for W. Johnson,,40-30,,
6:42.0,J. Crawford misses 3-pt shot from 25 ft,,40-30,,
6:40.0,,,40-30,,Defensive rebound by C. Anthony
6:25.0,,,40-32,2,L. Galloway makes 2-pt shot from 12 ft
6:07.0,P. Prigioni misses 3-pt shot from 26 ft,,40-32,,
6:05.0,,,40-32,,Defensive rebound by L. Galloway
6:01.0,,,40-32,,Turnover by L. Galloway (bad pass; steal by P. Prigioni)
5:50.0,P. Prigioni makes 3-pt shot from 26 ft (assist by A. Rivers),3,43-32,,
5:41.0,,,43-32,,New York full timeout
5:41.0,J. Redick enters the game for L. Mbah a Moute,,43-32,,
5:41.0,P. Pierce enters the game for A. Rivers,,43-32,,
5:41.0,C. Paul enters the game for P. Prigioni,,43-32,,
5:41.0,,,43-32,,J. Calderon enters the game for A. Afflalo
5:41.0,,,43-32,,K. Porzingis enters the game for D. Williams
5:28.0,,,43-34,2,R. Lopez makes 2-pt shot from 3 ft (assist by C. Anthony)
5:09.0,Turnover by C. Paul (bad pass),,43-34,,
4:58.0,,,43-36,2,J. Calderon makes 2-pt shot from 6 ft (assist by L. Galloway)
4:41.0,P. Pierce misses 3-pt shot from 24 ft,,43-36,,
4:39.0,,,43-36,,Defensive rebound by J. Calderon
4:35.0,Personal foul by P. Pierce (drawn by C. Anthony),,43-36,,
4:26.0,,,43-36,,R. Lopez misses 2-pt shot from 5 ft
4:24.0,Defensive rebound by P. Pierce,,43-36,,
4:15.0,D. Jordan makes 2-pt shot at rim (assist by P. Pierce),2,45-36,,
3:58.0,,,45-36,,C. Anthony misses 2-pt shot from 13 ft
3:56.0,,,45-36,,Offensive rebound by R. Lopez
3:54.0,,,45-36,,Turnover by R. Lopez (lost ball; steal by C. Paul)
3:50.0,C. Paul makes 2-pt shot from 9 ft,2,47-36,,
3:33.0,,,47-36,,Turnover by K. Porzingis (lost ball; steal by P. Pierce)
3:28.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,49-36,,
3:17.0,,,49-38,2,J. Calderon makes 2-pt shot from 17 ft
3:00.0,J. Redick misses 2-pt shot from 21 ft (block by C. Anthony),,49-38,,
2:57.0,,,49-38,,Defensive rebound by J. Calderon
2:48.0,,,49-38,,R. Lopez misses 2-pt shot from 18 ft
2:47.0,Defensive rebound by Team,,49-38,,
2:46.0,LA Clippers full timeout,,49-38,,
2:46.0,L. Mbah a Moute enters the game for J. Crawford,,49-38,,
2:46.0,,,49-38,,D. Williams enters the game for R. Lopez
2:46.0,,,49-38,,A. Afflalo enters the game for L. Galloway
2:26.0,Turnover by D. Jordan (lost ball; steal by A. Afflalo),,49-38,,
2:13.0,,,49-40,2,D. Williams makes 2-pt shot at rim (assist by A. Afflalo)
2:13.0,,,49-40,,Shooting foul by D. Jordan (drawn by D. Williams)
2:13.0,,,49-41,1,D. Williams makes free throw 1 of 1
1:58.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,52-41,,
1:39.0,,,52-41,,Turnover by C. Anthony (lost ball; steal by L. Mbah a Moute)
1:28.0,C. Paul misses 2-pt shot from 5 ft,,52-41,,
1:27.0,Offensive rebound by Team,,52-41,,
1:27.0,,,52-41,,Loose ball foul by A. Afflalo (drawn by D. Jordan)
1:27.0,W. Johnson enters the game for L. Mbah a Moute,,52-41,,
1:14.0,J. Redick misses 3-pt shot from 24 ft,,52-41,,
1:12.0,,,52-41,,Defensive rebound by D. Williams
0:58.0,,,52-41,,C. Anthony misses 2-pt shot from 16 ft
0:55.0,,,52-41,,Offensive rebound by K. Porzingis
0:55.0,,,52-41,,K. Porzingis misses 2-pt shot at rim
0:53.0,Defensive rebound by D. Jordan,,52-41,,
0:47.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,55-41,,
0:31.0,,,55-41,,Shooting foul by W. Johnson (drawn by C. Anthony)
0:31.0,,,55-42,1,C. Anthony makes free throw 1 of 2
0:31.0,,,55-43,1,C. Anthony makes free throw 2 of 2
0:30.0,,,55-43,,Personal foul by K. Porzingis (drawn by D. Jordan)
0:30.0,D. Jordan misses free throw 1 of 2,,55-43,,
0:30.0,Offensive rebound by Team,,55-43,,
0:30.0,D. Jordan misses free throw 2 of 2,,55-43,,
0:30.0,,,55-43,,Defensive rebound by K. Porzingis
