time,Orlando,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Vucevic (J. Sullinger gains possession),,,,Jump ball: A. Johnson vs. N. Vucevic (J. Sullinger gains possession)
11:45.0,,,0-2,2,J. Sullinger makes 2-pt shot from 1 ft (assist by A. Bradley)
11:31.0,A. Gordon makes 3-pt shot from 24 ft (assist by N. Vucevic),3,3-2,,
11:18.0,,,3-2,,A. Bradley misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by T. Harris,,3-2,,
11:03.0,A. Gordon misses 3-pt shot from 23 ft,,3-2,,
11:02.0,,,3-2,,Defensive rebound by J. Sullinger
10:46.0,,,3-2,,J. Sullinger misses 2-pt shot from 12 ft
10:45.0,Defensive rebound by T. Harris,,3-2,,
10:24.0,T. Harris misses 3-pt shot from 24 ft,,3-2,,
10:23.0,,,3-2,,Defensive rebound by A. Johnson
10:08.0,,,3-2,,Turnover by I. Thomas (bad pass; steal by A. Gordon)
9:59.0,A. Gordon misses 2-pt shot from 1 ft,,3-2,,
9:58.0,Offensive rebound by A. Gordon,,3-2,,
9:48.0,E. Payton misses 2-pt shot from 12 ft,,3-2,,
9:47.0,Offensive rebound by V. Oladipo,,3-2,,
9:30.0,T. Harris misses 2-pt shot from 2 ft,,3-2,,
9:29.0,Offensive rebound by N. Vucevic,,3-2,,
9:29.0,N. Vucevic misses 2-pt shot from 1 ft,,3-2,,
9:28.0,Offensive rebound by T. Harris,,3-2,,
9:26.0,T. Harris misses 2-pt shot from 1 ft,,3-2,,
9:25.0,,,3-2,,Defensive rebound by J. Sullinger
9:10.0,,,3-2,,I. Thomas misses 2-pt shot from 14 ft
9:09.0,Defensive rebound by A. Gordon,,3-2,,
9:05.0,Turnover by A. Gordon (traveling),,3-2,,
8:55.0,,,3-2,,A. Bradley misses 2-pt shot from 13 ft
8:54.0,Defensive rebound by N. Vucevic,,3-2,,
8:41.0,Shooting foul by A. Bradley (drawn by V. Oladipo),,3-2,,
8:41.0,V. Oladipo makes free throw 1 of 2,1,4-2,,
