time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Kaminsky vs. H. Whiteside (L. Deng gains possession),,,,Jump ball: F. Kaminsky vs. H. Whiteside (L. Deng gains possession)
11:36.0,,,0-2,2,G. Dragic makes 2-pt shot from 5 ft (assist by D. Wade)
11:16.0,M. Williams misses 3-pt shot from 25 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by D. Wade
11:03.0,,,0-4,2,H. Whiteside makes 2-pt shot from 9 ft (assist by L. Deng)
10:39.0,A. Jefferson misses 2-pt shot from 17 ft (block by H. Whiteside),,0-4,,
10:38.0,,,0-4,,Defensive rebound by J. Johnson
10:31.0,,,0-6,2,D. Wade makes 2-pt shot from 1 ft
10:16.0,A. Jefferson makes 2-pt shot from 4 ft (assist by K. Walker),2,2-6,,
10:03.0,,,2-8,2,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Wade)
9:57.0,Charlotte full timeout,,2-8,,
9:45.0,,,2-8,,Violation by H. Whiteside (def goaltending)
9:45.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by M. Williams),2,4-8,,
9:27.0,,,4-10,2,G. Dragic makes 2-pt shot from 18 ft (assist by L. Deng)
9:12.0,K. Walker misses 2-pt shot from 15 ft,,4-10,,
9:11.0,,,4-10,,Defensive rebound by H. Whiteside
9:02.0,,,4-10,,Turnover by D. Wade (lost ball; steal by M. Williams)
8:55.0,F. Kaminsky misses 3-pt shot from 25 ft,,4-10,,
8:54.0,,,4-10,,Defensive rebound by H. Whiteside
8:43.0,,,4-10,,D. Wade misses 2-pt shot from 8 ft
8:42.0,Defensive rebound by A. Jefferson,,4-10,,
8:31.0,M. Williams makes 2-pt shot from 7 ft,2,6-10,,
8:20.0,,,6-10,,G. Dragic misses 2-pt shot from 14 ft
8:19.0,,,6-10,,Offensive rebound by L. Deng
8:18.0,,,6-10,,Shooting foul by A. Jefferson (drawn by L. Deng)
8:18.0,,,6-11,1,L. Deng makes free throw 1 of 2
8:18.0,,,6-12,1,L. Deng makes free throw 2 of 2
8:00.0,A. Jefferson misses 2-pt shot from 4 ft,,6-12,,
7:59.0,,,6-12,,Defensive rebound by L. Deng
7:51.0,,,6-12,,G. Dragic misses 2-pt shot from 11 ft
7:50.0,,,6-12,,Offensive rebound by H. Whiteside
7:48.0,,,6-14,2,H. Whiteside makes 2-pt shot from 2 ft
7:34.0,C. Lee makes 3-pt shot from 25 ft (assist by K. Walker),3,9-14,,
7:25.0,,,9-14,,Offensive foul by H. Whiteside
7:25.0,,,9-14,,Turnover by H. Whiteside (offensive foul)
7:07.0,M. Williams makes 3-pt shot from 25 ft (assist by A. Jefferson),3,12-14,,
6:47.0,,,12-14,,Turnover by G. Dragic (traveling)
6:35.0,C. Lee misses 2-pt shot from 2 ft (block by H. Whiteside),,12-14,,
6:34.0,Offensive rebound by A. Jefferson,,12-14,,
6:33.0,A. Jefferson makes 2-pt shot from 2 ft,2,14-14,,
6:12.0,,,14-14,,H. Whiteside misses 2-pt shot from 2 ft
6:12.0,,,14-14,,J. Richardson enters the game for G. Dragic
6:12.0,J. Lin enters the game for C. Lee,,14-14,,
6:12.0,Jump ball: A. Jefferson vs. H. Whiteside,,,,Jump ball: A. Jefferson vs. H. Whiteside
6:12.0,,,14-14,,Offensive rebound by Team
6:12.0,Violation by Team (jump ball),,14-14,,
5:58.0,,,14-14,,L. Deng misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by K. Walker,,14-14,,
5:48.0,K. Walker misses 2-pt shot from 6 ft,,14-14,,
5:47.0,,,14-14,,Defensive rebound by H. Whiteside
5:41.0,,,14-14,,L. Deng misses 2-pt shot from 5 ft
5:40.0,Defensive rebound by M. Williams,,14-14,,
5:32.0,F. Kaminsky makes 3-pt shot from 23 ft (assist by M. Williams),3,17-14,,
5:32.0,,,17-14,,Miami full timeout
5:32.0,N. Batum enters the game for M. Williams,,17-14,,
5:16.0,,,17-14,,D. Wade misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by A. Jefferson,,17-14,,
5:08.0,J. Lin misses 2-pt shot from 2 ft,,17-14,,
5:07.0,,,17-14,,Defensive rebound by H. Whiteside
5:00.0,,,17-14,,J. Johnson misses 2-pt shot from 15 ft
4:59.0,Defensive rebound by N. Batum,,17-14,,
4:47.0,K. Walker makes 3-pt shot from 24 ft,3,20-14,,
4:27.0,,,20-17,3,L. Deng makes 3-pt shot from 24 ft (assist by J. Johnson)
4:10.0,A. Jefferson misses 2-pt shot from 13 ft,,20-17,,
4:09.0,,,20-17,,Defensive rebound by L. Deng
4:01.0,,,20-17,,D. Wade misses 2-pt shot from 4 ft
4:00.0,Defensive rebound by A. Jefferson,,20-17,,
3:53.0,F. Kaminsky misses 3-pt shot from 25 ft,,20-17,,
3:52.0,,,20-17,,Defensive rebound by H. Whiteside
3:47.0,,,20-19,2,D. Wade makes 2-pt shot from 2 ft (assist by J. Richardson)
3:33.0,K. Walker makes 3-pt shot from 27 ft,3,23-19,,
3:20.0,,,23-19,,J. McRoberts enters the game for H. Whiteside
3:20.0,,,23-19,,G. Dragic enters the game for D. Wade
3:20.0,C. Zeller enters the game for A. Jefferson,,23-19,,
3:18.0,Violation by N. Batum (def goaltending),,23-19,,
3:18.0,,,23-21,2,J. Johnson makes 2-pt shot from 2 ft (assist by J. McRoberts)
3:04.0,C. Zeller misses 2-pt shot from 2 ft,,23-21,,
3:03.0,,,23-21,,Defensive rebound by J. McRoberts
2:57.0,,,23-21,,Turnover by J. Johnson (lost ball; steal by F. Kaminsky)
2:48.0,Turnover by F. Kaminsky (lost ball; steal by J. Johnson),,23-21,,
2:39.0,,,23-21,,L. Deng misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by C. Zeller,,23-21,,
2:25.0,K. Walker misses 2-pt shot from 8 ft,,23-21,,
2:24.0,Offensive rebound by C. Zeller,,23-21,,
2:16.0,Turnover by K. Walker (lost ball; steal by G. Dragic),,23-21,,
2:11.0,,,23-23,2,G. Dragic makes 2-pt shot from 2 ft
1:47.0,Turnover by J. Lin (3 sec),,23-23,,
1:47.0,S. Hawes enters the game for F. Kaminsky,,23-23,,
1:47.0,,,23-23,,J. Winslow enters the game for L. Deng
1:34.0,,,23-23,,G. Dragic misses 2-pt shot from 7 ft
1:33.0,Defensive rebound by J. Lin,,23-23,,
1:11.0,S. Hawes makes 2-pt shot from 13 ft,2,25-23,,
0:54.0,,,25-23,,G. Dragic misses 3-pt shot from 25 ft
0:53.0,,,25-23,,Offensive rebound by Team
0:53.0,Loose ball foul by C. Zeller,,25-23,,
0:53.0,,,25-23,,G. Green enters the game for J. Johnson
0:44.0,,,25-25,2,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic)
0:27.0,Shooting foul by J. Richardson (drawn by J. Lin),,25-25,,
0:27.0,J. Lin misses free throw 1 of 2,,25-25,,
0:27.0,Offensive rebound by Team,,25-25,,
0:27.0,J. Lin makes free throw 2 of 2,1,26-25,,
0:05.0,,,26-25,,G. Dragic misses 2-pt shot from 2 ft
0:04.0,Defensive rebound by S. Hawes,,26-25,,
0:00.0,Shooting foul by J. McRoberts (drawn by K. Walker),,26-25,,
0:00.0,K. Walker makes free throw 1 of 2,1,27-25,,
0:00.0,K. Walker makes free throw 2 of 2,1,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by G. Green (drawn by N. Batum),,28-25,,
11:47.0,N. Batum makes free throw 1 of 2,1,29-25,,
11:47.0,N. Batum makes free throw 2 of 2,1,30-25,,
11:35.0,,,30-25,,G. Green misses 2-pt shot from 16 ft
11:34.0,Defensive rebound by M. Williams,,30-25,,
11:29.0,N. Batum misses 3-pt shot from 25 ft,,30-25,,
11:28.0,,,30-25,,Defensive rebound by J. Winslow
11:23.0,,,30-25,,Shooting foul by S. Hawes (drawn by J. Winslow)
11:23.0,,,30-26,1,J. Winslow makes free throw 1 of 2
