time,Brooklyn,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. H. Sims (K. Love gains possession),,,,Jump ball: T. Mozgov vs. H. Sims (K. Love gains possession)
11:44.0,,,0-0,,K. Irving misses 3-pt shot from 22 ft
11:43.0,Defensive rebound by H. Sims,,0-0,,
11:31.0,Turnover by S. Larkin (bad pass),,0-0,,
11:19.0,,,0-0,,Shooting foul by B. Bogdanovic (drawn by K. Love)
11:19.0,,,0-1,1,K. Love makes free throw 1 of 2
11:19.0,,,0-1,,K. Love misses free throw 2 of 2
11:17.0,Defensive rebound by B. Bogdanovic,,0-1,,
10:56.0,T. Young makes 2-pt shot from 9 ft (assist by S. Larkin),2,2-1,,
10:34.0,,,2-1,,Turnover by K. Love (lost ball; steal by S. Larkin)
10:28.0,W. Ellington misses 2-pt shot from 15 ft,,2-1,,
10:26.0,Offensive rebound by T. Young,,2-1,,
10:21.0,W. Ellington misses 2-pt shot from 3 ft,,2-1,,
10:20.0,,,2-1,,Defensive rebound by T. Mozgov
10:12.0,,,2-1,,J. Smith misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by B. Bogdanovic,,2-1,,
10:09.0,Shooting foul by J. Smith (drawn by B. Bogdanovic),,2-1,,
10:09.0,Brooklyn full timeout,,2-1,,
10:09.0,B. Bogdanovic misses free throw 1 of 2,,2-1,,
10:09.0,Offensive rebound by Team,,2-1,,
10:09.0,B. Bogdanovic makes free throw 2 of 2,1,3-1,,
9:58.0,,,3-1,,L. James misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by H. Sims,,3-1,,
9:43.0,T. Young misses 2-pt shot from 6 ft,,3-1,,
9:43.0,,,3-1,,Defensive rebound by Team
9:31.0,,,3-3,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
9:16.0,S. Kilpatrick enters the game for B. Bogdanovic,,3-3,,
9:07.0,T. Young makes 2-pt shot at rim (assist by S. Larkin),2,5-3,,
8:56.0,,,5-3,,Shooting foul by S. Larkin (drawn by K. Irving)
8:56.0,,,5-4,1,K. Irving makes free throw 1 of 2
8:56.0,B. Bogdanovic enters the game for S. Kilpatrick,,5-4,,
8:56.0,,,5-5,1,K. Irving makes free throw 2 of 2
8:32.0,W. Ellington misses 2-pt shot from 21 ft,,5-5,,
8:31.0,,,5-5,,Defensive rebound by Team
8:31.0,Loose ball foul by H. Sims,,5-5,,
8:15.0,,,5-5,,T. Mozgov misses 2-pt shot from 16 ft
8:14.0,Defensive rebound by W. Ellington,,5-5,,
8:10.0,Shooting foul by T. Mozgov (drawn by H. Sims),,5-5,,
8:10.0,H. Sims makes free throw 1 of 2,1,6-5,,
8:10.0,H. Sims misses free throw 2 of 2,,6-5,,
8:09.0,,,6-5,,Defensive rebound by K. Love
7:59.0,,,6-5,,K. Love misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by W. Ellington,,6-5,,
7:47.0,B. Bogdanovic misses 2-pt shot from 12 ft (block by L. James),,6-5,,
7:47.0,Offensive rebound by Team,,6-5,,
7:35.0,S. Larkin misses 2-pt shot from 1 ft,,6-5,,
7:33.0,,,6-5,,Defensive rebound by T. Mozgov
7:33.0,,,6-5,,Shooting foul by B. Bogdanovic (drawn by L. James)
7:33.0,,,6-6,1,L. James makes free throw 1 of 2
7:33.0,,,6-6,,L. James misses free throw 2 of 2
7:33.0,Defensive rebound by B. Bogdanovic,,6-6,,
7:12.0,Shooting foul by T. Mozgov (drawn by H. Sims),,6-6,,
7:12.0,H. Sims makes free throw 1 of 2,1,7-6,,
7:12.0,,,7-6,,T. Thompson enters the game for T. Mozgov
7:12.0,H. Sims makes free throw 2 of 2,1,8-6,,
6:56.0,,,8-6,,K. Irving misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by B. Bogdanovic,,8-6,,
6:51.0,B. Bogdanovic makes 2-pt shot at rim,2,10-6,,
6:37.0,,,10-8,2,J. Smith makes 2-pt shot from 8 ft (assist by K. Irving)
6:22.0,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic),2,12-8,,
5:57.0,,,12-8,,J. Smith misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by H. Sims,,12-8,,
5:38.0,T. Young misses 2-pt shot from 12 ft,,12-8,,
5:38.0,,,12-8,,Defensive rebound by L. James
5:28.0,,,12-11,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
5:09.0,B. Bogdanovic misses 3-pt shot from 23 ft,,12-11,,
5:08.0,,,12-11,,Defensive rebound by K. Love
5:01.0,Violation by B. Bogdanovic (kicked ball),,12-11,,
5:01.0,,,12-11,,Cleveland full timeout
4:53.0,,,12-11,,J. Smith misses 3-pt shot from 24 ft
4:53.0,,,12-11,,Offensive rebound by K. Love
4:51.0,,,12-11,,Shooting foul by T. Young (drawn by K. Love)
4:51.0,,,12-12,1,K. Love makes free throw 1 of 2
4:51.0,,,12-13,1,K. Love makes free throw 2 of 2
4:31.0,S. Larkin makes 2-pt shot at rim (assist by B. Bogdanovic),2,14-13,,
4:25.0,,,14-15,2,L. James makes 2-pt shot from 2 ft (assist by J. Smith)
4:16.0,W. Ellington misses 3-pt shot from 24 ft,,14-15,,
4:16.0,Offensive rebound by H. Sims,,14-15,,
4:13.0,B. Bogdanovic misses 3-pt shot from 24 ft,,14-15,,
4:11.0,,,14-15,,Defensive rebound by K. Love
4:09.0,,,14-15,,Turnover by K. Love (lost ball; steal by H. Sims)
4:08.0,H. Sims misses 2-pt shot from 1 ft,,14-15,,
4:05.0,Offensive rebound by T. Young,,14-15,,
4:04.0,,,14-15,,M. Dellavedova enters the game for K. Irving
4:04.0,M. Brown enters the game for W. Ellington,,14-15,,
4:04.0,S. Kilpatrick enters the game for B. Bogdanovic,,14-15,,
4:03.0,Turnover by T. Young (lost ball; steal by T. Thompson),,14-15,,
4:03.0,Jump ball: T. Thompson vs. T. Young (K. Love gains possession),,,,Jump ball: T. Thompson vs. T. Young (K. Love gains possession)
3:52.0,,,14-17,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
3:52.0,,,14-17,,Shooting foul by S. Kilpatrick (drawn by L. James)
3:52.0,T. Robinson enters the game for H. Sims,,14-17,,
3:52.0,,,14-18,1,L. James makes free throw 1 of 1
3:33.0,T. Young makes 2-pt shot from 17 ft (assist by S. Larkin),2,16-18,,
3:18.0,,,16-21,3,J. Smith makes 3-pt shot from 25 ft (assist by M. Dellavedova)
2:56.0,S. Larkin makes 2-pt shot from 18 ft (assist by M. Brown),2,18-21,,
2:39.0,,,18-23,2,K. Love makes 2-pt shot from 2 ft (assist by L. James)
2:20.0,M. Brown misses 2-pt shot from 10 ft,,18-23,,
2:19.0,,,18-23,,Defensive rebound by K. Love
2:08.0,,,18-23,,K. Love misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by T. Robinson,,18-23,,
2:03.0,Turnover by S. Larkin (bad pass),,18-23,,
2:03.0,Brooklyn full timeout,,18-23,,
2:03.0,D. Sloan enters the game for S. Larkin,,18-23,,
2:03.0,,,18-23,,I. Shumpert enters the game for K. Love
2:03.0,,,18-23,,C. Frye enters the game for J. Smith
1:50.0,,,18-26,3,C. Frye makes 3-pt shot from 24 ft (assist by L. James)
1:36.0,M. Brown misses 3-pt shot from 24 ft,,18-26,,
1:36.0,,,18-26,,Defensive rebound by Team
1:36.0,C. McCullough enters the game for T. Young,,18-26,,
1:27.0,,,18-29,3,C. Frye makes 3-pt shot from 22 ft (assist by L. James)
1:01.0,D. Sloan misses 2-pt shot from 15 ft,,18-29,,
1:00.0,,,18-29,,Defensive rebound by L. James
0:57.0,,,18-29,,Turnover by L. James (lost ball; steal by C. McCullough)
0:54.0,T. Robinson makes 2-pt shot at rim (assist by M. Brown),2,20-29,,
0:36.0,,,20-29,,Turnover by L. James (bad pass)
0:15.0,S. Kilpatrick misses 3-pt shot from 23 ft,,20-29,,
0:13.0,Offensive rebound by C. McCullough,,20-29,,
0:13.0,C. McCullough makes 2-pt shot at rim,2,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Kilpatrick misses 3-pt shot from 24 ft,,22-29,,
11:42.0,,,22-29,,Defensive rebound by K. Irving
11:24.0,,,22-29,,M. Dellavedova misses 3-pt shot from 25 ft
11:22.0,,,22-29,,Offensive rebound by C. Frye
11:22.0,,,22-31,2,C. Frye makes 2-pt shot at rim
11:02.0,S. Kilpatrick misses 2-pt shot at rim,,22-31,,
11:01.0,,,22-31,,Defensive rebound by C. Frye
10:54.0,,,22-31,,K. Irving misses 2-pt shot from 1 ft
10:52.0,Defensive rebound by T. Robinson,,22-31,,
10:45.0,S. Kilpatrick misses 3-pt shot from 24 ft,,22-31,,
10:45.0,Offensive rebound by Team,,22-31,,
