time,Boston,pts.away,score,pts.home,Golden State
3:22.0,I. Thomas makes 2-pt shot at rim (assist by A. Bradley),2,101-96,,
3:14.0,,,101-96,,Golden State full timeout
3:14.0,,,101-96,,S. Livingston enters the game for L. Barbosa
3:14.0,,,101-96,,H. Barnes enters the game for B. Rush
3:00.0,,,101-96,,S. Curry misses 2-pt shot from 12 ft
2:59.0,,,101-96,,Offensive rebound by D. Green
2:59.0,,,101-96,,D. Green misses 2-pt shot from 2 ft
2:57.0,Defensive rebound by J. Sullinger,,101-96,,
2:42.0,I. Thomas misses 2-pt shot from 6 ft,,101-96,,
2:41.0,,,101-96,,Defensive rebound by K. Thompson
2:33.0,,,101-96,,K. Thompson misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by J. Sullinger,,101-96,,
2:10.0,E. Turner makes 2-pt shot from 6 ft,2,103-96,,
2:02.0,Personal foul by I. Thomas,,103-96,,
1:56.0,,,103-99,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
1:36.0,J. Sullinger misses 2-pt shot from 4 ft,,103-99,,
1:35.0,,,103-99,,Defensive rebound by S. Curry
1:29.0,,,103-101,2,S. Curry makes 2-pt shot from 2 ft
1:29.0,Boston full timeout,,103-101,,
1:29.0,A. Johnson enters the game for J. Sullinger,,103-101,,
1:16.0,E. Turner makes 2-pt shot from 14 ft (assist by M. Smart),2,105-101,,
0:55.0,,,105-101,,S. Curry misses 3-pt shot from 23 ft
0:54.0,,,105-101,,Offensive rebound by H. Barnes
0:47.0,,,105-101,,Shooting foul by E. Turner (drawn by S. Livingston)
0:47.0,,,105-102,1,S. Livingston makes free throw 1 of 2
0:47.0,,,105-103,1,S. Livingston makes free throw 2 of 2
0:31.0,Turnover by A. Johnson (lost ball; steal by D. Green),,105-103,,
0:30.0,,,105-103,,Golden State full timeout
0:24.0,,,105-103,,Turnover by D. Green (lost ball; steal by A. Johnson)
0:23.0,,,105-103,,Personal foul by D. Green
0:18.0,,,105-103,,Personal foul by S. Livingston
0:18.0,E. Turner makes free throw 1 of 2,1,106-103,,
0:18.0,E. Turner makes free throw 2 of 2,1,107-103,,
0:10.0,,,107-106,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
0:10.0,Boston full timeout,,107-106,,
0:10.0,J. Jerebko enters the game for A. Johnson,,107-106,,
0:08.0,I. Thomas makes 2-pt shot from 1 ft,2,109-106,,
0:08.0,,,109-106,,Golden State full timeout
0:05.0,,,109-106,,S. Curry misses 3-pt shot from 27 ft
0:02.0,,,109-106,,Offensive rebound by H. Barnes
0:00.0,,,109-106,,H. Barnes misses 3-pt shot from 30 ft
0:00.0,,,109-106,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
