time,Boston,pts.away,score,pts.home,Golden State
2:26.0,,,19-18,,Defensive rebound by D. Green
2:16.0,,,19-18,,S. Curry misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by J. Jerebko,,19-18,,
2:06.0,J. Jerebko makes 2-pt shot from 15 ft (assist by K. Olynyk),2,21-18,,
1:55.0,,,21-18,,Turnover by S. Livingston (bad pass)
1:55.0,T. Rozier enters the game for I. Thomas,,21-18,,
1:41.0,M. Smart misses 3-pt shot from 26 ft,,21-18,,
1:40.0,Offensive rebound by T. Rozier,,21-18,,
1:36.0,A. Bradley misses 3-pt shot from 26 ft,,21-18,,
1:34.0,,,21-18,,Defensive rebound by S. Curry
1:21.0,,,21-18,,D. Green misses 2-pt shot from 9 ft
1:19.0,,,21-18,,Offensive rebound by L. Barbosa
1:02.0,,,21-18,,A. Varejao misses 2-pt shot from 19 ft
1:01.0,Defensive rebound by J. Jerebko,,21-18,,
0:39.0,K. Olynyk misses 3-pt shot from 24 ft,,21-18,,
0:38.0,,,21-18,,Defensive rebound by L. Barbosa
0:27.0,,,21-20,2,A. Varejao makes 2-pt shot from 2 ft (assist by S. Curry)
0:22.0,M. Smart misses 2-pt shot from 2 ft,,21-20,,
0:21.0,,,21-20,,Defensive rebound by S. Livingston
0:04.0,,,21-23,3,S. Curry makes 3-pt shot from 25 ft (assist by S. Livingston)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by M. Speights (drawn by T. Rozier),,21-23,,
11:49.0,T. Rozier misses free throw 1 of 2,,21-23,,
11:49.0,Offensive rebound by Team,,21-23,,
11:49.0,,,21-23,,K. Thompson enters the game for L. Barbosa
11:49.0,T. Rozier makes free throw 2 of 2,1,22-23,,
11:31.0,,,22-23,,K. Thompson misses 2-pt shot from 16 ft
11:30.0,Defensive rebound by J. Jerebko,,22-23,,
11:21.0,E. Turner misses 2-pt shot from 17 ft,,22-23,,
11:20.0,,,22-23,,Defensive rebound by K. Thompson
11:04.0,,,22-26,3,H. Barnes makes 3-pt shot from 27 ft (assist by K. Thompson)
10:40.0,T. Rozier misses 2-pt shot from 17 ft,,22-26,,
10:39.0,,,22-26,,Defensive rebound by H. Barnes
10:25.0,,,22-26,,M. Speights misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by K. Olynyk,,22-26,,
10:15.0,Turnover by M. Smart (lost ball; steal by M. Speights),,22-26,,
10:00.0,,,22-28,2,S. Livingston makes 2-pt shot from 17 ft
9:47.0,K. Olynyk misses 3-pt shot from 29 ft,,22-28,,
9:46.0,Offensive rebound by Team,,22-28,,
9:46.0,,,22-28,,Loose ball foul by I. Clark
9:28.0,J. Jerebko makes 2-pt shot from 2 ft (assist by M. Smart),2,24-28,,
9:09.0,,,24-28,,M. Speights misses 2-pt shot from 18 ft
9:08.0,Defensive rebound by T. Rozier,,24-28,,
9:00.0,J. Jerebko misses 3-pt shot from 24 ft,,24-28,,
9:00.0,,,24-28,,Defensive rebound by K. Thompson
8:49.0,,,24-28,,K. Thompson misses 2-pt shot from 10 ft
8:48.0,Defensive rebound by T. Rozier,,24-28,,
8:42.0,Turnover by E. Turner (lost ball; steal by M. Speights),,24-28,,
8:33.0,,,24-30,2,K. Thompson makes 2-pt shot from 1 ft (assist by H. Barnes)
8:14.0,E. Turner misses 2-pt shot from 14 ft (block by S. Livingston),,24-30,,
8:12.0,Offensive rebound by E. Turner,,24-30,,
8:12.0,Turnover by E. Turner (lost ball),,24-30,,
8:12.0,Official timeout,,24-30,,
8:12.0,A. Johnson enters the game for K. Olynyk,,24-30,,
7:58.0,,,24-30,,M. Speights misses 2-pt shot from 1 ft
7:57.0,Defensive rebound by J. Jerebko,,24-30,,
7:34.0,M. Smart misses 2-pt shot from 15 ft,,24-30,,
7:33.0,,,24-30,,Defensive rebound by H. Barnes
7:21.0,,,24-30,,H. Barnes misses 2-pt shot from 13 ft
7:20.0,Defensive rebound by E. Turner,,24-30,,
7:13.0,,,24-30,,Shooting block foul by M. Speights (drawn by E. Turner)
7:13.0,E. Turner makes free throw 1 of 2,1,25-30,,
7:13.0,I. Thomas enters the game for M. Smart,,25-30,,
7:13.0,E. Turner makes free throw 2 of 2,1,26-30,,
7:02.0,,,26-30,,K. Thompson misses 2-pt shot from 6 ft
7:02.0,,,26-30,,Offensive rebound by Team
7:02.0,Personal foul by E. Turner,,26-30,,
6:57.0,,,26-30,,Turnover by I. Clark (lost ball; steal by E. Turner)
6:42.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,28-30,,
6:42.0,Shooting foul by K. Thompson (drawn by A. Johnson),,28-30,,
6:42.0,A. Johnson misses free throw 1 of 1,,28-30,,
6:42.0,,,28-30,,Defensive rebound by M. Speights
6:29.0,,,28-32,2,S. Livingston makes 2-pt shot from 16 ft
6:12.0,T. Rozier misses 2-pt shot from 11 ft,,28-32,,
6:11.0,,,28-32,,Defensive rebound by S. Livingston
6:03.0,,,28-32,,S. Livingston misses 2-pt shot from 12 ft
6:00.0,Defensive rebound by Team,,28-32,,
5:48.0,A. Johnson misses 3-pt shot from 23 ft,,28-32,,
5:47.0,,,28-32,,Defensive rebound by M. Speights
5:42.0,,,28-32,,I. Clark misses 2-pt shot from 4 ft
5:41.0,Defensive rebound by A. Johnson,,28-32,,
5:31.0,I. Thomas misses 2-pt shot from 2 ft,,28-32,,
5:31.0,,,28-32,,Defensive rebound by M. Speights
5:19.0,,,28-35,3,M. Speights makes 3-pt shot from 25 ft (assist by H. Barnes)
5:17.0,Boston full timeout,,28-35,,
5:17.0,A. Bradley enters the game for T. Rozier,,28-35,,
5:17.0,,,28-35,,B. Rush enters the game for H. Barnes
5:17.0,,,28-35,,A. Bogut enters the game for S. Livingston
5:17.0,,,28-35,,D. Green enters the game for I. Clark
5:17.0,,,28-35,,S. Curry enters the game for M. Speights
5:03.0,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas),3,31-35,,
4:43.0,,,31-35,,D. Green misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by A. Bradley,,31-35,,
