time,Utah,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. I. Mahinmi (R. Neto gains possession),,,,Jump ball: R. Gobert vs. I. Mahinmi (R. Neto gains possession)
11:45.0,D. Favors misses 2-pt shot from 4 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by I. Mahinmi
11:26.0,,,0-3,3,G. Hill makes 3-pt shot from 24 ft (assist by P. George)
11:16.0,Turnover by R. Gobert (bad pass; steal by M. Ellis),,0-3,,
11:12.0,,,0-5,2,M. Ellis makes 2-pt shot at rim
10:55.0,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors),2,2-5,,
10:42.0,,,2-5,,G. Hill misses 2-pt shot from 13 ft
10:41.0,Defensive rebound by R. Hood,,2-5,,
10:25.0,R. Hood makes 2-pt shot from 1 ft,2,4-5,,
10:17.0,,,4-5,,C. Miles misses 2-pt shot from 3 ft
10:17.0,Defensive rebound by R. Gobert,,4-5,,
10:03.0,R. Neto misses 2-pt shot from 15 ft,,4-5,,
10:02.0,,,4-5,,Defensive rebound by P. George
9:56.0,,,4-7,2,P. George makes 2-pt shot from 15 ft (assist by G. Hill)
9:56.0,,,4-7,,Shooting foul by R. Neto (drawn by P. George)
9:56.0,,,4-7,,P. George misses free throw 1 of 1
9:56.0,Defensive rebound by R. Gobert,,4-7,,
9:35.0,R. Hood makes 2-pt shot from 13 ft (assist by R. Gobert),2,6-7,,
9:30.0,,,6-7,,Turnover by M. Ellis (bad pass; steal by R. Hood)
9:22.0,G. Hayward misses 3-pt shot from 22 ft,,6-7,,
9:20.0,,,6-7,,Defensive rebound by I. Mahinmi
9:07.0,,,6-7,,C. Miles misses 3-pt shot from 27 ft
9:06.0,Defensive rebound by R. Gobert,,6-7,,
9:00.0,Turnover by R. Neto (bad pass; steal by M. Ellis),,6-7,,
8:44.0,,,6-7,,C. Miles misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by R. Hood,,6-7,,
