time,Indiana,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. I. Mahinmi (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. I. Mahinmi (B. Griffin gains possession)
11:43.0,,,0-0,,Shooting foul by G. Hill (drawn by J. Redick)
11:43.0,,,0-0,,LA Clippers full timeout
11:43.0,,,0-1,1,J. Redick makes free throw 1 of 2
11:43.0,,,0-1,,C. Wilcox enters the game for L. Mbah a Moute
11:43.0,,,0-2,1,J. Redick makes free throw 2 of 2
11:42.0,,,0-2,,Personal take foul by C. Wilcox (drawn by L. Allen)
11:42.0,,,0-2,,L. Mbah a Moute enters the game for C. Wilcox
11:42.0,,,0-2,,J. Crawford enters the game for J. Redick
11:16.0,L. Allen misses 2-pt shot from 14 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by D. Jordan
11:07.0,,,0-2,,B. Griffin misses 2-pt shot from 18 ft
11:06.0,Defensive rebound by P. George,,0-2,,
10:58.0,P. George makes 3-pt shot from 25 ft,3,3-2,,
10:32.0,,,3-4,2,B. Griffin makes 2-pt shot from 19 ft (assist by J. Crawford)
10:20.0,,,3-4,,Personal foul by D. Jordan (drawn by P. George)
10:10.0,P. George misses 2-pt shot from 17 ft,,3-4,,
10:10.0,,,3-4,,Defensive rebound by D. Jordan
9:55.0,,,3-4,,B. Griffin misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by P. George,,3-4,,
9:42.0,I. Mahinmi makes 2-pt shot from 19 ft (assist by G. Hill),2,5-4,,
9:16.0,,,5-4,,J. Crawford misses 3-pt shot from 27 ft
9:15.0,Defensive rebound by M. Ellis,,5-4,,
9:03.0,P. George misses 2-pt shot from 15 ft,,5-4,,
9:03.0,,,5-4,,Defensive rebound by A. Rivers
8:51.0,,,5-4,,A. Rivers misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by I. Mahinmi,,5-4,,
8:44.0,P. George makes 2-pt shot from 8 ft,2,7-4,,
8:31.0,,,7-4,,Shooting foul by G. Hill (drawn by B. Griffin)
8:31.0,,,7-4,,B. Griffin misses free throw 1 of 2
8:31.0,,,7-4,,Offensive rebound by Team
8:31.0,R. Stuckey enters the game for G. Hill,,7-4,,
8:31.0,,,7-5,1,B. Griffin makes free throw 2 of 2
