time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Barnes vs. T. Duncan (T. Parker gains possession),,,,Jump ball: M. Barnes vs. T. Duncan (T. Parker gains possession)
11:40.0,L. Aldridge misses 2-pt shot from 18 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by M. Barnes
11:23.0,,,0-2,2,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Barnes)
11:03.0,Shooting foul by Z. Randolph (drawn by L. Aldridge),,0-2,,
11:03.0,L. Aldridge makes free throw 1 of 2,1,1-2,,
11:03.0,L. Aldridge makes free throw 2 of 2,1,2-2,,
10:41.0,,,2-2,,T. Allen misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by L. Aldridge,,2-2,,
10:21.0,L. Aldridge makes 2-pt shot from 2 ft,2,4-2,,
10:07.0,,,4-2,,M. Barnes misses 2-pt shot from 21 ft
10:06.0,Defensive rebound by D. Green,,4-2,,
9:49.0,Turnover by D. Green (lost ball; steal by T. Allen),,4-2,,
9:43.0,,,4-4,2,M. Barnes makes 2-pt shot from 2 ft (assist by J. Farmar)
9:38.0,K. Leonard makes 2-pt shot from 22 ft,2,6-4,,
9:22.0,,,6-4,,Shooting foul by T. Parker (drawn by J. Farmar)
9:22.0,,,6-5,1,J. Farmar makes free throw 1 of 2
9:22.0,,,6-6,1,J. Farmar makes free throw 2 of 2
9:10.0,T. Parker makes 2-pt shot from 1 ft,2,8-6,,
9:05.0,,,8-6,,Turnover by M. Barnes (lost ball; steal by K. Leonard)
8:50.0,K. Leonard misses 2-pt shot from 7 ft,,8-6,,
8:48.0,,,8-6,,Defensive rebound by M. Barnes
8:42.0,Def 3 sec tech foul by L. Aldridge,,8-6,,
8:42.0,,,8-7,1,M. Barnes makes technical free throw
8:27.0,,,8-9,2,J. Farmar makes 2-pt shot from 22 ft
8:11.0,T. Duncan misses 2-pt shot from 2 ft,,8-9,,
8:10.0,,,8-9,,Defensive rebound by Z. Randolph
8:02.0,,,8-9,,T. Allen misses 2-pt shot from 7 ft
8:00.0,Defensive rebound by L. Aldridge,,8-9,,
7:43.0,D. Green misses 3-pt shot from 23 ft,,8-9,,
7:42.0,,,8-9,,Defensive rebound by T. Allen
7:31.0,,,8-11,2,Z. Randolph makes 2-pt shot from 1 ft
7:31.0,San Antonio full timeout,,8-11,,
7:06.0,T. Parker misses 3-pt shot from 23 ft,,8-11,,
7:05.0,Offensive rebound by K. Leonard,,8-11,,
7:01.0,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard),3,11-11,,
6:44.0,,,11-11,,Turnover by J. Farmar (bad pass)
6:29.0,T. Parker misses 3-pt shot from 27 ft,,11-11,,
6:28.0,,,11-11,,Defensive rebound by Team
6:14.0,,,11-13,2,T. Allen makes 2-pt shot from 17 ft (assist by J. Farmar)
5:53.0,T. Parker misses 2-pt shot from 12 ft,,11-13,,
5:51.0,Offensive rebound by T. Duncan,,11-13,,
5:51.0,T. Duncan makes 2-pt shot at rim,2,13-13,,
5:32.0,,,13-13,,Turnover by J. Farmar (lost ball; steal by L. Aldridge)
5:26.0,Turnover by T. Duncan (lost ball; steal by T. Allen),,13-13,,
5:21.0,,,13-13,,T. Allen misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by L. Aldridge,,13-13,,
5:14.0,,,13-13,,Personal foul by T. Allen
5:14.0,B. Diaw enters the game for T. Duncan,,13-13,,
5:14.0,M. Ginobili enters the game for D. Green,,13-13,,
5:14.0,,,13-13,,L. Stephenson enters the game for T. Allen
5:14.0,P. Mills enters the game for T. Parker,,13-13,,
5:06.0,P. Mills misses 3-pt shot from 25 ft,,13-13,,
5:05.0,,,13-13,,Defensive rebound by Team
4:42.0,,,13-15,2,M. Barnes makes 2-pt shot from 2 ft
4:27.0,L. Aldridge makes 2-pt shot from 12 ft,2,15-15,,
4:25.0,K. Anderson enters the game for L. Aldridge,,15-15,,
4:25.0,,,15-15,,J. Green enters the game for V. Carter
4:25.0,D. West enters the game for K. Leonard,,15-15,,
4:11.0,,,15-15,,J. Farmar misses 2-pt shot from 20 ft
4:09.0,Defensive rebound by M. Ginobili,,15-15,,
4:00.0,M. Ginobili misses 3-pt shot from 25 ft,,15-15,,
3:59.0,,,15-15,,Defensive rebound by L. Stephenson
3:47.0,,,15-17,2,L. Stephenson makes 2-pt shot from 19 ft
3:47.0,San Antonio full timeout,,15-17,,
3:47.0,,,15-17,,X. Munford enters the game for J. Farmar
3:31.0,,,15-17,,Personal foul by J. Green
3:22.0,M. Ginobili makes 2-pt shot from 5 ft,2,17-17,,
3:09.0,,,17-17,,Turnover by L. Stephenson (lost ball; steal by D. West)
3:05.0,,,17-17,,Violation by J. Green (kicked ball)
3:01.0,Turnover by P. Mills (lost ball; steal by X. Munford),,17-17,,
3:01.0,Personal foul by P. Mills,,17-17,,
2:43.0,,,17-17,,X. Munford misses 2-pt shot from 19 ft
2:41.0,Defensive rebound by K. Anderson,,17-17,,
2:26.0,B. Diaw makes 2-pt shot from 1 ft,2,19-17,,
2:20.0,,,19-17,,Memphis full timeout
2:03.0,,,19-17,,L. Stephenson misses 2-pt shot from 15 ft
2:02.0,Defensive rebound by B. Diaw,,19-17,,
1:50.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson),3,22-17,,
1:33.0,,,22-17,,M. Barnes misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by K. Anderson,,22-17,,
1:25.0,,,22-17,,Personal foul by X. Munford
1:11.0,B. Diaw misses 2-pt shot from 4 ft (block by J. Green),,22-17,,
1:09.0,Offensive rebound by M. Ginobili,,22-17,,
