time,Minnesota,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. K. Towns (G. Dieng gains possession),,,,Jump ball: R. Hibbert vs. K. Towns (G. Dieng gains possession)
11:37.0,R. Rubio misses 2-pt shot from 19 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Clarkson
11:14.0,,,0-0,,K. Bryant misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by G. Dieng,,0-0,,
11:02.0,K. Towns makes 2-pt shot at rim (assist by G. Dieng),2,2-0,,
11:02.0,Shooting foul by K. Bryant (drawn by K. Towns),,2-0,,
11:02.0,K. Towns misses free throw 1 of 1,,2-0,,
11:01.0,,,2-0,,Defensive rebound by K. Bryant
10:41.0,,,2-0,,J. Randle misses 2-pt shot from 17 ft
10:40.0,Defensive rebound by K. Towns,,2-0,,
10:31.0,R. Rubio makes 2-pt shot at rim,2,4-0,,
10:20.0,,,4-0,,L. Williams misses 2-pt shot at rim (block by K. Towns)
10:20.0,,,4-0,,Offensive rebound by Team
10:14.0,,,4-2,2,J. Clarkson makes 2-pt shot from 13 ft (assist by K. Bryant)
9:58.0,R. Rubio misses 2-pt shot from 15 ft,,4-2,,
9:57.0,Offensive rebound by G. Dieng,,4-2,,
9:52.0,K. Towns makes 2-pt shot from 5 ft (assist by T. Prince),2,6-2,,
9:40.0,,,6-4,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle)
9:20.0,A. Wiggins makes 2-pt shot from 16 ft (assist by K. Towns),2,8-4,,
9:01.0,,,8-4,,J. Randle misses 2-pt shot from 1 ft (block by K. Towns)
8:58.0,,,8-4,,Offensive rebound by K. Bryant
8:55.0,,,8-6,2,K. Bryant makes 2-pt shot from 11 ft
8:42.0,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),2,10-6,,
8:25.0,,,10-6,,Turnover by J. Clarkson (lost ball; steal by R. Rubio)
8:20.0,Turnover by R. Rubio (bad pass; steal by K. Bryant),,10-6,,
8:14.0,,,10-6,,J. Clarkson misses 2-pt shot from 4 ft
8:08.0,Defensive rebound by T. Prince,,10-6,,
8:05.0,R. Rubio makes 2-pt shot at rim,2,12-6,,
7:54.0,,,12-6,,Shooting foul by K. Towns (drawn by L. Williams)
7:54.0,,,12-7,1,L. Williams makes free throw 1 of 2
7:54.0,,,12-8,1,L. Williams makes free throw 2 of 2
7:38.0,A. Wiggins makes 2-pt shot from 12 ft,2,14-8,,
7:10.0,,,14-8,,Turnover by J. Randle (offensive foul)
7:10.0,,,14-8,,Offensive foul by J. Randle
6:57.0,,,14-8,,Personal foul by R. Hibbert (drawn by G. Dieng)
6:51.0,A. Wiggins misses 2-pt shot from 1 ft,,14-8,,
6:49.0,,,14-8,,Defensive rebound by J. Randle
6:42.0,,,14-10,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
6:29.0,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio),2,16-10,,
6:16.0,,,16-12,2,J. Randle makes 2-pt shot at rim (assist by K. Bryant)
6:03.0,T. Prince makes 2-pt shot at rim (assist by G. Dieng),2,18-12,,
5:53.0,,,18-12,,Turnover by K. Bryant (lost ball; steal by A. Wiggins)
5:46.0,A. Wiggins makes 2-pt shot at rim,2,20-12,,
5:40.0,,,20-12,,LA Lakers full timeout
5:40.0,,,20-12,,D. Russell enters the game for L. Williams
