time,Cleveland,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: T. Mozgov vs. M. Plumlee (N. Vonleh gains possession)
11:38.0,,,0-0,,A. Crabbe misses 2-pt shot at rim (block by T. Mozgov)
11:37.0,,,0-0,,Offensive rebound by N. Vonleh
11:34.0,,,0-0,,N. Vonleh misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by T. Mozgov,,0-0,,
11:17.0,J. Smith misses 3-pt shot from 24 ft,,0-0,,
11:17.0,Offensive rebound by K. Love,,0-0,,
11:12.0,Turnover by K. Love (lost ball; steal by N. Vonleh),,0-0,,
10:54.0,,,0-0,,C. McCollum misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by K. Love,,0-0,,
10:41.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,3-0,,
10:24.0,,,3-0,,Shooting foul by J. Smith (drawn by A. Crabbe)
10:24.0,,,3-1,1,A. Crabbe makes free throw 1 of 3
10:24.0,,,3-2,1,A. Crabbe makes free throw 2 of 3
10:24.0,,,3-3,1,A. Crabbe makes free throw 3 of 3
10:12.0,K. Love misses 3-pt shot from 25 ft,,3-3,,
10:11.0,,,3-3,,Defensive rebound by M. Plumlee
10:03.0,,,3-3,,A. Crabbe misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by Team,,3-3,,
10:03.0,,,3-3,,Loose ball foul by M. Plumlee (drawn by J. Smith)
9:48.0,,,3-3,,Def 3 sec tech foul by M. Plumlee
9:48.0,K. Love misses technical free throw,,3-3,,
9:48.0,Offensive rebound by Team,,3-3,,
9:43.0,Turnover by M. Dellavedova (bad pass; steal by C. McCollum),,3-3,,
9:37.0,,,3-3,,C. McCollum misses 3-pt shot from 24 ft
9:36.0,,,3-3,,Offensive rebound by M. Plumlee
9:28.0,,,3-5,2,C. McCollum makes 2-pt shot from 2 ft (assist by M. Plumlee)
9:19.0,L. James misses 2-pt shot from 3 ft,,3-5,,
9:18.0,,,3-5,,Defensive rebound by N. Vonleh
9:10.0,,,3-8,3,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum)
8:56.0,Shooting foul by N. Vonleh (drawn by K. Love),,3-8,,
8:56.0,K. Love misses free throw 1 of 2,,3-8,,
8:56.0,Offensive rebound by Team,,3-8,,
8:56.0,K. Love makes free throw 2 of 2,1,4-8,,
8:37.0,,,4-10,2,C. McCollum makes 2-pt shot from 16 ft
8:10.0,L. James misses 2-pt shot from 18 ft,,4-10,,
8:07.0,Offensive rebound by T. Mozgov,,4-10,,
8:01.0,L. James misses 3-pt shot from 24 ft,,4-10,,
8:01.0,,,4-10,,Defensive rebound by M. Plumlee
7:52.0,,,4-13,3,C. McCollum makes 3-pt shot from 24 ft
7:52.0,Cleveland full timeout,,4-13,,
7:37.0,Turnover by K. Love (bad pass; steal by M. Plumlee),,4-13,,
7:22.0,,,4-13,,M. Plumlee misses 2-pt shot from 5 ft
7:20.0,Defensive rebound by L. James,,4-13,,
7:14.0,T. Mozgov misses 2-pt shot from 2 ft,,4-13,,
7:13.0,,,4-13,,Defensive rebound by C. McCollum
7:02.0,,,4-13,,A. Crabbe misses 2-pt shot from 1 ft
7:01.0,,,4-13,,Offensive rebound by N. Vonleh
7:00.0,,,4-13,,N. Vonleh misses 2-pt shot from 3 ft
6:59.0,Defensive rebound by K. Love,,4-13,,
6:50.0,M. Dellavedova makes 2-pt shot from 5 ft,2,6-13,,
6:28.0,,,6-16,3,A. Aminu makes 3-pt shot from 23 ft (assist by N. Vonleh)
6:09.0,L. James misses 2-pt shot from 19 ft,,6-16,,
6:08.0,,,6-16,,Defensive rebound by N. Vonleh
5:59.0,,,6-16,,C. McCollum misses 3-pt shot from 26 ft
5:58.0,Defensive rebound by K. Love,,6-16,,
5:56.0,Offensive foul by T. Mozgov,,6-16,,
5:56.0,Turnover by T. Mozgov (offensive foul),,6-16,,
5:56.0,T. Thompson enters the game for T. Mozgov,,6-16,,
5:43.0,,,6-18,2,M. Plumlee makes 2-pt shot from 1 ft (assist by A. Aminu)
5:43.0,,,6-18,,Shooting foul by L. James (drawn by M. Plumlee)
5:43.0,,,6-19,1,M. Plumlee makes free throw 1 of 1
5:22.0,M. Dellavedova misses 2-pt shot from 8 ft,,6-19,,
5:21.0,,,6-19,,Defensive rebound by M. Plumlee
5:16.0,,,6-21,2,A. Aminu makes 2-pt shot from 2 ft (assist by M. Plumlee)
4:59.0,L. James makes 2-pt shot from 1 ft,2,8-21,,
4:51.0,,,8-21,,C. McCollum misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by L. James,,8-21,,
4:31.0,Turnover by L. James (bad pass; steal by A. Aminu),,8-21,,
4:30.0,Personal foul by T. Thompson (drawn by A. Aminu),,8-21,,
4:30.0,M. Williams enters the game for M. Dellavedova,,8-21,,
4:16.0,,,8-23,2,C. McCollum makes 2-pt shot from 3 ft
3:59.0,K. Love misses 2-pt shot from 2 ft,,8-23,,
3:59.0,,,8-23,,Defensive rebound by M. Plumlee
3:51.0,,,8-25,2,A. Aminu makes 2-pt shot from 1 ft
3:35.0,L. James misses 3-pt shot from 24 ft,,8-25,,
3:33.0,Offensive rebound by M. Williams,,8-25,,
3:27.0,T. Thompson makes 2-pt shot from 2 ft (assist by M. Williams),2,10-25,,
3:11.0,,,10-25,,C. McCollum misses 2-pt shot from 17 ft
3:10.0,Defensive rebound by M. Williams,,10-25,,
3:00.0,K. Love misses 3-pt shot from 24 ft,,10-25,,
2:59.0,Offensive rebound by T. Thompson,,10-25,,
2:57.0,Turnover by T. Thompson (bad pass; steal by N. Vonleh),,10-25,,
2:51.0,,,10-27,2,C. McCollum makes 2-pt shot from 2 ft
2:42.0,Cleveland full timeout,,10-27,,
2:42.0,,,10-27,,Portland full timeout
2:42.0,R. Jefferson enters the game for L. James,,10-27,,
2:42.0,A. Varejao enters the game for K. Love,,10-27,,
2:42.0,I. Shumpert enters the game for J. Smith,,10-27,,
2:33.0,M. Williams misses 2-pt shot from 19 ft,,10-27,,
2:32.0,,,10-27,,Defensive rebound by N. Vonleh
2:12.0,,,10-29,2,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Plumlee)
2:00.0,Turnover by A. Varejao (bad pass; steal by A. Aminu),,10-29,,
1:54.0,,,10-32,3,A. Crabbe makes 3-pt shot from 22 ft (assist by A. Aminu)
1:39.0,A. Varejao makes 2-pt shot from 18 ft (assist by M. Williams),2,12-32,,
1:21.0,,,12-32,,A. Aminu misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by A. Varejao,,12-32,,
1:19.0,,,12-32,,M. Leonard enters the game for A. Aminu
1:19.0,,,12-32,,E. Davis enters the game for N. Vonleh
