time,Houston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: C. Capela vs. H. Whiteside (G. Dragic gains possession)
11:43.0,,,0-0,,C. Bosh misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by Team,,0-0,,
11:27.0,C. Capela makes 2-pt shot from 1 ft (assist by T. Ariza),2,2-0,,
11:06.0,,,2-0,,C. Bosh misses 2-pt shot from 16 ft
11:05.0,Defensive rebound by T. Ariza,,2-0,,
10:54.0,J. Harden misses 3-pt shot from 24 ft,,2-0,,
10:53.0,Offensive rebound by Team,,2-0,,
10:47.0,M. Thornton makes 3-pt shot from 24 ft (assist by T. Ariza),3,5-0,,
10:29.0,,,5-0,,L. Deng misses 3-pt shot from 24 ft
10:28.0,,,5-0,,Offensive rebound by C. Bosh
10:27.0,,,5-0,,C. Bosh misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by M. Thornton,,5-0,,
10:17.0,Turnover by C. Capela (lost ball; steal by D. Wade),,5-0,,
10:13.0,,,5-2,2,H. Whiteside makes 2-pt shot from 1 ft (assist by L. Deng)
10:02.0,T. Ariza misses 2-pt shot from 22 ft,,5-2,,
10:01.0,,,5-2,,Defensive rebound by H. Whiteside
9:58.0,Personal foul by M. Thornton (drawn by D. Wade),,5-2,,
9:45.0,,,5-2,,L. Deng misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by C. Capela,,5-2,,
9:41.0,,,5-2,,Shooting block foul by G. Dragic (drawn by J. Harden)
9:41.0,J. Harden makes free throw 1 of 2,1,6-2,,
9:41.0,J. Harden makes free throw 2 of 2,1,7-2,,
9:27.0,,,7-2,,Turnover by L. Deng (lost ball)
9:15.0,T. Ariza misses 2-pt shot from 1 ft,,7-2,,
9:14.0,Offensive rebound by C. Capela,,7-2,,
9:13.0,C. Capela makes 2-pt shot at rim,2,9-2,,
8:51.0,,,9-4,2,L. Deng makes 2-pt shot from 6 ft (assist by G. Dragic)
8:30.0,T. Ariza makes 3-pt shot from 23 ft (assist by T. Lawson),3,12-4,,
8:13.0,,,12-4,,Shooting foul by J. Harden (drawn by D. Wade)
8:13.0,,,12-5,1,D. Wade makes free throw 1 of 2
8:13.0,,,12-6,1,D. Wade makes free throw 2 of 2
7:54.0,,,12-6,,Violation by C. Bosh (def goaltending)
7:54.0,C. Capela makes 2-pt shot from 2 ft,2,14-6,,
7:37.0,Personal block foul by C. Capela (drawn by D. Wade),,14-6,,
7:37.0,,,14-6,,Shooting foul by C. Capela (drawn by D. Wade)
7:37.0,,,14-7,1,L. Deng makes free throw 1 of 2
7:37.0,M. Harrell enters the game for C. Capela,,14-7,,
7:37.0,,,14-7,,J. Winslow enters the game for C. Bosh
7:37.0,,,14-8,1,L. Deng makes free throw 2 of 2
7:18.0,M. Harrell misses 2-pt shot from 7 ft,,14-8,,
7:17.0,,,14-8,,Defensive rebound by L. Deng
7:13.0,Shooting block foul by M. Harrell (drawn by D. Wade),,14-8,,
7:13.0,,,14-9,1,D. Wade makes free throw 1 of 2
7:13.0,,,14-10,1,D. Wade makes free throw 2 of 2
6:59.0,Turnover by M. Thornton (lost ball; steal by J. Winslow),,14-10,,
6:54.0,,,14-10,,D. Wade misses 2-pt shot from 8 ft
6:54.0,Defensive rebound by T. Ariza,,14-10,,
6:39.0,J. Harden makes 2-pt shot from 1 ft (assist by T. Ariza),2,16-10,,
6:32.0,,,16-12,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
6:12.0,M. Thornton makes 2-pt shot from 3 ft,2,18-12,,
5:50.0,,,18-14,2,G. Dragic makes 2-pt shot from 5 ft
5:44.0,T. Ariza misses 3-pt shot from 23 ft,,18-14,,
5:43.0,,,18-14,,Defensive rebound by H. Whiteside
5:41.0,,,18-14,,Turnover by H. Whiteside (bad pass; steal by J. Harden)
5:41.0,J. Harden makes 2-pt shot at rim,2,20-14,,
5:41.0,,,20-14,,Shooting block foul by H. Whiteside (drawn by J. Harden)
5:41.0,,,20-14,,Miami full timeout
5:41.0,P. Beverley enters the game for T. Lawson,,20-14,,
5:41.0,J. Harden makes free throw 1 of 1,1,21-14,,
5:25.0,,,21-16,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
5:12.0,M. Thornton misses 2-pt shot from 14 ft,,21-16,,
5:11.0,,,21-16,,Defensive rebound by H. Whiteside
5:09.0,,,21-16,,Turnover by H. Whiteside (bad pass; steal by J. Harden)
5:02.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Harden),3,24-16,,
4:49.0,,,24-16,,D. Wade misses 2-pt shot from 6 ft
4:48.0,,,24-16,,Offensive rebound by H. Whiteside
4:48.0,,,24-18,2,H. Whiteside makes 2-pt shot from 2 ft
4:48.0,,,24-18,,Shooting foul by M. Thornton (drawn by H. Whiteside)
4:48.0,,,24-18,,M. Chalmers enters the game for G. Dragic
4:48.0,C. Brewer enters the game for M. Thornton,,24-18,,
4:48.0,,,24-19,1,H. Whiteside makes free throw 1 of 1
4:35.0,J. Harden misses 2-pt shot from 16 ft,,24-19,,
4:34.0,,,24-19,,Defensive rebound by D. Wade
4:25.0,,,24-21,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
3:58.0,P. Beverley makes 2-pt shot from 2 ft,2,26-21,,
3:36.0,,,26-21,,D. Wade misses 2-pt shot from 7 ft (block by M. Harrell)
3:35.0,Defensive rebound by P. Beverley,,26-21,,
3:26.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden),2,28-21,,
3:06.0,,,28-21,,Turnover by M. Chalmers (bad pass; steal by T. Ariza)
3:02.0,C. Brewer makes 2-pt shot from 1 ft (assist by T. Ariza),2,30-21,,
2:54.0,,,30-21,,Miami full timeout
2:54.0,Houston full timeout,,30-21,,
2:54.0,T. Lawson enters the game for T. Ariza,,30-21,,
2:54.0,,,30-21,,G. Green enters the game for D. Wade
2:42.0,,,30-21,,Shooting foul by T. Lawson (drawn by L. Deng)
2:42.0,,,30-21,,L. Deng misses free throw 1 of 2
2:42.0,,,30-21,,Offensive rebound by Team
2:42.0,,,30-21,,C. Bosh enters the game for H. Whiteside
2:42.0,,,30-22,1,L. Deng makes free throw 2 of 2
2:32.0,C. Brewer misses 2-pt shot from 4 ft,,30-22,,
2:31.0,,,30-22,,Defensive rebound by L. Deng
2:16.0,,,30-22,,L. Deng misses 2-pt shot from 8 ft
