time,Washington,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession)
11:35.0,,,0-0,,A. Drummond misses 2-pt shot from 7 ft
11:34.0,,,0-0,,Offensive rebound by M. Morris
11:32.0,,,0-2,2,M. Morris makes 2-pt shot at rim
11:14.0,B. Beal misses 2-pt shot from 16 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by A. Drummond
11:10.0,,,0-2,,Turnover by R. Jackson (bad pass)
10:52.0,M. Morris makes 2-pt shot from 13 ft,2,2-2,,
10:38.0,,,2-5,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
10:17.0,M. Morris misses 2-pt shot from 7 ft,,2-5,,
10:17.0,Offensive rebound by M. Gortat,,2-5,,
10:14.0,M. Gortat makes 2-pt shot from 5 ft,2,4-5,,
9:50.0,,,4-5,,Turnover by K. Caldwell-Pope (lost ball; steal by O. Porter)
9:42.0,Shooting foul by M. Morris (drawn by M. Morris),,4-5,,
9:42.0,M. Morris misses free throw 1 of 2,,4-5,,
9:42.0,Offensive rebound by Team,,4-5,,
9:42.0,M. Morris makes free throw 2 of 2,1,5-5,,
9:17.0,,,5-5,,A. Drummond misses 2-pt shot from 9 ft
9:16.0,Defensive rebound by O. Porter,,5-5,,
9:08.0,Turnover by M. Gortat (lost ball; steal by A. Drummond),,5-5,,
8:50.0,,,5-8,3,R. Jackson makes 3-pt shot from 25 ft
8:37.0,R. Sessions misses 2-pt shot from 5 ft,,5-8,,
8:36.0,,,5-8,,Defensive rebound by T. Harris
8:27.0,,,5-8,,A. Drummond misses 2-pt shot at rim
8:27.0,Defensive rebound by M. Morris,,5-8,,
8:22.0,Offensive charge foul by R. Sessions,,5-8,,
8:22.0,Turnover by R. Sessions (offensive foul),,5-8,,
8:05.0,,,5-11,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
7:53.0,B. Beal makes 2-pt shot at rim,2,7-11,,
