time,Denver,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Jokic (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. N. Jokic (N. Hilario gains possession)
11:39.0,,,0-0,,O. Porter misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by Team,,0-0,,
11:14.0,E. Mudiay makes 3-pt shot from 26 ft (assist by D. Gallinari),3,3-0,,
11:08.0,,,3-0,,G. Temple misses 2-pt shot from 1 ft (block by N. Jokic)
11:05.0,,,3-0,,Offensive rebound by G. Temple
10:54.0,,,3-0,,G. Temple misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by K. Faried,,3-0,,
10:38.0,K. Faried makes 2-pt shot from 5 ft (assist by D. Gallinari),2,5-0,,
10:23.0,,,5-0,,N. Hilario misses 2-pt shot from 15 ft
10:22.0,Defensive rebound by N. Jokic,,5-0,,
10:10.0,Shooting foul by O. Porter (drawn by D. Gallinari),,5-0,,
10:10.0,D. Gallinari makes free throw 1 of 2,1,6-0,,
10:10.0,D. Gallinari misses free throw 2 of 2,,6-0,,
10:09.0,,,6-0,,Defensive rebound by N. Hilario
9:56.0,,,6-2,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
9:32.0,E. Mudiay makes 2-pt shot at rim,2,8-2,,
9:27.0,,,8-2,,M. Gortat misses 2-pt shot from 12 ft
9:26.0,Defensive rebound by D. Gallinari,,8-2,,
9:16.0,K. Faried misses 2-pt shot from 3 ft,,8-2,,
9:15.0,Offensive rebound by N. Jokic,,8-2,,
9:03.0,D. Gallinari makes 2-pt shot from 18 ft,2,10-2,,
8:58.0,,,10-2,,Washington full timeout
8:48.0,,,10-4,2,N. Hilario makes 2-pt shot from 2 ft
8:27.0,E. Mudiay makes 2-pt shot from 13 ft,2,12-4,,
8:16.0,,,12-4,,Shooting foul by K. Faried (drawn by M. Gortat)
8:16.0,,,12-5,1,M. Gortat makes free throw 1 of 2
8:16.0,,,12-6,1,M. Gortat makes free throw 2 of 2
8:03.0,D. Gallinari misses 2-pt shot from 2 ft (block by M. Gortat),,12-6,,
8:01.0,,,12-6,,Defensive rebound by O. Porter
7:58.0,,,12-6,,J. Wall misses 2-pt shot from 1 ft
7:56.0,,,12-6,,Offensive rebound by N. Hilario
7:48.0,,,12-6,,Turnover by J. Wall (bad pass; steal by G. Harris)
7:45.0,Turnover by G. Harris (lost ball; steal by O. Porter),,12-6,,
7:44.0,Personal foul by G. Harris (drawn by O. Porter),,12-6,,
7:33.0,,,12-9,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
7:14.0,N. Jokic misses 3-pt shot from 26 ft,,12-9,,
7:13.0,,,12-9,,Defensive rebound by N. Hilario
6:55.0,,,12-12,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall)
6:41.0,Shooting foul by N. Hilario (drawn by K. Faried),,12-12,,
6:41.0,K. Faried makes free throw 1 of 2,1,13-12,,
6:41.0,K. Faried makes free throw 2 of 2,1,14-12,,
6:30.0,,,14-12,,J. Wall misses 2-pt shot from 16 ft
6:29.0,,,14-12,,Offensive rebound by M. Gortat
6:21.0,,,14-12,,Shooting foul by K. Faried (drawn by N. Hilario)
6:21.0,,,14-13,1,N. Hilario makes free throw 1 of 2
6:21.0,D. Arthur enters the game for K. Faried,,14-13,,
6:21.0,,,14-14,1,N. Hilario makes free throw 2 of 2
6:08.0,,,14-14,,Personal foul by J. Wall (drawn by E. Mudiay)
6:08.0,,,14-14,,J. Dudley enters the game for N. Hilario
6:02.0,E. Mudiay misses 2-pt shot from 20 ft,,14-14,,
6:00.0,Offensive rebound by D. Arthur,,14-14,,
5:56.0,,,14-14,,Personal foul by O. Porter (drawn by D. Gallinari)
5:56.0,,,14-14,,K. Oubre enters the game for O. Porter
5:42.0,D. Gallinari misses 2-pt shot from 7 ft,,14-14,,
5:40.0,Offensive rebound by N. Jokic,,14-14,,
5:38.0,N. Jokic makes 2-pt shot from 3 ft,2,16-14,,
5:33.0,,,16-14,,J. Wall misses 2-pt shot at rim
5:31.0,Defensive rebound by N. Jokic,,16-14,,
5:17.0,E. Mudiay misses 2-pt shot from 13 ft,,16-14,,
5:17.0,Offensive rebound by N. Jokic,,16-14,,
5:17.0,,,16-14,,Personal foul by G. Temple (drawn by N. Jokic)
5:17.0,N. Jokic misses free throw 1 of 2,,16-14,,
5:17.0,Offensive rebound by Team,,16-14,,
5:17.0,,,16-14,,B. Beal enters the game for G. Temple
5:17.0,N. Jokic misses free throw 2 of 2,,16-14,,
5:16.0,,,16-14,,Defensive rebound by M. Gortat
4:55.0,,,16-16,2,B. Beal makes 2-pt shot from 7 ft
4:47.0,,,16-16,,Personal foul by K. Oubre (drawn by D. Gallinari)
4:47.0,D. Gallinari makes free throw 1 of 2,1,17-16,,
4:47.0,D. Gallinari makes free throw 2 of 2,1,18-16,,
4:31.0,,,18-16,,B. Beal misses 2-pt shot from 21 ft
4:30.0,Defensive rebound by D. Gallinari,,18-16,,
4:22.0,E. Mudiay misses 2-pt shot from 2 ft (block by M. Gortat),,18-16,,
4:20.0,,,18-16,,Defensive rebound by M. Gortat
4:15.0,,,18-18,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
4:04.0,Turnover by E. Mudiay (lost ball; steal by J. Wall),,18-18,,
4:00.0,,,18-20,2,J. Dudley makes 2-pt shot from 1 ft (assist by B. Beal)
3:59.0,Denver full timeout,,18-20,,
3:59.0,J. Nurkic enters the game for N. Jokic,,18-20,,
3:46.0,D. Gallinari misses 2-pt shot from 15 ft,,18-20,,
3:44.0,,,18-20,,Defensive rebound by B. Beal
3:30.0,,,18-20,,Turnover by J. Dudley (lost ball; steal by D. Gallinari)
3:26.0,,,18-20,,Violation by J. Wall (def goaltending)
3:26.0,E. Mudiay makes 2-pt shot at rim (assist by D. Gallinari),2,20-20,,
3:09.0,J. Nelson enters the game for E. Mudiay,,20-20,,
3:09.0,W. Barton enters the game for G. Harris,,20-20,,
3:06.0,,,20-20,,B. Beal misses 2-pt shot from 12 ft
3:05.0,,,20-20,,Offensive rebound by M. Gortat
3:02.0,,,20-23,3,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat)
2:42.0,J. Nurkic misses 2-pt shot from 7 ft,,20-23,,
2:41.0,Offensive rebound by J. Nurkic,,20-23,,
2:38.0,D. Arthur misses 2-pt shot from 15 ft,,20-23,,
2:37.0,,,20-23,,Defensive rebound by J. Dudley
2:30.0,,,20-23,,K. Oubre misses 3-pt shot from 23 ft
2:29.0,,,20-23,,Offensive rebound by J. Wall
2:21.0,,,20-25,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
1:59.0,W. Barton makes 2-pt shot from 12 ft,2,22-25,,
1:45.0,,,22-25,,J. Dudley misses 2-pt shot from 20 ft
1:44.0,Defensive rebound by J. Nurkic,,22-25,,
1:26.0,Shooting foul by J. Wall (drawn by D. Gallinari),,22-25,,
1:26.0,D. Gallinari misses free throw 1 of 2,,22-25,,
1:26.0,Offensive rebound by Team,,22-25,,
1:26.0,,,22-25,,R. Sessions enters the game for J. Wall
1:26.0,D. Gallinari makes free throw 2 of 2,1,23-25,,
1:15.0,,,23-25,,Turnover by B. Beal (bad pass; steal by W. Barton)
1:12.0,Shooting foul by B. Beal (drawn by D. Arthur),,23-25,,
1:12.0,D. Arthur makes free throw 1 of 2,1,24-25,,
1:12.0,R. Foye enters the game for D. Gallinari,,24-25,,
1:12.0,D. Arthur makes free throw 2 of 2,1,25-25,,
1:00.0,,,25-27,2,M. Gortat makes 2-pt shot at rim (assist by R. Sessions)
0:56.0,W. Barton makes 2-pt shot at rim,2,27-27,,
0:51.0,,,27-27,,Shooting foul by J. Nurkic (drawn by R. Sessions)
0:51.0,,,27-28,1,R. Sessions makes free throw 1 of 2
0:51.0,,,27-29,1,R. Sessions makes free throw 2 of 2
0:40.0,J. Nurkic makes 2-pt shot from 6 ft (assist by J. Nelson),2,29-29,,
0:31.0,,,29-29,,B. Beal misses 2-pt shot from 12 ft (block by R. Foye)
0:29.0,Defensive rebound by D. Arthur,,29-29,,
0:27.0,Turnover by D. Arthur (bad pass; steal by B. Beal),,29-29,,
0:03.0,,,29-29,,R. Sessions misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by R. Foye,,29-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Arthur),2,31-29,,
11:31.0,,,31-29,,J. Dudley misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by W. Barton,,31-29,,
11:18.0,R. Foye misses 3-pt shot from 25 ft,,31-29,,
11:17.0,Offensive rebound by Team,,31-29,,
11:17.0,,,31-29,,Loose ball foul by N. Hilario (drawn by J. Nurkic)
11:13.0,W. Barton misses 2-pt shot at rim (block by K. Oubre),,31-29,,
11:13.0,,,31-29,,Defensive rebound by Team
10:47.0,,,31-31,2,R. Sessions makes 2-pt shot from 6 ft
10:42.0,Shooting foul by K. Oubre (drawn by W. Barton),,31-31,,
10:42.0,W. Barton makes free throw 1 of 2,1,32-31,,
10:42.0,,,32-31,,G. Temple enters the game for K. Oubre
10:42.0,W. Barton makes free throw 2 of 2,1,33-31,,
10:25.0,,,33-31,,N. Hilario misses 2-pt shot from 5 ft
10:24.0,Defensive rebound by J. Nelson,,33-31,,
10:17.0,J. Nelson makes 3-pt shot from 25 ft (assist by R. Foye),3,36-31,,
10:11.0,,,36-33,2,B. Beal makes 2-pt shot at rim (assist by J. Dudley)
9:56.0,D. Arthur makes 3-pt shot from 26 ft (assist by J. Nelson),3,39-33,,
9:53.0,,,39-33,,Turnover by B. Beal (traveling)
9:53.0,,,39-33,,J. Wall enters the game for B. Beal
9:40.0,W. Barton makes 2-pt shot from 11 ft (assist by J. Nelson),2,41-33,,
9:28.0,Personal foul by D. Arthur (drawn by J. Dudley),,41-33,,
9:23.0,,,41-33,,R. Sessions misses 2-pt shot from 1 ft (block by J. Nurkic)
9:21.0,Defensive rebound by D. Arthur,,41-33,,
9:19.0,W. Barton makes 2-pt shot from 2 ft (assist by D. Arthur),2,43-33,,
9:19.0,Shooting foul by G. Temple (drawn by W. Barton),,43-33,,
9:19.0,W. Barton makes free throw 1 of 1,1,44-33,,
9:06.0,Personal foul by J. Nelson (drawn by J. Wall),,44-33,,
9:06.0,,,44-33,,D. Gooden enters the game for J. Dudley
8:58.0,,,44-36,3,G. Temple makes 3-pt shot from 23 ft (assist by R. Sessions)
8:43.0,J. Nurkic misses 2-pt shot from 7 ft,,44-36,,
8:42.0,,,44-36,,Defensive rebound by D. Gooden
8:31.0,,,44-38,2,J. Wall makes 2-pt shot from 1 ft
8:22.0,Turnover by R. Foye (bad pass; steal by J. Wall),,44-38,,
8:16.0,,,44-41,3,D. Gooden makes 3-pt shot from 24 ft (assist by G. Temple)
8:14.0,Denver full timeout,,44-41,,
7:53.0,J. Nelson makes 3-pt shot from 30 ft (assist by J. Nurkic),3,47-41,,
7:46.0,,,47-41,,R. Sessions misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by J. Nurkic,,47-41,,
7:24.0,J. Nelson misses 3-pt shot from 23 ft,,47-41,,
7:23.0,,,47-41,,Defensive rebound by N. Hilario
7:16.0,Personal foul by W. Barton (drawn by J. Wall),,47-41,,
7:16.0,N. Jokic enters the game for J. Nurkic,,47-41,,
7:16.0,K. Faried enters the game for D. Arthur,,47-41,,
7:16.0,,,47-41,,M. Gortat enters the game for N. Hilario
7:11.0,,,47-41,,R. Sessions misses 2-pt shot from 9 ft
7:10.0,,,47-41,,Offensive rebound by M. Gortat
7:08.0,,,47-41,,M. Gortat misses 2-pt shot from 2 ft
7:07.0,Defensive rebound by K. Faried,,47-41,,
6:54.0,W. Barton misses 3-pt shot from 24 ft,,47-41,,
6:52.0,,,47-41,,Defensive rebound by G. Temple
6:52.0,Personal foul by J. Nelson (drawn by G. Temple),,47-41,,
6:31.0,,,47-43,2,G. Temple makes 2-pt shot from 1 ft
6:08.0,R. Foye makes 2-pt shot from 21 ft (assist by N. Jokic),2,49-43,,
5:58.0,,,49-43,,D. Gooden misses 2-pt shot from 20 ft
5:57.0,Defensive rebound by W. Barton,,49-43,,
5:45.0,Official timeout,,49-43,,
5:45.0,D. Gallinari enters the game for J. Nelson,,49-43,,
5:45.0,E. Mudiay enters the game for R. Foye,,49-43,,
5:45.0,,,49-43,,B. Beal enters the game for R. Sessions
5:36.0,D. Gallinari misses 2-pt shot from 20 ft,,49-43,,
5:35.0,,,49-43,,Defensive rebound by M. Gortat
5:17.0,,,49-45,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:52.0,D. Gallinari misses 2-pt shot from 19 ft,,49-45,,
4:51.0,,,49-45,,Defensive rebound by G. Temple
4:38.0,,,49-45,,Turnover by M. Gortat (lost ball; steal by W. Barton)
4:32.0,W. Barton misses 2-pt shot from 13 ft,,49-45,,
4:30.0,,,49-45,,Defensive rebound by M. Gortat
4:18.0,,,49-45,,J. Wall misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by E. Mudiay,,49-45,,
4:07.0,N. Jokic makes 2-pt shot from 1 ft (assist by D. Gallinari),2,51-45,,
4:01.0,,,51-48,3,B. Beal makes 3-pt shot from 27 ft (assist by G. Temple)
3:34.0,N. Jokic makes 2-pt shot from 9 ft,2,53-48,,
3:34.0,Shooting foul by M. Gortat (drawn by N. Jokic),,53-48,,
3:34.0,G. Harris enters the game for W. Barton,,53-48,,
3:34.0,N. Jokic makes free throw 1 of 1,1,54-48,,
3:12.0,,,54-48,,B. Beal misses 2-pt shot from 20 ft
3:11.0,Defensive rebound by N. Jokic,,54-48,,
2:58.0,E. Mudiay misses 2-pt shot from 15 ft,,54-48,,
2:57.0,,,54-48,,Defensive rebound by Team
2:57.0,Loose ball foul by N. Jokic (drawn by D. Gooden),,54-48,,
2:57.0,,,54-48,,Washington full timeout
2:57.0,,,54-48,,D. Gooden misses free throw 1 of 2
2:57.0,,,54-48,,Offensive rebound by Team
2:57.0,,,54-48,,O. Porter enters the game for G. Temple
2:57.0,,,54-49,1,D. Gooden makes free throw 2 of 2
2:33.0,E. Mudiay misses 3-pt shot from 25 ft,,54-49,,
2:32.0,,,54-49,,Defensive rebound by D. Gooden
2:21.0,,,54-52,3,D. Gooden makes 3-pt shot from 26 ft (assist by J. Wall)
2:07.0,Shooting foul by M. Gortat (drawn by E. Mudiay),,54-52,,
2:07.0,E. Mudiay makes free throw 1 of 2,1,55-52,,
2:07.0,,,55-52,,N. Hilario enters the game for M. Gortat
2:07.0,E. Mudiay makes free throw 2 of 2,1,56-52,,
1:51.0,,,56-52,,Turnover by D. Gooden (bad pass; steal by G. Harris)
1:48.0,G. Harris makes 2-pt shot at rim,2,58-52,,
1:40.0,,,58-52,,Turnover by B. Beal (bad pass; steal by E. Mudiay)
1:36.0,E. Mudiay makes 2-pt shot at rim,2,60-52,,
1:19.0,,,60-52,,J. Wall misses 2-pt shot from 19 ft
1:17.0,,,60-52,,Offensive rebound by N. Hilario
1:04.0,,,60-54,2,B. Beal makes 2-pt shot from 13 ft
0:54.0,N. Jokic makes 2-pt shot from 1 ft (assist by E. Mudiay),2,62-54,,
0:49.0,,,62-54,,Shooting foul by E. Mudiay (drawn by O. Porter)
0:49.0,,,62-55,1,O. Porter makes free throw 1 of 2
0:49.0,D. Arthur enters the game for K. Faried,,62-55,,
0:49.0,,,62-56,1,O. Porter makes free throw 2 of 2
0:33.0,N. Jokic misses 2-pt shot from 8 ft,,62-56,,
