time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Thompson (P. Millsap gains possession),,,,Jump ball: A. Horford vs. T. Thompson (P. Millsap gains possession)
11:33.0,P. Millsap misses 2-pt shot from 1 ft,,0-0,,
11:32.0,Offensive rebound by P. Millsap,,0-0,,
11:32.0,P. Millsap misses 2-pt shot from 1 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by K. Love
11:09.0,,,0-0,,K. Love misses 2-pt shot from 9 ft
11:07.0,Defensive rebound by P. Millsap,,0-0,,
10:58.0,K. Bazemore makes 2-pt shot at rim (assist by A. Horford),2,2-0,,
10:42.0,,,2-0,,K. Irving misses 2-pt shot at rim (block by P. Millsap)
10:41.0,Defensive rebound by K. Bazemore,,2-0,,
10:35.0,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap),3,5-0,,
10:15.0,,,5-0,,Turnover by L. James (lost ball; steal by K. Bazemore)
10:11.0,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap),3,8-0,,
10:11.0,,,8-0,,Cleveland full timeout
10:01.0,,,8-0,,Turnover by K. Irving (bad pass)
10:00.0,Turnover by J. Teague (lost ball; steal by K. Love),,8-0,,
9:53.0,,,8-0,,L. James misses 2-pt shot from 1 ft (block by P. Millsap)
9:51.0,Defensive rebound by A. Horford,,8-0,,
9:39.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,10-0,,
9:24.0,,,10-0,,K. Irving misses 2-pt shot from 5 ft
9:22.0,Defensive rebound by K. Bazemore,,10-0,,
9:15.0,Turnover by J. Teague (lost ball; steal by L. James),,10-0,,
9:09.0,,,10-2,2,L. James makes 2-pt shot at rim
8:57.0,A. Horford makes 2-pt shot from 12 ft,2,12-2,,
8:41.0,,,12-2,,K. Love misses 3-pt shot from 22 ft
8:40.0,Defensive rebound by K. Korver,,12-2,,
8:29.0,K. Bazemore misses 3-pt shot from 24 ft,,12-2,,
8:29.0,,,12-2,,Defensive rebound by K. Love
8:13.0,,,12-5,3,L. James makes 3-pt shot from 25 ft
8:01.0,Turnover by J. Teague (lost ball; steal by K. Irving),,12-5,,
7:53.0,,,12-8,3,L. James makes 3-pt shot from 25 ft (assist by K. Love)
7:37.0,Turnover by K. Bazemore (lost ball; steal by K. Love),,12-8,,
7:33.0,,,12-8,,L. James misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by K. Korver,,12-8,,
7:23.0,K. Bazemore makes 2-pt shot from 8 ft,2,14-8,,
7:05.0,,,14-8,,T. Thompson misses 2-pt shot from 7 ft (block by A. Horford)
7:05.0,Defensive rebound by Team,,14-8,,
6:54.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,16-8,,
6:28.0,,,16-8,,K. Irving misses 2-pt shot from 10 ft
6:27.0,Defensive rebound by P. Millsap,,16-8,,
6:15.0,P. Millsap misses 3-pt shot from 25 ft,,16-8,,
6:14.0,,,16-8,,Defensive rebound by K. Love
6:06.0,,,16-8,,J. Smith misses 2-pt shot from 14 ft
6:03.0,Defensive rebound by A. Horford,,16-8,,
5:48.0,A. Horford misses 3-pt shot from 25 ft,,16-8,,
5:48.0,,,16-8,,Defensive rebound by Team
5:34.0,,,16-8,,T. Thompson misses 2-pt shot from 5 ft (block by A. Horford)
5:32.0,Defensive rebound by A. Horford,,16-8,,
5:19.0,P. Millsap misses 2-pt shot from 7 ft,,16-8,,
5:17.0,,,16-8,,Defensive rebound by K. Love
5:08.0,,,16-10,2,K. Irving makes 2-pt shot from 20 ft
5:08.0,Atlanta full timeout,,16-10,,
5:08.0,T. Sefolosha enters the game for A. Horford,,16-10,,
5:08.0,K. Humphries enters the game for K. Bazemore,,16-10,,
4:44.0,J. Teague makes 2-pt shot at rim,2,18-10,,
4:33.0,T. Hardaway enters the game for K. Korver,,18-10,,
4:29.0,,,18-10,,J. Smith misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by T. Sefolosha,,18-10,,
4:05.0,J. Teague makes 2-pt shot from 2 ft,2,20-10,,
3:54.0,,,20-12,2,K. Irving makes 2-pt shot from 18 ft
3:43.0,J. Teague makes 2-pt shot at rim (assist by K. Humphries),2,22-12,,
3:28.0,,,22-14,2,K. Irving makes 2-pt shot from 4 ft
3:08.0,J. Teague misses 2-pt shot from 22 ft,,22-14,,
3:07.0,,,22-14,,Defensive rebound by T. Thompson
2:58.0,,,22-14,,Turnover by K. Irving (lost ball; steal by T. Sefolosha)
2:53.0,Shooting foul by J. Smith (drawn by P. Millsap),,22-14,,
2:53.0,P. Millsap makes free throw 1 of 2,1,23-14,,
2:53.0,D. Schroder enters the game for J. Teague,,23-14,,
2:53.0,,,23-14,,M. Dellavedova enters the game for K. Love
2:53.0,P. Millsap misses free throw 2 of 2,,23-14,,
2:52.0,,,23-14,,Defensive rebound by M. Dellavedova
2:32.0,,,23-16,2,M. Dellavedova makes 2-pt shot from 5 ft (assist by L. James)
2:22.0,T. Hardaway misses 3-pt shot from 26 ft,,23-16,,
2:21.0,,,23-16,,Defensive rebound by K. Irving
2:12.0,,,23-16,,K. Irving misses 2-pt shot from 19 ft
2:11.0,Defensive rebound by T. Hardaway,,23-16,,
1:49.0,Shooting foul by T. Thompson (drawn by K. Humphries),,23-16,,
1:49.0,K. Humphries misses free throw 1 of 2,,23-16,,
1:49.0,Offensive rebound by Team,,23-16,,
1:49.0,,,23-16,,R. Jefferson enters the game for L. James
1:49.0,M. Scott enters the game for P. Millsap,,23-16,,
1:49.0,K. Humphries makes free throw 2 of 2,1,24-16,,
1:39.0,,,24-19,3,K. Irving makes 3-pt shot from 27 ft (assist by T. Thompson)
1:17.0,K. Humphries misses 2-pt shot from 8 ft,,24-19,,
1:17.0,,,24-19,,Defensive rebound by T. Thompson
1:06.0,,,24-19,,K. Irving misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by K. Humphries,,24-19,,
1:04.0,Turnover by K. Humphries (lost ball; steal by K. Irving),,24-19,,
0:56.0,,,24-19,,J. Smith misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by K. Humphries,,24-19,,
0:50.0,T. Hardaway makes 2-pt shot from 12 ft,2,26-19,,
0:35.0,,,26-22,3,K. Irving makes 3-pt shot from 24 ft (assist by M. Dellavedova)
0:24.0,D. Schroder misses 3-pt shot from 22 ft,,26-22,,
0:23.0,,,26-22,,Defensive rebound by R. Jefferson
0:00.0,,,26-22,,M. Dellavedova misses 2-pt shot from 14 ft
0:00.0,,,26-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,26-25,3,C. Frye makes 3-pt shot from 22 ft (assist by L. James)
11:17.0,A. Horford makes 2-pt shot from 19 ft (assist by M. Scott),2,28-25,,
10:55.0,,,28-27,2,M. Dellavedova makes 2-pt shot from 1 ft
10:41.0,D. Schroder misses 2-pt shot from 16 ft,,28-27,,
10:41.0,,,28-27,,Defensive rebound by C. Frye
10:31.0,Personal foul by D. Schroder,,28-27,,
10:31.0,K. Bazemore enters the game for T. Hardaway,,28-27,,
10:21.0,,,28-27,,C. Frye misses 3-pt shot from 23 ft
10:20.0,Defensive rebound by K. Bazemore,,28-27,,
10:00.0,D. Schroder misses 3-pt shot from 23 ft,,28-27,,
9:59.0,,,28-27,,Defensive rebound by L. James
9:55.0,K. Korver enters the game for T. Sefolosha,,28-27,,
9:46.0,,,28-30,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James)
9:27.0,D. Schroder makes 2-pt shot from 7 ft,2,30-30,,
9:27.0,Shooting foul by M. Dellavedova (drawn by D. Schroder),,30-30,,
9:27.0,D. Schroder misses free throw 1 of 1,,30-30,,
9:26.0,,,30-30,,Defensive rebound by Team
9:13.0,,,30-30,,Turnover by L. James (bad pass)
8:59.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder),3,33-30,,
8:38.0,,,33-32,2,L. James makes 2-pt shot at rim (assist by J. McRae)
8:18.0,,,33-32,,Personal foul by R. Jefferson
8:18.0,Official timeout,,33-32,,
8:18.0,K. Bazemore makes free throw 1 of 2,1,34-32,,
8:18.0,K. Bazemore makes free throw 2 of 2,1,35-32,,
8:06.0,,,35-32,,Offensive foul by L. James
8:06.0,,,35-32,,Turnover by L. James (offensive foul)
7:57.0,A. Horford misses 3-pt shot from 25 ft,,35-32,,
7:55.0,Offensive rebound by D. Schroder,,35-32,,
7:42.0,K. Bazemore makes 3-pt shot from 29 ft (assist by D. Schroder),3,38-32,,
7:20.0,,,38-34,2,C. Frye makes 2-pt shot from 7 ft
7:16.0,,,38-34,,Personal foul by C. Frye
7:07.0,A. Horford misses 2-pt shot from 18 ft,,38-34,,
7:07.0,,,38-34,,Defensive rebound by L. James
7:04.0,,,38-34,,Turnover by C. Frye (step out of bounds)
7:04.0,J. Teague enters the game for D. Schroder,,38-34,,
6:43.0,Offensive charge foul by K. Bazemore,,38-34,,
6:43.0,Turnover by K. Bazemore (offensive foul),,38-34,,
6:43.0,P. Millsap enters the game for A. Horford,,38-34,,
6:43.0,,,38-34,,K. Love enters the game for C. Frye
6:43.0,,,38-34,,K. Irving enters the game for M. Dellavedova
6:36.0,,,38-34,,J. Smith enters the game for J. McRae
6:25.0,,,38-36,2,L. James makes 2-pt shot at rim
6:25.0,,,38-36,,Shooting foul by J. Teague (drawn by L. James)
6:25.0,,,38-37,1,L. James makes free throw 1 of 1
6:18.0,Turnover by J. Teague (offensive foul),,38-37,,
6:18.0,Offensive foul by J. Teague,,38-37,,
5:59.0,,,38-37,,K. Irving misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by K. Korver,,38-37,,
