time,Dallas,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (J. Barea gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (J. Barea gains possession)
11:41.0,J. Barea misses 2-pt shot from 8 ft (block by K. Towns),,0-0,,
11:39.0,,,0-0,,Defensive rebound by R. Rubio
11:34.0,,,0-0,,Turnover by K. Towns (bad pass)
11:18.0,D. Nowitzki misses 2-pt shot from 13 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by K. Towns
10:52.0,,,0-0,,Turnover by Team (shot clock)
10:37.0,W. Matthews misses 2-pt shot from 13 ft,,0-0,,
10:36.0,,,0-0,,Defensive rebound by G. Dieng
10:13.0,,,0-0,,R. Rubio misses 2-pt shot from 19 ft
10:12.0,,,0-0,,Offensive rebound by K. Towns
10:09.0,,,0-0,,Turnover by K. Towns (lost ball; steal by Z. Pachulia)
9:59.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea),3,3-0,,
9:44.0,,,3-2,2,A. Wiggins makes 2-pt shot from 16 ft (assist by G. Dieng)
9:34.0,,,3-2,,Personal foul by R. Rubio
9:32.0,Turnover by Z. Pachulia (lost ball),,3-2,,
9:22.0,,,3-2,,Offensive charge foul by K. Towns
9:22.0,,,3-2,,Turnover by K. Towns (offensive foul)
9:12.0,Z. Pachulia misses 2-pt shot from 1 ft,,3-2,,
9:11.0,,,3-2,,Defensive rebound by A. Wiggins
9:10.0,Personal foul by Z. Pachulia,,3-2,,
9:00.0,,,3-4,2,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio)
8:48.0,J. Barea makes 2-pt shot from 6 ft,2,5-4,,
8:34.0,,,5-6,2,G. Dieng makes 2-pt shot from 1 ft (assist by K. Towns)
8:15.0,J. Barea misses 2-pt shot from 7 ft,,5-6,,
8:14.0,,,5-6,,Defensive rebound by K. Towns
8:09.0,,,5-8,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
8:09.0,,,5-8,,Shooting foul by D. Nowitzki (drawn by K. Towns)
8:09.0,S. Mejri enters the game for Z. Pachulia,,5-8,,
8:09.0,,,5-9,1,K. Towns makes free throw 1 of 1
7:54.0,Turnover by W. Matthews (lost ball; steal by Z. LaVine),,5-9,,
7:48.0,,,5-9,,K. Towns misses 2-pt shot from 1 ft (block by S. Mejri)
7:47.0,Defensive rebound by Team,,5-9,,
7:32.0,J. Barea makes 3-pt shot from 25 ft (assist by J. Anderson),3,8-9,,
7:20.0,,,8-11,2,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio)
7:09.0,J. Barea makes 2-pt shot at rim,2,10-11,,
6:53.0,,,10-11,,Shooting foul by S. Mejri (drawn by A. Wiggins)
6:53.0,,,10-13,2,A. Wiggins makes 2-pt shot from 14 ft
6:53.0,,,10-14,1,A. Wiggins makes free throw 1 of 1
6:40.0,D. Nowitzki misses 2-pt shot from 16 ft,,10-14,,
6:39.0,,,10-14,,Defensive rebound by K. Towns
6:31.0,,,10-14,,Turnover by G. Dieng (lost ball)
6:22.0,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea),2,12-14,,
6:13.0,,,12-14,,Minnesota full timeout
6:13.0,D. Harris enters the game for J. Anderson,,12-14,,
6:13.0,D. Lee enters the game for D. Nowitzki,,12-14,,
6:13.0,R. Felton enters the game for J. Barea,,12-14,,
6:02.0,,,12-14,,Turnover by A. Wiggins (lost ball; steal by D. Harris)
5:36.0,R. Felton misses 3-pt shot from 24 ft,,12-14,,
5:34.0,,,12-14,,Defensive rebound by A. Wiggins
5:23.0,,,12-14,,K. Towns misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by Team,,12-14,,
5:00.0,D. Lee misses 2-pt shot from 8 ft,,12-14,,
4:59.0,,,12-14,,Defensive rebound by Z. LaVine
4:50.0,,,12-17,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
4:33.0,D. Harris misses 2-pt shot from 19 ft,,12-17,,
4:31.0,,,12-17,,Defensive rebound by Z. LaVine
4:21.0,,,12-19,2,Z. LaVine makes 2-pt shot from 20 ft (assist by K. Towns)
4:19.0,Dallas full timeout,,12-19,,
4:19.0,,,12-19,,N. Bjelica enters the game for K. Towns
4:05.0,W. Matthews misses 3-pt shot from 24 ft,,12-19,,
4:02.0,Offensive rebound by D. Lee,,12-19,,
3:49.0,D. Harris makes 3-pt shot from 25 ft (assist by D. Lee),3,15-19,,
3:31.0,,,15-21,2,A. Wiggins makes 2-pt shot at rim
3:07.0,W. Matthews misses 3-pt shot from 24 ft,,15-21,,
3:05.0,Offensive rebound by Team,,15-21,,
3:05.0,,,15-21,,S. Muhammad enters the game for Z. LaVine
2:56.0,D. Harris misses 3-pt shot from 23 ft,,15-21,,
2:54.0,Offensive rebound by D. Lee,,15-21,,
2:43.0,W. Matthews misses 3-pt shot from 24 ft,,15-21,,
2:42.0,,,15-21,,Defensive rebound by R. Rubio
2:37.0,,,15-23,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
2:26.0,Dallas full timeout,,15-23,,
2:26.0,D. Nowitzki enters the game for S. Mejri,,15-23,,
2:26.0,J. Barea enters the game for R. Felton,,15-23,,
2:26.0,,,15-23,,K. Towns enters the game for G. Dieng
2:26.0,J. Anderson enters the game for W. Matthews,,15-23,,
