time,Atlanta,pts.away,score,pts.home,Boston
1:51.0,,,17-18,,D. Lee misses 2-pt shot from 7 ft
1:50.0,Defensive rebound by A. Horford,,17-18,,
1:34.0,,,17-18,,Violation by K. Olynyk (kicked ball)
1:34.0,K. Korver enters the game for K. Bazemore,,17-18,,
1:23.0,A. Horford misses 2-pt shot from 18 ft,,17-18,,
1:22.0,,,17-18,,Defensive rebound by D. Lee
1:10.0,,,17-20,2,D. Lee makes 2-pt shot from 20 ft
0:52.0,D. Schroder misses 3-pt shot from 24 ft,,17-20,,
0:51.0,Offensive rebound by T. Sefolosha,,17-20,,
0:47.0,K. Korver misses 3-pt shot from 24 ft,,17-20,,
0:45.0,,,17-20,,Defensive rebound by R. Hunter
0:38.0,,,17-23,3,K. Olynyk makes 3-pt shot from 25 ft (assist by E. Turner)
0:32.0,D. Schroder makes 2-pt shot from 2 ft,2,19-23,,
0:15.0,,,19-25,2,D. Lee makes 2-pt shot from 4 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,19-25,,K. Olynyk misses 2-pt shot from 2 ft (block by A. Horford)
11:40.0,Defensive rebound by M. Scott,,19-25,,
11:32.0,D. Schroder makes 2-pt shot from 1 ft,2,21-25,,
11:12.0,,,21-25,,R. Hunter misses 2-pt shot from 21 ft
11:11.0,Defensive rebound by L. Patterson,,21-25,,
10:55.0,A. Horford makes 2-pt shot from 1 ft,2,23-25,,
10:30.0,,,23-25,,J. Crowder misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by M. Scott,,23-25,,
10:05.0,A. Horford misses 2-pt shot from 2 ft,,23-25,,
10:04.0,,,23-25,,Defensive rebound by D. Lee
9:55.0,,,23-27,2,D. Lee makes 2-pt shot from 4 ft
9:40.0,K. Korver misses 2-pt shot from 3 ft,,23-27,,
9:39.0,,,23-27,,Defensive rebound by K. Olynyk
9:33.0,,,23-27,,R. Hunter misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by K. Korver,,23-27,,
9:25.0,,,23-27,,Violation by D. Lee (kicked ball)
9:25.0,,,23-27,,J. Jerebko enters the game for K. Olynyk
9:19.0,D. Schroder misses 2-pt shot from 9 ft,,23-27,,
9:18.0,,,23-27,,Defensive rebound by J. Jerebko
9:13.0,Personal foul by M. Scott (drawn by D. Lee),,23-27,,
8:58.0,,,23-30,3,E. Turner makes 3-pt shot from 24 ft (assist by D. Lee)
8:49.0,,,23-30,,Personal foul by J. Crowder (drawn by K. Korver)
8:49.0,Official timeout,,23-30,,
8:41.0,Shooting foul by J. Jerebko (drawn by A. Horford),,23-30,,
8:41.0,A. Horford makes free throw 1 of 2,1,24-30,,
8:41.0,J. Teague enters the game for D. Schroder,,24-30,,
8:41.0,A. Horford misses free throw 2 of 2,,24-30,,
8:41.0,,,24-30,,Defensive rebound by J. Jerebko
8:16.0,,,24-30,,J. Jerebko misses 2-pt shot from 18 ft
8:15.0,Defensive rebound by A. Horford,,24-30,,
8:09.0,J. Teague misses 2-pt shot at rim,,24-30,,
8:08.0,,,24-30,,Defensive rebound by D. Lee
8:00.0,,,24-30,,Turnover by E. Turner (bad pass; steal by K. Korver)
7:57.0,Turnover by A. Horford (bad pass; steal by E. Turner),,24-30,,
7:55.0,,,24-32,2,E. Turner makes 2-pt shot from 2 ft
7:37.0,Shooting foul by J. Jerebko (drawn by J. Teague),,24-32,,
7:37.0,J. Teague makes free throw 1 of 2,1,25-32,,
7:37.0,T. Splitter enters the game for A. Horford,,25-32,,
7:37.0,T. Sefolosha enters the game for K. Korver,,25-32,,
7:37.0,J. Teague makes free throw 2 of 2,1,26-32,,
7:30.0,,,26-32,,E. Turner misses 2-pt shot from 2 ft (block by T. Splitter)
7:29.0,Defensive rebound by Team,,26-32,,
7:11.0,Turnover by L. Patterson (bad pass),,26-32,,
6:59.0,,,26-32,,J. Jerebko misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by T. Sefolosha,,26-32,,
6:48.0,Turnover by L. Patterson (traveling),,26-32,,
6:48.0,K. Bazemore enters the game for L. Patterson,,26-32,,
6:37.0,,,26-32,,D. Lee misses 2-pt shot from 8 ft
6:36.0,Defensive rebound by K. Bazemore,,26-32,,
6:24.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by J. Teague),3,29-32,,
6:21.0,,,29-32,,Boston full timeout
6:21.0,P. Millsap enters the game for T. Splitter,,29-32,,
6:21.0,,,29-32,,I. Thomas enters the game for E. Turner
6:21.0,,,29-32,,J. Sullinger enters the game for D. Lee
