time,Indiana,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. I. Mahinmi (N. Mirotic gains possession),,,,Jump ball: P. Gasol vs. I. Mahinmi (N. Mirotic gains possession)
11:39.0,,,0-0,,P. Gasol misses 2-pt shot from 7 ft
11:39.0,Defensive rebound by Team,,0-0,,
11:23.0,Turnover by M. Ellis (turnover),,0-0,,
11:07.0,,,0-0,,N. Mirotic misses 2-pt shot from 21 ft
11:05.0,,,0-0,,Offensive rebound by N. Mirotic
11:05.0,,,0-0,,N. Mirotic misses 2-pt shot from 2 ft
11:04.0,,,0-0,,Offensive rebound by P. Gasol
11:00.0,,,0-3,3,T. Snell makes 3-pt shot from 24 ft (assist by D. Rose)
10:44.0,P. George misses 2-pt shot from 17 ft,,0-3,,
10:43.0,,,0-3,,Defensive rebound by P. Gasol
10:30.0,,,0-3,,J. Butler misses 2-pt shot from 21 ft
10:29.0,Defensive rebound by C. Budinger,,0-3,,
10:25.0,C. Miles misses 2-pt shot from 14 ft,,0-3,,
10:24.0,,,0-3,,Defensive rebound by P. Gasol
10:18.0,,,0-5,2,D. Rose makes 2-pt shot from 15 ft
10:04.0,C. Miles misses 2-pt shot from 1 ft,,0-5,,
10:02.0,,,0-5,,Defensive rebound by N. Mirotic
9:52.0,,,0-7,2,D. Rose makes 2-pt shot from 7 ft
9:32.0,P. George makes 2-pt shot from 20 ft,2,2-7,,
9:13.0,,,2-9,2,N. Mirotic makes 2-pt shot from 1 ft
9:12.0,Indiana full timeout,,2-9,,
8:51.0,C. Miles misses 3-pt shot from 25 ft,,2-9,,
8:50.0,,,2-9,,Defensive rebound by P. Gasol
8:32.0,,,2-12,3,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol)
8:18.0,I. Mahinmi misses 2-pt shot from 1 ft,,2-12,,
8:17.0,,,2-12,,Defensive rebound by P. Gasol
8:10.0,,,2-12,,P. Gasol misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by C. Budinger,,2-12,,
7:55.0,P. George misses 2-pt shot from 2 ft,,2-12,,
7:54.0,,,2-12,,Defensive rebound by P. Gasol
7:45.0,,,2-15,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Butler)
7:33.0,C. Miles makes 3-pt shot from 22 ft (assist by P. George),3,5-15,,
7:17.0,,,5-15,,Turnover by J. Butler (bad pass; steal by C. Budinger)
7:11.0,M. Ellis misses 2-pt shot from 1 ft,,5-15,,
7:09.0,,,5-15,,Defensive rebound by N. Mirotic
7:00.0,,,5-15,,Shooting foul by C. Miles (drawn by J. Butler)
7:00.0,,,5-15,,J. Butler misses free throw 1 of 2
7:00.0,,,5-15,,Offensive rebound by Team
7:00.0,,,5-16,1,J. Butler makes free throw 2 of 2
6:46.0,I. Mahinmi misses 2-pt shot from 1 ft (block by D. Rose),,5-16,,
6:45.0,,,5-16,,Defensive rebound by Team
6:35.0,,,5-16,,D. Rose misses 2-pt shot from 19 ft
6:34.0,Defensive rebound by I. Mahinmi,,5-16,,
6:22.0,C. Miles makes 3-pt shot from 24 ft (assist by I. Mahinmi),3,8-16,,
6:02.0,,,8-16,,Turnover by N. Mirotic (bad pass; steal by I. Mahinmi)
5:59.0,Turnover by C. Budinger (bad pass),,8-16,,
5:44.0,,,8-16,,N. Mirotic misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by I. Mahinmi,,8-16,,
5:23.0,M. Ellis misses 2-pt shot from 6 ft,,8-16,,
5:22.0,Offensive rebound by I. Mahinmi,,8-16,,
5:21.0,I. Mahinmi misses 2-pt shot from 1 ft,,8-16,,
5:20.0,,,8-16,,Defensive rebound by N. Mirotic
5:11.0,,,8-16,,T. Snell misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by P. George,,8-16,,
4:59.0,M. Ellis makes 2-pt shot from 20 ft (assist by I. Mahinmi),2,10-16,,
4:37.0,,,10-16,,N. Mirotic misses 2-pt shot from 5 ft
4:36.0,Defensive rebound by C. Miles,,10-16,,
4:29.0,,,10-16,,Personal foul by J. Butler (drawn by P. George)
4:29.0,,,10-16,,Violation by Team (jump ball)
4:29.0,,,10-16,,K. Hinrich enters the game for D. Rose
4:29.0,,,10-16,,T. Gibson enters the game for P. Gasol
4:29.0,,,10-16,,J. Noah enters the game for N. Mirotic
4:29.0,J. Hill enters the game for M. Ellis,,10-16,,
4:29.0,J. Young enters the game for I. Mahinmi,,10-16,,
4:19.0,C. Miles misses 3-pt shot from 24 ft,,10-16,,
4:18.0,,,10-16,,Defensive rebound by J. Butler
4:06.0,L. Allen enters the game for C. Miles,,10-16,,
4:04.0,,,10-18,2,T. Gibson makes 2-pt shot from 2 ft (assist by K. Hinrich)
3:53.0,Shooting foul by J. Noah (drawn by P. George),,10-18,,
3:53.0,P. George makes free throw 1 of 2,1,11-18,,
3:53.0,,,11-18,,D. McDermott enters the game for T. Snell
3:53.0,G. Robinson enters the game for C. Budinger,,11-18,,
3:53.0,P. George makes free throw 2 of 2,1,12-18,,
3:28.0,,,12-20,2,J. Butler makes 2-pt shot from 1 ft (assist by T. Gibson)
3:05.0,P. George makes 3-pt shot from 24 ft (assist by J. Hill),3,15-20,,
2:40.0,,,15-22,2,D. McDermott makes 2-pt shot from 2 ft (assist by T. Gibson)
2:29.0,Turnover by L. Allen (bad pass; steal by J. Noah),,15-22,,
2:21.0,Personal foul by J. Young,,15-22,,
2:21.0,,,15-22,,Chicago full timeout
