time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession)
11:45.0,K. Thompson makes 2-pt shot from 15 ft (assist by S. Livingston),2,2-0,,
11:28.0,,,2-0,,D. Lillard misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by S. Livingston,,2-0,,
11:24.0,Turnover by S. Livingston (bad pass),,2-0,,
11:05.0,,,2-3,3,M. Harkless makes 3-pt shot from 24 ft
10:47.0,Turnover by K. Thompson (lost ball; steal by M. Harkless),,2-3,,
10:41.0,,,2-3,,M. Harkless misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by A. Bogut,,2-3,,
10:29.0,K. Thompson misses 2-pt shot from 8 ft,,2-3,,
10:29.0,,,2-3,,Defensive rebound by Team
10:05.0,,,2-3,,M. Harkless misses 2-pt shot from 4 ft
10:05.0,,,2-3,,Offensive rebound by M. Plumlee
10:05.0,Personal foul by A. Bogut,,2-3,,
9:56.0,,,2-3,,M. Harkless misses 2-pt shot from 3 ft
9:56.0,Defensive rebound by D. Green,,2-3,,
9:52.0,Turnover by D. Green (lost ball; steal by M. Harkless),,2-3,,
9:43.0,,,2-3,,Turnover by M. Harkless (lost ball; steal by K. Thompson)
9:37.0,K. Thompson misses 3-pt shot from 26 ft,,2-3,,
9:35.0,Offensive rebound by Team,,2-3,,
9:32.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston),3,5-3,,
9:13.0,,,5-3,,C. McCollum misses 2-pt shot from 7 ft
9:13.0,Defensive rebound by A. Bogut,,5-3,,
9:00.0,K. Thompson misses 2-pt shot from 8 ft,,5-3,,
8:59.0,Offensive rebound by A. Bogut,,5-3,,
8:59.0,A. Bogut makes 2-pt shot from 1 ft,2,7-3,,
8:41.0,Violation by D. Green (kicked ball),,7-3,,
8:38.0,,,7-3,,M. Plumlee misses 2-pt shot from 2 ft (block by A. Bogut)
8:36.0,,,7-3,,Offensive rebound by C. McCollum
8:34.0,,,7-5,2,C. McCollum makes 2-pt shot from 22 ft
8:19.0,,,7-5,,Personal foul by A. Aminu
8:16.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Livingston),3,10-5,,
7:59.0,,,10-7,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
7:52.0,S. Livingston misses 2-pt shot from 21 ft,,10-7,,
7:51.0,,,10-7,,Defensive rebound by A. Aminu
7:41.0,,,10-7,,M. Plumlee misses 2-pt shot from 2 ft
7:40.0,,,10-7,,Offensive rebound by D. Lillard
7:30.0,,,10-9,2,D. Lillard makes 2-pt shot from 21 ft
7:22.0,Turnover by S. Livingston (lost ball),,10-9,,
7:22.0,,,10-9,,G. Henderson enters the game for M. Harkless
7:07.0,,,10-9,,C. McCollum misses 3-pt shot from 22 ft
7:07.0,Defensive rebound by H. Barnes,,10-9,,
6:56.0,K. Thompson misses 2-pt shot from 14 ft,,10-9,,
6:55.0,,,10-9,,Defensive rebound by A. Aminu
6:40.0,,,10-9,,M. Plumlee misses 2-pt shot from 1 ft (block by A. Bogut)
6:38.0,,,10-9,,Offensive rebound by D. Lillard
6:34.0,,,10-9,,G. Henderson misses 2-pt shot from 20 ft
6:34.0,Defensive rebound by A. Bogut,,10-9,,
6:29.0,Golden State full timeout,,10-9,,
6:29.0,A. Iguodala enters the game for A. Bogut,,10-9,,
6:15.0,D. Green makes 3-pt shot from 25 ft (assist by A. Iguodala),3,13-9,,
5:54.0,,,13-9,,D. Lillard misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by A. Iguodala,,13-9,,
5:45.0,K. Thompson makes 3-pt shot from 23 ft (assist by H. Barnes),3,16-9,,
5:16.0,,,16-9,,G. Henderson misses 2-pt shot from 2 ft
5:15.0,,,16-9,,Offensive rebound by G. Henderson
5:14.0,,,16-9,,Shooting foul by S. Livingston (drawn by M. Plumlee)
5:14.0,,,16-9,,M. Plumlee misses free throw 1 of 2
5:14.0,,,16-9,,Offensive rebound by Team
5:14.0,L. Barbosa enters the game for S. Livingston,,16-9,,
5:14.0,,,16-10,1,M. Plumlee makes free throw 2 of 2
5:03.0,D. Green misses 3-pt shot from 24 ft,,16-10,,
