time,Detroit,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. B. Lopez (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. B. Lopez (R. Jackson gains possession)
11:46.0,E. Ilyasova misses 3-pt shot from 25 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by D. Sloan
11:32.0,Personal foul by A. Drummond (drawn by B. Lopez),,0-0,,
11:22.0,,,0-2,2,B. Lopez makes 2-pt shot from 16 ft (assist by D. Sloan)
10:58.0,M. Morris misses 2-pt shot from 21 ft,,0-2,,
10:57.0,Offensive rebound by E. Ilyasova,,0-2,,
10:49.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by M. Morris),2,2-2,,
10:31.0,,,2-2,,T. Young misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by A. Drummond,,2-2,,
10:21.0,M. Morris misses 2-pt shot from 3 ft,,2-2,,
10:20.0,Offensive rebound by A. Drummond,,2-2,,
10:19.0,A. Drummond makes 2-pt shot at rim,2,4-2,,
9:56.0,,,4-4,2,B. Lopez makes 2-pt shot from 15 ft
9:43.0,K. Caldwell-Pope makes 2-pt shot from 13 ft (assist by R. Jackson),2,6-4,,
9:23.0,,,6-7,3,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan)
9:06.0,A. Drummond misses 2-pt shot from 7 ft,,6-7,,
9:05.0,,,6-7,,Defensive rebound by D. Sloan
8:55.0,,,6-7,,B. Lopez misses 2-pt shot from 3 ft
8:54.0,Defensive rebound by M. Morris,,6-7,,
8:51.0,Shooting foul by T. Young (drawn by E. Ilyasova),,6-7,,
8:51.0,E. Ilyasova makes free throw 1 of 2,1,7-7,,
8:51.0,E. Ilyasova makes free throw 2 of 2,1,8-7,,
8:38.0,,,8-7,,W. Ellington misses 2-pt shot from 4 ft
8:37.0,Defensive rebound by A. Drummond,,8-7,,
8:27.0,Turnover by A. Drummond (traveling),,8-7,,
8:16.0,,,8-7,,Turnover by D. Sloan (bad pass; steal by E. Ilyasova)
8:10.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,8-7,,
8:09.0,Offensive rebound by M. Morris,,8-7,,
8:08.0,M. Morris makes 2-pt shot at rim,2,10-7,,
7:57.0,Personal foul by M. Morris (drawn by J. Johnson),,10-7,,
