time,San Antonio,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Marjanovic vs. Z. Pachulia (J. Anderson gains possession),,,,Jump ball: B. Marjanovic vs. Z. Pachulia (J. Anderson gains possession)
11:44.0,,,0-0,,D. Williams misses 2-pt shot from 20 ft
11:41.0,,,0-0,,Offensive rebound by Z. Pachulia
11:38.0,,,0-0,,Turnover by Z. Pachulia (lost ball; steal by D. Green)
11:35.0,D. Green makes 2-pt shot at rim,2,2-0,,
11:26.0,,,2-0,,D. Nowitzki misses 3-pt shot from 23 ft
11:25.0,Defensive rebound by B. Marjanovic,,2-0,,
11:11.0,B. Marjanovic makes 2-pt shot from 9 ft (assist by K. Anderson),2,4-0,,
10:50.0,,,4-3,3,W. Matthews makes 3-pt shot from 24 ft (assist by J. Anderson)
10:34.0,D. Green misses 2-pt shot from 22 ft,,4-3,,
10:33.0,,,4-3,,Defensive rebound by Z. Pachulia
10:33.0,Loose ball foul by B. Marjanovic,,4-3,,
10:12.0,,,4-6,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by Z. Pachulia)
9:52.0,A. Miller makes 2-pt shot from 13 ft,2,6-6,,
9:35.0,,,6-6,,Turnover by D. Williams (lost ball; steal by K. Anderson)
9:18.0,K. Anderson misses 2-pt shot from 9 ft,,6-6,,
9:17.0,,,6-6,,Defensive rebound by J. Anderson
8:53.0,,,6-6,,D. Nowitzki misses 2-pt shot from 20 ft
8:52.0,Defensive rebound by A. Miller,,6-6,,
8:37.0,M. Bonner misses 3-pt shot from 24 ft,,6-6,,
8:36.0,,,6-6,,Defensive rebound by Z. Pachulia
8:26.0,,,6-8,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
8:02.0,D. Green makes 3-pt shot from 25 ft (assist by A. Miller),3,9-8,,
7:44.0,,,9-8,,Turnover by D. Williams (lost ball; steal by K. Anderson)
7:34.0,D. Green misses 3-pt shot from 25 ft,,9-8,,
7:33.0,,,9-8,,Defensive rebound by Z. Pachulia
7:15.0,,,9-8,,D. Nowitzki misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by B. Marjanovic,,9-8,,
7:00.0,B. Marjanovic makes 2-pt shot at rim (assist by D. Green),2,11-8,,
6:35.0,,,11-8,,D. Nowitzki misses 2-pt shot from 13 ft
6:34.0,,,11-8,,Offensive rebound by Z. Pachulia
6:31.0,,,11-8,,D. Williams misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by B. Marjanovic,,11-8,,
6:16.0,A. Miller misses 2-pt shot from 10 ft,,11-8,,
6:16.0,,,11-8,,Defensive rebound by Z. Pachulia
6:06.0,,,11-8,,W. Matthews misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by A. Miller,,11-8,,
6:02.0,D. Green makes 2-pt shot at rim (assist by A. Miller),2,13-8,,
6:00.0,,,13-8,,Dallas full timeout
6:00.0,,,13-8,,R. Felton enters the game for D. Nowitzki
6:00.0,,,13-8,,D. Lee enters the game for J. Anderson
6:00.0,K. Martin enters the game for K. Anderson,,13-8,,
6:00.0,J. Simmons enters the game for D. Green,,13-8,,
5:47.0,,,13-10,2,D. Williams makes 2-pt shot from 15 ft (assist by Z. Pachulia)
5:24.0,B. Marjanovic makes 2-pt shot at rim (assist by J. Simmons),2,15-10,,
5:00.0,,,15-10,,D. Williams misses 2-pt shot from 18 ft
4:59.0,,,15-10,,Offensive rebound by Z. Pachulia
