time,LA Lakers,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Hibbert (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Hibbert (R. Jackson gains possession)
11:45.0,,,0-0,,K. Caldwell-Pope misses 2-pt shot from 8 ft
11:44.0,,,0-0,,Offensive rebound by A. Drummond
11:41.0,,,0-2,2,A. Drummond makes 2-pt shot from 1 ft
11:26.0,K. Bryant misses 3-pt shot from 25 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by A. Drummond
11:18.0,,,0-5,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson)
11:01.0,J. Clarkson misses 2-pt shot from 16 ft,,0-5,,
11:00.0,,,0-5,,Defensive rebound by A. Drummond
10:53.0,,,0-7,2,R. Jackson makes 2-pt shot from 1 ft
10:34.0,J. Randle misses 2-pt shot from 6 ft,,0-7,,
10:33.0,,,0-7,,Defensive rebound by A. Drummond
10:24.0,,,0-9,2,E. Ilyasova makes 2-pt shot from 17 ft
10:08.0,K. Bryant misses 2-pt shot from 16 ft,,0-9,,
10:08.0,,,0-9,,Defensive rebound by R. Jackson
10:03.0,,,0-9,,Turnover by E. Ilyasova (step out of bounds)
9:54.0,Turnover by D. Russell (bad pass; steal by K. Caldwell-Pope),,0-9,,
9:50.0,,,0-11,2,K. Caldwell-Pope makes 2-pt shot at rim
9:42.0,LA Lakers full timeout,,0-11,,
9:33.0,Turnover by J. Clarkson (lost ball; steal by R. Jackson),,0-11,,
9:27.0,,,0-11,,R. Jackson misses 2-pt shot at rim
9:27.0,,,0-11,,Offensive rebound by K. Caldwell-Pope
9:24.0,,,0-13,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
9:10.0,K. Bryant misses 3-pt shot from 22 ft,,0-13,,
9:09.0,Offensive rebound by J. Randle,,0-13,,
9:03.0,Turnover by K. Bryant (lost ball; steal by R. Jackson),,0-13,,
9:00.0,,,0-13,,Shooting foul by J. Randle (drawn by R. Jackson)
9:00.0,,,0-14,1,R. Jackson makes free throw 1 of 2
9:00.0,,,0-15,1,R. Jackson makes free throw 2 of 2
8:41.0,Shooting foul by A. Drummond (drawn by D. Russell),,0-15,,
8:41.0,D. Russell makes free throw 1 of 2,1,1-15,,
8:41.0,D. Russell makes free throw 2 of 2,1,2-15,,
8:21.0,,,2-15,,A. Drummond misses 2-pt shot at rim (block by R. Hibbert)
8:20.0,Defensive rebound by J. Randle,,2-15,,
8:16.0,Turnover by R. Hibbert (lost ball),,2-15,,
8:10.0,,,2-15,,Turnover by M. Morris (offensive foul)
8:10.0,,,2-15,,Offensive foul by M. Morris
7:53.0,R. Hibbert misses 2-pt shot from 3 ft,,2-15,,
7:52.0,Offensive rebound by R. Hibbert,,2-15,,
7:51.0,R. Hibbert makes 2-pt shot at rim,2,4-15,,
7:36.0,,,4-15,,M. Morris misses 2-pt shot from 17 ft
7:35.0,Defensive rebound by Team,,4-15,,
7:17.0,Shooting foul by E. Ilyasova (drawn by R. Hibbert),,4-15,,
7:17.0,R. Hibbert makes free throw 1 of 2,1,5-15,,
7:17.0,R. Hibbert makes free throw 2 of 2,1,6-15,,
7:02.0,,,6-15,,M. Morris misses 2-pt shot from 18 ft
7:02.0,,,6-15,,Offensive rebound by A. Drummond
6:58.0,,,6-15,,A. Drummond misses 2-pt shot from 4 ft
6:57.0,Defensive rebound by D. Russell,,6-15,,
6:52.0,D. Russell makes 2-pt shot at rim,2,8-15,,
6:46.0,,,8-15,,Detroit full timeout
6:40.0,,,8-15,,R. Jackson misses 2-pt shot from 8 ft
6:40.0,,,8-15,,Offensive rebound by Team
6:37.0,,,8-15,,Offensive foul by E. Ilyasova
6:37.0,,,8-15,,Turnover by E. Ilyasova (offensive foul)
6:37.0,,,8-15,,A. Tolliver enters the game for E. Ilyasova
6:25.0,K. Bryant misses 2-pt shot from 13 ft,,8-15,,
