time,New York,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas (L. Scola gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (L. Scola gains possession)
11:44.0,,,0-2,2,D. DeRozan makes 2-pt shot from 1 ft (assist by L. Scola)
11:29.0,J. Calderon makes 3-pt shot from 25 ft (assist by R. Lopez),3,3-2,,
11:08.0,,,3-2,,Shooting foul by R. Lopez (drawn by J. Valanciunas)
11:08.0,,,3-3,1,J. Valanciunas makes free throw 1 of 2
11:08.0,,,3-4,1,J. Valanciunas makes free throw 2 of 2
10:51.0,S. Vujacic makes 2-pt shot from 14 ft,2,5-4,,
10:42.0,Personal foul by S. Vujacic (drawn by L. Scola),,5-4,,
10:36.0,,,5-4,,J. Valanciunas misses 2-pt shot from 8 ft
10:36.0,Defensive rebound by K. Porzingis,,5-4,,
10:25.0,R. Lopez misses 2-pt shot from 15 ft,,5-4,,
10:24.0,Offensive rebound by R. Lopez,,5-4,,
10:21.0,R. Lopez makes 2-pt shot from 1 ft,2,7-4,,
10:02.0,,,7-4,,D. DeRozan misses 2-pt shot from 20 ft
10:02.0,Defensive rebound by C. Anthony,,7-4,,
9:45.0,K. Porzingis misses 2-pt shot from 4 ft,,7-4,,
9:44.0,Offensive rebound by K. Porzingis,,7-4,,
9:43.0,K. Porzingis misses 2-pt shot from 15 ft (block by K. Lowry),,7-4,,
9:43.0,,,7-4,,Defensive rebound by K. Lowry
9:43.0,,,7-4,,Turnover by K. Lowry (step out of bounds)
9:38.0,K. Porzingis misses 2-pt shot from 19 ft,,7-4,,
9:37.0,Offensive rebound by Team,,7-4,,
9:32.0,S. Vujacic makes 2-pt shot from 18 ft (assist by C. Anthony),2,9-4,,
9:17.0,,,9-4,,Turnover by J. Johnson (lost ball; steal by C. Anthony)
8:59.0,J. Calderon misses 2-pt shot from 12 ft,,9-4,,
8:58.0,,,9-4,,Defensive rebound by L. Scola
8:51.0,,,9-6,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
8:32.0,C. Anthony makes 2-pt shot from 14 ft,2,11-6,,
8:18.0,,,11-6,,L. Scola misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by K. Porzingis,,11-6,,
8:07.0,C. Anthony misses 3-pt shot from 23 ft,,11-6,,
8:06.0,,,11-6,,Defensive rebound by L. Scola
7:57.0,,,11-6,,K. Lowry misses 2-pt shot from 17 ft
7:57.0,Defensive rebound by J. Calderon,,11-6,,
7:47.0,K. Porzingis misses 2-pt shot from 8 ft,,11-6,,
7:45.0,Offensive rebound by K. Porzingis,,11-6,,
7:44.0,Turnover by K. Porzingis (bad pass),,11-6,,
7:34.0,,,11-6,,Turnover by J. Valanciunas (3 sec)
7:10.0,K. Porzingis misses 3-pt shot from 26 ft,,11-6,,
7:10.0,,,11-6,,Defensive rebound by K. Lowry
6:58.0,,,11-6,,L. Scola misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by C. Anthony,,11-6,,
6:45.0,R. Lopez makes 2-pt shot from 5 ft (assist by K. Porzingis),2,13-6,,
6:38.0,,,13-6,,Toronto full timeout
6:28.0,,,13-8,2,D. DeRozan makes 2-pt shot from 16 ft (assist by K. Lowry)
6:08.0,S. Vujacic misses 3-pt shot from 22 ft,,13-8,,
6:08.0,Offensive rebound by Team,,13-8,,
6:08.0,,,13-8,,Loose ball foul by J. Johnson (drawn by R. Lopez)
5:52.0,Shooting foul by J. Valanciunas (drawn by K. Porzingis),,13-8,,
5:52.0,K. Porzingis makes free throw 1 of 2,1,14-8,,
5:52.0,K. Porzingis makes free throw 2 of 2,1,15-8,,
5:42.0,,,15-8,,K. Lowry misses 3-pt shot from 25 ft
5:41.0,,,15-8,,Offensive rebound by L. Scola
5:38.0,,,15-8,,Shooting foul by K. Porzingis (drawn by L. Scola)
5:38.0,,,15-9,1,L. Scola makes free throw 1 of 2
5:38.0,,,15-10,1,L. Scola makes free throw 2 of 2
5:17.0,C. Anthony misses 2-pt shot from 19 ft,,15-10,,
5:17.0,Offensive rebound by S. Vujacic,,15-10,,
5:09.0,J. Calderon misses 3-pt shot from 24 ft,,15-10,,
5:09.0,Offensive rebound by R. Lopez,,15-10,,
5:06.0,R. Lopez misses 2-pt shot from 1 ft,,15-10,,
5:05.0,,,15-10,,Defensive rebound by L. Scola
4:56.0,,,15-10,,K. Lowry misses 2-pt shot from 10 ft
4:54.0,,,15-10,,Offensive rebound by J. Valanciunas
4:51.0,Personal foul by S. Vujacic (drawn by J. Valanciunas),,15-10,,
4:51.0,,,15-10,,P. Patterson enters the game for L. Scola
4:51.0,L. Thomas enters the game for K. Porzingis,,15-10,,
4:42.0,,,15-10,,Shooting foul by C. Anthony (drawn by J. Johnson)
4:42.0,,,15-10,,J. Johnson misses free throw 1 of 2
4:42.0,,,15-10,,Offensive rebound by Team
4:42.0,,,15-10,,J. Johnson misses free throw 2 of 2
4:41.0,,,15-10,,Offensive rebound by Team
4:41.0,L. Galloway enters the game for S. Vujacic,,15-10,,
4:38.0,,,15-10,,D. DeRozan misses 2-pt shot from 14 ft
4:37.0,Defensive rebound by C. Anthony,,15-10,,
4:24.0,L. Thomas misses 2-pt shot from 4 ft,,15-10,,
4:23.0,,,15-10,,Defensive rebound by J. Valanciunas
4:17.0,,,15-12,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
3:57.0,L. Thomas misses 2-pt shot from 18 ft,,15-12,,
3:56.0,Offensive rebound by R. Lopez,,15-12,,
3:52.0,R. Lopez makes 2-pt shot at rim,2,17-12,,
3:39.0,,,17-14,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
3:33.0,New York full timeout,,17-14,,
3:33.0,,,17-14,,B. Biyombo enters the game for J. Valanciunas
3:33.0,K. O'Quinn enters the game for R. Lopez,,17-14,,
3:33.0,J. Grant enters the game for J. Calderon,,17-14,,
3:26.0,K. O'Quinn misses 2-pt shot at rim,,17-14,,
3:20.0,,,17-14,,Defensive rebound by D. DeRozan
3:11.0,,,17-16,2,D. DeRozan makes 2-pt shot at rim
2:53.0,L. Galloway makes 2-pt shot from 16 ft (assist by C. Anthony),2,19-16,,
2:25.0,,,19-16,,Turnover by Team (shot clock)
2:25.0,D. Williams enters the game for C. Anthony,,19-16,,
2:02.0,J. Grant misses 3-pt shot from 26 ft,,19-16,,
2:01.0,,,19-16,,Defensive rebound by P. Patterson
1:58.0,Personal foul by L. Galloway (drawn by K. Lowry),,19-16,,
1:58.0,,,19-17,1,K. Lowry makes free throw 1 of 2
1:58.0,,,19-17,,A. Bennett enters the game for J. Johnson
1:58.0,,,19-17,,K. Lowry misses free throw 2 of 2
1:57.0,Defensive rebound by K. O'Quinn,,19-17,,
1:41.0,D. Williams misses 3-pt shot from 25 ft,,19-17,,
1:41.0,,,19-17,,Defensive rebound by Team
1:41.0,,,19-17,,C. Joseph enters the game for K. Lowry
1:17.0,,,19-17,,C. Joseph misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by L. Thomas,,19-17,,
1:05.0,L. Thomas makes 3-pt shot from 27 ft (assist by D. Williams),3,22-17,,
0:54.0,,,22-17,,C. Joseph misses 2-pt shot from 4 ft
0:54.0,Defensive rebound by K. O'Quinn,,22-17,,
0:35.0,K. O'Quinn misses 2-pt shot from 11 ft,,22-17,,
0:35.0,,,22-17,,Defensive rebound by P. Patterson
0:16.0,,,22-17,,Turnover by P. Patterson (bad pass; steal by D. Williams)
0:12.0,Shooting foul by P. Patterson (drawn by D. Williams),,22-17,,
0:12.0,D. Williams makes free throw 1 of 2,1,23-17,,
0:12.0,D. Williams makes free throw 2 of 2,1,24-17,,
0:01.0,,,24-17,,D. DeRozan misses 2-pt shot from 11 ft
0:00.0,,,24-17,,Offensive rebound by A. Bennett
0:00.0,,,24-17,,A. Bennett misses 2-pt shot from 2 ft
0:00.0,,,24-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,24-17,,Personal foul by B. Biyombo (drawn by J. Grant)
11:31.0,K. O'Quinn misses 2-pt shot from 3 ft (block by B. Biyombo),,24-17,,
11:31.0,,,24-17,,Defensive rebound by K. Lowry
11:27.0,,,24-19,2,K. Lowry makes 2-pt shot from 1 ft (assist by B. Biyombo)
11:09.0,D. Williams misses 2-pt shot from 13 ft,,24-19,,
11:08.0,,,24-19,,Defensive rebound by P. Patterson
11:03.0,,,24-19,,Shooting foul by J. Grant (drawn by K. Lowry)
11:03.0,,,24-20,1,K. Lowry makes free throw 1 of 2
11:03.0,J. Calderon enters the game for J. Grant,,24-20,,
11:03.0,K. Seraphin enters the game for K. O'Quinn,,24-20,,
11:03.0,,,24-21,1,K. Lowry makes free throw 2 of 2
10:48.0,L. Galloway misses 2-pt shot from 21 ft,,24-21,,
10:48.0,,,24-21,,Defensive rebound by C. Joseph
10:40.0,,,24-21,,P. Patterson misses 3-pt shot from 23 ft
10:39.0,,,24-21,,Offensive rebound by B. Biyombo
10:36.0,,,24-23,2,B. Biyombo makes 2-pt shot at rim
10:25.0,L. Thomas makes 3-pt shot from 26 ft (assist by D. Williams),3,27-23,,
10:14.0,,,27-23,,Shooting foul by J. Calderon (drawn by A. Bennett)
10:14.0,,,27-24,1,A. Bennett makes free throw 1 of 2
10:14.0,,,27-24,,A. Bennett misses free throw 2 of 2
10:12.0,Defensive rebound by D. Williams,,27-24,,
9:59.0,K. Seraphin makes 2-pt shot from 10 ft,2,29-24,,
9:49.0,,,29-27,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Joseph)
9:49.0,,,29-27,,Shooting foul by J. Calderon (drawn by K. Lowry)
9:49.0,J. Grant enters the game for J. Calderon,,29-27,,
9:49.0,,,29-28,1,K. Lowry makes free throw 1 of 1
9:35.0,Turnover by K. Seraphin (bad pass; steal by K. Lowry),,29-28,,
9:23.0,,,29-30,2,K. Lowry makes 2-pt shot from 2 ft (assist by B. Biyombo)
9:09.0,Turnover by J. Grant (lost ball; steal by K. Lowry),,29-30,,
9:00.0,,,29-32,2,P. Patterson makes 2-pt shot from 7 ft (assist by C. Joseph)
8:42.0,D. Williams makes 3-pt shot from 23 ft (assist by L. Galloway),3,32-32,,
8:20.0,,,32-32,,K. Lowry misses 2-pt shot from 15 ft
8:19.0,,,32-32,,Offensive rebound by C. Joseph
8:14.0,,,32-32,,K. Lowry misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by D. Williams,,32-32,,
8:13.0,,,32-32,,Personal foul by B. Biyombo (drawn by D. Williams)
8:13.0,Official timeout,,32-32,,
8:13.0,,,32-32,,J. Valanciunas enters the game for B. Biyombo
8:13.0,L. Amundson enters the game for L. Thomas,,32-32,,
7:50.0,Turnover by K. Seraphin (lost ball; steal by K. Lowry),,32-32,,
7:42.0,,,32-32,,A. Bennett misses 3-pt shot from 27 ft
7:42.0,,,32-32,,Offensive rebound by C. Joseph
7:25.0,,,32-34,2,J. Valanciunas makes 2-pt shot from 7 ft (assist by K. Lowry)
7:13.0,K. Seraphin misses 2-pt shot from 20 ft,,32-34,,
7:12.0,,,32-34,,Defensive rebound by A. Bennett
7:02.0,,,32-34,,C. Joseph misses 2-pt shot from 4 ft (block by K. Seraphin)
7:00.0,Defensive rebound by J. Grant,,32-34,,
6:54.0,L. Galloway makes 3-pt shot from 26 ft (assist by D. Williams),3,35-34,,
6:40.0,R. Lopez enters the game for D. Williams,,35-34,,
6:40.0,C. Anthony enters the game for K. Seraphin,,35-34,,
6:40.0,,,35-34,,D. DeRozan enters the game for K. Lowry
6:40.0,Jump ball: L. Amundson vs. J. Valanciunas (L. Galloway gains possession),,,,Jump ball: L. Amundson vs. J. Valanciunas (L. Galloway gains possession)
6:40.0,,,35-34,,Turnover by J. Valanciunas (lost ball; steal by L. Amundson)
6:33.0,L. Galloway makes 2-pt shot at rim,2,37-34,,
6:16.0,,,37-36,2,C. Joseph makes 2-pt shot from 5 ft
6:16.0,Shooting block foul by L. Amundson (drawn by C. Joseph),,37-36,,
6:16.0,,,37-36,,L. Scola enters the game for P. Patterson
6:16.0,,,37-37,1,C. Joseph makes free throw 1 of 1
6:02.0,Turnover by L. Galloway (lost ball; steal by D. DeRozan),,37-37,,
5:58.0,,,37-39,2,D. DeRozan makes 2-pt shot from 2 ft
5:58.0,,,37-39,,Shooting foul by J. Grant (drawn by D. DeRozan)
5:58.0,,,37-39,,Toronto full timeout
5:58.0,K. Porzingis enters the game for L. Galloway,,37-39,,
5:58.0,J. Calderon enters the game for J. Grant,,37-39,,
5:58.0,S. Vujacic enters the game for L. Amundson,,37-39,,
5:58.0,,,37-40,1,D. DeRozan makes free throw 1 of 1
