time,New York,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. R. Lopez (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (I. Thomas gains possession)
11:42.0,,,0-0,,A. Bradley misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by R. Lopez,,0-0,,
11:26.0,K. Porzingis misses 2-pt shot from 12 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by A. Johnson
11:19.0,,,0-0,,J. Crowder misses 2-pt shot from 1 ft
11:18.0,Defensive rebound by R. Lopez,,0-0,,
11:00.0,K. Porzingis makes 2-pt shot from 10 ft,2,2-0,,
10:43.0,,,2-0,,A. Bradley misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by R. Lopez,,2-0,,
10:24.0,R. Lopez misses 2-pt shot from 10 ft,,2-0,,
10:23.0,,,2-0,,Defensive rebound by J. Sullinger
10:16.0,,,2-2,2,I. Thomas makes 2-pt shot from 1 ft
10:00.0,Turnover by A. Afflalo (bad pass; steal by I. Thomas),,2-2,,
9:55.0,,,2-4,2,J. Crowder makes 2-pt shot from 2 ft
9:48.0,C. Anthony misses 3-pt shot from 27 ft,,2-4,,
9:47.0,Offensive rebound by K. Porzingis,,2-4,,
9:47.0,K. Porzingis makes 2-pt shot at rim,2,4-4,,
9:32.0,,,4-6,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Johnson)
9:17.0,K. Porzingis makes 2-pt shot from 16 ft,2,6-6,,
9:01.0,,,6-9,3,I. Thomas makes 3-pt shot from 27 ft
8:40.0,C. Anthony misses 2-pt shot from 20 ft,,6-9,,
8:39.0,,,6-9,,Defensive rebound by J. Sullinger
8:36.0,,,6-11,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
8:14.0,R. Lopez makes 2-pt shot from 5 ft (assist by C. Anthony),2,8-11,,
7:59.0,,,8-11,,A. Johnson misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by A. Afflalo,,8-11,,
7:49.0,Shooting foul by I. Thomas (drawn by R. Lopez),,8-11,,
7:49.0,R. Lopez makes free throw 1 of 2,1,9-11,,
7:49.0,R. Lopez misses free throw 2 of 2,,9-11,,
7:49.0,Offensive rebound by K. Porzingis,,9-11,,
7:42.0,C. Anthony makes 3-pt shot from 26 ft (assist by K. Porzingis),3,12-11,,
7:29.0,,,12-11,,Shooting foul by K. Porzingis (drawn by J. Sullinger)
7:29.0,,,12-11,,J. Sullinger misses free throw 1 of 2
7:29.0,,,12-11,,Offensive rebound by Team
7:29.0,,,12-12,1,J. Sullinger makes free throw 2 of 2
7:15.0,K. Porzingis misses 2-pt shot from 17 ft,,12-12,,
7:14.0,,,12-12,,Defensive rebound by J. Crowder
7:05.0,,,12-12,,J. Crowder misses 3-pt shot from 26 ft
7:05.0,,,12-12,,Offensive rebound by A. Johnson
6:58.0,,,12-14,2,A. Bradley makes 2-pt shot from 16 ft (assist by I. Thomas)
6:37.0,C. Anthony misses 2-pt shot from 18 ft,,12-14,,
6:36.0,,,12-14,,Defensive rebound by I. Thomas
6:27.0,,,12-14,,A. Johnson misses 2-pt shot from 5 ft (block by R. Lopez)
6:26.0,Defensive rebound by C. Anthony,,12-14,,
6:13.0,K. Porzingis makes 2-pt shot from 12 ft,2,14-14,,
6:02.0,,,14-14,,Offensive charge foul by J. Sullinger
6:02.0,,,14-14,,Turnover by J. Sullinger (offensive foul)
5:52.0,J. Calderon misses 2-pt shot from 19 ft,,14-14,,
5:51.0,,,14-14,,Defensive rebound by J. Crowder
5:43.0,Personal foul by A. Afflalo (drawn by I. Thomas),,14-14,,
5:43.0,,,14-14,,Boston full timeout
5:43.0,,,14-14,,E. Turner enters the game for A. Johnson
5:43.0,,,14-14,,M. Smart enters the game for A. Bradley
5:43.0,L. Thomas enters the game for K. Porzingis,,14-14,,
5:34.0,Personal foul by J. Calderon (drawn by I. Thomas),,14-14,,
5:25.0,,,14-14,,I. Thomas misses 3-pt shot from 26 ft
5:24.0,,,14-14,,Offensive rebound by J. Sullinger
5:15.0,,,14-14,,M. Smart misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by C. Anthony,,14-14,,
5:06.0,A. Afflalo makes 2-pt shot from 10 ft,2,16-14,,
4:41.0,,,16-14,,E. Turner misses 2-pt shot from 14 ft
4:40.0,Defensive rebound by L. Thomas,,16-14,,
4:30.0,C. Anthony misses 2-pt shot from 16 ft,,16-14,,
4:29.0,,,16-14,,Defensive rebound by J. Sullinger
4:23.0,,,16-14,,I. Thomas misses 2-pt shot from 2 ft
4:21.0,,,16-14,,Offensive rebound by J. Crowder
4:15.0,,,16-14,,Shooting foul by L. Thomas (drawn by I. Thomas)
4:15.0,,,16-15,1,I. Thomas makes free throw 1 of 2
4:15.0,L. Galloway enters the game for A. Afflalo,,16-15,,
4:15.0,,,16-15,,T. Zeller enters the game for J. Sullinger
4:15.0,,,16-16,1,I. Thomas makes free throw 2 of 2
4:00.0,J. Calderon makes 3-pt shot from 25 ft (assist by L. Galloway),3,19-16,,
3:43.0,,,19-18,2,E. Turner makes 2-pt shot at rim (assist by J. Crowder)
3:23.0,C. Anthony misses 2-pt shot from 12 ft,,19-18,,
3:22.0,,,19-18,,Defensive rebound by I. Thomas
3:18.0,,,19-20,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
3:13.0,New York full timeout,,19-20,,
3:13.0,K. O'Quinn enters the game for R. Lopez,,19-20,,
2:59.0,C. Anthony makes 2-pt shot from 19 ft,2,21-20,,
2:59.0,Shooting foul by J. Crowder (drawn by C. Anthony),,21-20,,
2:59.0,C. Anthony makes free throw 1 of 1,1,22-20,,
2:41.0,,,22-22,2,E. Turner makes 2-pt shot from 12 ft
2:22.0,L. Thomas misses 2-pt shot from 3 ft,,22-22,,
2:21.0,,,22-22,,Defensive rebound by T. Zeller
2:09.0,,,22-22,,T. Zeller misses 2-pt shot from 5 ft
2:07.0,Defensive rebound by K. O'Quinn,,22-22,,
1:55.0,C. Anthony makes 2-pt shot from 12 ft (assist by K. O'Quinn),2,24-22,,
1:38.0,,,24-22,,Turnover by T. Zeller (bad pass; steal by K. O'Quinn)
1:30.0,C. Anthony misses 3-pt shot from 26 ft,,24-22,,
1:29.0,,,24-22,,Defensive rebound by M. Smart
1:21.0,,,24-24,2,J. Crowder makes 2-pt shot from 18 ft (assist by M. Smart)
1:02.0,K. O'Quinn makes 2-pt shot from 9 ft,2,26-24,,
0:53.0,,,26-24,,Shooting foul by K. O'Quinn (drawn by I. Thomas)
0:53.0,,,26-24,,I. Thomas misses free throw 1 of 2
0:53.0,,,26-24,,Offensive rebound by Team
0:53.0,,,26-24,,J. Jerebko enters the game for J. Crowder
0:53.0,,,26-25,1,I. Thomas makes free throw 2 of 2
0:39.0,L. Galloway misses 2-pt shot from 1 ft,,26-25,,
0:38.0,Offensive rebound by L. Galloway,,26-25,,
0:31.0,C. Anthony makes 2-pt shot from 13 ft (assist by J. Calderon),2,28-25,,
0:24.0,,,28-25,,Shooting foul by K. O'Quinn (drawn by T. Zeller)
0:24.0,,,28-26,1,T. Zeller makes free throw 1 of 2
0:24.0,K. Porzingis enters the game for K. O'Quinn,,28-26,,
0:24.0,,,28-27,1,T. Zeller makes free throw 2 of 2
0:03.0,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis),3,31-27,,
0:00.0,,,31-27,,M. Smart misses 3-pt shot from 30 ft
0:00.0,,,31-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,D. Williams misses 2-pt shot from 19 ft,,31-27,,
11:38.0,,,31-27,,Defensive rebound by A. Bradley
11:27.0,,,31-27,,T. Zeller misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by D. Williams,,31-27,,
11:15.0,K. Porzingis misses 2-pt shot from 8 ft,,31-27,,
11:14.0,,,31-27,,Defensive rebound by J. Jerebko
11:06.0,,,31-29,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
10:42.0,D. Williams misses 2-pt shot from 14 ft (block by J. Jerebko),,31-29,,
10:41.0,,,31-29,,Defensive rebound by E. Turner
10:37.0,,,31-29,,Turnover by E. Turner (bad pass; steal by J. Grant)
10:32.0,J. Grant makes 2-pt shot at rim (assist by D. Williams),2,33-29,,
10:22.0,,,33-29,,Turnover by J. Jerebko (traveling)
10:04.0,Shooting foul by T. Zeller (drawn by K. Porzingis),,33-29,,
10:04.0,K. Porzingis misses free throw 1 of 2,,33-29,,
10:04.0,Offensive rebound by Team,,33-29,,
10:04.0,K. Porzingis misses free throw 2 of 2,,33-29,,
10:04.0,,,33-29,,Defensive rebound by E. Turner
9:52.0,,,33-29,,E. Turner misses 2-pt shot from 10 ft
9:51.0,,,33-29,,Offensive rebound by Team
9:51.0,Personal foul by L. Thomas (drawn by T. Zeller),,33-29,,
9:51.0,A. Afflalo enters the game for L. Galloway,,33-29,,
9:45.0,,,33-29,,Shooting foul by D. Williams (drawn by M. Smart)
9:45.0,,,33-30,1,M. Smart makes free throw 1 of 2
9:45.0,R. Lopez enters the game for D. Williams,,33-30,,
9:45.0,,,33-31,1,M. Smart makes free throw 2 of 2
9:30.0,Turnover by J. Grant (bad pass; steal by A. Bradley),,33-31,,
9:22.0,,,33-31,,M. Smart misses 3-pt shot from 27 ft
9:22.0,Defensive rebound by K. Porzingis,,33-31,,
9:10.0,L. Thomas misses 3-pt shot from 23 ft,,33-31,,
9:09.0,,,33-31,,Defensive rebound by Team
8:56.0,,,33-31,,T. Zeller misses 2-pt shot from 4 ft
8:55.0,Defensive rebound by K. Porzingis,,33-31,,
8:46.0,Turnover by J. Grant (bad pass; steal by A. Bradley),,33-31,,
8:42.0,,,33-33,2,E. Turner makes 2-pt shot from 1 ft (assist by J. Jerebko)
8:33.0,New York full timeout,,33-33,,
8:33.0,,,33-33,,A. Johnson enters the game for T. Zeller
8:33.0,J. Calderon enters the game for L. Thomas,,33-33,,
8:33.0,C. Anthony enters the game for J. Grant,,33-33,,
8:21.0,K. Porzingis makes 2-pt shot from 3 ft,2,35-33,,
8:02.0,,,35-33,,J. Jerebko misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by R. Lopez,,35-33,,
7:51.0,Shooting foul by A. Johnson (drawn by R. Lopez),,35-33,,
7:51.0,R. Lopez makes free throw 1 of 2,1,36-33,,
7:51.0,R. Lopez makes free throw 2 of 2,1,37-33,,
7:38.0,,,37-33,,A. Bradley misses 2-pt shot from 12 ft
7:37.0,,,37-33,,Offensive rebound by J. Jerebko
7:21.0,,,37-33,,A. Bradley misses 2-pt shot from 2 ft (block by R. Lopez)
7:19.0,Defensive rebound by J. Calderon,,37-33,,
7:05.0,,,37-33,,J. Sullinger enters the game for J. Jerebko
7:00.0,K. Porzingis misses 3-pt shot from 25 ft,,37-33,,
6:59.0,Offensive rebound by C. Anthony,,37-33,,
6:51.0,C. Anthony misses 2-pt shot from 10 ft,,37-33,,
6:50.0,,,37-33,,Defensive rebound by M. Smart
6:41.0,,,37-35,2,J. Sullinger makes 2-pt shot from 13 ft (assist by M. Smart)
6:30.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Calderon),2,39-35,,
6:30.0,Shooting foul by J. Sullinger (drawn by R. Lopez),,39-35,,
6:30.0,,,39-35,,J. Crowder enters the game for E. Turner
6:30.0,R. Lopez makes free throw 1 of 1,1,40-35,,
6:09.0,,,40-35,,J. Sullinger misses 2-pt shot from 14 ft
6:08.0,Defensive rebound by R. Lopez,,40-35,,
5:48.0,Turnover by R. Lopez (3 sec),,40-35,,
5:48.0,Official timeout,,40-35,,
5:48.0,,,40-35,,I. Thomas enters the game for M. Smart
5:48.0,L. Thomas enters the game for K. Porzingis,,40-35,,
5:37.0,,,40-35,,Shooting foul by J. Calderon (drawn by I. Thomas)
5:37.0,Technical foul by J. Calderon (drawn by I. Thomas),,40-35,,
5:37.0,,,40-36,1,I. Thomas makes technical free throw
5:37.0,,,40-37,1,I. Thomas makes free throw 1 of 2
5:37.0,,,40-38,1,I. Thomas makes free throw 2 of 2
5:20.0,R. Lopez misses 2-pt shot from 8 ft,,40-38,,
5:19.0,,,40-38,,Defensive rebound by J. Sullinger
5:08.0,,,40-38,,J. Crowder misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by J. Calderon,,40-38,,
4:58.0,J. Calderon makes 2-pt shot from 17 ft,2,42-38,,
4:31.0,,,42-38,,I. Thomas misses 3-pt shot from 26 ft
4:30.0,,,42-38,,Offensive rebound by Team
4:30.0,,,42-38,,Turnover by Team (shot clock)
4:05.0,J. Calderon makes 3-pt shot from 27 ft (assist by C. Anthony),3,45-38,,
3:56.0,,,45-38,,J. Crowder misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by J. Calderon,,45-38,,
3:39.0,L. Thomas makes 2-pt shot from 2 ft (assist by J. Calderon),2,47-38,,
3:39.0,,,47-38,,Boston full timeout
3:39.0,,,47-38,,E. Turner enters the game for A. Johnson
3:39.0,,,47-38,,M. Smart enters the game for A. Bradley
3:27.0,,,47-38,,J. Crowder misses 2-pt shot from 1 ft
3:26.0,,,47-38,,Offensive rebound by J. Sullinger
3:25.0,,,47-40,2,J. Sullinger makes 2-pt shot from 1 ft
3:06.0,A. Afflalo makes 3-pt shot from 25 ft,3,50-40,,
2:54.0,,,50-40,,J. Sullinger misses 2-pt shot from 18 ft
2:53.0,,,50-40,,Offensive rebound by J. Crowder
2:50.0,,,50-42,2,J. Crowder makes 2-pt shot from 5 ft
2:28.0,Shooting foul by J. Crowder (drawn by C. Anthony),,50-42,,
2:28.0,C. Anthony makes 2-pt shot from 1 ft,2,52-42,,
2:28.0,L. Galloway enters the game for J. Calderon,,52-42,,
2:28.0,D. Williams enters the game for L. Thomas,,52-42,,
2:28.0,C. Anthony makes free throw 1 of 1,1,53-42,,
2:05.0,,,53-42,,J. Crowder misses 3-pt shot from 23 ft
2:04.0,,,53-42,,Offensive rebound by J. Sullinger
2:03.0,,,53-44,2,J. Sullinger makes 2-pt shot from 4 ft
1:40.0,C. Anthony makes 2-pt shot from 3 ft,2,55-44,,
1:32.0,,,55-46,2,E. Turner makes 2-pt shot from 7 ft (assist by I. Thomas)
1:10.0,R. Lopez misses 2-pt shot from 7 ft,,55-46,,
1:09.0,,,55-46,,Defensive rebound by J. Crowder
1:03.0,,,55-49,3,I. Thomas makes 3-pt shot from 24 ft
0:39.0,D. Williams makes 3-pt shot from 23 ft (assist by A. Afflalo),3,58-49,,
0:35.0,,,58-49,,Shooting foul by R. Lopez (drawn by I. Thomas)
0:35.0,,,58-50,1,I. Thomas makes free throw 1 of 2
