time,Memphis,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. Z. Pachulia (M. Barnes gains possession),,,,Jump ball: M. Gasol vs. Z. Pachulia (M. Barnes gains possession)
11:34.0,M. Conley makes 2-pt shot from 14 ft,2,2-0,,
11:13.0,,,2-0,,D. Nowitzki misses 2-pt shot from 13 ft
11:13.0,Defensive rebound by M. Gasol,,2-0,,
11:02.0,J. Green misses 2-pt shot from 18 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by D. Williams
10:49.0,,,2-0,,D. Nowitzki misses 2-pt shot from 9 ft
10:48.0,Defensive rebound by M. Conley,,2-0,,
10:27.0,M. Conley misses 2-pt shot from 14 ft,,2-0,,
10:26.0,,,2-0,,Defensive rebound by Z. Pachulia
10:08.0,,,2-0,,D. Nowitzki misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by M. Conley,,2-0,,
9:51.0,M. Gasol misses 2-pt shot from 1 ft,,2-0,,
9:50.0,Offensive rebound by M. Gasol,,2-0,,
9:50.0,M. Gasol misses 2-pt shot from 1 ft,,2-0,,
9:49.0,,,2-0,,Defensive rebound by D. Williams
9:45.0,,,2-0,,R. Felton misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by M. Barnes,,2-0,,
9:28.0,M. Gasol makes 2-pt shot from 21 ft (assist by J. Green),2,4-0,,
9:12.0,,,4-0,,Z. Pachulia misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by M. Barnes,,4-0,,
9:00.0,C. Lee misses 3-pt shot from 22 ft,,4-0,,
8:59.0,,,4-0,,Defensive rebound by Z. Pachulia
8:44.0,,,4-0,,Turnover by W. Matthews (lost ball; steal by M. Barnes)
8:43.0,,,4-0,,Personal take foul by D. Nowitzki (drawn by M. Barnes)
8:31.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,6-0,,
8:08.0,,,6-0,,W. Matthews misses 3-pt shot from 23 ft
8:07.0,,,6-0,,Offensive rebound by Z. Pachulia
8:06.0,,,6-0,,Z. Pachulia misses 2-pt shot from 1 ft
8:05.0,,,6-0,,Offensive rebound by Z. Pachulia
8:05.0,,,6-2,2,Z. Pachulia makes 2-pt shot from 1 ft
8:04.0,,,6-2,,Technical foul by Z. Pachulia
8:04.0,C. Lee makes technical free throw,1,7-2,,
7:41.0,C. Lee makes 2-pt shot from 20 ft,2,9-2,,
7:22.0,,,9-2,,D. Williams misses 3-pt shot from 24 ft
7:21.0,,,9-2,,Offensive rebound by Z. Pachulia
7:18.0,,,9-2,,Z. Pachulia misses 2-pt shot from 2 ft
7:17.0,Defensive rebound by J. Green,,9-2,,
7:12.0,C. Lee makes 3-pt shot from 23 ft (assist by J. Green),3,12-2,,
7:11.0,,,12-2,,Dallas full timeout
6:47.0,,,12-2,,Z. Pachulia misses 2-pt shot from 1 ft
6:46.0,,,12-2,,Offensive rebound by Z. Pachulia
6:45.0,,,12-4,2,Z. Pachulia makes 2-pt shot from 1 ft
6:25.0,M. Gasol misses 2-pt shot from 5 ft,,12-4,,
6:24.0,,,12-4,,Defensive rebound by Z. Pachulia
6:14.0,,,12-4,,Shooting foul by M. Conley (drawn by D. Nowitzki)
6:14.0,,,12-5,1,D. Nowitzki makes free throw 1 of 2
6:14.0,,,12-5,,C. Parsons enters the game for R. Felton
6:14.0,,,12-6,1,D. Nowitzki makes free throw 2 of 2
6:02.0,,,12-6,,D. Powell enters the game for D. Nowitzki
6:01.0,Jump ball: M. Gasol vs. W. Matthews (M. Conley gains possession),,,,Jump ball: M. Gasol vs. W. Matthews (M. Conley gains possession)
5:50.0,C. Lee misses 2-pt shot from 19 ft,,12-6,,
5:49.0,,,12-6,,Defensive rebound by Z. Pachulia
5:39.0,,,12-6,,Turnover by D. Williams (bad pass; steal by M. Gasol)
5:36.0,Shooting foul by D. Williams (drawn by M. Barnes),,12-6,,
5:36.0,M. Barnes makes free throw 1 of 2,1,13-6,,
5:36.0,M. Barnes makes free throw 2 of 2,1,14-6,,
5:23.0,Def 3 sec tech foul by M. Gasol,,14-6,,
5:23.0,,,14-7,1,D. Williams makes technical free throw
5:23.0,Z. Randolph enters the game for M. Barnes,,14-7,,
5:15.0,,,14-7,,D. Powell misses 2-pt shot from 18 ft
5:14.0,Defensive rebound by M. Gasol,,14-7,,
4:51.0,M. Conley makes 2-pt shot from 9 ft,2,16-7,,
4:36.0,,,16-9,2,C. Parsons makes 2-pt shot from 20 ft (assist by Z. Pachulia)
4:23.0,Shooting foul by D. Williams (drawn by M. Conley),,16-9,,
4:23.0,M. Conley makes free throw 1 of 2,1,17-9,,
4:23.0,,,17-9,,R. Felton enters the game for D. Williams
4:23.0,J. Green enters the game for M. Gasol,,17-9,,
4:23.0,M. Conley makes free throw 2 of 2,1,18-9,,
4:05.0,,,18-11,2,Z. Pachulia makes 2-pt shot from 11 ft (assist by C. Parsons)
3:53.0,Turnover by J. Green (lost ball; steal by D. Powell),,18-11,,
3:47.0,,,18-14,3,C. Parsons makes 3-pt shot from 24 ft (assist by W. Matthews)
3:38.0,Memphis full timeout,,18-14,,
3:38.0,M. Chalmers enters the game for M. Conley,,18-14,,
3:38.0,Violation by Team (delay of game),,18-14,,
3:26.0,,,18-14,,Def 3 sec tech foul by D. Powell
3:26.0,C. Lee makes technical free throw,1,19-14,,
3:16.0,Z. Randolph makes 2-pt shot from 7 ft,2,21-14,,
2:59.0,,,21-14,,W. Matthews misses 3-pt shot from 23 ft
2:58.0,Defensive rebound by Z. Randolph,,21-14,,
2:40.0,Z. Randolph misses 2-pt shot from 10 ft,,21-14,,
2:40.0,,,21-14,,Defensive rebound by Z. Pachulia
2:40.0,Loose ball foul by J. Green (drawn by Z. Pachulia),,21-14,,
2:32.0,,,21-16,2,C. Parsons makes 2-pt shot at rim (assist by R. Felton)
2:32.0,Shooting block foul by J. Green (drawn by C. Parsons),,21-16,,
2:32.0,,,21-17,1,C. Parsons makes free throw 1 of 1
2:09.0,J. Green misses 2-pt shot from 6 ft,,21-17,,
2:08.0,Offensive rebound by Z. Randolph,,21-17,,
2:08.0,Shooting foul by Z. Pachulia (drawn by Z. Randolph),,21-17,,
2:08.0,Z. Randolph makes free throw 1 of 2,1,22-17,,
2:08.0,,,22-17,,D. Nowitzki enters the game for Z. Pachulia
2:08.0,,,22-17,,J. Barea enters the game for W. Matthews
2:08.0,J. Ennis enters the game for C. Lee,,22-17,,
2:08.0,Z. Randolph misses free throw 2 of 2,,22-17,,
2:07.0,,,22-17,,Defensive rebound by D. Nowitzki
1:57.0,,,22-19,2,R. Felton makes 2-pt shot at rim
1:33.0,Shooting foul by R. Felton (drawn by J. Green),,22-19,,
1:33.0,J. Green makes free throw 1 of 2,1,23-19,,
1:33.0,M. Barnes enters the game for J. Green,,23-19,,
1:33.0,M. Conley enters the game for J. Ennis,,23-19,,
1:33.0,,,23-19,,J. McGee enters the game for D. Powell
1:33.0,J. Green makes free throw 2 of 2,1,24-19,,
1:18.0,,,24-19,,Shooting foul by J. Green (drawn by C. Parsons)
1:18.0,,,24-20,1,C. Parsons makes free throw 1 of 2
1:18.0,,,24-21,1,C. Parsons makes free throw 2 of 2
1:06.0,Z. Randolph misses 2-pt shot from 2 ft (block by J. McGee),,24-21,,
1:04.0,Offensive rebound by Z. Randolph,,24-21,,
1:04.0,,,24-21,,Violation by J. McGee (def goaltending)
1:04.0,Z. Randolph makes 2-pt shot from 3 ft,2,26-21,,
0:53.0,,,26-23,2,J. McGee makes 2-pt shot at rim (assist by R. Felton)
0:39.0,M. Barnes misses 3-pt shot from 24 ft,,26-23,,
0:38.0,,,26-23,,Defensive rebound by J. McGee
0:25.0,,,26-25,2,J. Barea makes 2-pt shot from 7 ft (assist by R. Felton)
0:02.0,M. Chalmers misses 2-pt shot from 10 ft,,26-25,,
0:01.0,Offensive rebound by M. Conley,,26-25,,
0:00.0,M. Conley misses 2-pt shot from 16 ft,,26-25,,
0:00.0,Offensive rebound by Team,,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-25,,Turnover by D. Nowitzki (bad pass; steal by M. Barnes)
11:39.0,Shooting foul by J. Barea (drawn by J. Ennis),,26-25,,
11:39.0,J. Ennis misses free throw 1 of 2,,26-25,,
11:39.0,Offensive rebound by Team,,26-25,,
11:39.0,J. Ennis makes free throw 2 of 2,1,27-25,,
11:25.0,,,27-25,,C. Parsons misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by M. Barnes,,27-25,,
11:05.0,M. Conley misses 2-pt shot from 18 ft,,27-25,,
11:03.0,,,27-25,,Defensive rebound by R. Felton
10:50.0,,,27-27,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by R. Felton)
10:26.0,Z. Randolph misses 2-pt shot from 5 ft (block by J. McGee),,27-27,,
10:25.0,,,27-27,,Defensive rebound by C. Parsons
10:17.0,,,27-27,,J. Barea misses 3-pt shot from 22 ft
10:16.0,Defensive rebound by Z. Randolph,,27-27,,
10:06.0,M. Barnes misses 3-pt shot from 22 ft,,27-27,,
10:05.0,Offensive rebound by Z. Randolph,,27-27,,
10:00.0,Turnover by J. Ennis (lost ball; steal by C. Parsons),,27-27,,
9:59.0,Personal foul by Z. Randolph (drawn by R. Felton),,27-27,,
9:49.0,,,27-27,,Turnover by C. Parsons (lost ball; steal by M. Conley)
9:46.0,Shooting foul by J. Barea (drawn by M. Conley),,27-27,,
9:46.0,,,27-27,,Technical foul by C. Parsons
9:46.0,M. Conley makes technical free throw,1,28-27,,
9:46.0,M. Conley makes free throw 1 of 2,1,29-27,,
9:46.0,M. Gasol enters the game for M. Barnes,,29-27,,
9:46.0,M. Conley makes free throw 2 of 2,1,30-27,,
9:27.0,,,30-27,,R. Felton misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by Z. Randolph,,30-27,,
9:13.0,J. Ennis makes 3-pt shot from 22 ft (assist by M. Chalmers),3,33-27,,
9:12.0,,,33-27,,Dallas full timeout
8:55.0,Personal foul by J. Ennis (drawn by J. McGee),,33-27,,
8:49.0,,,33-29,2,J. McGee makes 2-pt shot at rim (assist by C. Parsons)
8:30.0,M. Gasol makes 2-pt shot at rim,2,35-29,,
8:09.0,,,35-32,3,J. Barea makes 3-pt shot from 24 ft (assist by C. Parsons)
7:54.0,Offensive foul by Z. Randolph,,35-32,,
7:54.0,Turnover by Z. Randolph (offensive foul),,35-32,,
7:39.0,,,35-35,3,R. Felton makes 3-pt shot from 22 ft (assist by C. Parsons)
7:24.0,Z. Randolph misses 2-pt shot from 6 ft,,35-35,,
7:23.0,,,35-35,,Defensive rebound by J. Barea
7:16.0,,,35-35,,Turnover by J. Barea (bad pass)
7:16.0,,,35-35,,D. Powell enters the game for D. Nowitzki
7:16.0,,,35-35,,D. Williams enters the game for R. Felton
7:16.0,,,35-35,,W. Matthews enters the game for C. Parsons
6:56.0,M. Conley misses 2-pt shot from 1 ft,,35-35,,
6:55.0,,,35-35,,Defensive rebound by J. McGee
6:55.0,C. Lee enters the game for M. Chalmers,,35-35,,
6:31.0,,,35-38,3,D. Williams makes 3-pt shot from 25 ft (assist by J. Barea)
6:12.0,J. Ennis misses 2-pt shot from 18 ft,,35-38,,
6:11.0,,,35-38,,Defensive rebound by J. McGee
6:04.0,,,35-40,2,J. Barea makes 2-pt shot from 1 ft (assist by D. Williams)
5:55.0,Memphis full timeout,,35-40,,
5:55.0,,,35-40,,Z. Pachulia enters the game for J. McGee
5:55.0,J. Green enters the game for J. Ennis,,35-40,,
5:43.0,,,35-40,,Personal foul by D. Powell (drawn by M. Gasol)
5:37.0,Shooting foul by D. Powell (drawn by M. Gasol),,35-40,,
5:37.0,M. Gasol makes free throw 1 of 2,1,36-40,,
5:37.0,M. Gasol makes free throw 2 of 2,1,37-40,,
5:23.0,,,37-40,,Turnover by D. Williams (bad pass)
5:07.0,M. Gasol misses 2-pt shot from 14 ft,,37-40,,
5:06.0,,,37-40,,Defensive rebound by Z. Pachulia
4:57.0,,,37-40,,Turnover by D. Williams (bad pass)
4:47.0,M. Conley makes 2-pt shot from 19 ft,2,39-40,,
4:36.0,Def 3 sec tech foul by M. Gasol,,39-40,,
4:36.0,,,39-41,1,D. Williams makes technical free throw
4:25.0,,,39-41,,D. Powell misses 2-pt shot from 19 ft
4:24.0,Defensive rebound by Z. Randolph,,39-41,,
4:13.0,Turnover by M. Gasol (3 sec),,39-41,,
3:59.0,Personal foul by C. Lee (drawn by D. Powell),,39-41,,
3:47.0,,,39-41,,D. Williams misses 3-pt shot from 23 ft
3:47.0,,,39-41,,Offensive rebound by D. Powell
3:47.0,Personal foul by Z. Randolph (drawn by D. Powell),,39-41,,
3:47.0,M. Barnes enters the game for Z. Randolph,,39-41,,
