time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gasol (D. Green gains possession),,,,Jump ball: T. Duncan vs. M. Gasol (D. Green gains possession)
11:40.0,,,0-0,,K. Leonard misses 2-pt shot from 16 ft
11:39.0,Defensive rebound by J. Green,,0-0,,
11:25.0,M. Conley misses 2-pt shot from 7 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by T. Duncan
11:05.0,Personal foul by M. Conley (drawn by T. Parker),,0-0,,
11:01.0,,,0-0,,T. Parker misses 2-pt shot from 1 ft (block by M. Conley)
11:00.0,Defensive rebound by M. Conley,,0-0,,
10:53.0,,,0-0,,Personal foul by D. Green (drawn by J. Green)
10:46.0,J. Green misses 2-pt shot from 8 ft,,0-0,,
10:45.0,,,0-0,,Defensive rebound by D. West
10:32.0,,,0-0,,Turnover by D. Green (lost ball; steal by T. Allen)
10:23.0,T. Allen makes 2-pt shot from 19 ft (assist by M. Gasol),2,2-0,,
10:04.0,,,2-0,,D. Green misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by M. Gasol,,2-0,,
9:54.0,M. Gasol misses 2-pt shot from 20 ft,,2-0,,
9:53.0,,,2-0,,Defensive rebound by K. Leonard
9:41.0,,,2-0,,T. Duncan misses 2-pt shot from 6 ft
9:40.0,Defensive rebound by T. Allen,,2-0,,
9:32.0,Turnover by T. Allen (bad pass; steal by D. Green),,2-0,,
9:28.0,,,2-2,2,D. Green makes 2-pt shot from 1 ft
9:02.0,J. Green misses 2-pt shot from 23 ft,,2-2,,
9:01.0,,,2-2,,Defensive rebound by K. Leonard
8:53.0,Personal foul by M. Gasol (drawn by K. Leonard),,2-2,,
8:41.0,,,2-4,2,D. West makes 2-pt shot from 5 ft
8:26.0,M. Conley misses 2-pt shot from 12 ft,,2-4,,
8:25.0,Offensive rebound by J. Green,,2-4,,
8:25.0,J. Green misses 2-pt shot from 2 ft,,2-4,,
8:23.0,,,2-4,,Defensive rebound by D. Green
8:12.0,,,2-6,2,D. West makes 2-pt shot from 20 ft (assist by T. Parker)
7:47.0,Turnover by M. Gasol (traveling),,2-6,,
7:40.0,,,2-6,,K. Leonard misses 2-pt shot from 2 ft
7:38.0,,,2-6,,Offensive rebound by K. Leonard
7:38.0,,,2-6,,K. Leonard misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by J. Green,,2-6,,
7:34.0,Memphis full timeout,,2-6,,
7:25.0,M. Conley misses 2-pt shot from 20 ft,,2-6,,
7:24.0,,,2-6,,Defensive rebound by D. West
7:07.0,,,2-6,,D. West misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by J. Green,,2-6,,
6:59.0,J. Green makes 2-pt shot from 3 ft (assist by M. Conley),2,4-6,,
6:44.0,,,4-6,,T. Duncan misses 2-pt shot from 21 ft
6:43.0,Defensive rebound by J. Green,,4-6,,
6:28.0,M. Gasol misses 2-pt shot from 8 ft,,4-6,,
6:27.0,,,4-6,,Defensive rebound by K. Leonard
6:10.0,,,4-8,2,T. Parker makes 2-pt shot from 1 ft
5:51.0,T. Allen misses 2-pt shot from 20 ft,,4-8,,
5:51.0,,,4-8,,Defensive rebound by K. Leonard
5:43.0,,,4-10,2,D. Green makes 2-pt shot from 1 ft (assist by K. Leonard)
5:32.0,Shooting foul by T. Duncan (drawn by M. Conley),,4-10,,
5:32.0,M. Conley makes free throw 1 of 2,1,5-10,,
5:32.0,M. Barnes enters the game for J. Green,,5-10,,
5:32.0,C. Lee enters the game for T. Allen,,5-10,,
5:32.0,,,5-10,,M. Ginobili enters the game for D. Green
5:32.0,,,5-10,,B. Diaw enters the game for D. West
5:32.0,M. Conley makes free throw 2 of 2,1,6-10,,
5:17.0,,,6-10,,Turnover by M. Ginobili (bad pass; steal by J. Green)
5:11.0,M. Conley makes 2-pt shot from 1 ft (assist by M. Barnes),2,8-10,,
4:55.0,,,8-13,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Duncan)
4:37.0,J. Green misses 2-pt shot from 15 ft (block by K. Leonard),,8-13,,
4:36.0,,,8-13,,Defensive rebound by T. Duncan
4:28.0,,,8-15,2,T. Parker makes 2-pt shot from 2 ft
4:02.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Barnes),2,10-15,,
3:50.0,,,10-15,,Shooting foul by M. Barnes (drawn by T. Parker)
3:50.0,,,10-16,1,T. Parker makes free throw 1 of 2
3:50.0,M. Chalmers enters the game for M. Conley,,10-16,,
3:50.0,,,10-17,1,T. Parker makes free throw 2 of 2
3:30.0,C. Lee makes 2-pt shot from 17 ft (assist by M. Gasol),2,12-17,,
3:24.0,,,12-17,,San Antonio full timeout
3:24.0,,,12-17,,P. Mills enters the game for T. Parker
3:06.0,,,12-19,2,M. Ginobili makes 2-pt shot from 15 ft
2:45.0,C. Lee misses 3-pt shot from 23 ft,,12-19,,
2:44.0,,,12-19,,Defensive rebound by T. Duncan
2:32.0,,,12-19,,K. Leonard misses 2-pt shot from 18 ft
2:30.0,,,12-19,,Offensive rebound by B. Diaw
2:30.0,,,12-19,,B. Diaw misses 2-pt shot from 2 ft
2:29.0,Defensive rebound by M. Barnes,,12-19,,
2:22.0,C. Lee makes 2-pt shot from 14 ft,2,14-19,,
2:12.0,,,14-21,2,B. Diaw makes 2-pt shot at rim (assist by M. Ginobili)
