time,Oklahoma City,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Hibbert (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. R. Hibbert (S. Ibaka gains possession)
11:42.0,K. Durant misses 2-pt shot from 19 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by L. Nance
11:24.0,,,0-2,2,L. Nance makes 2-pt shot from 17 ft (assist by J. Clarkson)
11:05.0,R. Westbrook misses 2-pt shot from 13 ft,,0-2,,
11:04.0,Offensive rebound by A. Roberson,,0-2,,
10:59.0,A. Roberson makes 2-pt shot from 1 ft,2,2-2,,
10:39.0,,,2-2,,R. Hibbert misses 2-pt shot from 8 ft
10:37.0,Defensive rebound by S. Ibaka,,2-2,,
10:26.0,S. Adams makes 2-pt shot from 7 ft,2,4-2,,
10:08.0,,,4-2,,Shooting foul by A. Roberson (drawn by L. Williams)
10:08.0,,,4-3,1,L. Williams makes free throw 1 of 3
10:08.0,,,4-4,1,L. Williams makes free throw 2 of 3
10:08.0,,,4-5,1,L. Williams makes free throw 3 of 3
9:50.0,S. Adams misses 2-pt shot at rim (block by R. Hibbert),,4-5,,
9:49.0,Offensive rebound by S. Adams,,4-5,,
9:44.0,S. Adams makes 2-pt shot from 8 ft,2,6-5,,
9:37.0,,,6-5,,L. Williams misses 2-pt shot from 20 ft
9:37.0,Defensive rebound by K. Durant,,6-5,,
9:33.0,,,6-5,,Personal foul by K. Bryant (drawn by K. Durant)
9:25.0,Turnover by R. Westbrook (bad pass; steal by L. Williams),,6-5,,
9:13.0,,,6-5,,K. Bryant misses 2-pt shot from 2 ft
9:12.0,,,6-5,,Offensive rebound by R. Hibbert
9:08.0,,,6-7,2,R. Hibbert makes 2-pt shot at rim
8:55.0,Turnover by K. Durant (bad pass; steal by L. Nance),,6-7,,
8:49.0,,,6-9,2,L. Nance makes 2-pt shot at rim (assist by K. Bryant)
8:35.0,S. Ibaka misses 2-pt shot from 16 ft,,6-9,,
8:34.0,Offensive rebound by S. Adams,,6-9,,
8:24.0,K. Durant makes 2-pt shot from 7 ft,2,8-9,,
8:04.0,,,8-9,,Shooting foul by S. Adams (drawn by L. Williams)
8:04.0,,,8-10,1,L. Williams makes free throw 1 of 2
8:04.0,,,8-11,1,L. Williams makes free throw 2 of 2
7:51.0,R. Westbrook makes 2-pt shot from 12 ft,2,10-11,,
7:31.0,,,10-13,2,R. Hibbert makes 2-pt shot from 1 ft (assist by K. Bryant)
7:19.0,A. Roberson makes 2-pt shot from 1 ft (assist by K. Durant),2,12-13,,
7:11.0,,,12-13,,Turnover by J. Clarkson (lost ball; steal by A. Roberson)
7:02.0,S. Ibaka makes 2-pt shot from 10 ft (assist by S. Adams),2,14-13,,
7:02.0,Shooting foul by R. Hibbert (drawn by S. Ibaka),,14-13,,
7:02.0,S. Ibaka makes free throw 1 of 1,1,15-13,,
6:44.0,,,15-15,2,L. Nance makes 2-pt shot from 4 ft
6:34.0,R. Westbrook makes 2-pt shot from 12 ft,2,17-15,,
6:08.0,,,17-15,,K. Bryant misses 2-pt shot from 2 ft
6:07.0,Defensive rebound by R. Westbrook,,17-15,,
6:02.0,R. Westbrook makes 2-pt shot from 1 ft,2,19-15,,
5:44.0,,,19-15,,Turnover by J. Clarkson (traveling)
5:44.0,,,19-15,,LA Lakers full timeout
5:44.0,,,19-15,,D. Russell enters the game for L. Williams
5:17.0,K. Durant makes 2-pt shot at rim,2,21-15,,
4:56.0,,,21-15,,Shooting foul by A. Roberson (drawn by J. Clarkson)
4:56.0,,,21-16,1,J. Clarkson makes free throw 1 of 2
4:56.0,D. Waiters enters the game for A. Roberson,,21-16,,
4:56.0,,,21-17,1,J. Clarkson makes free throw 2 of 2
4:41.0,R. Westbrook misses 2-pt shot from 1 ft,,21-17,,
4:41.0,Offensive rebound by S. Adams,,21-17,,
4:36.0,S. Adams makes 2-pt shot at rim,2,23-17,,
4:21.0,,,23-17,,L. Nance misses 2-pt shot from 19 ft
4:21.0,Defensive rebound by S. Adams,,23-17,,
4:07.0,K. Durant misses 2-pt shot from 16 ft,,23-17,,
4:06.0,,,23-17,,Defensive rebound by K. Bryant
3:50.0,,,23-19,2,R. Hibbert makes 2-pt shot from 18 ft (assist by K. Bryant)
3:39.0,Shooting foul by J. Clarkson (drawn by R. Westbrook),,23-19,,
3:39.0,R. Westbrook makes free throw 1 of 2,1,24-19,,
3:39.0,,,24-19,,A. Brown enters the game for K. Bryant
3:39.0,,,24-19,,J. Randle enters the game for L. Nance
3:39.0,R. Westbrook misses free throw 2 of 2,,24-19,,
3:38.0,,,24-19,,Defensive rebound by J. Randle
3:25.0,,,24-19,,Turnover by J. Randle (bad pass; steal by R. Westbrook)
3:18.0,R. Westbrook makes 2-pt shot at rim,2,26-19,,
3:07.0,,,26-21,2,J. Clarkson makes 2-pt shot from 15 ft
2:54.0,Turnover by R. Westbrook (bad pass; steal by J. Clarkson),,26-21,,
2:50.0,Oklahoma City full timeout,,26-21,,
2:50.0,C. Payne enters the game for S. Adams,,26-21,,
2:50.0,E. Kanter enters the game for R. Westbrook,,26-21,,
2:50.0,,,26-21,,B. Bass enters the game for R. Hibbert
2:38.0,,,26-23,2,B. Bass makes 2-pt shot from 17 ft (assist by D. Russell)
2:24.0,K. Durant makes 2-pt shot at rim (assist by E. Kanter),2,28-23,,
1:58.0,,,28-23,,J. Randle misses 2-pt shot from 19 ft
1:57.0,Defensive rebound by K. Durant,,28-23,,
1:48.0,K. Durant makes 2-pt shot from 8 ft,2,30-23,,
1:25.0,,,30-25,2,D. Russell makes 2-pt shot at rim (assist by B. Bass)
1:10.0,S. Ibaka misses 2-pt shot from 19 ft,,30-25,,
1:10.0,Offensive rebound by C. Payne,,30-25,,
0:55.0,D. Waiters misses 2-pt shot from 1 ft,,30-25,,
0:55.0,,,30-25,,Defensive rebound by B. Bass
0:49.0,,,30-25,,J. Clarkson misses 2-pt shot from 20 ft
0:47.0,Defensive rebound by K. Durant,,30-25,,
0:38.0,Turnover by D. Waiters (traveling),,30-25,,
0:38.0,N. Collison enters the game for S. Ibaka,,30-25,,
0:26.0,,,30-25,,D. Russell misses 2-pt shot from 19 ft
0:26.0,Defensive rebound by K. Durant,,30-25,,
0:04.0,C. Payne misses 2-pt shot from 15 ft,,30-25,,
0:04.0,Offensive rebound by E. Kanter,,30-25,,
0:03.0,E. Kanter misses 2-pt shot at rim,,30-25,,
0:02.0,Offensive rebound by E. Kanter,,30-25,,
0:02.0,E. Kanter makes 2-pt shot from 2 ft,2,32-25,,
0:01.0,,,32-28,3,J. Clarkson makes 3-pt shot from 40 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,32-30,2,L. Williams makes 2-pt shot from 9 ft (assist by D. Russell)
11:23.0,Turnover by E. Kanter (traveling),,32-30,,
11:04.0,,,32-30,,J. Randle misses 2-pt shot from 15 ft
11:02.0,Defensive rebound by D. Waiters,,32-30,,
10:58.0,E. Kanter makes 2-pt shot from 1 ft (assist by D. Waiters),2,34-30,,
10:58.0,Shooting foul by J. Randle (drawn by E. Kanter),,34-30,,
10:58.0,E. Kanter makes free throw 1 of 1,1,35-30,,
10:39.0,,,35-30,,L. Williams misses 3-pt shot from 23 ft (block by D. Waiters)
10:39.0,,,35-30,,Offensive rebound by Team
10:32.0,,,35-30,,J. Randle misses 2-pt shot from 21 ft
10:31.0,Defensive rebound by D. Waiters,,35-30,,
10:25.0,D. Waiters misses 3-pt shot from 25 ft,,35-30,,
10:25.0,,,35-30,,Defensive rebound by J. Randle
10:14.0,,,35-30,,D. Russell misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by E. Kanter,,35-30,,
10:08.0,A. Morrow misses 3-pt shot from 25 ft,,35-30,,
10:08.0,,,35-30,,Defensive rebound by B. Bass
10:01.0,,,35-30,,Shooting foul by A. Morrow (drawn by B. Bass)
10:01.0,,,35-31,1,B. Bass makes free throw 1 of 2
10:01.0,,,35-31,,K. Bryant enters the game for A. Brown
10:01.0,,,35-31,,M. Huertas enters the game for D. Russell
10:01.0,,,35-32,1,B. Bass makes free throw 2 of 2
9:45.0,C. Payne makes 2-pt shot from 14 ft,2,37-32,,
9:31.0,,,37-32,,Turnover by M. Huertas (bad pass; steal by C. Payne)
9:27.0,Turnover by D. Waiters (discontinued dribble),,37-32,,
9:07.0,,,37-32,,J. Randle misses 2-pt shot from 7 ft
9:05.0,Defensive rebound by E. Kanter,,37-32,,
8:58.0,N. Collison misses 2-pt shot from 4 ft,,37-32,,
8:58.0,Offensive rebound by E. Kanter,,37-32,,
8:58.0,Shooting foul by J. Randle (drawn by E. Kanter),,37-32,,
8:58.0,Official timeout,,37-32,,
8:58.0,E. Kanter makes free throw 1 of 2,1,38-32,,
8:58.0,E. Kanter makes free throw 2 of 2,1,39-32,,
8:41.0,,,39-34,2,K. Bryant makes 2-pt shot from 23 ft (assist by B. Bass)
8:24.0,C. Payne misses 2-pt shot from 15 ft,,39-34,,
8:23.0,,,39-34,,Defensive rebound by K. Bryant
8:12.0,,,39-37,3,K. Bryant makes 3-pt shot from 22 ft
7:55.0,D. Waiters makes 2-pt shot from 21 ft,2,41-37,,
7:47.0,,,41-39,2,M. Huertas makes 2-pt shot from 1 ft
7:36.0,C. Payne makes 2-pt shot from 11 ft,2,43-39,,
7:25.0,,,43-39,,K. Bryant misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by E. Kanter,,43-39,,
7:15.0,D. Waiters misses 2-pt shot at rim,,43-39,,
7:14.0,,,43-39,,Defensive rebound by J. Randle
7:06.0,,,43-41,2,L. Williams makes 2-pt shot at rim (assist by J. Randle)
7:05.0,Oklahoma City full timeout,,43-41,,
7:05.0,S. Ibaka enters the game for D. Waiters,,43-41,,
7:05.0,K. Durant enters the game for E. Kanter,,43-41,,
7:05.0,R. Westbrook enters the game for A. Morrow,,43-41,,
7:05.0,,,43-41,,R. Hibbert enters the game for J. Randle
7:05.0,,,43-41,,L. Nance enters the game for B. Bass
6:52.0,S. Ibaka misses 2-pt shot from 8 ft,,43-41,,
6:50.0,,,43-41,,Defensive rebound by L. Nance
6:36.0,,,43-43,2,K. Bryant makes 2-pt shot from 18 ft
6:22.0,R. Westbrook misses 2-pt shot at rim (block by R. Hibbert),,43-43,,
6:20.0,Offensive rebound by N. Collison,,43-43,,
6:18.0,S. Ibaka misses 3-pt shot from 24 ft,,43-43,,
6:17.0,,,43-43,,Defensive rebound by L. Williams
6:16.0,Personal foul by S. Ibaka (drawn by L. Nance),,43-43,,
6:16.0,S. Adams enters the game for N. Collison,,43-43,,
6:05.0,,,43-43,,L. Williams misses 3-pt shot from 25 ft
6:05.0,,,43-43,,Offensive rebound by K. Bryant
5:59.0,,,43-43,,K. Bryant misses 2-pt shot from 12 ft
5:58.0,,,43-43,,Offensive rebound by L. Nance
5:47.0,,,43-45,2,K. Bryant makes 2-pt shot from 8 ft (assist by L. Williams)
5:29.0,C. Payne makes 3-pt shot from 24 ft (assist by K. Durant),3,46-45,,
5:15.0,,,46-45,,J. Clarkson enters the game for M. Huertas
5:05.0,,,46-45,,Turnover by K. Bryant (bad pass; steal by S. Adams)
5:02.0,,,46-45,,Personal take foul by K. Bryant (drawn by R. Westbrook)
4:49.0,R. Westbrook makes 2-pt shot from 1 ft,2,48-45,,
4:49.0,Shooting foul by R. Hibbert (drawn by R. Westbrook),,48-45,,
4:49.0,R. Westbrook makes free throw 1 of 1,1,49-45,,
4:35.0,,,49-45,,Turnover by K. Bryant (lost ball; steal by K. Durant)
4:35.0,,,49-45,,Personal foul by K. Bryant (drawn by R. Westbrook)
4:35.0,R. Westbrook misses free throw 1 of 2,,49-45,,
4:35.0,Offensive rebound by Team,,49-45,,
4:35.0,R. Westbrook makes free throw 2 of 2,1,50-45,,
4:24.0,,,50-45,,K. Bryant misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by Team,,50-45,,
4:10.0,Turnover by R. Westbrook (bad pass; steal by R. Hibbert),,50-45,,
4:00.0,,,50-45,,L. Williams misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by S. Adams,,50-45,,
3:50.0,K. Durant makes 2-pt shot from 15 ft,2,52-45,,
3:29.0,,,52-45,,Shooting foul by R. Westbrook (drawn by J. Clarkson)
3:29.0,,,52-45,,J. Clarkson misses free throw 1 of 2
3:29.0,,,52-45,,Offensive rebound by Team
3:29.0,,,52-46,1,J. Clarkson makes free throw 2 of 2
3:05.0,K. Durant misses 3-pt shot from 25 ft,,52-46,,
3:04.0,Offensive rebound by R. Westbrook,,52-46,,
3:04.0,,,52-46,,Personal foul by J. Clarkson (drawn by R. Westbrook)
3:04.0,R. Westbrook makes free throw 1 of 2,1,53-46,,
3:04.0,,,53-46,,A. Brown enters the game for K. Bryant
3:04.0,R. Westbrook makes free throw 2 of 2,1,54-46,,
2:54.0,,,54-46,,Shooting foul by C. Payne (drawn by L. Williams)
2:54.0,,,54-46,,LA Lakers full timeout
2:54.0,,,54-47,1,L. Williams makes free throw 1 of 2
2:54.0,,,54-48,1,L. Williams makes free throw 2 of 2
2:32.0,Jump ball: S. Ibaka vs. L. Nance (R. Westbrook gains possession),,,,Jump ball: S. Ibaka vs. L. Nance (R. Westbrook gains possession)
2:24.0,R. Westbrook misses 3-pt shot from 33 ft,,54-48,,
2:23.0,,,54-48,,Defensive rebound by L. Nance
2:02.0,,,54-48,,J. Clarkson misses 2-pt shot from 21 ft
2:02.0,Defensive rebound by K. Durant,,54-48,,
1:55.0,R. Westbrook misses 2-pt shot from 2 ft,,54-48,,
1:52.0,,,54-48,,Defensive rebound by L. Nance
1:50.0,,,54-48,,Turnover by J. Clarkson (lost ball; steal by K. Durant)
1:44.0,R. Westbrook misses 2-pt shot from 2 ft,,54-48,,
1:39.0,,,54-48,,Defensive rebound by L. Nance
1:22.0,,,54-50,2,J. Clarkson makes 2-pt shot at rim
1:11.0,K. Durant makes 2-pt shot from 9 ft (assist by R. Westbrook),2,56-50,,
0:49.0,,,56-50,,J. Clarkson misses 2-pt shot from 17 ft
0:49.0,Defensive rebound by R. Westbrook,,56-50,,
0:43.0,R. Westbrook makes 2-pt shot from 1 ft,2,58-50,,
0:36.0,,,58-53,3,L. Williams makes 3-pt shot from 25 ft
