time,Miami,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession),,,,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession)
11:39.0,,,0-2,2,N. Hilario makes 2-pt shot from 5 ft (assist by J. Wall)
11:19.0,Turnover by L. Deng (bad pass; steal by K. Oubre),,0-2,,
11:07.0,,,0-2,,J. Wall misses 2-pt shot from 16 ft
11:06.0,Defensive rebound by L. Deng,,0-2,,
10:48.0,C. Bosh makes 2-pt shot from 20 ft (assist by G. Green),2,2-2,,
10:41.0,Personal foul by C. Bosh (drawn by N. Hilario),,2-2,,
10:30.0,,,2-4,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Wall)
10:13.0,G. Green makes 2-pt shot from 12 ft (assist by L. Deng),2,4-4,,
9:59.0,,,4-4,,Shooting foul by T. Johnson (drawn by J. Wall)
9:59.0,,,4-5,1,J. Wall makes free throw 1 of 2
9:59.0,,,4-6,1,J. Wall makes free throw 2 of 2
9:39.0,,,4-6,,Loose ball foul by J. Wall (drawn by H. Whiteside)
9:27.0,C. Bosh misses 3-pt shot from 25 ft,,4-6,,
9:26.0,,,4-6,,Defensive rebound by M. Gortat
9:17.0,,,4-6,,N. Hilario misses 2-pt shot at rim
9:16.0,,,4-6,,Offensive rebound by N. Hilario
9:09.0,,,4-8,2,N. Hilario makes 2-pt shot at rim (assist by G. Temple)
8:53.0,C. Bosh misses 3-pt shot from 26 ft,,4-8,,
8:51.0,,,4-8,,Defensive rebound by N. Hilario
8:43.0,,,4-10,2,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall)
8:27.0,T. Johnson makes 2-pt shot at rim,2,6-10,,
8:09.0,,,6-10,,N. Hilario misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by H. Whiteside,,6-10,,
7:56.0,G. Green misses 3-pt shot from 25 ft,,6-10,,
7:54.0,,,6-10,,Defensive rebound by Team
7:40.0,,,6-10,,Turnover by K. Oubre (bad pass; steal by C. Bosh)
7:33.0,L. Deng misses 2-pt shot from 2 ft,,6-10,,
7:31.0,,,6-10,,Defensive rebound by N. Hilario
7:23.0,,,6-10,,Shooting foul by L. Deng (drawn by M. Gortat)
7:23.0,,,6-10,,M. Gortat misses free throw 1 of 2
7:23.0,,,6-10,,Offensive rebound by Team
7:23.0,,,6-11,1,M. Gortat makes free throw 2 of 2
7:07.0,Turnover by C. Bosh (lost ball; steal by G. Temple),,6-11,,
7:04.0,,,6-11,,Shooting foul by G. Green (drawn by G. Temple)
7:04.0,,,6-12,1,G. Temple makes free throw 1 of 2
7:04.0,J. Richardson enters the game for G. Green,,6-12,,
7:04.0,,,6-13,1,G. Temple makes free throw 2 of 2
6:42.0,Violation by Team (delay of game),,6-13,,
6:42.0,Jump ball: N. Hilario vs. H. Whiteside,,,,Jump ball: N. Hilario vs. H. Whiteside
6:41.0,Turnover by H. Whiteside (lost ball; steal by N. Hilario),,6-13,,
6:22.0,,,6-15,2,J. Wall makes 2-pt shot from 14 ft
6:15.0,Miami full timeout,,6-15,,
6:15.0,J. Winslow enters the game for L. Deng,,6-15,,
6:07.0,C. Bosh misses 2-pt shot from 5 ft,,6-15,,
6:05.0,,,6-15,,Defensive rebound by M. Gortat
5:54.0,,,6-15,,Turnover by J. Wall (bad pass; steal by H. Whiteside)
5:50.0,J. Winslow makes 2-pt shot at rim (assist by H. Whiteside),2,8-15,,
5:29.0,,,8-15,,Turnover by J. Wall (bad pass)
5:29.0,,,8-15,,B. Beal enters the game for K. Oubre
5:07.0,T. Johnson makes 2-pt shot from 6 ft,2,10-15,,
4:46.0,,,10-15,,M. Gortat misses 2-pt shot from 3 ft (block by H. Whiteside)
4:45.0,Defensive rebound by H. Whiteside,,10-15,,
4:34.0,Shooting foul by N. Hilario (drawn by C. Bosh),,10-15,,
4:34.0,C. Bosh makes free throw 1 of 2,1,11-15,,
4:34.0,,,11-15,,J. Dudley enters the game for N. Hilario
4:34.0,C. Bosh makes free throw 2 of 2,1,12-15,,
4:20.0,,,12-15,,G. Temple misses 2-pt shot from 19 ft
4:19.0,,,12-15,,Offensive rebound by G. Temple
4:17.0,,,12-17,2,J. Dudley makes 2-pt shot from 21 ft (assist by G. Temple)
3:55.0,H. Whiteside makes 2-pt shot from 10 ft (assist by J. Richardson),2,14-17,,
3:41.0,,,14-20,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
3:23.0,Turnover by H. Whiteside (lost ball; steal by J. Dudley),,14-20,,
3:11.0,,,14-22,2,M. Gortat makes 2-pt shot from 5 ft (assist by J. Dudley)
2:53.0,Offensive foul by T. Johnson,,14-22,,
2:53.0,Turnover by T. Johnson (offensive foul),,14-22,,
2:53.0,,,14-22,,Washington full timeout
2:53.0,L. Deng enters the game for C. Bosh,,14-22,,
2:53.0,G. Green enters the game for T. Johnson,,14-22,,
2:53.0,,,14-22,,R. Sessions enters the game for J. Wall
2:36.0,,,14-22,,B. Beal misses 2-pt shot from 12 ft
2:35.0,Defensive rebound by J. Winslow,,14-22,,
2:21.0,G. Green misses 2-pt shot from 1 ft,,14-22,,
2:20.0,,,14-22,,Defensive rebound by R. Sessions
2:10.0,,,14-24,2,M. Gortat makes 2-pt shot from 18 ft (assist by G. Temple)
1:54.0,Turnover by J. Richardson (bad pass; steal by J. Dudley),,14-24,,
1:49.0,,,14-24,,Turnover by R. Sessions (lost ball)
1:49.0,,,14-24,,G. Neal enters the game for G. Temple
1:34.0,Turnover by G. Green (step out of bounds),,14-24,,
1:34.0,A. Stoudemire enters the game for H. Whiteside,,14-24,,
1:15.0,,,14-24,,J. Dudley misses 2-pt shot from 20 ft
1:14.0,,,14-24,,Offensive rebound by M. Gortat
1:07.0,,,14-26,2,J. Dudley makes 2-pt shot from 1 ft (assist by R. Sessions)
0:46.0,L. Deng makes 2-pt shot from 14 ft,2,16-26,,
0:39.0,,,16-26,,M. Gortat misses 2-pt shot from 3 ft
0:38.0,Defensive rebound by L. Deng,,16-26,,
0:26.0,L. Deng makes 3-pt shot from 23 ft (assist by J. Richardson),3,19-26,,
0:24.0,,,19-26,,Turnover by G. Neal (bad pass)
0:07.0,,,19-26,,Personal take foul by R. Sessions (drawn by J. Richardson)
0:04.0,L. Deng makes 3-pt shot from 25 ft (assist by J. Winslow),3,22-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by J. Richardson (bad pass; steal by N. Hilario),,22-26,,
11:36.0,,,22-28,2,N. Hilario makes 2-pt shot from 20 ft (assist by R. Sessions)
11:16.0,Turnover by A. Stoudemire (3 sec),,22-28,,
11:08.0,,,22-28,,Turnover by R. Sessions (bad pass)
11:00.0,,,22-28,,Personal foul by B. Beal (drawn by G. Green)
10:49.0,A. Stoudemire makes 2-pt shot at rim,2,24-28,,
10:46.0,Personal foul by J. Richardson (drawn by R. Sessions),,24-28,,
10:35.0,,,24-30,2,J. Dudley makes 2-pt shot from 17 ft (assist by R. Sessions)
10:07.0,A. Stoudemire makes 2-pt shot from 13 ft,2,26-30,,
9:55.0,,,26-30,,Shooting foul by J. Winslow (drawn by B. Beal)
9:55.0,,,26-30,,B. Beal misses free throw 1 of 2
9:55.0,,,26-30,,Offensive rebound by Team
9:55.0,,,26-31,1,B. Beal makes free throw 2 of 2
9:54.0,Turnover by L. Deng (bad pass; steal by R. Sessions),,26-31,,
9:48.0,,,26-31,,R. Sessions misses 2-pt shot from 2 ft (block by L. Deng)
9:47.0,Defensive rebound by J. Richardson,,26-31,,
9:42.0,G. Green misses 2-pt shot from 8 ft,,26-31,,
9:41.0,Offensive rebound by A. Stoudemire,,26-31,,
9:40.0,Shooting foul by J. Dudley (drawn by A. Stoudemire),,26-31,,
9:40.0,A. Stoudemire makes free throw 1 of 2,1,27-31,,
9:40.0,T. Johnson enters the game for J. Richardson,,27-31,,
9:40.0,A. Stoudemire misses free throw 2 of 2,,27-31,,
9:39.0,,,27-31,,Defensive rebound by N. Hilario
9:17.0,,,27-31,,G. Neal misses 2-pt shot from 14 ft
9:16.0,Defensive rebound by J. Winslow,,27-31,,
9:03.0,G. Green misses 2-pt shot from 12 ft,,27-31,,
9:02.0,Offensive rebound by J. Winslow,,27-31,,
8:59.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by J. Winslow),2,29-31,,
8:50.0,,,29-31,,Shooting foul by A. Stoudemire (drawn by B. Beal)
8:50.0,Official timeout,,29-31,,
8:50.0,,,29-32,1,B. Beal makes free throw 1 of 2
8:50.0,,,29-33,1,B. Beal makes free throw 2 of 2
8:31.0,,,29-33,,Personal foul by N. Hilario (drawn by A. Stoudemire)
8:31.0,,,29-33,,J. Wall enters the game for R. Sessions
8:31.0,,,29-33,,G. Temple enters the game for B. Beal
8:24.0,Jump ball: N. Hilario vs. A. Stoudemire (J. Wall gains possession),,,,Jump ball: N. Hilario vs. A. Stoudemire (J. Wall gains possession)
8:24.0,Turnover by A. Stoudemire (lost ball; steal by N. Hilario),,29-33,,
8:11.0,,,29-33,,N. Hilario misses 2-pt shot from 2 ft
8:10.0,Defensive rebound by J. Winslow,,29-33,,
7:51.0,Turnover by T. Johnson (back court),,29-33,,
7:42.0,,,29-35,2,J. Wall makes 2-pt shot from 1 ft (assist by J. Dudley)
7:25.0,G. Green misses 2-pt shot from 19 ft,,29-35,,
7:24.0,Offensive rebound by L. Deng,,29-35,,
7:10.0,T. Johnson misses 2-pt shot from 1 ft,,29-35,,
7:09.0,Offensive rebound by Team,,29-35,,
7:09.0,,,29-35,,Loose ball foul by N. Hilario (drawn by A. Stoudemire)
7:09.0,C. Bosh enters the game for L. Deng,,29-35,,
7:09.0,,,29-35,,M. Gortat enters the game for N. Hilario
6:55.0,J. Winslow misses 2-pt shot from 16 ft,,29-35,,
6:54.0,,,29-35,,Defensive rebound by Team
