time,Brooklyn,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. B. Lopez (D. Favors gains possession),,,,Jump ball: R. Gobert vs. B. Lopez (D. Favors gains possession)
11:42.0,,,0-0,,G. Hayward misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by W. Ellington,,0-0,,
11:26.0,B. Lopez misses 2-pt shot from 19 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by R. Gobert
11:12.0,,,0-0,,Shooting foul by B. Bogdanovic (drawn by D. Favors)
11:12.0,,,0-1,1,D. Favors makes free throw 1 of 2
11:12.0,,,0-1,,D. Favors misses free throw 2 of 2
11:11.0,Defensive rebound by T. Young,,0-1,,
10:54.0,T. Young makes 2-pt shot from 4 ft,2,2-1,,
10:37.0,,,2-1,,S. Mack misses 2-pt shot from 7 ft
10:37.0,,,2-1,,Offensive rebound by Team
10:37.0,Loose ball foul by T. Young (drawn by R. Gobert),,2-1,,
10:31.0,,,2-3,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
10:17.0,Turnover by B. Lopez (traveling),,2-3,,
10:00.0,,,2-3,,R. Hood misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by B. Lopez,,2-3,,
9:45.0,B. Bogdanovic misses 2-pt shot from 11 ft,,2-3,,
9:44.0,,,2-3,,Defensive rebound by R. Gobert
9:32.0,,,2-6,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
9:18.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by R. Gobert),,2-6,,
9:17.0,,,2-6,,Defensive rebound by R. Hood
9:07.0,,,2-8,2,G. Hayward makes 2-pt shot from 8 ft
9:07.0,Brooklyn full timeout,,2-8,,
8:53.0,Turnover by W. Ellington (bad pass; steal by G. Hayward),,2-8,,
8:48.0,,,2-10,2,S. Mack makes 2-pt shot at rim (assist by G. Hayward)
8:33.0,Turnover by B. Bogdanovic (offensive foul),,2-10,,
8:33.0,Offensive charge foul by B. Bogdanovic,,2-10,,
8:33.0,M. Brown enters the game for B. Bogdanovic,,2-10,,
8:17.0,,,2-10,,D. Favors misses 2-pt shot from 15 ft
8:16.0,Defensive rebound by W. Ellington,,2-10,,
8:02.0,B. Lopez makes 2-pt shot from 2 ft (assist by W. Ellington),2,4-10,,
7:48.0,,,4-10,,G. Hayward misses 2-pt shot from 3 ft
7:47.0,,,4-10,,Offensive rebound by R. Gobert
7:47.0,,,4-10,,R. Gobert misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by B. Lopez,,4-10,,
7:35.0,D. Sloan makes 2-pt shot from 20 ft (assist by B. Lopez),2,6-10,,
7:20.0,,,6-10,,D. Favors misses 2-pt shot from 3 ft
7:19.0,,,6-10,,Offensive rebound by R. Gobert
7:18.0,,,6-10,,Turnover by R. Gobert (bad pass; steal by D. Sloan)
7:12.0,M. Brown misses 2-pt shot from 23 ft,,6-10,,
7:11.0,,,6-10,,Defensive rebound by R. Gobert
6:57.0,,,6-10,,Turnover by R. Gobert (3 sec)
6:42.0,B. Lopez misses 2-pt shot from 2 ft (block by R. Gobert),,6-10,,
6:41.0,,,6-10,,Defensive rebound by D. Favors
6:28.0,,,6-10,,Turnover by S. Mack (bad pass; steal by B. Lopez)
6:20.0,Turnover by D. Sloan (lost ball; steal by D. Favors),,6-10,,
6:16.0,,,6-10,,Shooting foul by W. Ellington (drawn by R. Gobert)
6:16.0,,,6-10,,R. Gobert misses free throw 1 of 2
6:16.0,,,6-10,,Offensive rebound by Team
6:16.0,,,6-10,,T. Booker enters the game for D. Favors
6:16.0,,,6-11,1,R. Gobert makes free throw 2 of 2
6:03.0,T. Young misses 2-pt shot from 18 ft,,6-11,,
6:02.0,,,6-11,,Defensive rebound by R. Gobert
5:55.0,,,6-11,,S. Mack misses 2-pt shot from 6 ft
5:54.0,,,6-11,,Offensive rebound by T. Booker
5:45.0,,,6-11,,Turnover by R. Hood (bad pass; steal by T. Young)
5:40.0,T. Young makes 2-pt shot at rim,2,8-11,,
5:14.0,,,8-11,,Turnover by S. Mack (bad pass; steal by W. Ellington)
5:09.0,W. Ellington makes 2-pt shot from 1 ft (assist by M. Brown),2,10-11,,
4:45.0,,,10-13,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
4:34.0,Shooting foul by R. Hood (drawn by D. Sloan),,10-13,,
4:34.0,D. Sloan misses free throw 1 of 2,,10-13,,
4:34.0,Offensive rebound by Team,,10-13,,
4:34.0,,,10-13,,C. Johnson enters the game for R. Hood
4:34.0,,,10-13,,R. Neto enters the game for S. Mack
4:34.0,D. Sloan makes free throw 2 of 2,1,11-13,,
4:17.0,,,11-13,,R. Neto misses 3-pt shot from 23 ft
4:16.0,Defensive rebound by M. Brown,,11-13,,
4:04.0,Turnover by B. Lopez (offensive goaltending),,11-13,,
3:50.0,,,11-15,2,G. Hayward makes 2-pt shot from 3 ft
3:50.0,,,11-15,,Shooting foul by D. Sloan (drawn by G. Hayward)
3:50.0,,,11-16,1,G. Hayward makes free throw 1 of 1
3:36.0,W. Ellington misses 2-pt shot from 19 ft,,11-16,,
3:36.0,,,11-16,,Defensive rebound by R. Neto
3:29.0,,,11-16,,Offensive foul by R. Gobert
3:29.0,,,11-16,,Turnover by R. Gobert (offensive foul)
3:29.0,T. Robinson enters the game for B. Lopez,,11-16,,
3:15.0,M. Brown misses 2-pt shot from 5 ft,,11-16,,
