time,Indiana,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. I. Mahinmi (T. Parker gains possession),,,,Jump ball: T. Duncan vs. I. Mahinmi (T. Parker gains possession)
11:45.0,,,0-0,,K. Leonard misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by G. Hill,,0-0,,
11:26.0,M. Ellis misses 2-pt shot from 17 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by K. Leonard
11:16.0,,,0-2,2,K. Leonard makes 2-pt shot at rim
11:09.0,,,0-2,,Personal foul by L. Aldridge (drawn by G. Hill)
11:03.0,L. Allen misses 2-pt shot from 7 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by L. Aldridge
10:47.0,,,0-2,,D. Green misses 2-pt shot from 8 ft (block by M. Ellis)
10:46.0,Defensive rebound by G. Hill,,0-2,,
10:33.0,G. Hill misses 2-pt shot from 16 ft,,0-2,,
10:32.0,Offensive rebound by I. Mahinmi,,0-2,,
10:32.0,I. Mahinmi makes 2-pt shot from 1 ft,2,2-2,,
10:15.0,,,2-2,,K. Leonard misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by M. Ellis,,2-2,,
10:10.0,P. George misses 3-pt shot from 23 ft,,2-2,,
10:09.0,Offensive rebound by L. Allen,,2-2,,
9:57.0,Turnover by I. Mahinmi (bad pass),,2-2,,
9:46.0,,,2-2,,T. Parker misses 2-pt shot from 7 ft
9:45.0,Defensive rebound by I. Mahinmi,,2-2,,
9:32.0,,,2-2,,Def 3 sec tech foul by T. Duncan
9:32.0,P. George misses technical free throw,,2-2,,
9:32.0,Offensive rebound by Team,,2-2,,
9:24.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,4-2,,
8:56.0,,,4-4,2,K. Leonard makes 2-pt shot from 15 ft
8:49.0,Turnover by P. George (lost ball; steal by T. Duncan),,4-4,,
8:42.0,,,4-6,2,T. Duncan makes 2-pt shot from 2 ft (assist by K. Leonard)
8:24.0,L. Allen misses 2-pt shot from 15 ft,,4-6,,
8:23.0,,,4-6,,Defensive rebound by T. Duncan
8:09.0,,,4-6,,K. Leonard misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by I. Mahinmi,,4-6,,
7:51.0,L. Allen misses 2-pt shot from 8 ft,,4-6,,
7:49.0,,,4-6,,Defensive rebound by T. Duncan
7:37.0,,,4-6,,L. Aldridge misses 2-pt shot from 15 ft
7:36.0,Defensive rebound by P. George,,4-6,,
7:29.0,Shooting foul by T. Parker (drawn by L. Allen),,4-6,,
7:29.0,L. Allen misses free throw 1 of 2,,4-6,,
7:29.0,Offensive rebound by Team,,4-6,,
7:29.0,L. Allen misses free throw 2 of 2,,4-6,,
7:28.0,,,4-6,,Defensive rebound by L. Aldridge
7:17.0,,,4-6,,Turnover by D. Green (bad pass; steal by P. George)
7:13.0,Turnover by P. George (traveling),,4-6,,
7:05.0,Personal foul by I. Mahinmi (drawn by T. Duncan),,4-6,,
6:58.0,Personal block foul by L. Allen (drawn by L. Aldridge),,4-6,,
6:52.0,,,4-6,,T. Duncan misses 2-pt shot from 11 ft
6:51.0,Defensive rebound by L. Allen,,4-6,,
6:43.0,L. Allen makes 2-pt shot from 17 ft (assist by M. Ellis),2,6-6,,
6:43.0,,,6-6,,San Antonio full timeout
6:32.0,Personal foul by L. Allen (drawn by L. Aldridge),,6-6,,
6:32.0,J. Hill enters the game for L. Allen,,6-6,,
6:19.0,,,6-6,,K. Leonard misses 2-pt shot from 11 ft
6:18.0,Defensive rebound by I. Mahinmi,,6-6,,
6:10.0,M. Ellis makes 2-pt shot from 18 ft,2,8-6,,
5:54.0,,,8-8,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
5:41.0,J. Hill makes 2-pt shot from 1 ft (assist by P. George),2,10-8,,
5:27.0,,,10-10,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
5:08.0,I. Mahinmi misses 2-pt shot from 1 ft (block by T. Duncan),,10-10,,
5:07.0,,,10-10,,Defensive rebound by T. Duncan
4:54.0,,,10-10,,T. Parker misses 2-pt shot from 12 ft
4:53.0,,,10-10,,Offensive rebound by L. Aldridge
4:52.0,,,10-10,,L. Aldridge misses 2-pt shot from 4 ft
4:51.0,Defensive rebound by I. Mahinmi,,10-10,,
4:42.0,P. George misses 3-pt shot from 23 ft,,10-10,,
4:41.0,,,10-10,,Defensive rebound by D. Green
4:33.0,,,10-12,2,L. Aldridge makes 2-pt shot from 5 ft (assist by T. Duncan)
4:32.0,Indiana full timeout,,10-12,,
4:32.0,,,10-12,,P. Mills enters the game for T. Duncan
4:32.0,,,10-12,,B. Diaw enters the game for D. Green
4:32.0,,,10-12,,M. Ginobili enters the game for T. Parker
4:32.0,R. Stuckey enters the game for I. Mahinmi,,10-12,,
4:32.0,C. Miles enters the game for G. Hill,,10-12,,
4:20.0,J. Hill misses 2-pt shot from 7 ft,,10-12,,
4:17.0,,,10-12,,Defensive rebound by B. Diaw
4:03.0,,,10-12,,K. Leonard misses 2-pt shot from 1 ft
4:00.0,Defensive rebound by C. Miles,,10-12,,
3:54.0,P. George misses 2-pt shot from 12 ft,,10-12,,
3:53.0,,,10-12,,Defensive rebound by L. Aldridge
3:48.0,,,10-12,,Shooting foul by C. Miles (drawn by K. Leonard)
3:48.0,,,10-13,1,K. Leonard makes free throw 1 of 2
3:48.0,,,10-14,1,K. Leonard makes free throw 2 of 2
3:29.0,C. Miles makes 2-pt shot from 6 ft (assist by J. Hill),2,12-14,,
3:15.0,,,12-14,,L. Aldridge misses 2-pt shot from 15 ft
3:14.0,Defensive rebound by P. George,,12-14,,
2:58.0,P. George misses 2-pt shot from 12 ft,,12-14,,
2:57.0,,,12-14,,Defensive rebound by B. Diaw
2:47.0,,,12-16,2,L. Aldridge makes 2-pt shot at rim (assist by B. Diaw)
2:26.0,C. Miles makes 2-pt shot at rim,2,14-16,,
2:20.0,,,14-18,2,B. Diaw makes 2-pt shot from 2 ft (assist by M. Ginobili)
2:05.0,C. Miles misses 3-pt shot from 24 ft,,14-18,,
2:04.0,Offensive rebound by J. Hill,,14-18,,
2:00.0,J. Hill misses 2-pt shot from 1 ft,,14-18,,
1:59.0,,,14-18,,Defensive rebound by L. Aldridge
1:47.0,,,14-20,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
1:36.0,,,14-20,,Personal foul by P. Mills (drawn by M. Ellis)
1:36.0,,,14-20,,D. West enters the game for L. Aldridge
1:22.0,,,14-20,,Violation by B. Diaw (kicked ball)
1:12.0,M. Ellis misses 2-pt shot from 15 ft,,14-20,,
1:11.0,,,14-20,,Defensive rebound by D. West
0:58.0,,,14-22,2,B. Diaw makes 2-pt shot from 5 ft (assist by M. Ginobili)
0:45.0,J. Hill makes 2-pt shot from 19 ft (assist by M. Ellis),2,16-22,,
0:32.0,,,16-22,,M. Ginobili misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by C. Miles,,16-22,,
0:21.0,P. George makes 3-pt shot from 25 ft (assist by M. Ellis),3,19-22,,
0:05.0,Personal foul by M. Ellis (drawn by P. Mills),,19-22,,
0:05.0,,,19-22,,P. Mills misses free throw 1 of 2
0:05.0,,,19-22,,Offensive rebound by Team
0:05.0,,,19-23,1,P. Mills makes free throw 2 of 2
0:00.0,M. Ellis makes 2-pt shot from 15 ft,2,21-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,C. Budinger makes 2-pt shot from 1 ft (assist by R. Stuckey),2,23-23,,
11:31.0,,,23-25,2,B. Diaw makes 2-pt shot at rim
11:21.0,R. Stuckey makes 2-pt shot from 19 ft,2,25-25,,
11:12.0,,,25-27,2,P. Mills makes 2-pt shot from 1 ft
10:46.0,R. Stuckey misses 2-pt shot from 19 ft,,25-27,,
10:43.0,,,25-27,,Defensive rebound by K. Anderson
10:33.0,,,25-29,2,D. West makes 2-pt shot from 5 ft
10:25.0,C. Miles makes 2-pt shot at rim,2,27-29,,
10:06.0,,,27-29,,D. West misses 2-pt shot from 15 ft
10:05.0,Defensive rebound by R. Stuckey,,27-29,,
9:57.0,Turnover by R. Stuckey (bad pass),,27-29,,
9:57.0,,,27-29,,J. Simmons enters the game for K. Anderson
9:41.0,,,27-31,2,B. Diaw makes 2-pt shot from 3 ft (assist by M. Ginobili)
9:23.0,C. Miles misses 3-pt shot from 25 ft,,27-31,,
9:23.0,,,27-31,,Defensive rebound by J. Simmons
9:17.0,,,27-34,3,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons)
9:17.0,Indiana full timeout,,27-34,,
9:17.0,,,27-34,,D. Green enters the game for M. Ginobili
9:01.0,G. Hill misses 2-pt shot from 14 ft,,27-34,,
8:58.0,,,27-34,,Defensive rebound by B. Diaw
8:47.0,Personal foul by C. Miles (drawn by D. West),,27-34,,
8:36.0,,,27-34,,P. Mills misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by R. Stuckey,,27-34,,
8:25.0,G. Hill makes 2-pt shot from 2 ft (assist by C. Miles),2,29-34,,
8:03.0,,,29-34,,P. Mills misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by J. Hill,,29-34,,
7:42.0,G. Hill misses 2-pt shot from 14 ft,,29-34,,
7:41.0,,,29-34,,Defensive rebound by J. Simmons
