time,Detroit,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession)
11:37.0,M. Morris misses 3-pt shot from 26 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by M. Gortat
11:15.0,,,0-0,,M. Gortat misses 2-pt shot from 6 ft
11:14.0,Defensive rebound by A. Drummond,,0-0,,
11:02.0,A. Drummond misses 2-pt shot from 14 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by J. Wall
10:52.0,,,0-2,2,J. Wall makes 2-pt shot from 17 ft
10:35.0,A. Tolliver misses 2-pt shot from 17 ft,,0-2,,
10:34.0,Offensive rebound by A. Tolliver,,0-2,,
10:30.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,0-2,,
10:29.0,,,0-2,,Defensive rebound by Team
10:18.0,,,0-4,2,J. Dudley makes 2-pt shot from 1 ft (assist by J. Wall)
9:48.0,Turnover by R. Jackson (lost ball; steal by J. Wall),,0-4,,
9:37.0,,,0-4,,G. Temple misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by A. Drummond,,0-4,,
9:29.0,M. Morris misses 2-pt shot at rim,,0-4,,
9:28.0,Offensive rebound by M. Morris,,0-4,,
9:26.0,M. Morris misses 2-pt shot at rim,,0-4,,
9:25.0,,,0-4,,Defensive rebound by O. Porter
9:17.0,,,0-4,,J. Wall misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by A. Tolliver,,0-4,,
9:06.0,R. Jackson makes 2-pt shot from 1 ft,2,2-4,,
8:55.0,,,2-4,,J. Dudley misses 2-pt shot from 19 ft
8:54.0,Defensive rebound by K. Caldwell-Pope,,2-4,,
8:49.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,2-4,,
8:47.0,,,2-4,,Defensive rebound by O. Porter
8:34.0,,,2-4,,Shooting foul by A. Tolliver (drawn by J. Dudley)
8:34.0,,,2-5,1,J. Dudley makes free throw 1 of 2
8:34.0,,,2-6,1,J. Dudley makes free throw 2 of 2
