time,Minnesota,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. K. Towns (M. Conley gains possession),,,,Jump ball: J. Green vs. K. Towns (M. Conley gains possession)
11:39.0,,,0-0,,Turnover by M. Conley (lost ball; steal by Z. LaVine)
11:37.0,Turnover by Z. LaVine (lost ball; steal by M. Barnes),,0-0,,
11:28.0,,,0-0,,M. Conley misses 2-pt shot from 1 ft (block by K. Towns)
11:26.0,Defensive rebound by G. Dieng,,0-0,,
11:19.0,Z. LaVine makes 3-pt shot from 23 ft (assist by A. Wiggins),3,3-0,,
11:02.0,,,3-2,2,Z. Randolph makes 2-pt shot from 14 ft (assist by M. Conley)
10:45.0,A. Wiggins makes 2-pt shot from 19 ft (assist by K. Towns),2,5-2,,
10:24.0,,,5-2,,Turnover by J. Green (bad pass)
10:06.0,Jump ball: T. Allen vs. G. Dieng (M. Barnes gains possession),,,,Jump ball: T. Allen vs. G. Dieng (M. Barnes gains possession)
10:06.0,Turnover by G. Dieng (lost ball),,5-2,,
10:01.0,,,5-2,,Shooting foul by Z. LaVine (drawn by T. Allen)
10:01.0,,,5-3,1,T. Allen makes free throw 1 of 2
10:01.0,,,5-4,1,T. Allen makes free throw 2 of 2
9:54.0,Turnover by K. Towns (lost ball; steal by T. Allen),,5-4,,
9:49.0,,,5-6,2,T. Allen makes 2-pt shot at rim
9:29.0,K. Towns misses 2-pt shot from 2 ft,,5-6,,
9:24.0,,,5-6,,Defensive rebound by Z. Randolph
9:11.0,,,5-6,,M. Conley misses 2-pt shot from 3 ft
9:08.0,Defensive rebound by K. Towns,,5-6,,
9:01.0,Z. LaVine makes 3-pt shot from 22 ft (assist by A. Wiggins),3,8-6,,
8:41.0,,,8-8,2,J. Green makes 2-pt shot from 18 ft (assist by T. Allen)
8:29.0,Turnover by K. Towns (lost ball; steal by J. Green),,8-8,,
8:24.0,,,8-8,,Shooting foul by K. Towns (drawn by T. Allen)
8:24.0,,,8-9,1,T. Allen makes free throw 1 of 2
8:24.0,,,8-9,,T. Allen misses free throw 2 of 2
8:22.0,Defensive rebound by Z. LaVine,,8-9,,
8:09.0,A. Wiggins misses 2-pt shot from 18 ft (block by M. Barnes),,8-9,,
8:04.0,Offensive rebound by G. Dieng,,8-9,,
8:04.0,G. Dieng misses 2-pt shot from 1 ft (block by J. Green),,8-9,,
8:03.0,,,8-9,,Defensive rebound by Z. Randolph
7:54.0,,,8-9,,M. Conley misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by G. Dieng,,8-9,,
7:45.0,Shooting foul by M. Barnes (drawn by A. Wiggins),,8-9,,
7:45.0,A. Wiggins makes free throw 1 of 2,1,9-9,,
7:45.0,,,9-9,,B. Wright enters the game for J. Green
7:45.0,A. Wiggins makes free throw 2 of 2,1,10-9,,
7:33.0,Personal foul by Z. LaVine,,10-9,,
7:33.0,S. Muhammad enters the game for Z. LaVine,,10-9,,
7:26.0,,,10-11,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Barnes)
7:13.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,12-11,,
6:58.0,,,12-13,2,M. Conley makes 2-pt shot from 5 ft (assist by T. Allen)
6:37.0,A. Wiggins makes 2-pt shot from 5 ft,2,14-13,,
6:20.0,,,14-13,,B. Wright misses 2-pt shot from 3 ft (block by R. Rubio)
6:20.0,,,14-13,,Offensive rebound by Team
6:19.0,,,14-13,,Turnover by T. Allen (lost ball; steal by K. Towns)
6:12.0,S. Muhammad makes 2-pt shot from 2 ft (assist by R. Rubio),2,16-13,,
6:00.0,,,16-13,,Turnover by T. Allen (traveling)
6:00.0,Minnesota full timeout,,16-13,,
6:00.0,,,16-13,,V. Carter enters the game for T. Allen
5:46.0,K. Towns misses 2-pt shot from 6 ft,,16-13,,
5:44.0,Offensive rebound by K. Towns,,16-13,,
5:41.0,G. Dieng makes 2-pt shot at rim (assist by K. Towns),2,18-13,,
5:22.0,,,18-13,,Z. Randolph misses 2-pt shot from 19 ft
5:22.0,Defensive rebound by K. Towns,,18-13,,
5:17.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,20-13,,
4:55.0,,,20-15,2,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Conley)
4:27.0,S. Muhammad misses 2-pt shot at rim,,20-15,,
4:26.0,Offensive rebound by S. Muhammad,,20-15,,
4:24.0,S. Muhammad misses 2-pt shot from 4 ft,,20-15,,
4:24.0,Offensive rebound by K. Towns,,20-15,,
4:24.0,K. Towns misses 2-pt shot from 1 ft,,20-15,,
4:24.0,Offensive rebound by Team,,20-15,,
4:24.0,,,20-15,,Personal foul by B. Wright
4:24.0,,,20-15,,M. Chalmers enters the game for M. Conley
4:18.0,A. Wiggins misses 2-pt shot from 20 ft,,20-15,,
4:17.0,,,20-15,,Defensive rebound by V. Carter
4:07.0,,,20-18,3,M. Barnes makes 3-pt shot from 24 ft (assist by M. Chalmers)
3:50.0,R. Rubio misses 2-pt shot from 17 ft,,20-18,,
3:48.0,,,20-18,,Defensive rebound by Z. Randolph
3:36.0,,,20-20,2,M. Chalmers makes 2-pt shot from 6 ft
3:18.0,G. Dieng misses 2-pt shot from 17 ft,,20-20,,
3:17.0,,,20-20,,Defensive rebound by V. Carter
3:10.0,,,20-20,,M. Barnes misses 2-pt shot from 21 ft
3:06.0,Defensive rebound by K. Towns,,20-20,,
2:58.0,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),2,22-20,,
2:50.0,,,22-20,,Memphis full timeout
2:50.0,K. Martin enters the game for A. Wiggins,,22-20,,
2:50.0,A. Payne enters the game for K. Towns,,22-20,,
2:50.0,,,22-20,,C. Andersen enters the game for M. Barnes
2:50.0,,,22-20,,J. Ennis enters the game for Z. Randolph
2:40.0,,,22-20,,V. Carter misses 3-pt shot from 22 ft
2:40.0,Defensive rebound by G. Dieng,,22-20,,
2:26.0,Shooting foul by M. Chalmers (drawn by K. Martin),,22-20,,
2:26.0,K. Martin makes free throw 1 of 2,1,23-20,,
2:26.0,K. Martin makes free throw 2 of 2,1,24-20,,
2:10.0,Personal foul by A. Payne,,24-20,,
2:10.0,K. Towns enters the game for G. Dieng,,24-20,,
1:59.0,,,24-22,2,B. Wright makes 2-pt shot from 18 ft (assist by M. Chalmers)
1:36.0,K. Martin makes 3-pt shot from 24 ft (assist by A. Payne),3,27-22,,
1:19.0,Def 3 sec tech foul by A. Payne,,27-22,,
1:19.0,,,27-23,1,V. Carter makes technical free throw
1:19.0,T. Jones enters the game for R. Rubio,,27-23,,
1:15.0,,,27-23,,Shooting foul by K. Towns (drawn by M. Chalmers)
1:15.0,,,27-24,1,M. Chalmers makes free throw 1 of 2
1:15.0,,,27-25,1,M. Chalmers makes free throw 2 of 2
