time,Chicago,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Towns (D. Rose gains possession),,,,Jump ball: P. Gasol vs. K. Towns (D. Rose gains possession)
11:42.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose),2,2-0,,
11:26.0,,,2-0,,Turnover by A. Wiggins (lost ball; steal by D. Rose)
11:21.0,D. Rose makes 2-pt shot at rim (assist by E. Moore),2,4-0,,
11:07.0,,,4-2,2,K. Towns makes 2-pt shot from 19 ft (assist by G. Dieng)
10:50.0,E. Moore makes 2-pt shot from 5 ft (assist by P. Gasol),2,6-2,,
10:38.0,,,6-4,2,K. Towns makes 2-pt shot from 1 ft
10:32.0,Turnover by D. Rose (bad pass; steal by R. Rubio),,6-4,,
10:28.0,,,6-4,,Turnover by R. Rubio (bad pass)
10:12.0,Turnover by T. Gibson (lost ball; steal by R. Rubio),,6-4,,
10:07.0,,,6-6,2,K. Towns makes 2-pt shot at rim (assist by G. Dieng)
9:47.0,D. Rose misses 3-pt shot from 25 ft,,6-6,,
9:46.0,,,6-6,,Defensive rebound by K. Towns
9:38.0,,,6-6,,K. Towns misses 3-pt shot from 24 ft
9:37.0,,,6-6,,Offensive rebound by G. Dieng
9:28.0,,,6-6,,Turnover by R. Rubio (traveling)
9:05.0,D. Rose misses 2-pt shot from 15 ft,,6-6,,
9:04.0,Offensive rebound by Team,,6-6,,
9:04.0,Turnover by Team (shot clock),,6-6,,
8:55.0,,,6-8,2,R. Rubio makes 2-pt shot at rim
8:38.0,E. Moore makes 2-pt shot from 3 ft (assist by P. Gasol),2,8-8,,
8:17.0,,,8-8,,A. Wiggins misses 2-pt shot from 21 ft
8:16.0,Defensive rebound by P. Gasol,,8-8,,
8:06.0,T. Gibson misses 2-pt shot from 9 ft,,8-8,,
8:05.0,,,8-8,,Defensive rebound by R. Rubio
7:48.0,,,8-10,2,G. Dieng makes 2-pt shot from 13 ft (assist by R. Rubio)
7:31.0,E. Moore makes 3-pt shot from 25 ft (assist by P. Gasol),3,11-10,,
7:14.0,,,11-12,2,K. Towns makes 2-pt shot from 1 ft
7:00.0,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose),2,13-12,,
6:59.0,,,13-12,,Minnesota full timeout
6:46.0,,,13-14,2,T. Prince makes 2-pt shot from 21 ft (assist by A. Wiggins)
6:26.0,P. Gasol misses 2-pt shot from 13 ft,,13-14,,
6:25.0,,,13-14,,Defensive rebound by R. Rubio
6:17.0,,,13-14,,R. Rubio misses 2-pt shot from 8 ft
6:16.0,Defensive rebound by D. Rose,,13-14,,
6:09.0,E. Moore misses 2-pt shot from 9 ft,,13-14,,
6:07.0,Offensive rebound by T. Gibson,,13-14,,
6:01.0,Turnover by T. Gibson (offensive foul),,13-14,,
6:01.0,Offensive charge foul by T. Gibson,,13-14,,
6:01.0,,,13-14,,Z. LaVine enters the game for T. Prince
6:01.0,M. Dunleavy enters the game for T. Snell,,13-14,,
5:49.0,,,13-14,,K. Towns misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by P. Gasol,,13-14,,
5:40.0,P. Gasol makes 2-pt shot from 21 ft (assist by E. Moore),2,15-14,,
5:21.0,,,15-14,,Turnover by G. Dieng (bad pass; steal by T. Gibson)
5:07.0,D. Rose makes 2-pt shot at rim,2,17-14,,
4:51.0,,,17-16,2,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio)
4:36.0,P. Gasol misses 2-pt shot from 16 ft,,17-16,,
4:35.0,,,17-16,,Defensive rebound by K. Towns
4:22.0,,,17-16,,Z. LaVine misses 2-pt shot from 19 ft
4:21.0,Defensive rebound by P. Gasol,,17-16,,
4:11.0,D. Rose makes 2-pt shot from 8 ft,2,19-16,,
3:54.0,,,19-16,,Turnover by K. Towns (lost ball)
3:54.0,B. Portis enters the game for T. Gibson,,19-16,,
3:54.0,Chicago full timeout,,19-16,,
3:54.0,A. Brooks enters the game for D. Rose,,19-16,,
3:41.0,P. Gasol misses 2-pt shot from 18 ft,,19-16,,
3:40.0,,,19-16,,Defensive rebound by G. Dieng
3:27.0,,,19-16,,A. Wiggins misses 2-pt shot from 17 ft
3:25.0,Defensive rebound by E. Moore,,19-16,,
3:17.0,A. Brooks misses 2-pt shot from 1 ft (block by K. Towns),,19-16,,
3:16.0,Offensive rebound by Team,,19-16,,
3:11.0,Turnover by A. Brooks (bad pass),,19-16,,
2:46.0,,,19-18,2,K. Towns makes 2-pt shot from 10 ft
2:30.0,M. Dunleavy misses 2-pt shot from 10 ft,,19-18,,
2:29.0,,,19-18,,Defensive rebound by G. Dieng
2:19.0,,,19-18,,Shooting foul by A. Brooks (drawn by G. Dieng)
2:19.0,,,19-19,1,G. Dieng makes free throw 1 of 2
2:19.0,D. McDermott enters the game for P. Gasol,,19-19,,
2:19.0,,,19-19,,S. Muhammad enters the game for A. Wiggins
2:19.0,,,19-19,,D. Rudez enters the game for K. Towns
2:19.0,,,19-19,,A. Miller enters the game for R. Rubio
2:19.0,,,19-20,1,G. Dieng makes free throw 2 of 2
2:05.0,E. Moore misses 3-pt shot from 24 ft,,19-20,,
2:04.0,Offensive rebound by Team,,19-20,,
1:56.0,M. Dunleavy misses 2-pt shot from 21 ft,,19-20,,
1:55.0,,,19-20,,Defensive rebound by A. Miller
1:43.0,,,19-22,2,G. Dieng makes 2-pt shot from 16 ft
1:20.0,B. Portis makes 2-pt shot from 2 ft (assist by E. Moore),2,21-22,,
1:05.0,,,21-24,2,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng)
0:46.0,Turnover by M. Dunleavy (bad pass; steal by S. Muhammad),,21-24,,
