time,San Antonio,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Hibbert (K. Bryant gains possession),,,,Jump ball: T. Duncan vs. R. Hibbert (K. Bryant gains possession)
11:34.0,,,0-0,,L. Williams misses 2-pt shot from 12 ft (block by D. Green)
11:30.0,Defensive rebound by T. Duncan,,0-0,,
11:22.0,T. Duncan makes 2-pt shot from 6 ft (assist by T. Parker),2,2-0,,
11:06.0,,,2-2,2,K. Bryant makes 2-pt shot from 14 ft
10:49.0,L. Aldridge misses 2-pt shot from 20 ft,,2-2,,
10:48.0,,,2-2,,Defensive rebound by K. Bryant
10:34.0,,,2-5,3,J. Clarkson makes 3-pt shot from 25 ft
10:21.0,T. Duncan misses 2-pt shot from 1 ft,,2-5,,
10:20.0,Offensive rebound by T. Duncan,,2-5,,
10:15.0,T. Duncan misses 2-pt shot from 5 ft,,2-5,,
10:11.0,,,2-5,,Defensive rebound by R. Hibbert
10:09.0,,,2-5,,Turnover by K. Bryant (lost ball; steal by K. Anderson)
10:01.0,K. Anderson makes 2-pt shot at rim,2,4-5,,
9:53.0,,,4-5,,K. Bryant misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by L. Aldridge,,4-5,,
9:46.0,T. Parker makes 2-pt shot from 12 ft,2,6-5,,
9:43.0,,,6-5,,Turnover by K. Bryant (bad pass)
9:29.0,T. Parker makes 2-pt shot from 17 ft,2,8-5,,
9:11.0,,,8-5,,J. Randle misses 2-pt shot from 15 ft
9:10.0,Defensive rebound by L. Aldridge,,8-5,,
9:00.0,T. Parker misses 2-pt shot from 16 ft,,8-5,,
8:59.0,,,8-5,,Defensive rebound by R. Hibbert
8:54.0,Personal foul by D. Green,,8-5,,
8:47.0,,,8-8,3,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Bryant)
8:33.0,Shooting foul by R. Hibbert (drawn by T. Duncan),,8-8,,
8:33.0,T. Duncan makes free throw 1 of 2,1,9-8,,
8:33.0,T. Duncan makes free throw 2 of 2,1,10-8,,
8:16.0,,,10-8,,K. Bryant misses 2-pt shot at rim
8:14.0,Defensive rebound by L. Aldridge,,10-8,,
8:05.0,T. Duncan misses 2-pt shot from 17 ft,,10-8,,
8:04.0,,,10-8,,Defensive rebound by J. Randle
7:53.0,,,10-8,,J. Randle misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by D. Green,,10-8,,
7:44.0,T. Parker makes 2-pt shot at rim,2,12-8,,
7:44.0,Shooting foul by R. Hibbert (drawn by T. Parker),,12-8,,
7:44.0,,,12-8,,Violation by J. Randle (lane)
7:44.0,T. Parker makes free throw 1 of 1,1,13-8,,
7:29.0,,,13-10,2,K. Bryant makes 2-pt shot from 14 ft
7:15.0,T. Parker misses 2-pt shot from 17 ft,,13-10,,
7:13.0,,,13-10,,Defensive rebound by L. Williams
7:06.0,,,13-12,2,L. Williams makes 2-pt shot from 16 ft (assist by J. Clarkson)
6:48.0,K. Anderson misses 2-pt shot from 15 ft,,13-12,,
6:44.0,Offensive rebound by D. Green,,13-12,,
6:44.0,D. Green makes 2-pt shot from 1 ft,2,15-12,,
6:37.0,,,15-12,,Shooting foul by L. Aldridge (drawn by L. Williams)
6:37.0,,,15-13,1,L. Williams makes free throw 1 of 2
6:37.0,,,15-14,1,L. Williams makes free throw 2 of 2
6:17.0,T. Duncan misses 2-pt shot at rim (block by R. Hibbert),,15-14,,
6:15.0,Offensive rebound by T. Duncan,,15-14,,
6:13.0,T. Duncan makes 2-pt shot from 2 ft (assist by L. Aldridge),2,17-14,,
6:13.0,Shooting foul by J. Randle (drawn by T. Duncan),,17-14,,
6:13.0,T. Duncan makes free throw 1 of 1,1,18-14,,
6:04.0,,,18-16,2,L. Williams makes 2-pt shot from 16 ft (assist by J. Clarkson)
6:04.0,San Antonio full timeout,,18-16,,
6:04.0,P. Mills enters the game for T. Parker,,18-16,,
6:04.0,B. Diaw enters the game for T. Duncan,,18-16,,
5:45.0,D. Green misses 2-pt shot at rim,,18-16,,
5:42.0,,,18-16,,Defensive rebound by J. Randle
5:25.0,,,18-19,3,J. Clarkson makes 3-pt shot from 24 ft
5:09.0,Turnover by B. Diaw (traveling),,18-19,,
5:09.0,,,18-19,,D. Russell enters the game for L. Williams
4:52.0,,,18-19,,K. Bryant misses 2-pt shot from 7 ft
4:49.0,Defensive rebound by K. Anderson,,18-19,,
4:29.0,B. Diaw misses 2-pt shot from 1 ft,,18-19,,
4:27.0,Offensive rebound by B. Diaw,,18-19,,
4:26.0,R. Butler enters the game for K. Anderson,,18-19,,
4:26.0,Turnover by B. Diaw (3 sec),,18-19,,
4:26.0,,,18-19,,B. Bass enters the game for R. Hibbert
4:15.0,,,18-19,,Turnover by D. Russell (bad pass)
4:14.0,,,18-19,,N. Young enters the game for K. Bryant
3:55.0,B. Diaw makes 2-pt shot at rim (assist by D. Green),2,20-19,,
3:34.0,,,20-19,,N. Young misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by L. Aldridge,,20-19,,
3:17.0,B. Diaw makes 2-pt shot from 1 ft,2,22-19,,
3:05.0,,,22-19,,Offensive foul by D. Russell
3:05.0,,,22-19,,Turnover by D. Russell (offensive foul)
3:05.0,,,22-19,,L. Nance enters the game for J. Randle
3:05.0,J. Simmons enters the game for D. Green,,22-19,,
3:05.0,D. West enters the game for L. Aldridge,,22-19,,
2:51.0,Turnover by P. Mills (lost ball; steal by B. Bass),,22-19,,
2:48.0,,,22-19,,D. Russell misses 2-pt shot at rim (block by D. West)
2:48.0,,,22-19,,Offensive rebound by Team
2:48.0,,,22-19,,LA Lakers full timeout
2:28.0,,,22-21,2,N. Young makes 2-pt shot from 7 ft (assist by J. Clarkson)
2:10.0,D. West makes 2-pt shot from 8 ft (assist by B. Diaw),2,24-21,,
1:49.0,,,24-23,2,B. Bass makes 2-pt shot at rim (assist by J. Clarkson)
1:34.0,,,24-23,,Personal foul by L. Nance
1:27.0,D. West makes 2-pt shot from 16 ft (assist by J. Simmons),2,26-23,,
1:01.0,,,26-25,2,D. Russell makes 2-pt shot from 9 ft
0:51.0,P. Mills makes 2-pt shot from 19 ft,2,28-25,,
0:42.0,,,28-28,3,J. Clarkson makes 3-pt shot from 24 ft
0:42.0,,,28-28,,Violation by Team (jump ball)
0:30.0,R. Butler makes 3-pt shot from 23 ft (assist by D. West),3,31-28,,
0:14.0,,,31-28,,Shooting foul by D. West (drawn by D. Russell)
0:14.0,,,31-29,1,D. Russell makes free throw 1 of 2
0:14.0,D. Green enters the game for B. Diaw,,31-29,,
0:14.0,,,31-30,1,D. Russell makes free throw 2 of 2
0:03.0,D. West makes 2-pt shot at rim (assist by P. Mills),2,33-30,,
0:03.0,,,33-30,,Turnover by B. Bass (lost ball; steal by D. Green)
0:03.0,D. Green misses 2-pt shot from 4 ft,,33-30,,
0:00.0,Offensive rebound by Team,,33-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by P. Mills (lost ball; steal by J. Clarkson),,33-30,,
11:47.0,,,33-30,,Turnover by J. Clarkson (bad pass)
11:35.0,Turnover by J. Simmons (bad pass),,33-30,,
11:11.0,,,33-30,,N. Young misses 2-pt shot from 15 ft (block by R. Butler)
11:11.0,,,33-30,,Offensive rebound by L. Nance
11:11.0,,,33-30,,Turnover by Team (shot clock)
11:11.0,,,33-30,,L. Williams enters the game for J. Clarkson
