time,Toronto,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: Z. Pachulia vs. J. Valanciunas (K. Lowry gains possession)
11:43.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,2-0,,
11:25.0,,,2-2,2,D. Williams makes 2-pt shot from 12 ft
11:12.0,Turnover by D. DeRozan (lost ball),,2-2,,
11:01.0,,,2-2,,C. Parsons misses 2-pt shot from 1 ft
11:01.0,,,2-2,,Offensive rebound by C. Parsons
11:01.0,,,2-2,,Turnover by C. Parsons (step out of bounds)
10:40.0,L. Scola misses 2-pt shot from 18 ft,,2-2,,
10:39.0,Offensive rebound by J. Valanciunas,,2-2,,
10:39.0,,,2-2,,Loose ball foul by Z. Pachulia (drawn by J. Valanciunas)
10:29.0,J. Valanciunas misses 2-pt shot from 9 ft,,2-2,,
10:28.0,,,2-2,,Defensive rebound by D. Nowitzki
10:17.0,,,2-2,,Z. Pachulia misses 2-pt shot from 17 ft
10:16.0,Defensive rebound by L. Scola,,2-2,,
10:08.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,4-2,,
9:58.0,,,4-2,,D. Williams misses 2-pt shot from 3 ft
9:56.0,Defensive rebound by J. Valanciunas,,4-2,,
9:44.0,D. DeRozan makes 2-pt shot from 13 ft,2,6-2,,
9:34.0,,,6-4,2,C. Parsons makes 2-pt shot at rim
9:13.0,L. Scola makes 2-pt shot from 8 ft,2,8-4,,
9:04.0,Personal foul by D. DeRozan (drawn by Z. Pachulia),,8-4,,
8:56.0,,,8-4,,W. Matthews misses 2-pt shot from 16 ft
8:55.0,,,8-4,,Offensive rebound by Z. Pachulia
8:53.0,,,8-4,,Z. Pachulia misses 2-pt shot from 1 ft
8:52.0,,,8-4,,Offensive rebound by Z. Pachulia
8:49.0,,,8-4,,Turnover by Z. Pachulia (lost ball; steal by L. Scola)
8:37.0,Offensive charge foul by J. Valanciunas,,8-4,,
8:37.0,Turnover by J. Valanciunas (offensive foul),,8-4,,
8:28.0,,,8-4,,Shooting foul by D. DeRozan (drawn by C. Parsons)
8:28.0,,,8-4,,C. Parsons misses free throw 1 of 2
8:28.0,,,8-4,,Offensive rebound by Team
8:28.0,T. Ross enters the game for D. DeRozan,,8-4,,
8:28.0,,,8-4,,R. Felton enters the game for W. Matthews
8:28.0,,,8-4,,C. Parsons misses free throw 2 of 2
8:27.0,Defensive rebound by L. Scola,,8-4,,
8:11.0,D. Carroll misses 2-pt shot from 13 ft,,8-4,,
8:09.0,,,8-4,,Defensive rebound by D. Nowitzki
8:01.0,,,8-4,,R. Felton misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by T. Ross,,8-4,,
7:46.0,T. Ross misses 2-pt shot from 13 ft,,8-4,,
7:45.0,,,8-4,,Defensive rebound by R. Felton
7:30.0,,,8-7,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Williams)
7:06.0,K. Lowry makes 3-pt shot from 22 ft (assist by T. Ross),3,11-7,,
6:54.0,,,11-7,,Z. Pachulia misses 2-pt shot from 18 ft
6:53.0,Defensive rebound by L. Scola,,11-7,,
6:42.0,T. Ross misses 3-pt shot from 23 ft,,11-7,,
6:41.0,Offensive rebound by D. Carroll,,11-7,,
6:32.0,L. Scola makes 2-pt shot from 17 ft (assist by K. Lowry),2,13-7,,
6:32.0,,,13-7,,Dallas full timeout
6:16.0,,,13-9,2,D. Nowitzki makes 2-pt shot from 16 ft
6:00.0,T. Ross makes 2-pt shot from 7 ft,2,15-9,,
5:52.0,,,15-9,,Shooting foul by D. Carroll (drawn by Z. Pachulia)
5:52.0,,,15-10,1,Z. Pachulia makes free throw 1 of 2
5:52.0,,,15-10,,D. Powell enters the game for D. Nowitzki
5:52.0,,,15-11,1,Z. Pachulia makes free throw 2 of 2
5:34.0,K. Lowry makes 3-pt shot from 25 ft (assist by T. Ross),3,18-11,,
5:22.0,,,18-13,2,D. Powell makes 2-pt shot from 17 ft (assist by C. Parsons)
5:07.0,L. Scola makes 2-pt shot from 5 ft,2,20-13,,
4:56.0,,,20-16,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Powell)
4:47.0,J. Valanciunas misses 2-pt shot at rim,,20-16,,
4:46.0,,,20-16,,Defensive rebound by C. Parsons
4:40.0,,,20-16,,Turnover by C. Parsons (offensive foul)
4:40.0,,,20-16,,Offensive foul by C. Parsons
4:40.0,,,20-16,,W. Matthews enters the game for C. Parsons
4:40.0,,,20-16,,D. Harris enters the game for D. Williams
4:40.0,B. Biyombo enters the game for J. Valanciunas,,20-16,,
4:29.0,B. Biyombo misses 2-pt shot from 1 ft,,20-16,,
4:28.0,Offensive rebound by B. Biyombo,,20-16,,
4:26.0,B. Biyombo makes 2-pt shot from 1 ft,2,22-16,,
4:17.0,,,22-16,,Offensive charge foul by R. Felton
4:17.0,,,22-16,,Turnover by R. Felton (offensive foul)
4:00.0,L. Scola makes 2-pt shot from 3 ft,2,24-16,,
3:39.0,,,24-16,,D. Powell misses 2-pt shot from 15 ft
3:38.0,,,24-16,,Offensive rebound by Z. Pachulia
3:35.0,,,24-16,,Shooting foul by L. Scola (drawn by D. Powell)
3:35.0,,,24-17,1,D. Powell makes free throw 1 of 2
3:35.0,C. Joseph enters the game for D. Carroll,,24-17,,
3:35.0,P. Patterson enters the game for L. Scola,,24-17,,
3:35.0,,,24-18,1,D. Powell makes free throw 2 of 2
3:25.0,,,24-18,,Personal block foul by W. Matthews (drawn by T. Ross)
3:25.0,Toronto full timeout,,24-18,,
3:25.0,,,24-18,,C. Villanueva enters the game for Z. Pachulia
3:20.0,K. Lowry misses 2-pt shot from 2 ft,,24-18,,
3:19.0,,,24-18,,Defensive rebound by D. Powell
3:12.0,,,24-18,,D. Harris misses 2-pt shot from 1 ft (block by B. Biyombo)
3:09.0,Defensive rebound by P. Patterson,,24-18,,
3:04.0,Turnover by T. Ross (traveling),,24-18,,
2:49.0,,,24-18,,C. Villanueva misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by B. Biyombo,,24-18,,
2:43.0,K. Lowry makes 3-pt shot from 24 ft,3,27-18,,
2:23.0,,,27-18,,Turnover by R. Felton (bad pass)
2:23.0,N. Powell enters the game for K. Lowry,,27-18,,
2:03.0,N. Powell misses 3-pt shot from 22 ft,,27-18,,
2:03.0,Offensive rebound by B. Biyombo,,27-18,,
2:03.0,,,27-18,,Loose ball foul by C. Villanueva (drawn by B. Biyombo)
